,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,4.013863,3.869045,3.914964,3.3298589999999995,3.474336,3.3688949999999998,4.296930000000001,3.948972,3.6913650000000002,3.2826980000000003,3.619728,3.25676,4.6395599999999995,4.485003,3.781428,4.933621,4.529802,4.078808,5.7755,4.470935,4.836087,4.25575,4.397741000000001,4.222601999999999,4.078002,3.132484,3.5658870000000005,8.169607000000001,6.892838,8.108922999999999
1,3,4.300249,4.028682,4.334830999999999,3.5443480000000003,3.543802,3.556599,4.779829,4.167805,3.8635949999999997,3.65065,3.907712,3.44549,5.127144,4.842902,4.178403,5.293392,4.970662,4.060779,6.304687,4.597151,5.287205,4.618894999999999,4.530061,4.5227,4.622145,4.519586,3.6959400000000002,8.932556,7.285197,8.421998
2,6,4.986001,4.597752,5.02184,3.837153,4.087344,4.219624,5.20531,4.66435,4.343394,4.1150839999999995,4.317934999999999,3.8019279999999998,5.70785,5.269654,4.4826809999999995,5.588601000000001,5.119182,4.340527,6.568467999999999,4.824806,5.526414,4.604908,4.993171,4.568086,4.445682,4.234183,3.8941489999999996,9.482053,7.10738,8.958807
3,9,5.217452,5.080733,5.445654,4.057105,4.354253,4.433813,5.434727,5.055984,4.800754,4.257771,4.601945,4.042559,6.119305000000001,5.583711,4.8448150000000005,6.1453370000000005,5.648916000000001,4.654816,7.135339,5.357231,6.085022,4.90054,5.206321,5.148765,5.346508999999999,5.2693129999999995,4.218804,10.0575,7.523478,9.773479
4,12,5.685615,5.580405000000001,6.064877,4.417395,4.876652,4.6791,5.79637,5.436926000000001,5.03028,4.719119,5.283872,4.486287,6.973639,6.126543,5.3691260000000005,6.35417,6.146607,4.985849,7.808402,5.820271,6.569342999999999,5.762715,6.252937,5.442335,5.380996,5.540783,4.064781,10.84757,8.243497999999999,10.448889999999999
5,15,6.061338,6.261923,6.821555,4.791357,5.240848000000001,5.483978,6.511158999999999,5.859566,5.701472,5.245111,5.662751,4.9207279999999995,7.4693369999999994,6.446733,5.799046,6.85159,6.51124,5.261035,8.39221,5.9189099999999994,7.028614999999999,6.117473,6.318480999999999,5.917941000000001,5.846139,5.789678,5.082591000000001,11.08058,8.329668,10.92305
6,18,6.510461,6.547134,6.993977,5.342644,5.5827,5.426982,6.821267999999999,5.937007,5.902753,5.64535,6.172148,5.145761,7.799306,6.546233,6.105672,7.49593,6.541371,5.642373,8.759300999999999,6.272412999999999,7.355235,6.288639,6.361273000000001,6.374235,6.25392,5.203794,5.3673519999999995,11.75725,8.420332,11.92313
7,21,7.217711,7.039458,7.769271000000001,5.585336,5.724349,6.0246260000000005,7.358036,6.702728,6.524584,5.958972,6.3887529999999995,5.528573000000001,8.457044,7.120014,6.492816,7.887183,7.247609,6.199342,9.212891,7.129371000000001,7.979661,6.480906,6.988444,6.767386,6.565286,6.742624,4.802023999999999,12.53864,9.068754,12.365219999999999
8,24,7.727873,7.496066000000001,8.112871,5.85999,6.078439,6.047011,7.549811999999999,7.000464,6.495424,6.137169999999999,6.696979,5.838245,8.682707,7.961619000000001,6.460868,8.208751,7.566856,6.817717,9.758714,7.337932,8.425741,6.925603,6.961703,7.118047,6.830556,7.116395,6.11798,12.92425,9.214352,13.02768
9,27,8.476671000000001,7.948727000000001,8.919935,6.2775620000000005,6.561719999999999,6.449778,8.68388,7.686011,7.383481,7.001039,7.171506,6.532479,8.995410000000001,8.703398,7.424947,8.199423,8.202797,7.346891,10.222669999999999,7.89315,8.696609,7.448508,7.812964,7.969364,7.404665,7.421341,5.324041,13.710239999999999,8.927954,13.68454
