,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,1.0,1.222222,1.0,1.333333,0.8888889000000001,0.6666667,1.0,0.8888889000000001,0.1111111,1.222222,0.8888889000000001,0.2222222,1.111111,1.222222,1.0,1.111111,1.222222,1.333333,1.222222,0.5555555999999999,1.555556,3.222222,0.5555555999999999,2.0,1.555556,1.888889,0.7777778000000001,5.222222,0.8888889000000001,0.5555555999999999
1,3,0.7777778000000001,1.333333,1.666667,1.111111,0.5555555999999999,1.888889,0.8888889000000001,1.111111,0.3333333,1.0,1.444444,0.4444444,2.111111,1.666667,1.333333,1.333333,1.444444,1.111111,1.333333,0.3333333,1.0,3.222222,0.6666667,1.444444,1.222222,0.8888889000000001,1.111111,4.888889,0.4444444,0.6666667
2,6,1.0,1.111111,1.555556,0.8888889000000001,0.6666667,1.444444,0.7777778000000001,1.333333,0.3333333,1.222222,1.222222,0.5555555999999999,1.666667,1.7777779999999999,1.555556,1.222222,1.333333,1.0,1.111111,0.4444444,1.111111,2.444444,0.8888889000000001,1.333333,1.222222,0.6666667,1.7777779999999999,6.111111,0.3333333,1.0
3,9,1.0,1.222222,1.333333,1.0,0.8888889000000001,1.0,0.5555555999999999,1.888889,0.3333333,1.333333,1.111111,0.4444444,1.444444,2.111111,1.666667,1.666667,1.7777779999999999,1.0,1.0,1.111111,1.222222,2.222222,1.444444,1.111111,1.0,0.6666667,1.666667,5.555555,0.5555555999999999,0.6666667
4,12,0.7777778000000001,1.444444,1.222222,0.7777778000000001,0.8888889000000001,1.111111,0.8888889000000001,1.666667,0.6666667,1.444444,1.333333,0.5555555999999999,1.0,1.888889,1.7777779999999999,1.222222,1.7777779999999999,1.111111,1.0,1.111111,1.555556,2.333333,1.666667,0.6666667,1.0,1.111111,1.555556,6.111111,0.4444444,0.5555555999999999
5,15,1.333333,1.888889,1.333333,0.8888889000000001,1.0,1.0,0.8888889000000001,1.444444,0.6666667,1.7777779999999999,1.555556,0.6666667,1.333333,2.555556,1.222222,1.222222,1.222222,1.222222,0.8888889000000001,1.666667,1.333333,2.0,1.222222,1.0,0.8888889000000001,0.7777778000000001,1.333333,5.6666669999999995,0.3333333,0.5555555999999999
6,18,1.0,2.0,1.111111,1.111111,1.0,0.8888889000000001,1.333333,1.333333,0.6666667,1.222222,1.555556,0.8888889000000001,1.333333,2.333333,1.555556,1.333333,0.8888889000000001,1.222222,0.7777778000000001,1.444444,1.333333,1.888889,1.111111,1.0,1.222222,1.444444,1.0,5.444445,0.3333333,0.6666667
7,21,1.444444,1.555556,1.444444,1.111111,1.0,1.0,1.333333,1.222222,1.0,1.222222,2.0,1.0,1.555556,3.333333,1.555556,1.111111,0.8888889000000001,1.555556,1.0,1.444444,1.111111,1.444444,1.0,1.222222,1.222222,1.7777779999999999,1.222222,5.3333330000000005,0.7777778000000001,0.5555555999999999
8,24,1.111111,2.0,1.333333,0.8888889000000001,1.555556,1.111111,1.444444,1.222222,1.222222,1.222222,2.666667,1.0,1.555556,2.555556,1.666667,1.222222,1.222222,1.555556,1.222222,1.111111,1.888889,1.333333,1.111111,1.555556,1.333333,1.888889,1.111111,5.444445,0.6666667,0.5555555999999999
9,27,1.444444,2.333333,0.8888889000000001,0.7777778000000001,1.666667,1.444444,1.444444,1.7777779999999999,1.888889,1.333333,2.444444,1.111111,1.666667,3.0,2.888889,0.8888889000000001,1.222222,1.666667,1.444444,1.555556,1.888889,1.555556,1.222222,2.0,1.444444,2.0,1.333333,5.6666669999999995,1.111111,0.7777778000000001
10,30,1.555556,2.666667,0.7777778000000001,1.111111,1.555556,1.333333,1.444444,2.333333,2.333333,1.333333,2.888889,1.111111,1.444444,3.222222,3.0,0.6666667,1.555556,1.666667,1.111111,1.555556,2.444444,0.8888889000000001,1.444444,1.7777779999999999,1.888889,2.0,1.666667,4.888889,1.0,0.7777778000000001
