,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,0.020198746,0.054342867999999996,0.051207367000000004,0.104988229,0.062277799,0.032405284,0.100806157,0.034842739,0.042143489000000006,0.060279685,0.021062356,0.043095592,0.025800076,0.039997075,0.044957619000000004,0.034723989,0.041636698,0.041401802,0.065537183,0.04679491,0.092648871,0.034150737,0.057477919,0.038264795,0.050442839,0.054955748,0.054642225,0.029792008,0.308213685,0.039742146
1,3,0.029865247,0.04820584,0.036508459,0.100499725,0.060625282999999995,0.034619871,0.066244629,0.033884983,0.054582067000000005,0.053844932000000005,0.027807832,0.044044824,0.027781939,0.032819372,0.039777638,0.030588703999999998,0.028376099999999998,0.038558612,0.05684961,0.044066205,0.078443147,0.029301163999999998,0.059811998,0.039002366000000004,0.04649919,0.036702255,0.046019686,0.032744379,0.277253312,0.050242827999999996
2,6,0.027617724,0.043341397999999996,0.023955761000000002,0.087680371,0.049826489,0.027930688,0.060444239000000004,0.027285045,0.037867161,0.047346543,0.014044213,0.044330666,0.019248404,0.027914356,0.036282305,0.026673223,0.022790555,0.033776312999999995,0.049640647,0.044769675999999994,0.070609079,0.022301422999999997,0.052978758,0.039625349,0.047641284000000006,0.035382741,0.04704083,0.027862215,0.28937259600000004,0.044585735999999994
3,9,0.02995811,0.034557218,0.018246477,0.08277873,0.05075887900000001,0.026787777999999998,0.054537605999999995,0.026268477000000002,0.030236917000000002,0.047315602000000005,0.022128903999999998,0.043195412,0.018222004,0.025781777999999998,0.031594189,0.025661407999999997,0.019500023999999998,0.036205298,0.043600872,0.040279391,0.06572088,0.025234362000000003,0.051686018,0.035639226,0.040955509,0.027306975,0.040131516,0.024869302000000003,0.288207661,0.041556748
4,12,0.024702165,0.02815405,0.017119886,0.073581375,0.044276893,0.024776346,0.05007927400000001,0.023945516,0.025044927999999998,0.039086533,0.020304238999999998,0.038506007,0.015308077,0.023167387999999997,0.033235391,0.024420341,0.017772081000000002,0.034401363,0.037239758,0.036852064,0.057777772000000005,0.020437415,0.047995366,0.032783171,0.039540635,0.027048885,0.040277939,0.023833541,0.26625699399999997,0.03570207
5,15,0.021618494,0.029938567000000003,0.013198604,0.058001105,0.046550290999999994,0.022118798,0.047056905999999996,0.024644829,0.024341257999999998,0.034216435,0.014654891000000001,0.035089727,0.013752626,0.022982804,0.033781419,0.024303994,0.016229474,0.041109401000000004,0.033978654,0.038346925,0.053555359000000004,0.020105034,0.048014072000000005,0.031948781,0.036196026,0.026853307000000003,0.032059042,0.024513247999999998,0.264265034,0.033808414
6,18,0.016992959,0.030764301,0.013277424,0.050921978,0.044949935,0.023614414,0.042739121,0.024765172000000002,0.025577557,0.027285642000000002,0.02090504,0.035168948,0.012078126000000002,0.023710125,0.035596901,0.021085176,0.016522224,0.040538617,0.031463241,0.033189619,0.047559867,0.01828297,0.045632060999999995,0.035873481,0.031876807,0.029212532000000003,0.029711672,0.02078947,0.254798386,0.029740093
7,21,0.015789493,0.02956918,0.015417533999999998,0.053878943,0.051740032000000005,0.023269162000000003,0.042368507,0.025569141,0.02831874,0.02504291,0.02262069,0.033178544,0.010902982,0.032071847,0.028198551000000002,0.02162724,0.017776621,0.039286911,0.030152859,0.033131254,0.048519605,0.019186206,0.042062582,0.035002289,0.026678655,0.020787308,0.037151834,0.020172601999999998,0.22898801800000002,0.030966534
8,24,0.014462582,0.02678605,0.015453099,0.054094632000000004,0.050036037,0.024811597,0.037900281,0.024083689,0.031747273,0.023276364,0.024430717,0.034160437,0.010426125999999999,0.031778084,0.027718721,0.021114418,0.017075388,0.03456773,0.027588779,0.035960677,0.044613405999999994,0.017715714,0.040224928,0.034653747,0.025442585,0.020232857,0.02714458,0.01957808,0.209027613,0.028060407000000002
9,27,0.010284698,0.028447951000000003,0.019365164,0.051956157999999995,0.04537667,0.025985391,0.037876732999999996,0.02521412,0.031702526,0.019920471999999998,0.019877415,0.0340344,0.012125628999999999,0.035298167000000005,0.02856384,0.022164486,0.018826993,0.03690214,0.028749632,0.039307501,0.039132724,0.016266613,0.036022309,0.042880335,0.023128662999999997,0.021694597000000003,0.039991803,0.020555731,0.217175626,0.028388313
