Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,4.189513,3.424752,3.838626,4.05753,3.479013,2.804267,4.07722,5.629652,5.75133,4.444922,4.170878,4.10629,3.183146,3.708304,3.819808,3.865161,3.695602,3.750933,3.100817,3.38742,3.212344,3.251756,2.147079,3.021653,3.257826,5.41477,5.295002,5.665854,4.828969,3.770085,2.71794,3.70451,4.430877,4.061043,2.824193,3.461076,3.339836,4.824644,5.499823,3.875838,5.537785,3.476024,1.361868,1.333239,2.33082,1.421168,1.595864,1.079766
3,5.534803,4.532206,5.298083,6.489011,5.228479,5.306149,5.678555,7.320591,6.559829,7.622552,6.681668,6.357695,3.772445,4.149708,5.600544,6.132972,6.062457,4.389425,3.955063,4.697933,4.444088,5.416842,3.051837,4.312794,4.261796,7.274867,7.627893,8.119673,5.930792,3.886984,3.99172,5.576665,6.996588,5.690088,3.75478,3.965808,4.277199,6.50559,7.542552,5.22055,6.574314,3.824468,1.835733,2.254531,3.359678,1.945696,1.968422,1.240037
6,5.620864,4.676293,5.481057,6.832735,5.694642,5.209381,5.631397,7.243074,6.859771,7.960988,6.395437,6.312828,3.728686,4.116617,5.703125,6.224041,6.577106,4.908566,4.093921,4.738119,4.317999,5.245946,3.10015,4.48667,4.450689,7.170897,7.6705,8.12047,6.443339,3.496033,4.218256,5.934609,7.248074,5.725911,3.939546,3.931449,4.311899,6.331365,7.682178,5.33694,6.793855,3.865867,1.703862,2.300476,3.335276,1.994312,1.985108,1.227547
9,6.266959,4.986418,5.747044,6.652856,5.871394,5.532344,6.108319,7.57943,7.485704,7.929308,6.853845,6.189866,3.664613,4.237006,5.932515,6.445995,6.4557,5.016731,4.2872,4.821419,4.719543,5.437351,3.234433,4.981812,4.514291,7.016893,7.305295,8.037011,6.415902,3.73037,4.148539,5.602601,7.220136,6.073338,3.872795,3.920993,4.222862,6.020026,7.13896,5.583638,6.592745,3.796347,1.650732,2.250859,3.502225,1.991519,1.933199,1.212599
12,6.894136,5.460123,6.113175,7.241124,6.271299,5.317462,6.648812,8.587164,7.922031,8.64553,6.813818,5.714105,3.761169,4.266539,5.893407,6.643243,6.514552,4.918908,4.418585,5.363863,4.767203,5.551291,3.117306,4.272996,4.132195,7.192796,7.496813,8.059917,6.492084,3.641736,4.49504,5.632709,7.523856,6.025754,4.066271,3.794533,4.054662,6.139732,7.515973,5.565283,6.543818,3.698759,1.682328,2.28895,3.588362,2.035363,2.01442,1.315089
15,7.370201,5.779892,6.357603,7.464291,5.988558,4.898079,7.376203,8.971004,8.359116,8.811522,6.681698,5.171289,4.091212,4.319578,6.117288,6.733728,6.772199,4.382618,4.584403,5.656255,5.079992,5.61767,3.180657,3.630134,4.517516,6.920072,7.686313,8.133475,6.394732,3.863446,4.559628,6.008166,7.512831,6.118873,3.799989,3.59677,4.183868,6.220141,7.671214,5.416227,6.292795,3.651881,1.937077,2.489885,3.487231,2.03191,1.974037,1.177892
18,7.625253,6.008196,6.948231,7.361194,5.630615,4.323508,7.801558,9.615688,8.570242,8.911304,6.322229,5.144504,4.48334,4.82223,6.346601,6.827029,6.867655,4.161658,5.116042,5.98777,5.043987,6.036416,3.126062,3.900331,4.806212,7.106218,7.773459,7.686131,6.437625,3.561532,4.675025,6.021642,7.394611,5.826102,3.607787,3.509024,4.601559,6.405551,7.500113,5.695575,6.023797,3.552919,1.966821,2.183933,3.675479,1.954521,2.007082,1.223814
21,7.924065,6.585931,7.511374,7.381476,5.580065,4.138667,8.521475,10.19575,9.068092,8.90694,6.113357,5.020905,4.789982,4.894027,6.698263,6.818045,6.488427,3.952376,5.632193,6.409839,5.167358,5.661407,2.987644,3.861823,4.723853,7.412147,7.691518,7.704615,6.384593,3.422605,4.671178,6.159332,7.510221,6.083628,3.575668,3.428023,4.726296,6.49974,7.789061,5.426258,5.826276,3.330753,2.016377,2.549731,3.594858,1.956547,2.019481,1.198061
24,8.062543,7.055531,7.797954,7.130333,5.324329,3.984959,9.510543,10.68684,9.565472,8.742518,5.958162,4.952704,5.023105,5.311438,7.125461,6.942896,6.096284,3.678901,6.324635,6.729509,5.392871,5.811336,2.782922,3.793562,4.814961,7.633243,7.901969,7.574559,6.131295,3.463094,4.802919,6.363728,7.595668,6.079143,3.536127,3.128285,4.873176,6.558281,7.592663,5.598101,5.58209,3.285977,2.20587,2.628076,3.812091,1.921127,1.927394,1.261632
27,8.45798,7.459162,7.966398,7.022083,5.220542,3.947005,10.08762,11.69763,9.907602,8.859152,5.874073,4.961036,5.337927,5.449902,7.523985,7.035681,5.662256,3.731964,7.101385,7.048323,5.551048,5.862501,2.964046,3.880732,4.731684,7.957186,7.961275,7.801778,5.778624,3.505252,4.88779,6.841385,7.463175,6.021937,3.501299,3.132049,4.89748,6.926673,7.803797,5.592979,5.415832,3.162294,2.423666,2.796656,3.780033,1.864347,1.886678,1.221151
30,9.643147,8.631536,8.318492,6.772108,4.987905,3.898814,11.16641,12.60779,9.999317,8.856709,5.955643,4.913126,5.389471,6.00054,7.645353,7.418384,5.587523,3.697643,7.660067,7.58695,5.889195,5.755216,2.787043,3.690336,5.105517,7.983918,7.641802,7.538675,5.730768,3.099565,5.53333,7.080837,7.185762,6.156509,3.386334,3.073683,5.369455,7.010345,7.869272,5.567734,5.306301,3.013981,2.64656,2.800685,3.73248,1.877147,1.898902,1.203448
33,10.61192,9.111085,8.737835,6.374085,4.886477,3.936161,12.06402,13.35517,10.37811,8.371781,5.682926,4.873616,5.838167,6.237791,7.856031,7.195338,5.388303,3.70127,8.086908,8.549072,5.996602,5.56671,2.830688,3.514009,4.768061,8.750957,7.878081,7.629138,5.606113,3.81587,5.983619,7.324067,7.587405,5.436357,3.280962,2.93663,5.189963,7.215977,8.100415,5.658773,5.193931,2.893637,2.909185,3.035273,3.807061,2.0019,1.86292,1.306416
36,11.75305,9.816227,8.891286,6.032402,4.744652,3.855646,13.10495,14.14103,10.61208,8.297199,5.591476,4.872167,5.701622,6.361361,8.11446,7.380923,5.391103,3.489576,8.853309,9.491604,5.969642,5.550267,2.651007,3.52143,5.299464,9.042999,7.880919,7.25142,5.228251,3.956664,6.215581,7.702415,7.411699,5.500581,3.292518,2.997493,5.350387,7.358288,8.154896,5.485299,5.054633,2.863498,3.037747,3.105347,3.72518,1.863155,1.738448,1.193258
