Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,2.402617,2.728229,3.179496,2.20459,2.138945,1.594836,2.424931,2.95685,1.669444,2.491191,2.945412,3.901828,2.835531,2.479496,3.025961,1.692441,2.710883,1.76039,2.958711,4.126113,1.088475,3.889758,4.52524,2.895354,3.146102,3.458687,2.797459,2.497576,2.55173,3.137617,3.604711,5.403463,3.455426,6.373914,5.465728,4.665101,2.14224,3.235085,2.590212,2.74467,3.039158,2.613414,2.704498,4.234952,3.633768,4.43904,5.495656,4.009727,2.349555,1.451681,1.92866,3.385428,2.827865,2.104748,2.592534,3.422595,3.143524,3.806357,3.100739,2.885042,1.910699,2.873876,1.836552,1.774288,2.23527,1.775192,2.628865,2.619373,2.072207,2.915585,1.915941,1.777514,3.475367,1.842647,2.268135,2.2905,2.736031,2.264071,2.294273,2.850367,1.595689,2.361147,4.231742,2.065327,1.9892,1.581485,2.292941,1.662017,1.255566,1.06039,2.054196,1.873839,0.9050617,2.118799,2.02985,1.848025
3,2.901534,2.867525,3.005729,2.235833,1.79049,1.274073,2.8048,3.164079,1.74021,3.061677,3.085101,2.928885,2.877633,3.211986,3.26346,1.846181,2.498019,1.673661,2.815659,4.410306,1.270334,4.188719,4.198928,2.464062,3.284442,4.545523,2.798978,2.920331,2.355701,2.607319,3.828466,5.536392,4.069414,7.06659,5.400834,3.85049,2.535546,3.112622,2.775025,3.109839,2.783271,2.068417,2.835258,4.825124,3.727037,4.769535,5.1079,3.179701,2.718463,2.447655,2.169027,3.572477,2.744465,2.031421,2.996613,3.777214,3.351367,4.482285,3.020958,2.891683,2.419604,3.675784,2.039325,1.997514,2.378869,1.63593,3.030724,2.9954,2.679862,3.409534,1.980578,1.820128,4.170878,2.063961,2.928868,2.528699,2.841268,2.377571,2.234553,3.154006,3.580245,2.564518,4.58882,2.209507,2.764781,2.045318,2.688996,2.098448,1.270504,1.111591,2.286642,2.46471,1.430254,2.62726,2.238633,1.717145
6,2.751294,2.698385,3.211132,2.351023,1.713987,1.162229,2.786088,3.404806,1.883383,3.320825,2.875106,2.926887,3.388706,3.28516,3.40023,1.916674,2.210873,1.570336,3.414315,4.302731,1.260363,4.813583,3.892011,2.62289,3.422715,4.263037,3.023571,2.997978,2.044891,2.342862,3.404857,5.700035,3.60425,7.202183,5.019377,3.393691,2.777364,3.59153,2.97003,3.178813,2.456276,1.816645,2.793498,5.22939,4.286853,5.216414,4.590168,2.95697,2.681483,2.570749,2.275254,3.365043,2.225265,1.834401,2.768879,4.006143,3.435144,4.2846,2.510961,2.551013,2.366252,3.612513,1.987578,1.876554,2.002687,1.583738,2.783032,3.059492,2.770689,3.32552,1.648069,1.70574,4.304199,1.64042,2.616009,2.332567,2.614456,2.228406,2.164144,3.342165,4.034006,2.519788,4.085258,1.995073,2.913724,1.767322,2.771372,2.168856,1.125335,1.051648,2.168088,2.50688,1.439678,2.773659,1.797387,1.407035
9,3.312783,3.153904,3.389065,2.708544,1.995858,1.06686,3.222195,3.705406,1.919338,3.39492,2.902081,2.798927,3.879941,3.705013,3.861775,1.908565,2.157503,1.571651,4.228464,4.86859,1.220942,5.580747,4.144261,2.578432,3.769138,4.657264,3.070487,3.228717,1.766537,2.263696,3.965731,6.14816,3.620537,7.924326,4.968483,3.113561,3.208366,3.955966,2.93317,3.382679,2.438094,1.868632,3.406376,5.943543,4.719614,5.703074,5.000392,3.026405,2.774906,2.691283,2.517004,3.269026,2.152313,1.754927,2.892673,4.347393,3.537068,4.602546,2.471369,2.290773,2.376479,4.005938,1.827862,1.95094,1.752571,1.473227,2.966479,3.3331,2.568854,3.316761,1.560281,1.585395,4.259639,1.510155,2.777467,2.472581,2.357169,1.978512,2.194141,3.43511,3.842278,2.393654,3.590608,1.961712,2.886425,1.990019,3.047694,2.048545,1.155656,0.9073836,2.505702,2.658674,1.864005,2.877035,1.808587,1.327459
12,3.578999,3.507686,3.792733,3.117403,2.024489,1.159173,3.19901,4.060042,2.272027,3.235358,3.098998,2.776442,4.730216,4.489217,4.391714,2.394166,2.377537,1.91705,4.733835,5.224797,1.319111,6.238185,4.0681,2.482569,4.430896,5.599936,3.918525,3.918798,1.857483,2.582017,4.72687,7.146355,4.044522,9.06395,5.046677,3.254958,3.319561,4.75282,3.273038,4.209991,2.717422,1.812189,3.70882,6.714789,5.655526,6.555432,4.943284,3.153682,2.777023,2.922534,2.551696,3.414332,2.056364,1.667873,2.970269,4.201404,3.821791,4.616546,2.648465,2.089502,2.610888,4.549654,1.713901,2.068707,1.642452,1.367205,3.492816,3.558512,2.985259,3.556207,1.473158,1.435462,4.235413,1.847513,3.013293,2.283722,2.245889,1.950001,2.678,3.593169,3.785324,2.418972,3.599179,1.60974,3.163004,2.173637,2.993932,2.257498,1.159036,1.014566,2.78071,3.166914,2.00226,2.95236,1.851388,1.323635
15,3.964963,3.943007,4.032759,3.154706,2.039786,1.313357,3.69972,3.638088,2.641175,4.001294,3.472653,3.113441,5.012326,4.98011,5.0715,2.589017,2.346208,1.996012,5.33968,5.920717,1.406728,7.391827,4.036157,2.636292,4.776807,6.617696,4.098182,4.026545,2.088051,2.759933,5.479284,8.011687,4.457052,9.842453,5.137777,3.431866,3.885063,5.087037,4.063695,4.5663,2.625656,1.969959,3.929281,7.142957,5.972635,7.585039,5.21493,3.450782,2.783049,2.8987,2.735553,3.827937,2.037669,1.477051,3.062377,4.313264,4.057087,5.212351,2.528136,1.997617,2.913929,4.794956,1.721157,2.42097,1.756276,1.352898,3.482555,3.437124,3.284374,3.863688,1.662324,1.37219,4.420925,1.971205,3.041155,2.24944,2.246913,1.679278,2.751772,3.865412,4.074536,2.58789,3.352511,1.651671,3.545519,2.395515,3.392752,2.433262,1.276087,0.8888767,2.799064,3.561004,2.30537,3.163277,1.731998,1.73403
18,3.798162,4.091524,3.976829,3.028163,2.379432,1.237998,3.992894,4.437981,2.93807,3.908093,3.927215,3.084281,5.232804,5.662543,5.334336,2.904932,2.217804,2.155676,5.733719,6.380231,1.661198,7.57302,4.48756,2.615446,5.066823,7.159705,4.43187,4.226911,2.215636,2.934041,5.54749,9.030334,5.128233,10.10116,5.504295,3.683843,4.183067,5.355626,4.639696,5.349685,2.563118,1.923897,3.883577,8.368064,6.141024,9.039076,5.287898,3.560441,3.08377,2.941177,2.929073,3.87487,2.016243,1.486202,3.344607,4.424511,4.388965,5.62488,2.556921,2.071712,3.111239,4.65151,2.040981,2.358774,1.527774,1.466551,3.845095,3.647119,3.59672,4.148291,1.823116,1.316055,4.514997,2.135172,3.133707,2.607524,2.39408,1.723769,2.695278,4.068287,4.078104,2.700861,3.362926,1.849288,3.981729,2.29441,3.204098,2.52677,1.236052,0.8993253,2.989289,3.53688,2.277883,3.270614,1.787963,1.777651
21,4.006825,4.600514,4.410852,3.099783,2.142069,1.299152,4.142554,4.219279,2.605902,4.049747,4.049559,3.10045,5.30311,6.058767,5.738072,3.152606,2.318038,2.08701,5.973865,7.500188,1.670212,8.396524,4.502943,2.817314,5.148926,7.433058,4.707031,4.343176,2.167474,2.952018,5.814064,9.181549,5.79245,11.02288,5.272618,4.295629,4.947245,5.688852,5.265653,5.33688,2.652187,2.086873,3.917347,9.56963,6.920618,9.502875,5.522102,3.595082,2.961494,3.005491,3.420256,4.498333,2.080266,1.610167,3.313688,4.689804,4.259673,5.962973,2.596102,2.180483,3.243707,4.846857,1.893131,2.497866,1.54022,1.555295,4.014543,3.45768,3.659958,3.932542,1.625976,1.526784,4.686117,2.239128,3.521396,2.554974,2.458274,1.629169,2.678581,4.496234,4.184417,2.727887,3.324495,1.925979,4.338703,2.880979,4.006433,2.766933,1.053185,0.8617481,3.285074,3.658626,2.772601,3.236809,1.751034,1.746493
24,4.23053,5.15695,4.778071,3.233702,2.218726,1.357268,3.941078,4.871493,3.335319,4.346318,3.528293,3.124863,5.978883,6.176041,6.07164,3.30452,2.831348,1.926287,6.6872,8.225883,1.730445,9.16357,4.458896,2.889293,5.574687,8.034496,4.927543,4.260169,2.44873,3.049811,5.677328,9.024513,5.812783,11.22224,5.408278,3.919072,5.109692,6.712808,5.87375,5.189456,2.749348,2.234723,4.486161,9.730216,7.948552,9.246868,5.111809,3.442059,3.640017,3.164301,3.782063,4.727467,1.978922,1.839881,3.575926,5.428458,4.651271,5.970006,2.692325,2.348103,3.578675,5.024516,2.149001,2.581573,1.710896,1.520518,4.354529,4.052683,3.921342,4.510456,1.507338,1.653737,4.880951,2.426621,3.860307,2.204095,2.52397,1.662615,2.383751,4.609751,4.557781,2.616214,3.672267,1.83003,4.557149,3.122217,4.174736,2.675491,1.132078,0.902774,3.609611,3.827391,3.019798,3.175245,1.731555,1.667583
27,4.349391,5.482237,5.429107,3.912584,2.204846,1.384841,4.538745,5.498183,4.082543,4.743772,3.71302,3.615876,6.399079,6.798872,6.298418,3.198532,2.940887,1.867778,7.598732,8.375731,1.968798,9.017291,4.424579,3.149346,5.826527,8.205258,5.484542,4.800283,2.117929,3.073081,6.420625,9.957881,6.137337,11.85504,5.562718,3.996497,5.855944,7.892144,5.939036,5.979619,2.530697,2.165801,5.109437,10.39288,8.334414,10.5467,5.191727,3.490511,3.521191,3.385991,3.816788,4.986649,2.161703,1.763429,3.780645,5.357367,4.889897,6.766945,2.730312,2.458462,3.790616,5.493318,2.105602,2.717097,1.571941,1.384021,4.608248,4.553342,4.162598,4.553581,1.554339,1.701472,5.432043,2.409463,3.78418,2.226067,2.154123,1.778607,2.820114,5.07792,4.287229,2.765738,3.505108,1.808262,3.892779,3.148645,4.49946,2.775383,1.131634,1.073911,3.473506,4.132294,3.159999,3.591445,1.728106,1.622306
