Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,4.699367,5.054223,6.266109,6.022689,5.619848,3.601474,7.354555,6.168673,7.069629,5.221961,5.063214,3.023223,7.101734,6.237631,9.445704,8.314765,7.533697,4.490617,11.09298,5.87729,4.050997,6.388464,4.415117,2.804707,8.058287,6.577175,6.729084,6.313989,5.725577,4.002973,5.749046,4.885537,5.303273,5.004492,4.264011,2.674878,6.97664,7.01093,7.12625,6.46545,6.334218,4.485434,3.460097,2.924839,3.26945,3.276932,4.324768,2.671524
3,5.785886,6.090487,7.036576,6.267672,5.460707,3.056345,8.782635,7.367879,8.518644,6.54715,4.956635,2.521731,7.567881,7.111917,10.71226,9.608365,7.692133,3.9417,12.28224,6.950841,5.281754,6.978946,4.773979,2.343454,11.28381,8.774395,7.892643,7.85953,6.476377,4.241832,8.364057,6.996756,7.809237,6.982027,5.087268,2.900459,8.891947,8.975566,8.983973,7.940675,7.399596,4.820857,5.153905,4.319282,4.603972,4.750464,5.281928,2.954363
6,5.467331,5.861818,7.102713,6.502715,4.935594,3.000672,8.842464,7.943527,9.164345,6.662417,4.362594,2.373479,7.079509,6.667987,10.40574,9.107845,6.067367,3.305888,10.12179,7.090762,5.163329,7.217707,4.064844,2.102667,10.33314,8.272402,7.946791,7.503399,5.078641,3.630194,8.669819,6.889554,7.793917,5.968466,4.238524,2.490204,8.753095,8.055039,8.690192,8.210812,6.996816,4.057036,5.113256,4.310616,4.827633,4.758697,4.160794,2.478003
9,6.006019,6.283091,7.374823,6.859657,5.403881,2.93638,9.650311,8.58186,10.29747,7.478321,4.439724,2.441345,7.416154,7.153066,11.7347,9.600163,5.383871,3.233074,12.72822,7.668238,5.54859,8.181985,3.78061,2.111856,9.886416,8.340193,7.921113,7.385961,4.598691,2.942162,9.051717,7.302958,7.695753,5.124684,3.717835,2.235349,8.54763,8.064843,8.609289,7.164114,6.03917,3.60907,5.80635,4.363239,4.993596,4.031761,3.659955,2.41566
12,6.475839,6.832417,7.698992,7.2937,5.967639,3.225494,10.47681,9.759828,11.69921,8.694009,4.408554,2.465027,8.126456,7.677579,12.60622,10.76198,5.450911,3.471896,13.76704,8.218938,6.191482,9.309827,4.119303,2.051282,10.53361,8.247575,8.351392,7.525373,4.261386,2.697733,9.57362,7.475187,7.87853,4.976485,3.730719,2.168644,8.385014,7.90212,8.627804,6.333815,5.538748,3.390592,5.902671,4.833309,4.820652,4.077463,3.425906,2.428226
15,6.156252,6.897407,7.991195,8.130986,6.270085,3.329865,11.57298,10.54974,12.71827,9.676444,4.497734,3.01257,8.680267,8.325245,13.61112,11.86828,5.608595,3.68551,13.33336,9.228174,6.993348,10.38817,4.199165,2.050303,10.92693,8.631871,8.863667,7.586282,4.202906,2.651113,10.07092,8.007615,8.192183,5.119677,3.681026,2.071959,8.44656,8.184854,8.660751,6.036879,5.643105,3.260011,5.86996,4.88238,4.913755,3.876597,3.312975,2.472342
18,6.463303,6.921309,8.561895,8.998071,6.740694,3.310031,12.28194,11.53795,14.20411,10.45414,4.607569,3.010711,9.279704,9.251886,14.65079,12.10987,5.858115,3.85098,16.54134,10.38729,8.184193,11.70511,4.079519,2.280042,11.11093,8.850251,9.364772,7.930339,4.156757,2.623607,10.10571,7.999913,8.372206,5.456898,3.673097,2.108115,9.219811,8.700596,8.94598,5.844684,5.268118,3.034598,6.233989,4.97178,5.114114,4.432698,3.268669,2.399544
21,6.703893,6.993189,8.754006,9.664948,7.211432,3.224743,13.05001,12.26812,15.55212,11.48064,4.648703,2.96164,10.4824,10.10828,16.18092,12.56324,6.381316,4.11796,17.01344,11.58944,8.949682,12.34271,4.306162,2.432513,10.91836,9.159154,8.826296,8.20792,4.178003,2.991051,9.913316,8.001021,8.843528,5.425415,3.664295,2.154242,9.623177,9.584077,8.952588,5.913401,5.28856,3.434427,6.158899,5.321712,5.213023,4.461524,3.367342,2.374026
24,7.039588,6.964726,9.715325,10.1651,7.51667,3.636925,13.88611,13.17472,16.4238,12.17943,4.696089,3.107533,10.99589,10.72869,16.96117,13.0204,6.598148,4.370166,17.69805,12.84621,9.33527,13.4018,4.287542,2.550809,11.13173,8.703304,8.788213,8.340064,4.332743,3.287328,10.64209,8.538137,8.949553,5.775885,3.625194,2.202941,10.02493,10.02895,9.44373,5.877638,5.182777,3.441134,6.669125,5.276063,5.449863,4.532646,3.456409,2.496934
27,7.748375,7.18212,10.51361,11.10978,7.534259,3.804648,14.68792,14.66071,18.58844,13.10072,4.927763,3.171332,11.83567,11.39985,17.73632,13.30548,6.692109,4.396041,15.8557,14.01995,10.10447,14.57064,4.121503,2.708766,11.55403,9.639263,9.590776,8.596792,4.304425,3.024475,10.95613,8.341239,9.149471,5.52726,3.591094,2.273251,10.18561,10.49351,9.844418,5.969126,5.293325,3.43602,7.040181,5.755656,5.701759,4.422143,3.28389,2.637462
