Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
0,4.382221,4.751318,5.409917,3.693182,4.10624,4.637647,5.49907,4.054117,2.827182,2.753804,3.2049,2.946453,3.534797,4.863486,5.099824,4.52384,4.114145,4.619482,3.480011,4.254449,3.761166,3.524076,3.631583,2.722338,3.777248,4.859832,5.113124,4.997251,4.654311,4.084763,3.870022,4.360607,3.834032,3.168177,3.068779,2.337621,4.364398,4.843374,4.802126,5.82755,5.047275,5.192171,5.280967,6.017912,4.251069,3.162526,3.328046,2.510705,2.746377,3.16466,3.442194,2.830887,2.964396,2.78281,2.53575,2.483695,2.267418,2.014809,2.495919,1.771522,3.024322,3.842842,3.903757,3.547995,3.621544,4.384663,4.009318,4.595035,3.288847,3.385582,3.510093,2.240494,4.074536,5.000597,4.179653,3.548524,4.751625,3.559963,3.538434,3.542942,2.733794,3.333476,3.139443,2.219716,2.90133,3.89167,3.711945,3.66858,3.080696,3.833981,3.740456,3.639676,2.762443,2.88581,3.033797,2.401353
3,4.679322,5.21527,5.821439,4.271983,4.661345,4.994092,5.999507,4.593173,3.07653,2.953897,3.571282,3.23891,4.177536,5.471754,6.248259,5.879998,5.273027,6.257768,4.012392,4.869051,4.551908,4.391492,4.544737,3.353058,4.161846,6.188179,6.464622,6.374717,5.992577,4.945555,4.599797,5.348745,4.893022,4.053076,3.962829,2.798193,4.622897,5.757962,5.815635,6.730633,6.434778,6.517154,5.832058,6.878124,5.111707,3.863175,4.093282,2.934058,3.010237,3.602935,3.852983,3.198293,3.436441,3.107568,2.883744,2.960248,2.641892,2.344023,2.776647,2.033418,3.531878,4.338891,4.882829,4.347957,4.551003,5.237909,4.51684,5.56726,3.9665,4.175948,4.295168,2.745421,4.646815,5.94998,4.915148,4.26517,5.568198,4.114913,4.402811,4.431442,3.246439,4.21175,3.890253,2.900612,3.599862,4.755825,4.458861,4.621053,3.814245,4.335527,4.43875,4.391424,3.337231,3.532885,3.614886,2.56882
6,5.062639,5.537724,6.118881,4.268551,5.036108,5.19789,6.295602,4.786027,3.204781,3.174152,3.710425,3.380203,4.215438,5.708486,6.858201,6.052177,5.859801,6.244759,4.298138,5.524851,4.808119,4.847727,4.857698,3.737246,4.480698,6.408555,6.747825,6.323174,6.292989,5.15123,4.591516,5.667186,5.330597,4.207686,4.016711,2.959496,4.985505,5.997151,6.080843,7.373234,6.571838,6.790951,6.341851,7.286914,5.442509,4.025332,4.143425,3.042658,3.182672,3.931295,4.000014,3.139819,3.573109,3.309659,3.045577,3.111291,2.803383,2.358688,2.896276,2.250686,3.744946,4.505179,5.060933,4.678401,4.738906,5.448143,4.974698,5.759397,4.241303,4.303874,4.393933,2.854533,5.102898,6.259066,5.245882,4.486366,5.7567,4.096184,4.68149,4.694568,3.420529,4.307562,4.124491,2.97126,3.853375,5.299252,4.850032,4.797499,4.063866,4.639884,4.793812,4.742952,3.609849,3.774396,3.791043,2.593286
9,5.107148,5.818623,6.736318,4.431135,4.965205,5.684208,6.467439,5.111348,3.421434,3.318451,3.987055,3.715667,4.539257,6.156817,6.987748,6.578292,5.528026,6.652234,4.537055,5.599254,5.028802,4.865944,4.98769,3.717357,4.703685,6.707191,6.748217,6.254456,6.152429,5.17083,4.8627,5.790691,5.190549,4.266895,3.979424,2.836743,5.284313,6.297701,6.113485,7.029065,6.381135,6.905748,6.990139,7.60592,5.447562,4.049098,4.134445,3.109344,3.408818,4.069294,4.383502,3.389269,3.823174,3.695026,3.290742,3.219224,2.993847,2.471283,3.132392,2.226989,3.942188,5.003978,5.466052,4.506495,4.809928,5.317297,5.21189,6.118949,4.21525,4.218869,4.433508,2.793635,5.223244,6.194156,5.142506,4.424152,5.649414,4.040937,4.946699,4.958803,3.592333,4.263139,4.227542,2.947016,3.911218,5.51162,4.849127,4.594624,4.040254,4.193909,5.084407,4.70505,3.670321,3.86688,3.760363,2.762887
12,5.684908,6.539194,7.561975,4.967595,5.728017,6.379189,7.12206,5.745977,3.820152,3.632334,4.486553,4.093675,4.915711,6.889512,7.726316,6.879916,5.42057,6.541023,5.053523,6.580477,5.370052,5.23306,4.677717,3.702879,5.27103,7.062919,6.912236,6.311974,6.225706,5.104229,5.389413,6.304018,5.515649,4.2377,3.908742,2.791091,5.924934,6.905389,6.700345,7.110963,6.233269,6.818983,7.608566,8.473097,5.979106,4.07078,3.94842,3.076565,3.688828,4.274851,4.682259,3.87219,4.007372,3.771938,3.553321,3.36127,3.211747,2.781001,3.257741,2.316075,4.168488,5.431463,5.727965,4.61086,4.551293,5.214331,5.691225,6.713407,4.636145,4.292606,4.241611,2.848745,5.481265,6.606002,5.338587,4.359413,5.423149,4.034073,5.329606,5.120755,3.606981,3.990179,3.858958,2.892878,4.177895,5.837061,4.856469,4.669214,3.912003,4.741603,5.545679,4.922455,3.647102,3.79024,3.82891,2.604451
15,6.625856,7.244438,8.423824,5.296896,6.473056,7.100309,7.98432,6.30687,4.299794,4.119164,5.071125,4.508338,5.523963,7.915858,9.289824,8.015512,5.291466,6.366248,5.700888,7.168089,6.525794,5.81963,4.548067,3.472602,5.9382,7.89508,7.800258,6.71834,5.89924,5.052839,6.136892,7.133158,6.109969,4.609767,3.793245,2.822248,6.888641,7.632586,7.312131,7.693673,6.20375,6.885431,8.807757,9.468865,6.488915,4.093811,3.83142,3.111956,3.880214,4.677069,4.940741,4.345959,4.46627,3.96189,3.948693,3.728436,3.391864,3.072091,3.487949,2.518644,4.627455,5.84599,5.911788,4.775442,4.380378,5.046523,6.429947,7.384572,4.756628,4.716677,4.384338,2.680339,5.815225,7.37257,5.684106,4.328357,5.414202,3.95081,5.817342,5.538612,3.652361,3.920609,3.897611,2.850606,4.480134,6.39336,4.901542,4.839635,3.903228,5.073532,5.910098,5.350657,3.761695,3.819828,3.633085,2.729816
18,7.051036,8.029135,9.160685,5.986088,7.226716,7.647935,8.544528,7.009192,4.819916,4.64591,5.458182,4.823723,6.005842,9.036378,10.49366,8.771307,5.674972,5.985867,6.361708,7.872494,7.499265,6.605267,4.79779,3.527917,6.362714,8.417592,8.619888,7.47748,5.966899,5.03278,6.554766,7.846167,6.762951,4.893602,3.745015,2.707673,7.59151,8.451431,8.012253,8.116788,6.451253,6.642606,9.555732,10.53825,7.076475,4.528552,3.963785,3.185728,4.381795,4.990029,5.288,4.670888,4.725196,4.306402,4.25672,3.851395,3.687547,3.371855,3.855988,2.528904,5.052533,6.369048,7.016891,5.377172,4.34053,5.037868,6.843979,8.528583,5.810496,5.193434,4.171526,2.61461,6.113297,7.646108,5.960224,4.615623,5.474827,3.843593,6.219252,5.772286,4.188207,4.145542,3.779347,2.909729,4.692638,6.720116,5.233248,4.988578,4.150697,4.936199,6.501533,5.635995,4.002796,3.941676,3.485474,2.591646
21,7.165442,8.326817,10.05084,6.060014,7.516355,8.132307,8.910995,7.40219,5.070254,5.000768,5.769009,5.3139,6.264222,9.721746,10.94458,9.8711,6.017417,5.771604,6.882956,8.550215,7.921953,7.541094,5.255887,3.321883,6.749771,8.880026,9.154965,8.027258,5.925139,5.02624,7.183454,8.541832,6.974005,5.094173,3.906574,2.578108,7.997159,8.830019,8.934933,8.404362,6.258809,6.370858,10.21524,11.05238,7.638118,4.76974,4.060058,3.068045,4.644545,4.95223,5.674921,5.043075,4.767349,4.62474,4.440849,4.169256,3.881819,3.584633,4.025622,2.680476,5.40756,6.943939,7.505292,5.817888,4.517558,4.679134,7.043337,8.714967,6.069643,5.446965,4.337491,2.558611,6.368365,7.9148,6.156151,4.74705,5.360183,3.68526,6.501755,5.92787,4.32262,4.310465,3.70725,2.768794,4.893671,6.67687,5.429415,5.085791,4.013108,4.700578,6.521593,5.959506,4.068407,3.85247,3.330061,2.572064
24,7.493222,8.645071,10.49479,6.375707,7.853389,8.708973,9.668326,7.88045,5.559816,5.172571,6.171107,5.504739,6.60764,10.07567,11.55005,10.10018,6.241583,5.397027,6.978103,8.856055,8.311689,7.860884,5.776179,3.200069,7.44873,9.35873,9.629913,8.325792,5.873631,5.050654,7.43357,9.011691,7.35261,5.4232,4.09545,2.541282,8.558664,9.469634,9.108033,9.049166,6.487619,6.248173,11.00171,11.82359,8.045355,5.14447,4.121657,3.107756,4.731547,5.261794,6.073228,5.115088,5.214758,4.893909,4.892425,4.315364,3.977751,3.545964,4.211767,2.866296,5.75967,7.364835,8.200922,6.082823,4.405236,4.349852,7.614216,8.970409,6.408879,5.988821,4.157322,2.535187,6.543737,8.169627,6.397576,4.734962,5.221127,3.652617,6.726671,6.216827,4.37681,4.269968,3.527166,2.731319,5.182013,7.02956,5.532311,5.233334,3.949461,4.541254,6.757437,6.235573,4.097004,3.978331,3.208093,2.540804
27,8.00397,9.305326,11.90689,7.033878,8.409159,9.526485,10.33833,8.392751,6.019467,5.568985,6.783968,5.936151,7.159996,10.98983,12.29427,11.47821,7.398434,5.314121,7.449499,9.494698,8.877294,8.695623,6.074304,3.046739,7.70204,10.0447,9.982262,8.676006,5.989435,4.958223,7.846218,9.585574,7.859399,5.600979,4.21752,2.619868,9.248899,10.18522,9.718042,9.679594,6.802765,6.072801,11.73236,12.85491,8.562849,5.281188,4.326462,3.075677,5.085518,5.551041,6.373316,5.572092,5.439077,5.19101,5.052533,4.606387,4.362981,3.888119,4.490497,3.072843,5.990118,7.784125,8.742812,6.946295,4.587488,4.338396,8.131983,9.53697,6.867095,6.46148,4.300375,2.335128,6.907745,8.480165,6.647351,4.907448,5.159715,3.538622,7.012282,6.347946,4.615299,4.431989,3.639009,2.721639,5.578629,7.550706,5.731705,5.345553,3.884414,4.348674,6.995123,6.40164,4.252383,4.024718,3.236434,2.557655
