Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,5.549083,2.645589,3.98694,3.486578,2.62259,2.499218,7.203875,4.899513,4.117656,4.22133,2.705586,1.642294,10.46738,7.740946,6.032303,6.223814,3.130463,2.087704,6.289336,6.43472,4.648453,3.885907,2.864189,2.357203,11.26775,7.701952,5.858055,4.090014,3.564036,2.237299,6.726497,5.892701,4.073533,4.001744,3.036616,1.847797,7.146594,4.259429,5.198408,4.446424,3.547175,2.951108,3.754181,2.317253,2.707066,2.197516,2.028609,1.635306
3,5.387635,2.441619,4.150406,3.711871,2.890997,2.732926,7.786624,5.449909,4.557739,4.734682,2.936835,1.725109,12.10496,8.134651,6.073984,6.307174,3.193989,2.162718,7.239454,6.912036,4.670215,4.25313,3.122041,2.615063,13.02836,8.547206,5.947873,4.067174,3.671844,2.30405,8.01395,6.723477,4.235899,4.045981,3.010506,1.993652,8.308945,4.689291,4.948926,4.118969,3.383823,2.972461,4.716986,2.649155,2.976838,2.220318,2.108039,1.669747
6,5.274993,2.387305,4.057317,3.938453,3.127511,2.946077,8.248053,5.753524,4.780581,5.026747,3.165148,1.779878,11.82302,7.858043,5.926224,6.264856,3.330404,2.304839,8.006764,7.176064,5.024494,4.435035,3.411754,2.738677,12.7329,7.734374,5.763327,4.05152,3.957286,2.347893,7.982567,6.733167,3.978054,4.007503,3.202616,2.04745,7.387099,4.312992,4.639681,3.867453,3.306844,3.097911,4.684723,2.74191,2.935227,2.23258,2.175109,1.860242
9,5.124646,2.270155,4.387899,4.207899,3.335094,3.110864,9.25323,5.966022,4.932551,5.749533,3.409432,1.976913,12.18619,7.988349,6.301408,6.290876,3.410722,2.481266,8.072559,7.399065,5.680619,4.845905,3.612082,2.894237,12.27478,7.698225,5.833986,4.0217,4.107215,2.330949,8.291265,7.039627,4.143485,4.050412,3.240291,2.111409,7.515797,4.327673,4.454514,3.776656,3.216935,3.103374,4.846891,2.914276,3.113975,2.228376,2.307897,1.924936
12,4.865026,2.229848,4.877265,4.652353,3.597612,3.231405,10.39505,6.619356,5.26544,6.291414,3.557965,1.921316,13.71069,8.988237,7.035173,6.679559,3.648762,2.600274,8.560978,8.216145,6.137076,5.552346,3.926024,2.936835,13.16286,8.173509,6.046993,4.206442,4.259581,2.376477,8.376304,7.03798,4.466866,4.301336,3.321663,2.219855,7.727849,4.179156,4.515133,3.880922,3.239061,3.219181,4.92752,3.108109,3.37411,2.238749,2.373851,1.948747
15,5.118447,2.168849,5.151287,4.983064,3.785777,3.198914,11.40577,6.883498,5.868556,7.061063,3.783387,2.079236,15.42286,9.994044,7.500448,7.292645,4.020281,2.728737,9.679305,8.613743,7.112244,5.960575,4.135912,3.049986,13.31537,8.673985,6.4574,4.509237,4.473658,2.416776,8.787916,7.434121,4.981827,4.756633,3.447698,2.283085,8.385136,4.456646,4.812381,4.055026,3.332741,3.425678,4.68857,3.282676,3.774494,2.355526,2.475066,1.945985
18,4.823604,2.099647,5.764466,5.429535,3.955693,3.324463,12.40108,7.56832,6.554078,7.596291,4.118248,2.150319,16.18865,11.04689,8.171696,8.430549,4.476253,2.941646,10.38892,9.204886,7.57606,6.510416,4.251802,3.119248,13.73539,9.801871,6.730405,4.86413,4.683812,2.528424,9.157766,7.864325,5.312963,5.143335,3.722843,2.419849,8.472085,4.534778,5.070135,4.275174,3.46559,3.596201,4.853925,3.33413,4.014468,2.583201,2.508908,1.958573
21,4.959124,2.071982,6.178673,5.771879,4.129099,3.3643,13.70033,7.987318,6.941781,8.474582,4.415026,2.213625,18.01554,12.27052,8.984723,9.322765,5.244687,3.296676,11.28906,9.847551,8.149851,7.306303,4.835995,3.327346,13.92369,10.42326,7.154462,5.422084,5.040884,2.574885,9.237074,8.032032,5.768267,5.835701,4.057757,2.402063,8.738595,5.039965,5.368757,4.53877,3.632372,3.723161,5.091495,3.496238,4.197883,2.707817,2.723054,1.983545
24,5.083019,1.980183,6.943671,6.125634,4.268579,3.602309,14.28438,8.737456,7.509196,8.948529,4.905834,2.48515,19.32878,12.83796,9.648793,9.956347,5.524801,3.455665,12.5453,10.889,8.889101,7.756706,5.533247,3.761215,14.34274,10.4776,7.576486,5.58961,5.249429,2.80017,9.877478,8.457456,6.146061,6.168734,4.378877,2.476735,8.785785,5.130572,5.481186,4.761694,3.590768,3.841017,5.274841,3.447622,4.45984,2.809427,2.926379,2.146252
27,5.021641,2.013039,7.897606,6.571795,4.487923,3.999718,15.76673,9.34162,7.658678,9.509602,5.572309,2.61633,20.35855,13.55378,10.11214,10.35197,5.888672,3.516103,13.30253,11.42439,9.694366,8.184443,6.498837,4.158866,14.61548,11.16862,8.483611,6.22625,5.545076,2.781655,10.4788,8.727274,6.243945,6.623333,4.778107,2.694386,9.35996,4.985211,5.689072,5.154246,3.692544,3.813897,5.669579,3.735469,4.497999,2.906787,3.176188,2.19332
