Elapsed,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM,WT UT 0nM,WT E 0nM,WT E/R 0nM,WT E/A 0nM,KO UT 0nM,KO E 0nM,KO E/R 0nM,KO E/A 0nM
0,4.189513,4.07722,3.183146,3.100817,3.257826,2.71794,3.339836,1.361868,5.549083,7.203875,10.46738,6.289336,11.26775,6.726497,7.146594,3.754181,5.323617,4.539536,6.055993,4.692804,5.460896,4.609792,5.035906,4.100401,4.657664,5.456048,6.986747,4.234836,6.355973,3.697499,4.568491,3.523304,4.699367,7.354555,7.101734,11.09298,8.058287,5.749046,6.97664,3.460097
3,5.534803,5.678555,3.772445,3.955063,4.261796,3.99172,4.277199,1.835733,5.387635,7.786624,12.10496,7.239454,13.02836,8.01395,8.308945,4.716986,5.981987,4.826434,6.212174,5.153124,6.045893,5.530758,5.950331,4.921799,5.420597,6.395748,7.06321,4.556631,7.786428,5.026193,5.767356,4.947582,5.785886,8.782635,7.567881,12.28224,11.28381,8.364057,8.891947,5.153905
6,5.620864,5.631397,3.728686,4.093921,4.450689,4.218256,4.311899,1.703862,5.274993,8.248053,11.82302,8.006764,12.7329,7.982567,7.387099,4.684723,6.55171,5.133486,7.013327,5.476732,6.302099,5.583387,5.771924,5.122999,5.51348,6.534826,7.032684,5.021807,7.666273,5.122878,5.622883,4.98446,5.467331,8.842464,7.079509,10.12179,10.33314,8.669819,8.753095,5.113256
9,6.266959,6.108319,3.664613,4.2872,4.514291,4.148539,4.222862,1.650732,5.124646,9.25323,12.18619,8.072559,12.27478,8.291265,7.515797,4.846891,6.726088,5.629825,7.704122,5.972943,6.38476,6.018007,5.670702,4.933257,5.574806,7.089859,7.578466,5.822779,7.854491,5.440075,5.647468,5.090849,6.006019,9.650311,7.416154,12.72822,9.886416,9.051717,8.54763,5.80635
12,6.894136,6.648812,3.761169,4.418585,4.132195,4.49504,4.054662,1.682328,4.865026,10.39505,13.71069,8.560978,13.16286,8.376304,7.727849,4.92752,7.266589,6.228624,8.220038,6.593132,6.433695,6.505082,6.141394,5.144291,6.189623,7.650324,8.152567,6.181003,8.183457,5.388796,6.063375,5.493464,6.475839,10.47681,8.126456,13.76704,10.53361,9.57362,8.385014,5.902671
15,7.370201,7.376203,4.091212,4.584403,4.517516,4.559628,4.183868,1.937077,5.118447,11.40577,15.42286,9.679305,13.31537,8.787916,8.385136,4.68857,7.951904,6.89095,8.663233,6.921802,6.564556,7.066367,6.518095,5.481786,6.595128,7.738844,9.225996,6.825087,8.354328,5.710129,6.373531,5.70984,6.156252,11.57298,8.680267,13.33336,10.92693,10.07092,8.44656,5.86996
18,7.625253,7.801558,4.48334,5.116042,4.806212,4.675025,4.601559,1.966821,4.823604,12.40108,16.18865,10.38892,13.73539,9.157766,8.472085,4.853925,8.14337,7.34941,9.367435,7.549428,6.552301,7.408353,6.677585,5.280107,6.999684,8.553685,9.679123,7.650658,8.339214,5.795507,6.545351,5.57879,6.463303,12.28194,9.279704,16.54134,11.11093,10.10571,9.219811,6.233989
21,7.924065,8.521475,4.789982,5.632193,4.723853,4.671178,4.726296,2.016377,4.959124,13.70033,18.01554,11.28906,13.92369,9.237074,8.738595,5.091495,8.353213,8.048536,10.06762,8.270286,6.712187,7.68648,6.832553,5.503662,7.62577,9.232325,10.75856,8.615648,8.397071,6.073801,6.648933,5.556588,6.703893,13.05001,10.4824,17.01344,10.91836,9.913316,9.623177,6.158899
24,8.062543,9.510543,5.023105,6.324635,4.814961,4.802919,4.873176,2.20587,5.083019,14.28438,19.32878,12.5453,14.34274,9.877478,8.785785,5.274841,9.794679,8.788174,10.98851,8.679729,6.757448,7.99203,7.263796,5.579495,7.695518,10.25405,11.03517,9.856209,8.253804,6.365496,6.926127,5.938478,7.039588,13.88611,10.99589,17.69805,11.13173,10.64209,10.02493,6.669125
27,8.45798,10.08762,5.337927,7.101385,4.731684,4.88779,4.89748,2.423666,5.021641,15.76673,20.35855,13.30253,14.61548,10.4788,9.35996,5.669579,10.51408,9.830805,11.36842,9.71024,7.174517,8.503059,6.952268,5.688351,8.715961,10.84426,11.66632,10.795,8.665751,6.366193,7.058832,6.211901,7.748375,14.68792,11.83567,15.8557,11.55403,10.95613,10.18561,7.040181
