Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,4.657664,4.484387,5.129882,5.63198,5.000501,4.852901,5.456048,5.495922,5.005136,7.433127,4.896448,6.289881,6.986747,7.014647,6.272908,7.518514,6.681235,7.324553,4.234836,5.197915,7.558358,8.06526,6.52632,10.14844,6.355973,4.507105,7.900777,7.516048,7.887719,11.14881,3.697499,6.092885,4.884831,5.224897,6.593739,5.284471,4.568491,8.523584,5.805151,9.428487,9.115857,8.303915,3.523304,2.616793,3.015218,3.390038,3.498559,2.616375
3,5.420597,5.238601,5.975447,6.145872,6.392106,5.895698,6.395748,7.002378,6.545048,8.452494,6.521198,7.54363,7.06321,7.823282,7.494673,8.938869,8.355087,8.407998,4.556631,5.923182,7.966898,8.943794,8.622364,12.04675,7.786428,6.324854,9.978549,9.42275,11.70908,14.06536,5.026193,8.293565,6.755521,7.215659,9.078472,6.912901,5.767356,10.26324,7.906112,11.36088,10.63567,9.294302,4.947582,3.660926,4.097579,4.106669,5.141325,3.41696
6,5.51348,5.594952,5.970758,6.191671,6.418641,5.603769,6.534826,7.033511,7.088697,8.460407,6.085001,6.86402,7.032684,7.396857,7.159751,8.368981,7.468882,7.149879,5.021807,6.46196,8.044029,9.163266,8.343128,10.66339,7.666273,6.006064,10.25302,9.42486,11.21563,14.9962,5.122878,8.50721,6.882436,7.534373,8.638677,6.526731,5.622883,9.617661,7.908768,11.03222,10.73465,8.391115,4.98446,3.588302,4.370933,4.268079,5.167791,3.407573
9,5.574806,5.842689,6.37948,6.556681,6.499619,5.703284,7.089859,7.605319,7.837752,9.18383,6.452248,6.752675,7.578466,8.378678,7.890337,8.723776,7.819913,6.790781,5.822779,6.911269,9.069078,9.127194,8.478307,10.40928,7.854491,5.797935,10.35385,9.677954,10.40609,10.68032,5.440075,8.861632,7.07765,7.975602,8.736477,5.711843,5.647468,9.442349,7.396258,10.96866,9.832429,7.582003,5.090849,3.775063,4.54138,4.389561,4.598608,2.904602
12,6.189623,6.043374,7.015149,6.930179,6.294685,5.779231,7.650324,8.530695,8.173008,9.768,6.452521,6.729828,8.152567,8.860244,8.360339,8.870868,7.720042,7.366665,6.181003,7.33356,9.643095,9.807851,8.176954,9.354012,8.183457,6.1125,10.18831,8.619237,9.154905,10.22924,5.388796,9.824902,7.447127,7.751281,7.855144,5.782152,6.063375,9.74815,7.496532,10.76476,8.870845,6.773944,5.493464,3.882356,4.467814,4.225859,4.091979,2.598802
15,6.595128,6.09551,7.344561,7.241965,6.310225,6.057904,7.738844,9.16678,8.230547,10.29512,6.640807,6.98573,9.225996,9.558497,8.942125,9.398493,7.689385,7.260692,6.825087,7.718623,10.27567,10.37452,8.17354,9.771839,8.354328,6.420173,10.13163,8.395061,8.716643,10.69973,5.710129,10.25938,7.503703,7.766114,7.382319,5.794074,6.373531,10.25239,7.962611,10.23011,8.492391,6.943162,5.70984,4.047476,4.65296,3.90134,3.859046,2.56839
18,6.999684,6.746188,7.822501,7.589293,6.121855,5.937553,8.553685,9.892714,8.677399,10.79901,6.641293,7.118435,9.679123,10.74154,9.616606,9.789285,7.650695,7.10162,7.650658,7.868824,10.8314,10.89753,8.122125,9.767559,8.339214,6.198136,10.46433,7.839262,8.148841,11.19153,5.795507,10.68767,7.353068,7.285884,7.29096,5.868192,6.545351,10.72872,8.570265,10.17669,8.049651,7.333278,5.57879,3.957529,4.561814,3.608569,3.541537,2.720846
21,7.62577,7.369837,8.070662,7.621368,5.858411,5.746338,9.232325,10.27524,9.124994,11.03208,7.111666,7.465163,10.75856,11.40297,10.08457,10.38996,7.981429,7.302176,8.615648,8.569749,11.13123,11.71661,8.378345,10.51745,8.397071,6.729821,10.2376,7.375369,8.123437,9.223727,6.073801,10.54398,7.353666,6.782412,7.593142,6.336305,6.648933,10.67129,8.225327,10.35364,7.716581,7.040985,5.556588,4.121875,4.410982,3.718912,3.495699,2.611679
24,7.695518,7.605365,8.098373,7.958855,5.608406,5.681916,10.25405,10.90992,10.07489,11.42677,7.466166,7.642212,11.03517,12.18492,11.05419,10.83538,8.074609,7.250783,9.856209,9.046261,11.51768,12.02198,8.924589,9.537571,8.253804,6.426395,9.366691,7.447325,8.045266,9.052552,6.365496,10.63132,7.641833,7.054886,7.941107,6.362437,6.926127,10.95781,8.38245,10.33542,7.494719,6.735246,5.938478,4.291875,4.490905,3.74097,3.531559,2.713243
27,8.715961,8.320402,8.256157,7.980647,5.624544,5.701273,10.84426,11.63194,10.21347,12.07175,7.866214,7.68569,11.66632,13.06638,11.31599,11.18336,8.140804,7.278175,10.795,9.696309,12.78113,12.25716,9.283634,9.529687,8.665751,6.549623,9.610853,7.704752,8.135274,9.551395,6.366193,10.60892,7.408839,7.483762,8.303877,6.385786,7.058832,11.16273,8.459459,9.998361,7.310294,6.602814,6.211901,4.500845,4.715333,3.991394,3.443972,2.677117
