Elapsed,PC9-A/E,AXL KO-A/E,Kdead-A/E,Kin-A/E,M4-A/E,M5-A/E,M7-A/E,M10-A/E,M11-A/E,M15-A/E
0,1,1,1,1,1,1,1,1,1,1
3,1.026613201,1.043761737,1.061408988,1.09095957,1.114595138,1.067407117,1.087608703,1.096777384,1.102184494,1.095902742
6,1.084794512,1.099920858,1.115688806,1.133126672,1.199043673,1.125305765,1.207630467,1.201356321,1.261441181,1.213229241
9,1.332009548,1.216457859,1.255937684,1.270739797,1.280104512,1.278598759,1.329263581,1.279608069,1.344258963,1.237415066
12,1.362664049,1.238171685,1.284148309,1.393289404,1.387926225,1.342818066,1.465354881,1.349863175,1.418781323,1.319484646
15,1.496397623,1.310248747,1.357945841,1.533723666,1.493626111,1.432210793,1.573810612,1.444623048,1.564228118,1.459902188
18,1.574462702,1.311154498,1.43630816,1.574333546,1.56095711,1.473512434,1.625410147,1.520738707,1.656076308,1.470905154
21,1.612851235,1.376968592,1.481439656,1.643935197,1.667758439,1.547230455,1.782674133,1.660259096,1.749827654,1.623539724
24,1.721309908,1.42219738,1.545423988,1.741085264,1.778819691,1.62400038,1.84676733,1.798037524,1.860847552,1.679806609
27,1.894399707,1.532005528,1.688404525,1.898151008,1.888551342,1.774823577,1.958593658,1.977023343,2.068666601,1.867208931
30,1.997677066,1.537302256,1.732350727,1.980767944,1.994998912,1.863753708,2.106744656,2.095323331,2.153262216,1.942885164
33,2.118373629,1.621841831,1.794637057,2.11872438,2.119181882,1.98497205,2.180343275,2.280969261,2.253853215,2.058797822
36,2.248758371,1.683673119,1.873971905,2.20515979,2.164373318,2.117909552,2.366784117,2.413745026,2.391488155,2.203018193
39,2.497321692,1.71327289,1.955190232,2.365933798,2.321729417,2.17431207,2.560463549,2.624111637,2.556635387,2.290244093
42,2.68298811,1.712722845,2.01457022,2.546426621,2.518265275,2.369386567,2.79902352,2.76982179,2.767398556,2.430131162
45,2.888016357,1.747137736,2.046283466,2.668550349,2.569192687,2.391661132,2.938544396,2.891039624,2.964561164,2.543215141
48,3.143361361,1.727228425,2.120131406,2.771338685,2.675208343,2.517199553,3.162186641,3.06379504,3.037937649,2.636555771
51,3.365292454,1.764883374,2.201455353,2.935503803,2.743269943,2.644483989,3.353613007,3.30268688,3.147950808,2.734969235
54,3.550684231,1.771986267,2.193785435,3.02926154,2.815571084,2.720970894,3.519355869,3.378993346,3.347149464,2.808212365
57,3.819017974,1.794935342,2.323823713,3.13656257,3.12280011,2.870467648,3.809998668,3.631324428,3.634389675,2.944476723
60,4.046523046,1.791204847,2.343933468,3.289441797,3.110696803,2.972027459,3.910212018,3.823556104,3.660960874,3.005127176
63,4.307533246,1.81934658,2.381273308,3.455988638,3.238549886,3.092380519,4.194178827,4.072592805,3.928013575,3.079549704
66,4.524398211,1.826188088,2.440305812,3.520636421,3.202568889,3.155480082,4.376307583,4.279047806,4.043832761,3.159987655
69,4.759197671,1.878281135,2.487438679,3.767995073,3.451663488,3.342665642,4.651508644,4.549856635,4.257568976,3.275291707
72,5.050314251,1.789226403,2.513144224,3.857536761,3.565622905,3.384563374,4.850523472,4.677718011,4.556498375,3.374907363
75,5.422973298,1.859907284,2.634282983,4.030086724,3.709605535,3.558565548,5.137685037,5.086042503,4.664225292,3.433879639
78,5.503714125,1.786993096,2.630002923,4.084059198,3.755331569,3.571013003,5.304052059,5.083439763,4.896376445,3.619871831
81,5.878043556,1.85499092,2.656474111,4.258678619,3.822647398,3.651157288,5.556235487,5.425477463,5.159113824,3.747955524
84,6.252346578,1.843879859,2.718501622,4.47412721,3.992776,3.918813226,5.879088639,5.764171034,5.44244052,3.749730403
87,6.559016033,1.89450841,2.791600681,4.664274299,4.221236961,3.924958541,6.296207841,5.991596214,5.813124543,3.947537145
90,6.797853373,1.863882242,2.874271371,4.748813046,4.2713302,4.088976415,6.556309168,6.1411853,6.026262091,4.065702418
93,7.137451077,1.890495952,3.045324775,5.141503228,4.442997418,4.324614944,6.942105262,6.596329598,6.366053715,4.227381839
96,7.377274827,1.782620143,3.001324463,5.139930616,4.493223848,4.468835095,7.189299851,6.817316389,6.590517446,4.305606972
99,7.857030528,1.909209115,3.222263624,5.545770974,4.631657305,4.67054351,7.618373568,7.248504336,7.080124938,4.541095765
102,8.010401975,1.906788072,3.256808697,5.706380825,4.956143675,4.788784764,7.94297706,7.361792461,7.332280735,4.686059388
105,8.397087813,2.015389825,3.448107755,5.963594787,4.981390147,5.077549402,8.516227494,8.057001825,7.834652213,4.839165568
108,8.752543253,1.915288038,3.568460155,6.141876557,5.289854352,5.32526205,8.857755647,8.295597831,8.241190549,4.891697164
111,9.154929409,2.034494093,3.636860041,6.458764641,5.384379674,5.414071341,9.438853299,8.760181802,8.686038967,5.181853696
114,9.25311443,1.938026181,3.793384158,6.692679881,5.609934216,5.593673612,9.782913302,9.117125047,9.120129442,5.32248238
117,9.45176443,1.952771663,3.844460016,7.05720797,5.996249325,5.80934082,10.02095687,9.617041179,9.58786429,5.585759445
120,9.464443098,1.948658788,3.979341076,7.257763591,6.144384344,6.021439961,10.47774187,9.957115303,10.06522449,5.709185344
123,9.869691153,1.971265109,4.069370682,7.603571879,6.295120565,6.155718814,10.8509613,10.44980362,10.53332516,5.960112793
126,9.935415408,2.042002528,4.267223532,7.87733272,6.595443022,6.357905806,11.16599841,10.63173865,10.80448241,6.107086648
129,10.31775649,2.084258438,4.364859376,8.16203838,6.779702089,6.555711441,11.76148134,11.11369551,11.35248812,6.341730063
132,10.42725223,2.075481263,4.401058318,8.361171551,6.921132794,6.900780811,12.0813619,11.40717213,11.74100935,6.406769923
135,10.72821128,2.139957995,4.609955445,8.648450149,7.170411883,7.208197258,12.42581902,11.83490589,12.22278046,6.656314181
