Vessel Name: PC9_DRToTNF103090ng_Erl_RIPK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Time,Elapsed,A1,A2,A7,A8,B1,B2,B7,B8,C1,C2,C7,C8,D1,D2,D7,D8,E1,E2,E7,E8,F1,F2,F7,F8,G1,G2,G7,G8,H1,H2,H7,H8
12/23/19 10:35,90,71.90567,86.29364,56.9119,55.63752,29.95983,37.1652,14.38257,11.42859,79.29359,87.56832,47.4888,62.95351,73.08038,86.54149,47.11932,47.11625,67.12849,82.22294,41.47319,42.72549,26.34826,37.12997,12.53222,14.66954,21.14968,34.73452,12.54008,15.50343,17.12223,22.0139,9.158064,8.129435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fold-change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,1.21456131,1.219693256,1.167773553,1.183393544,1.028046701,1.169011254,1.212985019,1.198097077,1.198807612,1.233420809,1.14392456,1.192588556,1.253277212,1.196919791,1.183729072,1.094757761,1.189183783,1.168488484,1.114453991,1.140462528,1.234016547,1.232774299,1.279950655,1.232497672,1.226692609,1.174602756,1.231906422,1.280761467,1.212105692,1.230289285,1.247255436,1.232898285
,,1.368633973,1.421677268,1.340463191,1.36507829,1.220021146,1.35413143,1.440831875,1.461862183,1.440662476,1.434470511,1.317082014,1.399695529,1.45114862,1.434966809,1.297363107,1.208063257,1.411064457,1.322158043,1.296358868,1.298879335,1.472410521,1.510468601,1.506343805,1.466051683,1.419518861,1.416932189,1.496585095,1.588842526,1.515339082,1.457003241,1.530908709,1.505418506
,,1.59927757,1.664940679,1.410805443,1.468123591,1.428254693,1.561653355,1.711791232,1.623333152,1.63873296,1.671927599,1.393899705,1.542600012,1.679990388,1.650077551,1.434517358,1.318910241,1.613456074,1.526044225,1.403837839,1.398371092,1.733096106,1.771536772,1.658239071,1.688766808,1.637850771,1.628469866,1.684671561,1.794531831,1.66952309,1.685400692,1.693336895,1.706267798
,,1.871999766,1.943875594,1.637425236,1.647022293,1.643381906,1.749054245,1.887011053,1.825128933,1.844050873,1.886198476,1.527091559,1.675363846,1.856077561,1.890506861,1.530614789,1.404561098,1.717120178,1.693779732,1.521501407,1.45688939,1.942210644,2.007237179,1.829484838,1.842087837,1.771128934,1.852228346,1.862497674,1.960603938,1.78000867,1.846199646,1.791961379,1.870854537
,,2.232884337,2.372364566,1.87816337,1.818810496,1.848321141,1.990869482,2.077451793,2.005712351,2.110190816,2.174712006,1.684593135,1.835777271,2.027777384,2.064389274,1.60904309,1.494685606,1.940666897,1.904466059,1.641821115,1.554296607,2.10894848,2.187193805,1.921961305,1.950858406,1.946051142,2.008130686,1.988608951,2.089650923,1.910072549,1.936878316,1.885730571,1.952137454
,,2.665992087,2.905541477,2.174110508,2.210061281,2.05006444,2.208130002,2.227185576,2.159258949,2.436294373,2.58074383,1.825245151,2.059798552,2.344237569,2.353651149,1.830433828,1.617902835,2.24101669,2.163270014,1.797451332,1.748303474,2.227898453,2.341649065,2.082337656,2.092816114,2.032440136,2.143445784,2.031963708,2.210180862,1.958637409,2.051854609,2.017425253,2.015003885
,,3.181400951,3.620275196,2.606932194,2.655956377,2.170590769,2.377199168,2.356993889,2.248077504,2.911311456,3.061312445,2.138337541,2.356050675,2.754080554,2.807680303,2.102983931,1.906953029,2.527225184,2.557469686,2.057233519,2.068603261,2.366347927,2.523785688,2.196430017,2.191934415,2.073478675,2.25146147,2.108207103,2.307848501,2.044667787,2.08173788,2.089566785,2.080995047
,,3.896841781,4.414433656,3.254224619,3.199841451,2.273766783,2.571625302,2.449834282,2.312075938,3.365755578,3.747552148,2.448388633,2.873813842,3.147323788,3.350872477,2.414873109,2.22460362,2.920641013,2.977713583,2.371946874,2.311310201,2.414305832,2.634305096,2.239702478,2.309655238,2.117218031,2.29139645,2.173463122,2.365791072,2.029105147,2.122770727,2.142796439,2.178368018
,,4.60708337,5.343314014,4.015273109,3.91395838,2.308600509,2.692758607,2.486611358,2.294260955,3.962759233,4.356443697,2.962362814,3.318453005,3.70842747,3.919526848,2.843244557,2.50963989,3.31461333,3.353207724,2.676670123,2.63556579,2.427838767,2.712526286,2.289179167,2.361816651,2.100668797,2.407513252,2.17686068,2.42091472,2.007301745,2.161513822,2.164664613,2.148495959
,,5.310741091,6.212663127,4.968948597,4.894254969,2.353912377,2.762081053,2.517967016,2.347329502,4.510137859,5.028985737,3.41685453,4.110389582,4.169355411,4.499090493,3.356197097,2.907040122,3.73286341,3.926861459,3.066411672,3.007165136,2.465631375,2.881628083,2.300439583,2.414851016,2.127301344,2.540951915,2.172200146,2.385115838,2.017347435,2.172756212,2.124987074,2.101915286
,,5.898213411,6.979307918,6.20230612,6.046702505,2.388350125,2.852644452,2.55325626,2.369207587,5.10478578,5.684605688,4.039856947,4.873388026,4.620470337,5.200553006,4.032053552,3.470853941,4.189312861,4.430545668,3.5796907,3.374829895,2.493006139,3.065607873,2.340578502,2.440853721,2.130690817,2.522329017,2.191874538,2.391275587,1.977777231,2.18143732,2.083591187,2.121721778
,,6.737747555,7.566078072,7.878005352,7.60174431,2.445622369,2.921571733,2.56060834,2.337834011,5.694227681,6.205070126,4.824088417,5.728438944,5.176847067,5.846829642,4.808083958,3.963386203,4.703199423,4.890097222,4.157349395,3.937787121,2.526554738,3.259045298,2.349015957,2.472588705,2.101216591,2.606691073,2.197849318,2.496836843,1.986057236,2.186273542,2.054037857,2.137335998
,,7.088254574,7.966478156,9.552133045,9.35266563,2.457039617,2.987433082,2.589853611,2.299158244,6.159774847,6.466947856,5.714028054,6.781330716,5.68898942,6.297903599,5.541348445,4.63591397,5.131833009,5.304565701,4.785436505,4.524561192,2.6441323,3.279861127,2.341637805,2.448061389,2.101883725,2.649297655,2.154103192,2.40060008,1.997270452,2.184806285,2.05295774,2.006609663
,,7.55497233,8.389379989,11.12121407,10.88626563,2.465044339,3.038952677,2.637273416,2.29402901,6.499485804,6.740808366,6.91161396,7.920436705,6.148479147,6.638398786,6.423386919,5.527820033,5.446218957,5.676488155,5.467367021,5.175628014,2.63232494,3.427159181,2.362152801,2.348456824,2.104502374,2.760195124,2.144845359,2.481655591,2.117804341,2.19787534,2.017443046,1.976074291
,,7.920654082,8.528826197,12.30251193,12.47353292,2.476712897,3.165166914,2.664864098,2.325264234,6.772830469,6.942648516,7.975016693,8.953442844,6.47997496,6.94399007,7.541827979,6.421766451,5.738282118,5.818794416,6.291898897,6.042674298,2.651072835,3.493451068,2.316828286,2.434565475,2.068867427,2.775854725,2.143141453,2.459367546,2.241102594,2.173624125,1.917011041,1.96657866
