Elapsed,PC9-E,AXL KO-E,Kdead-E,Kin-E,M4-E,M5-E,M7-E,M10-E,M11-E,M15-E
0,1,1,1,1,1,1,1,1,1,1
3,1.030920947,1.046059454,1.046211309,1.106190584,1.086701498,1.06557729,1.090557002,1.100400264,1.064288958,1.049498403
6,1.130781687,1.075733248,1.116803455,1.185124285,1.134250081,1.142775919,1.220514675,1.147777981,1.151477318,1.129907584
9,1.29099029,1.148521738,1.237565468,1.271415038,1.284771401,1.326388019,1.372369984,1.265205738,1.279032833,1.161859189
12,1.392915055,1.232231219,1.302367882,1.434222345,1.370770345,1.37541817,1.455949432,1.359782358,1.401883942,1.242224412
15,1.492654321,1.278271485,1.392133377,1.486697259,1.433278695,1.433916351,1.613315347,1.483853265,1.533885123,1.276238145
18,1.597319606,1.339120958,1.455166629,1.568781366,1.507504882,1.50330114,1.628497945,1.496491443,1.55082967,1.328489011
21,1.71135692,1.379640971,1.534632858,1.693078787,1.556163499,1.655262766,1.768989408,1.599519979,1.707257784,1.453239029
24,1.769928146,1.464576368,1.574903969,1.757996468,1.61777569,1.657499775,1.863536088,1.715926136,1.758561876,1.519264245
27,1.991682992,1.480767613,1.748669814,1.90883427,1.794687485,1.810640011,1.863536088,1.864715548,1.868777759,1.772489238
30,2.059708483,1.608885801,1.798843434,1.982256573,1.864418386,1.986528405,1.863536088,1.964926281,2.00374204,1.725564638
33,2.240618773,1.643872931,1.890860127,2.149958391,1.95743481,2.047357882,1.863536088,2.111464396,2.108974554,1.820756202
36,2.358235901,1.661847517,1.918237359,2.183542967,1.996927698,2.099895736,1.863536088,2.194278227,2.212977488,1.923536587
39,2.555726746,1.680131809,2.026001276,2.367085628,2.090520711,2.177946384,1.863536088,2.370312417,2.355127996,2.029264089
42,2.664544627,1.774555239,1.974030512,2.379702495,2.165079639,2.340537885,1.863536088,2.492258794,2.537768507,2.079260434
45,2.793074685,1.7414962,2.075991219,2.450986888,2.261846028,2.302170472,1.863536088,2.595460568,2.570070524,2.050278155
48,2.920350865,1.751655026,2.135911529,2.59630913,2.248392868,2.413228575,1.863536088,2.719646466,2.69812474,2.138746447
51,3.056541083,1.786439817,2.235794947,2.711762533,2.397480346,2.48319526,1.863536088,2.860517155,2.826483941,2.212447943
54,3.115026168,1.725144773,2.183533656,2.744310646,2.336284605,2.53800262,1.863536088,2.959134524,2.875599804,2.270569243
57,3.294514876,1.827886721,2.256078665,2.888653288,2.407028459,2.656050796,1.863536088,3.14721064,3.132126887,2.399719177
60,3.458389695,1.784502725,2.326372434,2.979519848,2.488689217,2.683688473,1.863536088,3.238361707,3.253858658,2.422153726
63,3.643882342,1.848377213,2.409562027,2.984726417,2.695175417,2.799884894,1.863536088,3.438436528,3.418055693,2.537251965
66,3.773675853,1.833054768,2.403027091,3.056898047,2.572924939,2.892681074,1.863536088,3.524344108,3.526134832,2.62676869
69,3.898136821,1.853830288,2.546269134,3.278419162,2.712984644,2.947354256,1.863536088,3.744498271,3.673815569,2.685924605
72,3.980588401,1.807356351,2.459404042,3.332169147,2.722602391,3.034366487,1.863536088,3.850486076,3.858510708,2.719311283
75,4.075152002,1.877328226,2.532677634,3.479289602,2.752325339,3.184500069,1.863536088,3.929587735,3.998624306,2.840582225
78,4.157663556,1.830046699,2.534920105,3.498247158,2.764996569,3.158701863,1.863536088,4.053621796,4.204806238,2.883813522
81,4.304764241,1.795161788,2.655375132,3.506442791,2.942403342,3.285689337,1.863536088,4.225830316,4.308735744,3.058334554
84,4.510149014,1.921179399,2.663321417,3.710957145,3.064424194,3.383625664,1.863536088,4.335270164,4.375259658,3.026789872
87,4.667122724,1.881458799,2.741384133,3.839116809,3.062957528,3.482066513,1.863536088,4.542057995,4.567429786,3.188243661
90,4.754633745,1.836047368,2.802570057,3.828181869,3.074059736,3.472831588,1.863536088,4.756936845,4.802229796,3.19456396
93,5.063186347,2.005065118,2.924488502,4.15223415,3.203113429,3.689962019,1.863536088,4.976805554,4.967500918,3.337992177
96,5.078441839,1.876577357,2.956913676,4.153154148,3.281513074,3.598189549,1.863536088,5.098167793,5.217980394,3.538519052
99,5.23412063,1.990633686,3.016771443,4.485372466,3.402515809,3.892733056,1.863536088,5.447641922,5.535140265,3.534716627
102,5.288380121,1.957727945,3.22878416,4.526363142,3.568115379,3.928566572,1.863536088,5.480500734,5.650826289,3.580725866
105,5.50708865,2.005503672,3.20150294,4.797116752,3.677867874,4.097167309,1.863536088,5.897128392,5.84087185,3.752397112
108,5.545323764,1.992053533,3.377461786,4.913326256,3.821927923,4.317159846,1.863536088,5.96403755,6.116589499,3.818891846
111,5.761783565,1.990903029,3.436015993,5.243423537,3.972297914,4.327447952,1.863536088,6.415149138,6.420139425,3.930408484
114,5.895446796,2.057884978,3.63087393,5.417030903,4.022599295,4.324330911,1.863536088,6.442044165,6.48679619,4.103778333
117,5.909846948,2.090726204,3.726370379,5.690821928,4.329909703,4.701788677,1.863536088,6.843860372,6.939356148,4.239015958
120,6.078343897,2.072290167,3.836983453,5.942737066,4.318079493,4.79210385,1.863536088,7.130337921,7.189252741,4.2175656
123,6.138072135,2.072713584,3.848420297,6.25264813,4.574685983,4.857358194,1.863536088,7.464011543,7.468853204,4.434852221
126,6.235019498,2.055661419,4.024844868,6.395724023,4.665196345,4.885427985,1.863536088,7.479216414,7.810871737,4.465488567
129,6.354151857,2.174769456,4.235918162,6.719053804,4.837721783,5.168162928,1.863536088,8.095251318,8.042183707,4.779079558
132,6.479785281,2.237190906,4.255262392,6.880110791,5.000031833,5.189616147,1.863536088,8.228186071,8.323753114,4.801291941
135,6.717776662,2.253967833,4.487235831,7.259707928,5.106938851,5.46300429,1.863536088,8.605113842,8.592234628,4.905787659
