,Date Time	Elapsed	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
10,11/30/2019 5:57:00 AM	60	5.862546	5.100941	6.357018	2.412218	2.590157	2.888021	11.09597	15.85534	18.73284	3.831168	1.79638	0.2607725	3.080578	2.008461	2.386967	3.111337	2.180089	1.703519	8.720745	9.063141	11.96226	3.35713	2.720225	3.92211	4.608446	4.214634	10.30218	4.266188	1.764711	2.552068	11.4455	11.98853	11.95163	3.315134	3.151883	3.339674	5.254169	6.561234	6.12109	1.776663	2.39132	2.772246	9.90763	10.95104	12.28816	4.546431	3.823267	4.412998	6.20798	7.774712	9.528508	3.283575	3.31759	3.46875	13.06148	14.12115	14.9324	5.373368	5.001992	5.388342	8.802209	11.62869	11.51399	5.131395	4.930935	5.263153	20.64493	20.55852	21.5942	7.91588	7.698856	8.420958
11,11/30/2019 11:57:00 AM	66	7.092547	6.081161	7.35541	2.274963	2.576553	2.787064	13.41372	19.56845	22.84398	3.497968	1.786108	0.1760882	3.654393	2.639396	2.768665	2.810744	2.124461	1.771955	10.44599	11.24094	14.37312	3.236179	2.513404	3.818476	5.157537	5.191107	12.61406	4.096705	1.861512	2.585004	14.49443	14.61476	14.54562	3.051278	3.113295	3.183383	5.935779	8.010176	7.296319	1.805662	2.300631	2.763983	11.94629	13.5976	14.75196	4.367589	3.670751	4.249687	7.741381	9.250007	11.07611	3.2161	3.390267	3.285143	16.1966	17.78893	19.0153	4.855919	4.820423	5.171191	10.79602	14.32764	14.16131	5.154865	4.758407	5.140548	25.62871	25.41859	26.82112	7.501755	7.42261	8.760127
12,11/30/2019 5:57:00 PM	72	8.348388	7.820149	8.643534	2.217377	2.485673	2.731763	16.07327	24.35878	27.80157	3.431323	1.634669	0.1967979	4.008941	3.309817	3.255455	2.650326	2.08059	1.667605	12.5111	13.77755	17.6612	2.941061	2.374382	3.49742	6.153809	6.245844	15.60777	3.947027	1.921272	2.413461	17.66433	18.34321	17.9367	2.887198	2.768748	2.998679	6.960471	9.166011	8.681839	1.758486	2.244945	2.409743	15.15437	17.02763	18.50356	4.303279	3.510061	3.942896	9.064229	11.04723	13.32762	3.139045	3.198481	3.433523	20.00957	22.02474	23.8272	4.81883	4.567611	4.878533	12.91996	17.7583	17.27471	4.819483	4.619768	4.918488	31.8813	32.20789	32.30087	7.140353	6.964789	7.891621
13,11/30/2019 11:57:00 PM	78	10.18736	9.858658	10.52553	1.916286	2.29168	2.447637	18.73753	29.80734	34.46855	3.026245	1.517377	0.141526	4.952861	4.298796	4.12144	2.388482	1.890484	1.551748	15.70021	17.2989	21.49262	2.80447	2.150597	3.51923	7.756004	8.182262	19.53743	3.797075	1.887674	2.442269	21.72001	23.41199	21.8509	2.62439	2.556861	2.679189	7.823812	11.53494	10.46139	1.720537	2.162715	2.307875	19.02442	21.84073	22.06722	3.923844	3.374452	3.698345	10.72151	13.63026	15.98043	3.013713	3.1415	3.1654	25.19609	27.61458	30.01923	4.618135	4.449431	4.65772	15.97937	21.21182	21.77314	4.593166	4.362301	4.73387	40.17825	40.89476	41.61449	6.54501	6.487776	7.875315
14,12/1/2019 5:57:00 AM	84	12.63289	12.50111	13.49808	1.822901	2.307741	2.529787	23.81186	36.60527	43.00711	2.925011	1.535801	0.1698916	6.301471	5.383661	5.160207	2.293524	1.809986	1.522195	20.19159	22.62845	26.62797	2.704281	2.101742	3.395218	8.684505	10.01514	24.06423	3.554285	1.948676	2.26841	27.9397	29.46061	27.83089	2.584813	2.397655	2.613374	9.701108	13.72218	12.36769	1.720069	2.095573	2.296585	24.60577	27.78981	29.05885	3.635671	3.045138	3.546302	13.4546	17.13009	19.31708	2.845336	2.983562	3.255729	31.70954	34.74986	36.74844	4.132349	3.9383	4.187065	19.82223	25.97541	26.8525	4.408348	4.117908	4.405624	48.97136	51.14325	51.80916	6.18316	6.182658	7.528283
15,12/1/2019 11:57:00 AM	90	16.2235	15.17349	16.20692	1.765151	2.099595	2.335552	29.24839	46.12547	52.62053	2.754702	1.496503	0.2242274	7.417022	6.533576	6.484967	2.168525	1.610215	1.4859	25.58675	28.31605	33.95129	2.571153	1.83411	3.340691	11.11467	12.83654	30.16816	3.399461	1.822488	2.177336	34.66234	36.75042	34.83687	2.215755	2.237154	2.260259	12.17606	16.88927	15.33386	1.678677	1.92199	2.23528	31.72152	35.09625	36.32397	3.367846	2.86792	3.336892	16.23774	21.02737	22.83751	2.554629	2.762223	3.112412	39.30804	42.95381	44.45477	3.804847	3.721998	4.010536	24.15425	31.79936	33.3969	4.051382	3.954794	4.175362	60.42738	61.30886	62.5722	5.713833	5.628378	7.032403
16,12/1/2019 5:57:00 PM	96	20.17018	18.49306	19.36366	1.496284	2.042064	2.241227	35.80326	55.27562	63.92665	2.63513	1.390586	0.1689553	9.045654	8.491314	7.967231	2.03121	1.60666	1.393973	30.99025	35.71098	42.4285	2.455328	1.791837	3.158021	13.83747	15.62975	37.32645	3.24926	1.726019	1.981558	42.86375	44.67403	44.99073	2.133741	2.169103	2.162935	14.40663	20.28398	18.93302	1.653231	1.833889	2.160098	40.36943	43.19552	43.87801	3.292631	2.701249	3.106356	19.76744	25.68675	28.04322	2.354828	2.527639	2.813747	48.07727	52.10386	52.92434	3.578468	3.542091	3.767751	29.88047	37.26342	41.67344	3.736438	3.709889	4.010321	71.28259	71.822	74.41762	5.525041	5.615215	6.70044
17,12/1/2019 11:57:00 PM	102	24.41001	22.72647	24.36592	1.641142	1.865201	2.140131	43.52869	66.44315	73.57898	2.591063	1.524924	0.1858922	10.56399	10.58328	9.600454	1.91739	1.457313	1.297308	39.59219	43.80573	52.23026	2.349297	1.763114	3.201505	17.43445	19.9731	44.92423	3.096223	1.607046	1.787128	51.58484	53.23539	53.42558	1.970047	1.959169	2.010945	17.49662	24.58534	22.2466	1.492592	1.651249	1.782668	50.42595	52.0042	53.95544	3.148606	2.524198	2.942854	24.53638	30.82366	33.77294	2.318833	2.661979	2.681749	57.99208	63.05927	61.21218	3.404228	3.179176	3.706144	37.25496	43.62002	50.88116	3.685105	3.424825	3.712229	81.19994	81.61156	83.40263	5.302198	5.318615	6.355258
18,12/2/2019 5:57:00 AM	108	30.81569	27.78611	30.51475	1.515836	1.982605	2.235911	52.78234	76.45769	82.3194	2.458461	1.235786	0.1334844	12.974	13.61161	12.51745	1.832018	1.374034	1.305792	48.12484	53.46496	61.5849	2.210606	1.686803	3.040235	19.98802	24.23963	53.38644	3.022471	1.578322	1.631586	61.21184	62.69776	62.63982	1.855289	1.788285	2.026584	21.25404	29.16048	28.34601	1.42523	1.518591	1.812575	62.17376	62.44754	63.53159	2.925977	2.535874	2.778721	29.63868	37.10072	41.4428	2.181495	2.287356	2.545897	67.90451	73.36942	69.77222	3.353996	3.077113	3.249784	44.49631	50.32049	61.12616	3.441131	3.289387	3.617796	89.06763	86.90138	90.18516	4.948341	4.869385	5.885598
19,12/2/2019 11:57:00 AM	114	36.82364	33.93253	36.61276	1.46015	1.986266	2.13132	61.91527	85.02886	90.71249	2.391484	1.17608	0.1033285	16.10312	17.46553	15.84908	1.743562	1.28935	1.261921	57.24816	62.30941	71.6694	2.167674	1.591982	3.039301	25.03545	30.19974	62.84697	2.932081	1.570777	1.619881	70.69711	70.44449	73.13457	1.822545	1.822792	2.015954	25.1571	35.92759	34.7506	1.321654	1.456048	1.652735	71.81108	71.98483	73.67287	2.884252	2.326628	2.70599	36.12255	43.93362	50.65125	1.98949	2.164009	2.395942	77.79406	81.80566	77.85895	3.160116	2.979266	3.221443	52.78456	58.50451	71.31738	3.283662	3.108726	3.430858	92.68736	91.85988	94.11675	4.722047	4.886241	6.111538
