 ,Area,Mean,Min,Max,X,Y
1,0.000,152,152,152,3.219,4.427
2,0.000,96,96,96,1.092,6.578
3,0.000,112,112,112,2.106,7.245
4,0.000,96,96,96,2.356,7.620
5,0.000,170,170,170,2.731,6.800
6,0.000,138,138,138,3.467,7.661
7,0.000,98,98,98,2.814,8.286
8,0.000,138,138,138,8.189,8.231
9,0.000,98,98,98,9.161,8.245
10,0.000,27,27,27,9.550,7.689
11,0.000,23,23,23,8.814,7.495
12,0.000,108,108,108,8.356,9.009
13,0.000,231,231,231,6.842,9.203
14,0.000,158,158,158,9.231,3.675
15,0.000,120,120,120,8.453,0.634
16,0.000,82,82,82,9.120,0.231
17,0.000,112,112,112,8.884,0.023
18,0.000,152,152,152,11.231,0.439
19,0.000,243,243,243,11.009,1.148
20,0.000,110,110,110,10.648,1.536
21,0.000,130,130,130,11.453,1.925
22,0.000,98,98,98,11.550,2.842
23,0.000,144,144,144,11.870,1.828
24,0.000,152,152,152,11.870,1.203
25,0.000,92,92,92,11.342,1.161
26,0.000,90,90,90,11.967,0.467
27,0.000,168,168,168,11.467,0.800
28,0.000,84,84,84,12.120,0.898
29,0.000,146,146,146,12.564,1.009
30,0.000,96,96,96,12.773,0.689
31,0.000,116,116,116,13.050,1.092
32,0.000,118,118,118,13.439,0.814
33,0.000,70,70,70,13.786,0.536
34,0.000,48,48,48,13.898,0.814
35,0.000,96,96,96,13.939,0.217
36,0.000,128,128,128,13.981,1.759
37,0.000,112,112,112,13.856,2.384
38,0.000,154,154,154,13.189,1.939
39,0.000,78,78,78,12.800,1.717
40,0.000,126,126,126,13.175,3.106
41,0.000,37,37,37,12.564,2.759
42,0.000,197,197,197,12.425,1.759
