,Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kdead-UT,Kdead-A/E,Kdead-E,Kin-UT,Kin-A/E,Kin-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,0,7.1250815,5.514634,5.872505,5.062452,5.216303999999999,5.5905395,5.7089289999999995,7.5335575,4.530032,8.133433499999999,7.3445205,7.412359500000001,6.100788,6.7281435,7.228584,5.9792024999999995,6.0740245,6.3764865,7.419739,8.7657145,7.401471,5.591746,5.931228,6.2678995,5.617943,6.383357,5.9566365,4.729901,4.631023,4.1741364999999995
1,3,8.0073,6.2202285,6.505082,5.6957535,6.1502605,6.5891375,6.30173,9.819216,5.61962,9.1905,8.551235000000002,8.637304,7.057003,8.25602,8.9920305,6.854042,7.5164425,8.098901,8.4634085,10.695364999999999,8.6789045,6.5833095,7.269172500000001,7.3313515,6.073259,7.6244295,7.3804715000000005,5.4407125,4.751913500000001,5.0468395
2,6,8.228961,7.016915999999999,7.389804,5.8534299999999995,6.471942,6.900943,6.7798095,9.6368465,6.192901,9.7823855,9.849326999999999,9.462674,7.151855000000001,9.00199,9.906132,7.131304,7.904802999999999,8.519361,9.294625499999999,11.50878,9.3437865,7.162699,7.824522999999999,8.2385415,6.9048275,8.285592999999999,8.249532,5.7009050000000006,5.1004024999999995,5.2783085
3,9,9.023012,7.8628765000000005,8.5267605,5.986791,7.0021495,7.2736525,7.2996945,11.5521605,6.654355,10.556092,10.8003,10.455055,7.197751500000001,9.6801535,10.5777315,7.297672,8.3243865,8.7435305,9.699988,12.252130000000001,10.70124,7.439615,8.7790955,8.829520500000001,7.301288499999999,9.0360165,8.897473999999999,6.033718,5.7924995,5.6475205
4,12,9.8180745,9.1460385,9.4648515,6.189254999999999,7.3675905,7.614596,7.564474000000001,11.828427000000001,6.9862835,11.25922,11.645975,11.08916,7.807351000000001,10.243105,11.1983575,7.562949,8.873720500000001,9.355056999999999,9.702450500000001,13.15662,10.849540000000001,7.45481,9.052025,9.0545075,7.5771645,9.94998,9.391700499999999,6.3243465,6.018527,5.921132999999999
5,15,10.935195,9.9808005,10.610285000000001,6.6228995,7.545018000000001,7.8737794999999995,8.0787255,11.933903,7.392422,11.893604999999999,12.203344999999999,11.784785,8.366195999999999,11.075479999999999,11.866800000000001,7.9561195,9.595502,9.704558500000001,10.31428,13.730274999999999,11.312935,8.051337,9.743090500000001,9.417009499999999,7.8601255,10.4563615,9.8075405,6.431217500000001,6.24462,6.1400585
6,18,11.83764,11.189515,11.756219999999999,6.8559205,8.022104500000001,8.183695499999999,8.278996500000002,14.630234,7.6990195,12.345189999999999,12.73276,12.753345,8.6447705,11.17024,12.123494999999998,7.947807,9.815357500000001,9.841394000000001,10.36535,14.298340000000001,11.967975,8.5918675,10.039404000000001,9.718027,8.275832,11.145795,10.47202,6.7555815,6.370716,6.4722115
7,21,13.08363,12.43363,12.682984999999999,7.269753,8.27565,8.4356635,8.369433,12.523497500000001,8.122856,12.753065,13.436630000000001,13.533605000000001,9.00273,11.867325000000001,12.696034999999998,8.4200095,9.8770205,10.3595825,10.459340000000001,14.47955,12.6279,8.754620000000001,10.391570000000002,10.5070935,8.2819215,11.65265,10.9551,6.7690955,6.364380000000001,6.574406
8,24,14.120259999999998,13.79747,14.07626,7.5943395,8.614032,8.6086985,8.909573000000002,12.979809499999998,8.667068,13.216835,14.637509999999999,14.485665,9.336704,12.031310000000001,13.053339999999999,8.681413000000001,10.5077045,11.0496125,11.402389999999999,15.64822,13.11138,8.7870365,11.25759,10.7734115,8.565887,12.13657,11.386030000000002,7.0958,6.9526959999999995,6.9826115
9,27,15.383210000000002,14.90878,15.241060000000001,7.952269000000001,8.9818635,9.30696,9.7559155,17.544645,9.2708255,14.5429,15.757579999999997,15.733165,10.161453999999999,13.142615,14.0903,9.2965655,11.358260000000001,11.66502,11.590035,16.827405,14.176545,9.382481499999999,12.204585,11.76807,9.0465305,13.10193,12.407765000000001,7.2793855,7.4428405,7.6358455
10,30,17.050910000000002,16.52215,16.277559999999998,8.36982,9.50904,9.8416465,10.0519795,13.990020000000001,9.600406,15.209220000000002,17.0225,16.96776,10.62164,13.746345,14.414950000000001,9.2892975,11.42525,12.547324999999999,12.050450000000001,18.15487,14.77392,9.817276,12.844735,12.26062,9.8424505,13.85182,13.36006,7.2503885,7.7974499999999995,7.817527
11,33,18.685035,18.42024,17.902569999999997,8.554346,9.642529,10.292705,10.963999999999999,16.076295000000002,9.824225,15.99324,18.23921,17.78172,11.1458555,15.107490000000002,15.291175,10.248790499999998,12.57909,13.527339999999999,12.634744999999999,19.476635,15.887084999999999,10.1503125,14.474139999999998,13.479769999999998,11.066355,15.028875,14.260965,8.236208,8.351218,8.750667499999999
12,36,20.835505,20.13426,19.362470000000002,8.771125000000001,10.0473665,10.9411225,11.34451,16.0357,10.48876,17.52081,19.33889,19.076230000000002,12.501529999999999,15.926825000000001,16.199015,10.98946,13.740715000000002,13.473855,13.402845000000001,21.493499999999997,17.461100000000002,10.953534999999999,15.512495,14.508955,11.588085,15.873275,14.709484999999999,8.525308500000001,9.0125635,9.0982845
13,39,24.223305,22.432859999999998,21.162045,9.58269,10.238034500000001,11.418125,12.175065,18.035325,11.16726,18.845365,20.549425,20.347895,13.3264,17.32596,17.628655000000002,11.67475,14.895785,14.736469999999999,15.094550000000002,23.436030000000002,18.66835,11.967939999999999,17.179544999999997,15.66413,12.732840000000001,16.986169999999998,15.74293,9.27737,9.734704,9.612042
