,Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kdead-UT,Kdead-A/E,Kdead-E,Kin-UT,Kin-A/E,Kin-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,0,4.442779,4.7038329999999995,3.9610225,4.89199,5.0359395,5.5796920000000005,3.826114,6.987425,3.16775,4.1293265,5.0342895,4.3905395,5.320475,5.625754499999999,5.0889869999999995,4.30513,3.5597715,3.419137,4.7052555,4.919405,4.3618915000000005,3.6467135000000006,3.952301,3.4926070000000005,2.987875,2.9449994999999998,3.104213,2.8315265,2.7861855,2.352586
1,3,4.6497465,4.894064999999999,4.6204035,5.917104,6.3420185,6.8712545,4.956248,7.9461385,4.4760930000000005,4.969276499999999,6.430432,5.7564945000000005,6.6745725,7.3001085,6.822829,5.4225205,4.3758765,4.7860629999999995,5.5282955000000005,6.878475,5.983471,4.5164305,5.164449,4.684388500000001,3.7529095000000003,4.0633535,4.138952,3.5400650000000002,3.514422,3.086461
2,6,4.9449725,5.2603670000000005,5.293689499999999,5.842397,7.127024499999999,7.384277,5.4301455,9.40549,4.9089035,5.6451645,7.549997,6.627171,7.1266105,8.0218315,7.533488999999999,5.7088045,4.714069,5.396145,5.935656,7.2829245,6.668225999999999,4.819032,5.5433575,5.331761500000001,4.0394974999999995,4.4426535,4.549958,3.8850914999999997,3.8950085000000003,3.475109
3,9,5.5045725,5.865577999999999,6.041526,5.812125,7.812006500000001,8.1590385,5.8559255,10.380265999999999,5.698777,5.938053999999999,8.818503,8.0159885,7.799846499999999,8.764040999999999,8.618729,6.011395,5.0498445,6.214701,6.6286815,7.8505795,7.714107499999999,5.287301,6.0183789999999995,5.948316500000001,4.1345735,4.8696585,5.127856,4.3872885,4.2539880000000005,3.9883435
4,12,6.072447,6.798442,6.9558865,6.212986,8.3255965,8.730908500000002,6.222494,10.2106695,6.276428000000001,6.7711405000000005,9.9492865,9.376618,8.534112499999999,9.8863165,9.443774000000001,6.613487000000001,5.550205500000001,6.6637450000000005,7.354836000000001,8.789654,8.7125765,5.857417,6.747887500000001,6.509058,4.918066,5.5492194999999995,5.796270499999999,4.578162,4.546543,4.4525524999999995
5,15,6.623965,7.7364690000000005,7.694678499999999,6.1186115,9.140386,9.1658625,6.729566,12.1238375,6.6228085000000005,7.4083835,11.211555,10.140312999999999,9.101781500000001,10.445637000000001,10.2650965,7.253253,5.9467985,7.432588999999999,8.1217755,9.7345315,9.387914,6.347072,7.2342715,7.027778,5.223088,6.149001,6.432326,5.0287125,4.983181500000001,4.907617
6,18,7.362905,8.4406485,8.450395,6.589759000000001,9.8214375,9.633261000000001,7.2367335,13.3490275,7.1686365,8.109524,11.661185,11.048205,10.1039595,11.30108,11.25075,7.451843500000001,6.483722500000001,7.4768799999999995,8.3954515,10.631738,9.7191335,6.9025435,7.645327,7.5967720000000005,5.465176,6.660539,6.7708865,5.7885305,5.199049499999999,5.298307
7,21,7.7150669999999995,9.109877000000001,8.955525000000002,7.044767499999999,10.2205365,10.0419585,7.411275,15.2285675,7.454795,8.3364215,12.53941,11.649060000000002,10.5599185,11.950624999999999,11.566655,7.6694335,7.0482885,7.9407125,8.8731315,11.327365499999999,10.59103,7.2862185,8.164427,8.1325685,5.944553,7.143983,7.2413095,6.00117,5.62171,5.4143025
8,24,8.556277,9.813653,9.7967125,7.3932565,10.82258,10.84374,7.946066,16.405534,7.898433000000001,8.83399,13.123155,12.367329999999999,11.063814999999998,12.652619999999999,12.25909,7.9687765,7.5067225,8.405767,9.2453915,12.078415,11.313435000000002,7.687879499999999,8.7788565,9.046929,6.858696999999999,7.625803,7.894175499999999,6.582084,5.387912,5.6274239999999995
9,27,9.359786,11.175905499999999,10.935245000000002,8.014911,11.503435,11.37696,8.5319005,16.90304,8.4925615,9.572333,14.072765,13.31126,11.70482,13.31829,12.760805,8.352576000000001,8.111357,8.885644,9.7895445,12.465810000000001,12.41928,8.271161,9.3692145,9.702272,7.0201150000000005,8.107711,8.695189,6.861759000000001,6.069449499999999,6.004405500000001
10,30,10.751995,12.30304,11.819485,7.789303499999999,11.90738,12.140075,8.7587335,16.997790000000002,9.1067025,10.4771395,15.26558,14.0592,12.621215000000001,14.643839999999999,14.03148,9.0450115,8.774626000000001,9.644607500000001,10.443667,13.702065000000001,13.239815,8.8791435,10.1001725,10.1764715,7.5910435,9.009193,9.412936,7.479447499999999,6.092084,6.4824585
11,33,11.949265,13.478614999999998,12.897035,8.516071,12.34864,12.406035,9.221211499999999,21.120890000000003,9.7766015,10.85774,16.38012,15.255564999999999,13.140575,15.888995000000001,15.07139,9.6460625,9.723438000000002,10.0044245,11.412225,15.2418,13.91376,9.6988585,11.072205,10.659695500000002,8.064391,9.6988595,9.9876,7.908968,6.682009,6.964696
12,36,13.125595,14.979854999999999,13.805735000000002,9.3447545,13.19692,12.966025,9.803266,19.106535,10.3871615,11.63205,17.279114999999997,16.296284999999997,14.444879999999998,17.234875,16.467154999999998,10.070946,10.506184999999999,10.22814,11.65953,16.198320000000002,15.16473,10.3390555,11.88203,11.313865,8.623187,10.6294965,10.81378,8.124621,7.173246000000001,7.4255435
13,39,14.152185,16.045505,15.062265,9.4254535,13.748955,13.557535000000001,10.3950785,21.362105,10.784765,12.950295,18.45022,16.911115000000002,15.172384999999998,18.09259,17.26677,10.749913,11.505605000000001,11.2957195,12.55787,17.46648,15.950375000000001,10.9615435,12.56464,12.03623,9.4401155,11.065429000000002,11.242715,8.655982,7.6344235000000005,7.9242349999999995
14,42,16.380185,17.745095,16.04755,9.8535815,13.81438,14.18154,11.405455,22.321785,11.3796,13.89678,19.53884,17.888265,16.27265,19.168364999999998,17.929325,11.1574095,11.981885,11.877880000000001,13.521035000000001,18.724690000000002,17.045675000000003,12.319420000000001,13.71432,12.964925000000001,10.1545545,11.83797,12.007950000000001,9.635175499999999,7.9958495,8.4694635
15,45,17.548470000000002,19.340854999999998,17.13307,10.95283,14.369119999999999,14.542195,12.590845,25.233449999999998,12.24811,15.790035000000001,20.6221,18.713639999999998,18.057405,20.093485,18.971755,11.880299999999998,12.86843,12.656025,14.777765000000002,20.17758,18.042609999999996,13.825790000000001,14.955530000000001,13.886510000000001,11.140405,12.49698,12.70504,10.126271500000001,8.3719435,9.0296445
16,48,20.56919,20.726670000000002,18.13277,11.797337500000001,14.729265000000002,15.07361,14.00815,23.55617,12.49921,17.525325000000002,21.61703,19.677925000000002,19.885365,21.163165,20.033410000000003,13.312535,13.406225,12.867805,16.222245,21.983575000000002,19.17676,15.15218,16.322285,14.336295000000002,11.83769,13.54231,13.369229999999998,11.779779999999999,8.8968255,9.495228000000001
17,51,22.42317,23.39857,19.351264999999998,12.907145,14.822095000000001,15.230364999999999,15.556484999999999,26.257685,12.958839999999999,19.731299999999997,23.01086,20.147889999999997,22.239095,22.184755,20.776205,14.470695,14.145025,13.13124,18.178565,23.547289999999997,19.7499,17.00535,17.533630000000002,15.370465000000001,13.6655,14.066230000000001,13.97637,12.65129,9.4933655,9.725914999999999
18,54,25.64885,25.566215,20.494329999999998,13.447524999999999,15.126290000000001,15.568295000000003,16.931459999999998,26.614855000000002,13.156324999999999,22.3549,24.11354,21.015145,24.508029999999998,23.118755,20.991765,15.401535,14.46612,13.332320000000001,20.683889999999998,24.892825000000002,20.65368,18.992874999999998,18.18637,15.926590000000001,15.342590000000001,15.165655000000001,14.41947,14.562650000000001,9.757909999999999,10.4183175
19,57,28.865855000000003,26.966175,21.370404999999998,15.11904,15.654895,16.18315,19.406495,27.648685,13.546955,25.382375,25.55612,21.92917,27.436135,24.390765000000002,22.186715,16.93049,15.361284999999999,14.248550000000002,23.441319999999997,26.152320000000003,21.518,21.29196,19.161434999999997,16.21454,17.27509,16.092745,14.969345,16.501555,10.252724,10.833079999999999
20,60,32.380205000000004,29.344905000000004,22.06466,16.688254999999998,15.785395,16.25834,21.667995,26.50436,14.25959,29.03972,26.312665,22.508175,30.247519999999998,25.09048,22.503529999999998,19.37566,15.558055,14.41039,26.188145,28.17478,22.561545000000002,23.853915,19.946640000000002,16.726165,19.933355,17.0691,15.821964999999999,18.833,10.7853305,11.355385000000002
