,Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kdead-UT,Kdead-A/E,Kdead-E,Kin-UT,Kin-A/E,Kin-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,0,4.169089,5.430861999999999,5.2492145,4.9142735,4.375116,4.626038,4.672961,4.58397,3.938948,5.6188465,5.023874,4.980188,4.560028,3.9033135,4.861546,4.7599564999999995,4.4252075,4.2924495,4.2976600000000005,3.832926,3.7669495000000004,3.9140145,4.062035,3.7411975,3.5339,2.8905705,2.8935065,4.504575,4.489107499999999,3.7897860000000003
1,3,4.4158785,5.569561,5.4097735,5.1517225,4.5667885,4.839283,4.868963000000001,4.852607,4.1183345,5.9919080000000005,5.476535,5.505231,4.7926545,4.353918,5.2814,5.00166,4.723988,4.573788,4.5970005,4.1622595,4.1101054999999995,4.215656,4.4499965,4.1167505,3.4596264999999997,3.1860999999999997,3.0817375,4.773581,4.9108935,3.974042
2,6,4.7547394999999995,5.8971875,5.9086735,5.281263,4.812787,4.9771775,5.046219499999999,5.111082,4.3935130000000004,6.230141,5.691214,5.9000015,4.999003,4.682036500000001,5.5117449999999995,5.2507105,4.980537,4.903442999999999,4.849042,4.635025000000001,4.59291,4.529017,4.879029,4.295004,3.4904865000000003,3.652364,3.33535,5.074922000000001,5.420700500000001,4.2715865
3,9,5.0998755,7.2202995,6.7306665,5.8254,5.322238499999999,5.3152515000000005,5.6625865,5.742173,4.8664705,6.9677045,6.3924345,6.334483500000001,5.5145255,5.007211,6.2450355,5.857046,5.658196,5.6919319999999995,5.247472999999999,5.107907,5.1590295,4.8977065,5.1999215,4.7346474999999995,3.5372115,3.881979,3.7039515,5.13829,5.525650000000001,4.390010500000001
4,12,5.590909,7.4052725,7.2086085,5.928478999999999,5.417183,5.7001615,5.8951055,5.8558105000000005,5.120233,7.453077,7.000928,7.137346,5.9060515,5.420161,6.6583875,6.108719,5.942731,5.903169999999999,5.683450499999999,5.595900500000001,5.481438,5.2826495,5.4847985,5.089665999999999,3.9662365,4.103625,4.0604985000000005,5.6510394999999995,5.8905905,4.6969715
5,15,6.348933000000001,8.1231215,7.712747,6.1056255,5.732236499999999,5.91482,6.2884265,6.190232,5.4749300000000005,7.9796755,7.704504,7.4060445,6.4730185,5.8424515,6.9638599999999995,6.527896500000001,6.3383140000000004,6.1547205,6.141396,5.9931085,6.077373,5.5455975,5.8683685,5.5553495,4.063155500000001,4.5150515,4.441364999999999,6.0668495,6.5244335,4.8311085
6,18,6.5391035,8.540408,8.271478,6.6245765,5.7365525,6.1955785,6.5604379999999995,6.5444705,5.7247865000000004,8.223906,7.905552999999999,7.807807499999999,6.644039,6.0967135,7.3271815,6.700317500000001,6.5212924999999995,6.45055,6.6198435,6.203698,6.124017,6.0006415,6.178267,5.603467500000001,4.2955565,4.784015500000001,4.493088500000001,6.3554200000000005,6.5752565,5.032479
7,21,7.0139375,8.742324499999999,8.8848185,6.788748,6.0244955000000004,6.3844575,6.8705265,6.7280785000000005,6.0340295,8.615261,8.25073,8.428451,7.099513999999999,6.509608,7.560470500000001,7.1074494999999995,6.847472,7.103044000000001,7.011787,6.784473,6.662628,6.3400205,6.7484635,5.991367,4.6652505,5.0638725,4.9444585000000005,6.9584645,7.254951,5.495984
8,24,7.2658095,9.33897,9.1780555,7.026723,6.222758499999999,6.7761615,6.962583,7.037832999999999,6.193223,9.0003275,8.743983,8.7524245,7.351883000000001,6.950768500000001,7.8566899999999995,7.324806,7.187690999999999,7.1111775,7.229006500000001,7.0408925,7.0104145,6.69857,7.308299,6.4281305,4.8906595,5.383133000000001,5.0941865,7.329839499999999,7.5017,5.745198499999999
9,27,8.124576000000001,10.285389,10.294252,7.328438500000001,6.702954,6.8528865,7.7241245,7.698379000000001,6.875901,9.8442305,9.516061,9.5013045,8.1632835,7.385264500000001,8.716612,8.100641,7.854957000000001,7.768888499999999,7.635756,7.4999105,7.6179045,7.218503999999999,8.035784,6.9910675,5.0353475,5.9860065,5.414834,7.923957499999999,8.33938,6.689091
