,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
201,10,2,0.0,-0.7325543615135981,-0.5511883089883592
270,12,3,0.1,-0.7541436461171688,-0.1428541123087033
265,12,2,0.0,-0.8773152517384348,-0.4050037759060666
162,8,3,10,-0.8989050212422836,-0.16309501104923
227,10,4,10,-0.9695245477076353,-0.036995006055859515
194,9,3,10,-0.9785542376634111,-0.10154812052624843
156,8,1,5,-1.0035724166263469,-0.5861925319395395
224,10,1,10,-1.0583439772369223,-0.57779135081852
233,11,2,0.0,-1.0672132791825877,-0.34571744210255484
250,11,3,1,-1.0848510721331968,-0.14738641376419379
285,12,2,5,-1.1105279280038143,-0.2378590713123271
126,7,3,5,-1.123014063521185,-0.20464221902460886
29,3,2,1,-1.1483633841867045,-0.538868611249063
189,9,2,5,-1.1498068971377202,-0.29058851067906305
384,15,1,10,-1.1569811405866959,-0.4880923978269208
356,14,1,20,-1.1857504647276418,-0.42004316245029316
43,4,4,0.0,-1.188897386735474,-0.6169594994416822
73,6,2,0.0,-1.1937531690440188,-0.5479417010553062
242,11,3,0.25,-1.200449933050994,-0.20701844884795276
81,6,2,0.25,-1.2034198084705308,-0.5543516104788749
221,10,2,5,-1.205874850260026,-0.30858751128659573
162,8,3,10,-1.21151900699668,-0.21528705202040432
342,14,3,0.5,-1.2118042363488077,-0.13842872476738236
128,7,1,10,-1.2171552839614863,-0.6232489245581856
85,6,2,0.5,-1.2292789547118805,-0.5734249164046799
256,11,1,10,-1.229364007315735,-0.47091234955174777
389,15,2,20,-1.2325377116277043,-0.13261358203346774
384,15,1,10,-1.2395510205590508,-0.5382202109941344
177,9,2,0.25,-1.2410893991034524,-0.4437266603115237
241,11,2,0.25,-1.2418451404242208,-0.48701632097006914
256,11,1,10,-1.2491663136334787,-0.49498602471367054
231,10,4,20,-1.2513842884228736,-0.049002431267352084
92,6,1,5,-1.2527571077560897,-0.7163062570503596
29,3,2,1,-1.2639764633257187,-0.5788392557616393
105,7,2,0.0,-1.2773630477950175,-0.544060713649711
162,8,3,10,-1.2849968262863523,-0.14162309039469134
201,10,2,0.0,-1.2865835274411441,-0.4346029111265717
122,7,3,1,-1.2966864912951273,-0.382846342237088
386,15,3,10,-1.298180310338994,-0.05799239995613776
288,12,1,10,-1.2989038465745173,-0.5179262865459798
181,9,2,0.5,-1.3060579122120437,-0.4339199899922608
194,9,3,10,-1.3081801048377297,-0.096397440962426
94,6,3,5,-1.3120494693107583,-0.34014390988745447
296,13,1,0.0,-1.3128479565706939,-0.8479976577825564
189,9,2,5,-1.316137869786171,-0.29532608882162936
85,6,2,0.5,-1.318495495891815,-0.5522994461797816
41,4,2,0.0,-1.318971582051698,-0.6096077441368098
313,13,2,1,-1.322678659141207,-0.3839522635616049
124,7,1,5,-1.3317880865751879,-0.6002176998818176
191,9,4,5,-1.3353189951191315,-0.0689462752131741
125,7,2,5,-1.3431717834047912,-0.35997435913837134
245,11,2,0.5,-1.3436455639317968,-0.41313017138419617
202,10,3,0.0,-1.361277220354809,-0.2741491094824664
28,3,1,1,-1.363223362950846,-1.002772757720117
258,11,3,10,-1.3843544202357703,-0.0710216153537076
373,15,2,0.5,-1.3899712370741195,-0.3592398599562229
285,12,2,5,-1.3946630794831836,-0.29285014777306606
156,8,1,5,-1.3962181142553272,-0.729998058784348
5,2,2,0.25,-1.3985755052422792,-0.9414725129694018
358,14,3,20,-1.4122036061511778,-0.029499302318533267
77,6,2,0.1,-1.4132924891793934,-0.5606507918620545
185,9,2,1,-1.4156702083401405,-0.425418990654535
100,6,1,20,-1.4189310083214888,-0.591362332535216
353,14,2,10,-1.4192591332288667,-0.1898495757791255
187,9,4,1,-1.4220508510065086,-0.11112859243472352
128,7,1,10,-1.422343039339986,-0.6744745686643001
225,10,2,10,-1.4279693327417238,-0.2718081315655184
364,15,1,0.1,-1.4294669949558985,-0.7626613328824575
233,11,2,0.0,-1.4403809199776432,-0.37932706610650513
217,10,2,1,-1.4411268616707948,-0.41536336215065134
156,8,1,5,-1.4438026057138655,-0.5210380917776064
124,7,1,5,-1.4448655464150277,-0.6765186638943683
161,8,2,10,-1.4490267507604306,-0.3451076966060395
277,12,2,0.5,-1.4505518376835251,-0.3482051081524507
121,7,2,1,-1.4527060871224988,-0.3986245817615747
141,8,2,0.1,-1.4528246687666106,-0.4917294626769622
298,13,3,0.0,-1.4534809101946538,-0.16982828952497947
354,14,3,10,-1.4539249946000932,-0.06798633357299143
321,13,2,10,-1.4566119573583651,-0.14577864723037334
24,3,3,0.25,-1.4599219116849802,-0.6883444002609592
204,10,1,0.1,-1.4606487436156705,-0.8091566378323709
201,10,2,0.0,-1.462964313267866,-0.4114581350725609
224,10,1,10,-1.4665116227712753,-0.5773464180752971
237,11,2,0.1,-1.4679679236024965,-0.4290097538410677
288,12,1,10,-1.4679760851453425,-0.4422230390211525
253,11,2,5,-1.4694118463462686,-0.320825103214861
259,11,4,10,-1.4819195029648988,-0.031029755353247826
31,3,1,5,-1.4850609381242739,-1.0434798604655615
351,14,4,5,-1.4865270474364485,-0.032002318037270404
109,7,2,0.1,-1.488443732505988,-0.48311957441308995
185,9,2,1,-1.4921144702132625,-0.3962831060741089
273,12,2,0.25,-1.4983481040085076,-0.35115364275006467
3,2,2,0.1,-1.4988895501085677,-1.064314025299917
200,10,1,0.0,-1.5020597096757227,-0.9088867679810271
337,14,2,0.25,-1.5063931966251716,-0.31129101863100506
352,14,1,10,-1.5073984197956525,-0.5074330441929987
300,13,1,0.1,-1.5088553850663813,-0.7359763307280892
157,8,2,5,-1.5092351892542915,-0.2809099713817271
254,11,3,5,-1.5125204670961037,-0.12189727037369698
92,6,1,5,-1.5163775574291476,-0.6008707452935799
125,7,2,5,-1.5181646137443623,-0.38675620217681983
220,10,1,5,-1.5245666449804256,-0.6897869247998503
344,14,1,1,-1.5295672727201266,-0.7940782571507434
226,10,3,10,-1.5309378207939055,-0.09418940870855384
34,3,1,10,-1.5328928468817677,-0.9787334526177874
356,14,1,20,-1.5337533553689842,-0.5217957537859943
192,9,1,10,-1.5363382284048406,-0.5845302492080348
376,15,1,1,-1.5415670364100051,-0.688648211736935
156,8,1,5,-1.5443942621045101,-0.5465338232635779
233,11,2,0.0,-1.5498211775093635,-0.40362617319036936
381,15,2,5,-1.552522224188587,-0.2937819284650018
312,13,1,1,-1.5544436083954043,-0.7249106624529718
228,10,1,20,-1.5586347421318556,-0.6352714097754862
240,11,1,0.25,-1.5628701110077534,-0.8246548298955246
153,8,2,1,-1.562966817384484,-0.5274492909720258
51,4,4,0.25,-1.5663482575861671,-0.6012003777633734
328,14,1,0.0,-1.570628961521805,-0.8076417749327718
325,13,2,20,-1.5706513810244493,-0.22771517586781428
378,15,3,1,-1.5750978826827147,-0.10849409562499587
222,10,3,5,-1.575543140936944,-0.09828787072334322
259,11,4,10,-1.5761875085808592,-0.03021218054351268
369,15,2,0.25,-1.5819223311901192,-0.304937269154601
320,13,1,10,-1.5835419029812372,-0.46882627871441024
117,7,2,0.5,-1.583822121552486,-0.45418411350373933
222,10,3,5,-1.5862690986079828,-0.14578104468570174
349,14,2,5,-1.5879861310766328,-0.23710578998793463
320,13,1,10,-1.588699394663901,-0.5881160821875643
320,13,1,10,-1.5901778327916625,-0.5176687959209523
312,13,1,1,-1.5905083143569967,-0.773743305285435
341,14,2,0.5,-1.5934475724790298,-0.3982755396788793
277,12,2,0.5,-1.5955879864607025,-0.3628364416491164
347,14,4,1,-1.5955972386514237,-0.027167831025398635
168,9,1,0.0,-1.5959823218665266,-0.951390752722095
308,13,1,0.5,-1.5971137314230621,-0.8442275009030052
313,13,2,1,-1.6002451500799888,-0.3967110657799081
308,13,1,0.5,-1.6024968427798845,-0.6962079415456107
252,11,1,5,-1.602929546614956,-0.5920344155937607
234,11,3,0.0,-1.6031076513401823,-0.16249615579357204
288,12,1,10,-1.6067562212403592,-0.6477129130613116
188,9,1,5,-1.6088936975193606,-0.6235258261763077
308,13,1,0.5,-1.6117294556120976,-0.7936013983151479
352,14,1,10,-1.6122673720742364,-0.47391392085766765
249,11,2,1,-1.6131730490932197,-0.36641857454640586
336,14,1,0.25,-1.615038018451699,-0.7912156004766554
241,11,2,0.25,-1.6187061113429875,-0.3501804924563434
94,6,3,5,-1.6273243179467267,-0.2548367568416099
29,3,2,1,-1.6274514318124527,-0.5949650767808304
305,13,2,0.25,-1.6277347875963906,-0.31732990717047826
309,13,2,0.5,-1.6280845270907012,-0.4724739450361577
320,13,1,10,-1.6326900160868028,-0.5867227298639678
192,9,1,10,-1.6368003069053598,-0.6105213298424471
108,7,1,0.1,-1.6372761236930895,-1.032316316257802
156,8,1,5,-1.6384294000930226,-0.5203549598841817
312,13,1,1,-1.6385245756322324,-0.750663397408854
209,10,2,0.25,-1.638638737520465,-0.35374016302113676
89,6,2,1,-1.6387409105195858,-0.6006079242745449
192,9,1,10,-1.6392247689472432,-0.5890568494647763
127,7,4,5,-1.642955215241602,-0.17937833694964173
262,11,3,20,-1.6463026271208812,-0.0425820905850287
195,9,4,10,-1.6470546087515776,-0.07060418793796397
28,3,1,1,-1.647864424995821,-1.0093268723394406
293,12,2,20,-1.6480584859433605,-0.2220051894952151
337,14,2,0.25,-1.6484723965994004,-0.2977352091246759
88,6,1,1,-1.6496715106749802,-0.9179062418714897
313,13,2,1,-1.6554060088170757,-0.3271222706130139
144,8,1,0.25,-1.6587255908243068,-0.9435814018888318
203,10,4,0.0,-1.6589486511477365,-0.16105543217225643
191,9,4,5,-1.659736906150959,-0.07017706035587426
252,11,1,5,-1.6599465125479784,-0.4177664822220603
220,10,1,5,-1.6603862822430953,-0.4497790925204243
30,3,3,1,-1.6627655051981813,-0.5888654823541642
361,15,2,0.0,-1.6629011587337916,-0.3174994085786693
372,15,1,0.5,-1.6640338511941284,-0.7822082569102048
314,13,3,1,-1.6649576226150866,-0.11490248445813551
345,14,2,1,-1.667002533855633,-0.32655356678550584
360,15,1,0.0,-1.6675409804067658,-0.8753972255889236
312,13,1,1,-1.6692388671941623,-0.7737789851366607
7,2,2,0.5,-1.6702569897534865,-0.5835566167176887
377,15,2,1,-1.6702763929112419,-0.2906949909814124
274,12,3,0.25,-1.6708564734818643,-0.15861193179079608
280,12,1,1,-1.6721306932422788,-0.8062716986437447
294,12,3,20,-1.675471722520934,-0.0820224510348047
308,13,1,0.5,-1.6759587030765002,-0.8022269219228356
324,13,1,20,-1.6763583386036638,-0.4721477571976387
57,4,2,1,-1.6791150568457387,-0.6632985903562942
68,4,1,20,-1.6809173374909026,-0.9519320255625144
197,9,2,20,-1.6818570637819077,-0.3704070197122185
302,13,3,0.1,-1.6833508408951632,-0.10626206199008972
93,6,2,5,-1.6838313894325734,-0.4505823349509916
289,12,2,10,-1.6838558065158482,-0.15632531433027916
136,8,1,0.0,-1.6859214721163027,-0.9636437844182892
7,2,2,0.5,-1.6871093377348345,-0.46435000743966104
302,13,3,0.1,-1.6874039896077304,-0.10468385891147314
309,13,2,0.5,-1.6877882286659476,-0.37494526755511765
1,2,2,0.0,-1.6892263363098277,-0.9968521230381319
44,4,1,0.1,-1.6910577324237273,-1.0297264928173806
355,14,4,10,-1.6925152316142464,-0.013950484213169294
274,12,3,0.25,-1.6934092914276464,-0.12987638973778953
160,8,1,10,-1.6935958708904675,-0.5830708479693985
341,14,2,0.5,-1.6952943005036791,-0.34727684909056966
288,12,1,10,-1.695600491561874,-0.47613178286578595
162,8,3,10,-1.6966738788561218,-0.19008820879769964
292,12,1,20,-1.69968139560772,-0.50336662876126
388,15,1,20,-1.6998974568772263,-0.4960145466341024
385,15,2,10,-1.699996785320702,-0.18432785889948175
340,14,1,0.5,-1.7001675023703038,-0.7655916536418547
125,7,2,5,-1.7002009195161367,-0.3513604217246467
304,13,1,0.25,-1.7018749021291222,-0.7444578635473659
46,4,3,0.1,-1.7025277770316305,-0.7237551551382081
354,14,3,10,-1.7029390972629184,-0.0772387466910931
124,7,1,5,-1.7094652321621735,-0.6802541339819281
164,8,1,20,-1.7099083239191235,-0.5050026257591305
221,10,2,5,-1.7105482104101395,-0.29310581180873324
372,15,1,0.5,-1.7111359648465516,-0.777401215212277
164,8,1,20,-1.71275682219029,-0.754187017478603
273,12,2,0.25,-1.7149828058020613,-0.33752206841364474
172,9,1,0.1,-1.7155307765626033,-0.9038585655146739
300,13,1,0.1,-1.715967873547407,-0.75060118385854
296,13,1,0.0,-1.7165224488776845,-0.8331260700889445
309,13,2,0.5,-1.7185951826228445,-0.2724545852611273
249,11,2,1,-1.7192080708497084,-0.3529139254275097
252,11,1,5,-1.7192557032041493,-0.5732972146517411
202,10,3,0.0,-1.71962563250952,-0.17233034021686688
80,6,1,0.25,-1.720578241934231,-0.9931295090508274
376,15,1,1,-1.7210664180059654,-0.792010475276087
232,11,1,0.0,-1.7210785854087234,-0.908886138155413
40,4,1,0.0,-1.7218199921572834,-1.0455778639085975
188,9,1,5,-1.7248579807699147,-0.572662576112261
144,8,1,0.25,-1.7280438380005154,-0.8527360354367928
157,8,2,5,-1.7282683804235692,-0.3498457849220539
248,11,1,1,-1.7304282436601208,-0.8529240392222298
209,10,2,0.25,-1.730594897153813,-0.46480156850262855
134,7,3,20,-1.7312109511849836,-0.1721690891117834
188,9,1,5,-1.7337422538804559,-0.6197686563990401
124,7,1,5,-1.735711220401549,-0.5364868746078345
169,9,2,0.0,-1.7363407521250747,-0.5389173275509376
145,8,2,0.25,-1.7372097436291143,-0.4306645010622378
238,11,3,0.1,-1.73732488919835,-0.24063590081667124
352,14,1,10,-1.7373675570446485,-0.44717157495389137
237,11,2,0.1,-1.7392275537287845,-0.37972563610656684
137,8,2,0.0,-1.739595382662352,-0.4682431566380191
284,12,1,5,-1.739956148707201,-0.6400019864293861
