,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
40,4,1,0.0,-1.7412219640809496,-1.0668312530436053
17,3,2,0.0,-1.7448225073085288,-0.8712234297551132
284,12,1,5,-1.7450974768543812,-0.7023257239010418
271,12,4,0.1,-1.7453421077441567,-0.039166436498909316
316,13,1,5,-1.7457083405466731,-0.6582205289723917
388,15,1,20,-1.7458412725592716,-0.5186407582831296
376,15,1,1,-1.7459911017104082,-0.724289507460274
209,10,2,0.25,-1.7463977580676524,-0.4568120580983288
121,7,2,1,-1.7490523573378782,-0.5557291836317144
352,14,1,10,-1.7494766797715664,-0.4340653110219075
152,8,1,1,-1.7501988115734812,-0.8566037741563376
89,6,2,1,-1.7518186954704875,-0.44438000413255746
239,11,4,0.1,-1.7519649498328365,-0.06137888072334066
236,11,1,0.1,-1.7524666634177957,-0.9053535334732218
241,11,2,0.25,-1.75604544756876,-0.41166374056584254
89,6,2,1,-1.758801768535868,-0.7209745366252673
173,9,2,0.1,-1.759652638488539,-0.5222572977925954
278,12,3,0.5,-1.7633964595290679,-0.2049155116303839
333,14,2,0.1,-1.7634859941827388,-0.3072684699095919
200,10,1,0.0,-1.7639009088006559,-0.8735403797553353
384,15,1,10,-1.765233607125409,-0.5325113790553165
276,12,1,0.5,-1.7659544618982017,-0.8043807143463162
197,9,2,20,-1.7679953929539884,-0.38902057514274063
213,10,2,0.5,-1.7681523924520406,-0.4678612735972043
169,9,2,0.0,-1.7694705537391708,-0.37274168170103805
68,4,1,20,-1.774171595251739,-0.9088644403893302
52,4,1,0.5,-1.7744308198464998,-1.0693267733627578
169,9,2,0.0,-1.7752225516901683,-0.49605048854203027
160,8,1,10,-1.7756465643423684,-0.7046291049646893
2,2,1,0.1,-1.7761683841769564,-1.2364804814637702
120,7,1,1,-1.7762456652877374,-0.8947296406243826
314,13,3,1,-1.7767859881430208,-0.14188787092450547
96,6,1,10,-1.7784127378216752,-0.7226854926214984
279,12,4,0.5,-1.7800103680694492,-0.04380535790175692
304,13,1,0.25,-1.7807016326189862,-0.8266376693287198
160,8,1,10,-1.7817972646408273,-0.5736973828931848
268,12,1,0.1,-1.7826003519457008,-0.8098378563303931
377,15,2,1,-1.783482139830738,-0.3785084004832139
160,8,1,10,-1.7848103256337646,-0.6948646137054083
136,8,1,0.0,-1.784820719510113,-0.8962789968622311
7,2,2,0.5,-1.785466152869792,-0.5112653360494949
164,8,1,20,-1.7891111644386095,-0.5970367734126849
41,4,2,0.0,-1.789194370003442,-0.6990371564458975
126,7,3,5,-1.7905673070734751,-0.15754527427887094
125,7,2,5,-1.7915672633503843,-0.39071049371153044
172,9,1,0.1,-1.7923811154667726,-0.9006517457447443
117,7,2,0.5,-1.7930931318763155,-0.5658790539056172
315,13,4,1,-1.7946388738916008,-0.02023521331800937
344,14,1,1,-1.7980473875492962,-0.7392559219570871
236,11,1,0.1,-1.8002030727096714,-0.8869830641916663
212,10,1,0.5,-1.8020056396309232,-0.8562073119193826
240,11,1,0.25,-1.8021290844713624,-0.8772660554101316
172,9,1,0.1,-1.802229035378482,-0.9187799333058349
296,13,1,0.0,-1.8031473036183618,-0.7953507667064222
92,6,1,5,-1.8035750525316077,-0.6156577088387326
345,14,2,1,-1.803804352958325,-0.3421191567438822
365,15,2,0.1,-1.8038636745024776,-0.36391470867116865
368,15,1,0.25,-1.8045634123046073,-0.6916538967009844
166,8,3,20,-1.8056548757921749,-0.20460124735571683
305,13,2,0.25,-1.8086704705047216,-0.29698319596684447
195,9,4,10,-1.8097558179446886,-0.05011920917523514
188,9,1,5,-1.8124444520513316,-0.532475529819688
128,7,1,10,-1.8137906954390617,-0.6147192416437931
20,3,2,0.1,-1.815898373731988,-0.6965606641399213
388,15,1,20,-1.8160849592565154,-0.40413854653662884
316,13,1,5,-1.8168137562232753,-0.7129413160668544
77,6,2,0.1,-1.818619816026814,-0.5586804683325373
17,3,2,0.0,-1.818859785998875,-0.7719929499447169
332,14,1,0.1,-1.8199409368591057,-0.783087207250768
80,6,1,0.25,-1.8200129621741405,-0.9395439453574647
258,11,3,10,-1.8209400217591762,-0.04811140165798948
116,7,1,0.5,-1.8215473865380762,-0.9257006441131586
320,13,1,10,-1.822154803931869,-0.5755682529382911
4,2,1,0.25,-1.822350109814445,-1.23226845226761
265,12,2,0.0,-1.8223843675242313,-0.3891040517838116
244,11,1,0.5,-1.8228293977203802,-0.864455619318032
207,10,4,0.1,-1.8232426548143499,-0.05845533669881478
208,10,1,0.25,-1.825533266656093,-0.8472352918360734
253,11,2,5,-1.8266103833788152,-0.24560898020748217
19,3,1,0.1,-1.8271764983380256,-1.0309732645281617
96,6,1,10,-1.8285542186302557,-0.7218490142422826
149,8,2,0.5,-1.828867176431663,-0.5128045833129595
82,6,3,0.25,-1.828957835983804,-0.39651133601014593
98,6,3,10,-1.8302434851646134,-0.19942469017065786
348,14,1,5,-1.8307010936641648,-0.7271900224888076
264,12,1,0.0,-1.830835277001146,-0.7914070550843332
217,10,2,1,-1.8312003715544216,-0.4477187611423199
315,13,4,1,-1.8315001804822186,-0.03479824942707141
378,15,3,1,-1.8323432802885573,-0.09264621847762641
328,14,1,0.0,-1.832691312913799,-0.7660035599332153
5,2,2,0.25,-1.83325775873428,-1.0573701052736966
4,2,1,0.25,-1.8337392684943619,-1.2148130657991367
66,4,3,10,-1.8340041325062733,-0.5143543757460127
280,12,1,1,-1.8342095152717275,-0.7643181894649644
181,9,2,0.5,-1.835216872549268,-0.4948495262846314
312,13,1,1,-1.8352785849982887,-0.7882585368645078
356,14,1,20,-1.8353610913501415,-0.4309593111670181
164,8,1,20,-1.8354711191327213,-0.561734266564662
231,10,4,20,-1.8358073000663826,-0.051976889915876005
216,10,1,1,-1.837741550728086,-0.8050552875255725
220,10,1,5,-1.8377533162167121,-0.5857284075520733
30,3,3,1,-1.8377592379501573,-0.48486112354555555
288,12,1,10,-1.8388693649593562,-0.5676843315530501
136,8,1,0.0,-1.8391110886886335,-0.8582516849614605
324,13,1,20,-1.8391829596208034,-0.49593652022018897
121,7,2,1,-1.8395498127280616,-0.5689207464915899
347,14,4,1,-1.839837021502215,-0.023562618601290677
144,8,1,0.25,-1.8417682472794235,-0.9786317078224651
72,6,1,0.0,-1.8418544643566328,-1.007035314608398
204,10,1,0.1,-1.8435469480019258,-0.8048479173319519
104,7,1,0.0,-1.8457205349041368,-0.9858367087118951
184,9,1,1,-1.8463662796470652,-0.8447046095879228
9,2,2,1,-1.8465872021113583,-0.5795950735843868
176,9,1,0.25,-1.8472413564041636,-0.9107258637062213
329,14,2,0.0,-1.8490170151521506,-0.33589245630091596
364,15,1,0.1,-1.8549622757859001,-0.6850470772384036
3,2,2,0.1,-1.8550518905876017,-0.990015359308851
264,12,1,0.0,-1.8551064000441388,-0.8427300247688936
72,6,1,0.0,-1.8589454755672483,-1.0193383647682415
57,4,2,1,-1.8599270604605467,-0.6595679032756858
329,14,2,0.0,-1.8602246643415934,-0.36514367979074513
344,14,1,1,-1.8605322256259518,-0.7905973596204695
193,9,2,10,-1.8609874295927658,-0.29255238729073113
368,15,1,0.25,-1.8614303309649034,-0.7180880908309701
249,11,2,1,-1.8634127467333639,-0.4159240079438851
184,9,1,1,-1.8639248092597276,-0.7704172791328857
324,13,1,20,-1.8642589858339629,-0.5432937696505853
176,9,1,0.25,-1.8658878281404165,-0.8850871003544447
201,10,2,0.0,-1.8672104853394036,-0.34423412414484833
165,8,2,20,-1.8681041226249724,-0.27073404094177295
120,7,1,1,-1.8684821313823017,-0.831205298685454
16,3,1,0.0,-1.8717325488748757,-1.0423432106388826
260,11,1,20,-1.8736190867846776,-0.5563688807488715
372,15,1,0.5,-1.8741548776267989,-0.7849133681505773
48,4,1,0.25,-1.8755422609247268,-0.9904057513814907
332,14,1,0.1,-1.8768747331380797,-0.7500039254470029
144,8,1,0.25,-1.8771921056076732,-0.9478079851180318
245,11,2,0.5,-1.8774274263761042,-0.4311589530641113
221,10,2,5,-1.8775580841932973,-0.1896492603987868
191,9,4,5,-1.8780513730671038,-0.1359851338460557
184,9,1,1,-1.8809334737444,-0.770356272437587
44,4,1,0.1,-1.8815480409728873,-1.0824210957415252
168,9,1,0.0,-1.8827837009858324,-0.9877801989201279
204,10,1,0.1,-1.8849659789184534,-0.832926386809491
19,3,1,0.1,-1.8861547859273762,-1.0861866540334861
295,12,4,20,-1.886358929532768,-0.024748585542141408
360,15,1,0.0,-1.8867058784490816,-0.7253210997516435
282,12,3,1,-1.8870963522839108,-0.16320853971554752
254,11,3,5,-1.8876873934411782,-0.1937937487961323
44,4,1,0.1,-1.8876944934138535,-0.9879502989399422
95,6,4,5,-1.887733119926232,-0.20631885046980958
158,8,3,5,-1.8883196965790627,-0.14086233940053816
56,4,1,1,-1.891098362660178,-0.903769264521262
22,3,1,0.25,-1.89167566329635,-1.1388481404609885
181,9,2,0.5,-1.8922657629178405,-0.47831036545503797
92,6,1,5,-1.892474145830462,-0.6703275207408934
380,15,1,5,-1.8928916451258497,-0.6969915610861102
77,6,2,0.1,-1.8943219854109006,-0.5722131826353863
73,6,2,0.0,-1.8966931622678045,-0.5718800794320886
284,12,1,5,-1.8971246190030824,-0.6826900578869515
140,8,1,0.1,-1.8992373030961822,-0.8853241231212245
68,4,1,20,-1.9018634808246095,-0.8338329766320935
116,7,1,0.5,-1.9030404370864542,-0.8846658413542112
56,4,1,1,-1.9035596406905269,-0.9674734501758677
248,11,1,1,-1.9040237166500704,-0.7874975715761713
224,10,1,10,-1.9051873955246401,-0.5534068877950034
384,15,1,10,-1.9059961400364536,-0.5509512562950719
153,8,2,1,-1.906864361189224,-0.4208986902873162
260,11,1,20,-1.9071361131872702,-0.552604874621989
368,15,1,0.25,-1.9074866481214805,-0.7744750986382609
38,3,2,20,-1.9076061358555547,-0.6375577365888333
336,14,1,0.25,-1.9082103642596548,-0.8183795468373258
16,3,1,0.0,-1.9085834061754805,-1.1290508737040221
297,13,2,0.0,-1.9109401965188644,-0.3664275080716615
153,8,2,1,-1.911100385299222,-0.3786899682290119
268,12,1,0.1,-1.9128010212586781,-0.8352210003086533
272,12,1,0.25,-1.9134130084871606,-0.8837366713495238
240,11,1,0.25,-1.914352220662746,-0.8748371583778619
173,9,2,0.1,-1.9148175312850972,-0.5126538839155821
98,6,3,10,-1.9148408697394805,-0.24911858305395562
5,2,2,0.25,-1.9155555456300624,-0.9991557061655532
108,7,1,0.1,-1.916075048867152,-1.0044956346786984
40,4,1,0.0,-1.9187185707147119,-1.103463645574597
30,3,3,1,-1.9188440003905127,-0.5664789181756389
192,9,1,10,-1.9195441599362628,-0.45778472943009063
313,13,2,1,-1.9206324824631682,-0.27754413351651386
118,7,3,0.5,-1.9215076989322017,-0.2951157302852607
240,11,1,0.25,-1.921817736588523,-0.8515419346613656
317,13,2,5,-1.9229766412161697,-0.4353952099497731
152,8,1,1,-1.923515281037831,-0.9158629042879607
113,7,2,0.25,-1.9242079253085178,-0.5121759789196079
93,6,2,5,-1.9245342357408513,-0.33442616340705883
63,4,4,5,-1.9259723617076583,-0.3902112303519862
281,12,2,1,-1.9262281441127138,-0.374602416073134
96,6,1,10,-1.9266555094053293,-0.707562267439879
208,10,1,0.25,-1.9287646577342406,-0.8383709577283333
386,15,3,10,-1.9292525801243334,-0.04683234306827577
94,6,3,5,-1.9300237784528897,-0.21867494769710183
321,13,2,10,-1.9342302431893854,-0.13503907276419183
114,7,3,0.25,-1.9348001221620583,-0.3211258983180534
188,9,1,5,-1.938412819042836,-0.6384219140523392
62,4,3,5,-1.9388145998493487,-0.4896479456902678
92,6,1,5,-1.9388993844103628,-0.6431778493666765
24,3,3,0.25,-1.9391627241612939,-0.7682852711275743
376,15,1,1,-1.939645432687656,-0.6999058101898213
50,4,3,0.25,-1.93969736165788,-0.6801668571651545
157,8,2,5,-1.9401873429380947,-0.2944750364395155
16,3,1,0.0,-1.9407289449887406,-1.1311467603515615
59,4,4,1,-1.9410581364409216,-0.5369012650443423
168,9,1,0.0,-1.9415354416120596,-0.8966218225398167
384,15,1,10,-1.9429563373394798,-0.43803731329865375
145,8,2,0.25,-1.9431273704531595,-0.39895840531990373
200,10,1,0.0,-1.943498934488512,-0.7813000659853644
160,8,1,10,-1.9443850684977209,-0.5100198709826715
2,2,1,0.1,-1.9455460469923211,-1.2399609993667253
290,12,3,10,-1.9460414668483463,-0.074492664617878
112,7,1,0.25,-1.9462808573673576,-0.9275258267009785
25,3,1,0.5,-1.947767694149421,-1.1528686462482467
167,8,4,20,-1.9481469901713018,-0.03905457589971686
136,8,1,0.0,-1.9486048496859862,-0.9578754237523752
113,7,2,0.25,-1.9486213591727468,-0.5315468610282845
328,14,1,0.0,-1.9489595932026471,-0.7514572592211385
363,15,4,0.0,-1.9498265095484273,-0.020352095886694732
280,12,1,1,-1.9514808810037871,-0.8201938228008591
94,6,3,5,-1.9537981815236825,-0.2654359950815829
342,14,3,0.5,-1.9546743944704947,-0.15163329355366167
28,3,1,1,-1.9554137044125912,-1.047336412420409
93,6,2,5,-1.9556138346383034,-0.321143747668661
197,9,2,20,-1.9559338055990843,-0.3393183910695041
140,8,1,0.1,-1.9576540962862958,-0.888138466124983
224,10,1,10,-1.9583541878067183,-0.5679540706170553
112,7,1,0.25,-1.9584830710062562,-1.0130678701913824
82,6,3,0.25,-1.9587165618731694,-0.4633604700920807
376,15,1,1,-1.9626979132822113,-0.7631199782227335
168,9,1,0.0,-1.96271686601639,-0.8458993587589659
2,2,1,0.1,-1.9639096086602923,-1.266555561933046
220,10,1,5,-1.9659863306230452,-0.582094269924236
180,9,1,0.5,-1.966928023849894,-0.8491010272793383
113,7,2,0.25,-1.9692218906050287,-0.5247762376691121
301,13,2,0.1,-1.9712107021658138,-0.3409539847757357
280,12,1,1,-1.971251560433668,-0.7527428558325879
173,9,2,0.1,-1.9718336243766335,-0.3903760754142087
336,14,1,0.25,-1.9721083737792402,-0.805396815900791
99,6,4,10,-1.972204908521933,-0.23603616950524486
