,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
1,1,2,2,0,-1.0557769223936422,-0.5004888194111646
417,2,10,2,0.5,-1.1196389656088277,-0.34100329630497606
86,3,5,1,0.25,-1.1339393829890416,-0.7716523901267279
209,4,7,2,1.0,-1.136304920880637,-0.5589091120881011
83,5,5,3,0,-1.141890646111503,-0.45399422838880543
308,6,8,2,2.0,-1.1621738364301368,-0.37293186624800295
0,7,2,1,0,-1.1988172521643201,-0.7385948661867745
564,8,11,2,1.75,-1.2039579287616309,-0.41770030381148293
276,9,8,2,1.0,-1.224140037499842,-0.5382270207084453
912,10,14,5,1.75,-1.2709977302098134,-0.03899890544132126
324,11,9,1,0.25,-1.2778087648105485,-0.5769094234333194
682,12,12,2,2.0,-1.2850600445214557,-0.3409623323258763
388,13,9,2,2.0,-1.3802253601210965,-0.30184360354708767
487,14,11,2,0,-1.4005146142753793,-0.37025835399826157
610,15,12,2,0.5,-1.4073885144700837,-0.24874703773998272
352,16,9,2,1.0,-1.427679374753412,-0.33075919425224887
609,17,12,1,0.5,-1.4285464646703148,-0.6506184347534165
530,18,11,1,1.0,-1.4417342168656935,-0.6266974856806757
785,19,13,2,1.75,-1.479319219131339,-0.3235702265852763
57,20,4,1,0.75,-1.5125884188566834,-1.035333466811633
134,21,6,3,0.25,-1.5208096513502296,-0.33872937999748465
