,Ranking,#Clusters,GMMweights,mean_test_scores,mean_train_scores
1,1,2,0.1,-2.857826073665993,-1.9156814636297803
3,2,2,0.3,-3.0880919414662196,-1.763896565096961
14,3,3,0.5,-3.5589241542432717,-1.866615197882945
4,4,2,0.4,-3.6849732243188007,-1.625587108765212
6,5,2,0.6,-3.744859773678175,-1.6858649459519586
5,6,2,0.5,-3.813264285221641,-1.658085992585486
8,7,2,0.8,-3.8676736033018857,-1.6525879692370293
7,8,2,0.7,-3.9364203072257538,-1.6632406987352977
10,9,3,0.1,-3.9949638713668056,-1.7999275394563967
16,10,3,0.7,-3.9990405197439487,-1.7286123743873876
26,11,4,0.8,-4.021250777231702,-1.8730536702618459
11,12,3,0.2,-4.06565422469385,-1.58887373013001
0,13,2,0,-4.081552252170755,-2.2332825834072274
15,14,3,0.6,-4.118215816635259,-1.751101972989322
13,15,3,0.4,-4.178393625353954,-1.7297954404244074
2,16,2,0.2,-4.187862812255424,-1.7575316684016347
124,17,15,0.7,-4.248834459477167,-0.9575571787852735
31,18,5,0.4,-4.392838521138797,-1.6475485075714207
116,19,14,0.8,-4.460942026085197,-1.027296410035012
113,20,14,0.5,-4.5287043169529815,-0.9341706487701733
22,21,4,0.4,-4.576257214716122,-1.8859934553853352
