,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
29,1,3,3,0.75,-1.1458899906273634,-0.541785612205366
5,2,2,2,0.5,-1.341534963675086,-0.6902138316367024
87,3,5,2,0.25,-1.377994725202755,-0.6422266663705885
1041,4,15,1,1.75,-1.461975095747692,-0.5753991831868598
7,5,2,2,0.75,-1.5079634138174414,-0.6640897519274901
519,6,11,1,0.75,-1.524192293163915,-0.680814858908418
996,7,15,1,1.0,-1.5278226433516038,-0.603355233938782
9,8,2,2,1.0,-1.5422530947999598,-0.6678350237447531
575,9,11,2,2.0,-1.545460689127425,-0.4780791592605957
33,10,3,1,1.25,-1.5637968442707162,-0.827651052740606
26,11,3,3,0.5,-1.584461402258515,-0.5902342281046825
1011,12,15,1,1.25,-1.587461397662067,-0.5583516380554668
15,13,2,2,1.75,-1.6054339459944422,-0.6640361530203798
866,14,14,1,1.0,-1.6080526686976668,-0.6545098479045522
771,15,13,1,1.5,-1.624999038301603,-0.7353985543159334
17,16,2,2,2.0,-1.6307295641243895,-0.6613889620262199
3,17,2,2,0.25,-1.6318392648348814,-0.8522985598230591
11,18,2,2,1.25,-1.6367396086402295,-0.7146904893408075
541,19,11,1,1.25,-1.6475267672645317,-0.7142205195227549
645,20,12,1,1.25,-1.6535584715394043,-0.7499786501066993
553,21,11,2,1.5,-1.6737723098040351,-0.48658483296350397
