Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
246,9,2,10,-2.253265101,-0.350143591
247,15,2,20,-2.259635375,-0.180376403
248,7,2,0.25,-2.262233438,-0.526393332
249,4,2,0.1,-2.268750044,-0.716694907
250,2,2,1,-2.270814334,-0.558319553
251,11,2,0.1,-2.273147204,-0.379751353
252,13,2,0.5,-2.275815555,-0.325886015
253,8,2,0,-2.278437788,-0.48032608
254,7,2,5,-2.278597326,-0.409549861
255,8,2,5,-2.27885334,-0.320964341
256,13,2,0.1,-2.282638905,-0.292159373
257,3,2,0.25,-2.284742382,-0.770058618
258,12,2,0.1,-2.288389839,-0.385116705
259,2,2,1,-2.296115474,-0.570453946
260,13,2,20,-2.301979716,-0.182044868
261,4,2,5,-2.304946921,-0.524465958
262,12,2,5,-2.308287283,-0.266304656
263,11,2,10,-2.310781414,-0.294951689
264,4,2,0,-2.313851748,-0.657124097
265,14,2,0.5,-2.313965547,-0.29886931
266,14,2,20,-2.319003639,-0.146961969
267,14,2,1,-2.321612664,-0.320231014
268,10,2,1,-2.322801271,-0.325439715
269,8,2,0.25,-2.324059197,-0.562163818
270,6,2,0.1,-2.324276571,-0.569747399
271,8,2,0.5,-2.328352494,-0.491772488
272,2,2,0.5,-2.332064305,-0.53883757
273,14,2,1,-2.334221108,-0.309570138
274,9,2,0,-2.334769043,-0.443330089
275,12,2,0.5,-2.33577149,-0.315999731
276,11,2,5,-2.335878104,-0.28273068
277,13,2,20,-2.337265122,-0.261352145
278,2,2,0.5,-2.356864589,-0.565617022
279,7,2,5,-2.361606458,-0.302059171
280,2,2,0.25,-2.361742149,-0.852850459
281,3,2,1,-2.368700836,-0.583363248
282,12,2,10,-2.372545577,-0.185690702
283,8,2,0.5,-2.381573508,-0.349001831
284,10,2,0,-2.381757034,-0.474194834
285,9,2,20,-2.386775554,-0.349585376
286,3,2,0,-2.388966222,-0.845477088
287,11,2,10,-2.395392786,-0.241537121
288,4,2,0.5,-2.395753018,-0.750234013
289,3,2,1,-2.402738489,-0.494474638
290,10,2,0,-2.407499566,-0.358983147
291,10,2,1,-2.413722477,-0.426930802
292,3,2,0,-2.414941784,-0.805359434
293,15,2,0.5,-2.41937423,-0.330759784
294,12,2,10,-2.421278948,-0.128642534
295,6,2,10,-2.424453892,-0.377317142
296,15,2,5,-2.428446427,-0.220796832
297,13,2,0.1,-2.430668857,-0.342503464
298,15,2,0.1,-2.434687522,-0.349862561
299,6,2,0,-2.434808067,-0.556370152
300,3,2,10,-2.440696566,-0.695699152
301,10,2,0.5,-2.443730219,-0.303222943
302,15,2,5,-2.443838062,-0.241030507
303,15,2,1,-2.445434056,-0.200486487
304,2,2,10,-2.446132059,-0.616476597
305,11,2,1,-2.447453844,-0.339174231
306,9,2,10,-2.454768993,-0.361106087
307,2,2,0.25,-2.456812561,-0.832399894
308,3,2,0,-2.464081358,-0.940616726
309,6,2,0,-2.467912962,-0.581636102
310,7,2,20,-2.46978108,-0.48980756
311,3,2,5,-2.470568073,-0.548519688
312,13,2,0.25,-2.473405212,-0.3021948
313,4,2,10,-2.487069251,-0.590497307
314,13,2,0,-2.490125754,-0.362815992
315,8,2,0,-2.497321608,-0.540812941
316,4,2,0.5,-2.497442499,-0.876880387
317,3,2,0.1,-2.498482515,-0.780715466
318,15,2,0.5,-2.504932385,-0.372477771
319,12,2,0,-2.506626973,-0.391962802
320,6,2,20,-2.507396646,-0.414628601
321,11,2,20,-2.510022761,-0.220429865
322,14,2,10,-2.511862792,-0.208386191
323,7,2,0.5,-2.514129559,-0.445594232
324,13,2,5,-2.524759137,-0.322950261
325,4,2,0.25,-2.527750826,-0.72907977
326,8,2,1,-2.54243524,-0.381395733
327,12,2,10,-2.548413239,-0.178767215
328,13,2,10,-2.552355121,-0.156185946
329,9,2,0.1,-2.554248496,-0.38408775
330,9,2,20,-2.556428581,-0.263780309
331,14,2,0.5,-2.556550158,-0.318729097
332,6,2,1,-2.559840242,-0.539618609
333,2,2,10,-2.559902291,-0.607753089
334,7,2,20,-2.560107682,-0.394059682
335,12,2,5,-2.571668604,-0.258278525
336,12,2,0,-2.585934116,-0.282914025
337,15,2,20,-2.593519976,-0.120692986
338,7,2,0.5,-2.596119636,-0.544052033
339,2,2,5,-2.601707291,-0.619869207
340,10,2,20,-2.60440287,-0.308491415
341,9,2,0.25,-2.606661999,-0.555346586
342,14,2,20,-2.610361049,-0.126952005
343,4,2,5,-2.612068315,-0.550662293
344,10,2,5,-2.612919189,-0.224421567
345,6,2,0.1,-2.617715193,-0.587901826
346,10,2,0.1,-2.617880217,-0.501331653
347,9,2,0.5,-2.620800604,-0.31613435
348,10,2,20,-2.626143624,-0.245279266
349,4,2,1,-2.628358071,-0.68235331
350,9,2,20,-2.633051161,-0.405883422
351,3,2,1,-2.638327148,-0.578631539
352,14,2,10,-2.638869169,-0.199229348
353,8,2,10,-2.63995015,-0.358807026
354,14,2,1,-2.640564699,-0.235656062
355,2,2,20,-2.648837395,-0.60806367
356,2,2,20,-2.649209986,-0.605758501
357,11,2,20,-2.649864645,-0.255207503
358,7,2,0.25,-2.654737768,-0.545778797
359,2,2,10,-2.654980798,-0.606265098
360,2,2,20,-2.656014651,-0.614154866
361,15,2,10,-2.659542605,-0.205202703
362,12,2,1,-2.664753651,-0.412805959
363,6,2,20,-2.667487448,-0.363209886
364,15,2,0.1,-2.671183268,-0.257976326
365,2,2,10,-2.677101369,-0.611551844
366,2,2,20,-2.679090138,-0.616709395
367,3,2,0.1,-2.682418482,-0.766181204
