Module,KDeE,KDeEA,KDeUT,KIE,KIEA,KIUT,KOE,KOUT,M10E,M10EA,M10UT,M11E,M11EA,M11UT,M15E,M15EA,M15UT,M4E,M4EA,M4UT,M5E,M5EA,M5UT,M7E,M7EA,M7UT,WTE,WTEA,WTUT
P2_I7_M12,-0.035633032,-0.036697019,0.021292662,-0.024213687,-0.040887258,0.97260345,-0.047352418,-0.009816223,-0.04921157,-0.051914692,-0.006795095,-0.042188912,-0.043330761,-0.015880071,-0.055345349,0.030928858,-0.020809993,-0.044192097,-0.074081268,-0.050924872,-0.087788746,-0.043802098,-0.038966634,-0.074862056,-0.06735571,-0.01530099,-0.012007618,-0.001546496,-0.033920306
P2_I7_M6,0.236322197,0.118960325,-0.160364201,0.213675763,0.132531914,-0.282469763,0.278408134,-0.183266105,0.211226982,0.235067896,-0.239941502,0.16810384,0.040094567,-0.151971648,0.223200688,-0.171519645,-0.188431007,0.227051176,0.009198994,-0.118406397,0.073931616,-0.14082601,-0.186087618,0.173790051,0.16603504,-0.232771287,-0.041978848,-0.174344078,-0.235221074
P10_I5_M2,0.06299108,0.043139332,-0.216029083,0.328549087,0.087026152,-0.177444756,0.079257191,-0.250170783,0.140250886,0.031917778,-0.199844522,0.142313274,0.267192039,-0.250648015,0.061102365,0.109708333,-0.213648112,0.204763962,0.164216877,-0.20926654,-0.012990146,0.107746179,-0.235643377,0.287468606,0.288150354,-0.193714912,-0.111034165,-0.126628543,-0.208730539
P6_I6_M9,-0.097649531,-0.008406331,-0.034828271,-0.078163169,0.166637108,0.288896167,0.005402013,0.172373387,-0.110028143,-0.130114898,0.096566162,0.050774307,0.007636372,0.061102709,-0.034870004,0.208853305,0.060844236,-0.058854828,0.131974864,-0.053307306,0.238436404,0.188495394,0.106924475,-0.00935938,-0.027318214,0.167423858,-0.490656712,-0.500171002,-0.318612972
P10_I5_M5,-0.129724428,-0.112336663,0.26192104,-0.093685025,-0.08397502,0.11819782,-0.109883884,0.046980173,-0.134211103,-0.105599067,0.593527042,-0.155069322,-0.137572701,0.122436786,-0.119453672,-0.096288471,0.463478149,-0.111318457,-0.085703136,0.223078679,-0.096960972,-0.108122088,0.110252648,-0.138476491,-0.127988408,0.17640146,-0.082098967,-0.036963934,-0.050841988
P10_I5_M6,-0.129475183,-0.132574305,0.118336825,-0.12041,-0.072429198,0.100710453,-0.135443013,0.299350235,-0.146303369,-0.103297647,0.278506846,-0.095975263,-0.118117927,0.564722792,-0.128803627,-0.10078045,0.138051205,-0.189564542,-0.129714015,0.22654901,-0.118070613,-0.096898872,0.188770434,-0.163587483,-0.089114555,0.284365186,-0.111749233,-0.120429608,0.103375918
P15_I4_M3,0.177697147,0.118926656,-0.162211448,0.192376691,0.189932873,-0.210893785,-0.013156807,-0.290145478,0.155876692,0.268240049,-0.168696566,0.217575784,0.325361425,-0.156820149,0.056908828,-0.063198454,-0.178441629,0.106116053,0.026232602,-0.156270394,0.084256096,-0.13328275,-0.219574246,0.326632187,0.195115756,-0.190249803,-0.096897769,-0.155302274,-0.246107285
P14_I4_M1,0.06215198,0.158054472,-0.230763164,0.035817525,-0.04095128,0.015281262,0.056041607,-0.179159897,-0.109710787,-0.136259092,-0.113589642,-0.002780632,0.275099275,-0.267897873,0.004719746,0.468201802,-0.202821076,-0.020097802,0.106615306,-0.27085934,-0.001235275,0.379429803,-0.214920995,0.060103786,-0.000107086,-0.128127796,0.131595234,0.308573677,-0.142403739
P19_I2_M3,-0.027708132,-0.022718381,-0.035077119,0.001788975,-0.060045105,-0.011202693,-0.054149021,-0.019439246,0.645268878,-0.056717804,-0.087130421,0.704793177,-0.084736441,-0.054750405,-0.052512735,-0.042230419,-0.033094489,-0.043077156,-0.08529778,-0.066215065,-0.086052513,-0.067752323,-0.091093739,-0.08914997,-0.033742087,-0.048868208,0.003996096,-0.05863519,-0.044450686
P4_I7_M12,-0.058006075,0.014522685,-0.058180019,-0.071227176,-0.043381179,0.003337821,-0.027496036,-0.052975215,-0.060118298,-0.06151037,0.008157336,-0.045638239,-0.02258771,-0.060122449,-0.074907185,0.681780603,-0.067384167,-0.08749671,-0.036031353,-0.114559718,-0.094367612,0.010339415,-0.109368269,-0.083836062,-0.110077364,-0.068567857,0.643026942,0.102047878,-0.055373616
P3_I10_M9,-0.022454382,0.001090764,-0.003147493,-0.023031907,-0.057960738,0.011156686,-0.032036474,-0.012416037,-0.052573624,-0.016676303,0.973847816,-0.035046065,-0.040842365,0.007553772,-0.063169833,-0.041052239,-0.022735758,-0.060242953,-0.074219355,-0.038281669,-0.084372415,-0.073007102,-0.03420824,-0.04020804,-0.068253672,-0.040905724,-0.032436624,-0.002125555,-0.022244471
P2_I7_M16,-0.005335013,-0.022175952,-0.023715682,-0.03992823,-0.029357157,-0.027175874,-0.04685689,-0.038459964,-0.027484909,-0.031650604,-0.031922759,-0.023460798,-0.042591042,-0.027998033,-0.016837885,-0.013582395,-0.052300388,-0.051259789,-0.075096082,-0.038128238,0.979222787,-0.040660957,-0.043833504,-0.050939733,-0.050209718,-0.054769778,-0.007315764,-0.019147618,-0.047028032
P6_I6_M4,0.126816588,0.119312291,-0.251018583,0.140469095,-0.008769321,-0.221957443,0.104149614,-0.26051465,0.166173969,0.246273037,-0.228903013,0.141856951,0.132557264,-0.248831553,0.191037067,-0.052887226,-0.22274722,0.132528224,-0.00638435,-0.186050733,0.001993354,-0.064556213,-0.258509448,0.126863425,0.055352367,-0.24800451,0.404234253,0.239752224,-0.070235459
P2_I7_M4,0.13864064,0.131400196,-0.252674591,0.035334389,0.031620623,-0.219671035,0.125221197,-0.235447207,0.179894698,0.118523487,-0.220072384,0.174262849,0.141562775,-0.234843424,0.216366755,0.120198985,-0.222215217,0.22717554,0.223322331,-0.196381323,0.23317043,0.179836629,-0.170912248,0.186161234,0.094948751,-0.205561253,-0.148009356,-0.202273296,-0.249580176
P3_I10_M4,0.030996717,0.113059701,-0.299321397,0.026632968,0.155154285,-0.046289381,0.026325023,-0.232585289,-0.017091601,-0.06086406,-0.211834734,0.074301147,0.170118499,-0.270943562,0.046029354,0.359782886,-0.248370061,-0.033998626,0.166395982,-0.298453635,0.199948632,0.326933888,-0.21493994,0.058119465,-0.023571278,-0.15135248,0.20961536,0.263505802,-0.117303666
P3_I10_M1,0.03134352,0.018751384,-0.176703458,0.07924644,0.060597138,-0.140158327,0.067724655,-0.140516601,0.009584415,-0.012672318,-0.191710808,-0.037529884,0.004694165,-0.201779406,0.023070409,-0.006178816,-0.170907609,0.025762621,0.003309999,-0.172323054,0.020000836,-0.001733191,-0.173329129,-0.008152835,0.007466481,-0.175850038,0.603592402,0.586312126,0.068088883
P1_I25_M3,-0.029010018,-0.018385886,-0.033596207,-0.023063331,-0.044142715,0.017463262,-0.053096375,-0.028420579,-0.046563033,-0.046144639,-0.026589945,-0.029120121,-0.038936429,-0.025705309,-0.052257997,0.973203809,-0.036488601,-0.054408289,-0.061331778,-0.038533636,-0.085481774,0.024983579,-0.061013001,-0.063071373,-0.049018164,-0.041005406,-0.006730846,0.031918552,-0.055453749
P5_I7_M4,-0.154686445,-0.119957905,0.296377437,-0.121101842,-0.062217711,0.226298405,-0.175083455,0.046214823,-0.10509113,-0.076364165,0.313357131,-0.112741322,-0.076304659,0.359330554,-0.119507983,-0.100223252,0.319690897,-0.164497639,-0.177090421,0.266132118,-0.190070021,-0.139378738,0.159970982,-0.144791252,-0.134940081,0.324005699,-0.133706617,-0.071196201,0.067572793
