,rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,mean_test_score,std_test_score
59,1,1,11,-6.731250574821759,5.477284242836219
43,2,0.15,9,-6.917300490676299,7.510900007743597
18,3,0.1,5,-7.13385505170277,5.710101378479482
10,4,0.5,3,-7.85949876726494,8.545519889087217
1,5,0.15,2,-7.898033158213224,8.573743554684802
12,6,0.1,4,-8.009421549853402,7.729353245699646
72,7,0.1,14,-8.121959645086637,7.915381628696861
9,8,0.3,3,-8.129631995625676,5.377974057777708
19,9,0.15,5,-8.157023100856472,7.093568473895357
77,10,1,14,-8.163707071100259,6.893705635963744
23,11,1,5,-8.275491295836883,8.74296632349053
52,12,0.5,10,-8.558992635362856,6.098854200561615
45,13,0.3,9,-8.57787315844767,9.182016701369768
11,14,1,3,-8.638637474043465,7.551997362327132
22,15,0.5,5,-8.675975962659647,8.009715265682901
74,16,0.2,14,-8.680423487450662,6.900084954857744
35,17,1,7,-8.733312804467701,9.354930701698425
67,18,0.15,13,-8.76110927075261,9.078088604361056
27,19,0.3,6,-8.764826727210506,6.650845978767827
32,20,0.2,7,-8.823370539820841,7.89281413253915
75,21,0.3,14,-8.854305917421112,8.521385907156096
40,22,0.5,8,-8.87717879379281,7.87112831361948
38,23,0.2,8,-8.986396701855158,6.064763236834982
54,24,0.1,11,-9.08753793780146,9.017552667926237
71,25,1,13,-9.145886852522354,7.678569655141598
73,26,0.15,14,-9.227508721111892,9.428512387656394
16,27,0.5,4,-9.23333935948988,6.917745837431869
39,28,0.3,8,-9.301474587941462,9.476121859352691
34,29,0.5,7,-9.348849885721078,9.501390484544126
13,30,0.15,4,-9.37986612811128,10.033569496756577
42,31,0.1,9,-9.40567190266029,7.965468336110308
41,32,1,8,-9.427699955634072,9.64224006505739
31,33,0.15,7,-9.464666480532047,9.626426103542217
53,34,1,10,-9.472403766966124,7.509099311208121
55,35,0.15,11,-9.521293985541764,7.7302390730396295
7,36,0.15,3,-9.592804904342195,10.234211095328156
2,37,0.2,2,-9.636667566865826,10.065748621662156
37,38,0.15,8,-9.636961614250268,10.90625097829515
58,39,0.5,11,-9.654093144511718,7.912610841019822
46,40,0.5,9,-9.658532658868763,6.131242273314505
50,41,0.2,10,-9.666933673396839,8.459678277568607
28,42,0.5,6,-9.705736394937968,8.036629216459117
57,43,0.3,11,-9.735025367044098,10.246437633067782
49,44,0.15,10,-9.739598200940174,9.136661766086702
17,45,1,4,-9.74906776988602,6.701590523710251
25,46,0.15,6,-9.847746111929412,9.713277234491047
33,47,0.3,7,-9.899816605294072,10.30895254042237
36,48,0.1,8,-9.979203749411823,9.16656740273673
68,49,0.2,13,-10.078186798217802,8.665204092095076
66,50,0.1,13,-10.100880421465337,9.283677706636823
48,51,0.1,10,-10.105851348209368,8.980236336162754
76,52,0.5,14,-10.194326762202488,10.568915227243227
15,53,0.3,4,-10.277986355187902,9.418145679241352
62,54,0.2,12,-10.331384547816322,8.47418495433056
21,55,0.3,5,-10.353600578608113,11.537876931760657
63,56,0.3,12,-10.402086543393514,10.029930719328856
30,57,0.1,7,-10.411215769305254,11.2035986672853
3,58,0.3,2,-10.43154160955909,10.855167233447034
26,59,0.2,6,-10.533579318919909,11.07652863646294
69,60,0.3,13,-10.573262538081703,12.931359748659329
64,61,0.5,12,-10.641210264897826,9.238701280499635
51,62,0.3,10,-10.648719782768909,7.014516870305504
61,63,0.15,12,-10.714661637148735,15.166848858801082
65,64,1,12,-10.744557707694941,11.573143193771468
8,65,0.2,3,-10.76350877833909,6.50256642335417
0,66,0.1,2,-10.906887872313458,9.734463132194456
5,67,1,2,-10.946030093233047,8.965275164978472
4,68,0.5,2,-10.96562575442782,10.524247876463997
56,69,0.2,11,-11.017357858297327,11.626768209058469
29,70,1,6,-11.40811596755135,11.80189075219181
70,71,0.5,13,-11.467350367442272,14.029653317395178
14,72,0.2,4,-11.597232911706902,13.30607689504414
24,73,0.1,6,-11.694686860436734,13.38809641116201
60,74,0.1,12,-11.762384614155936,11.824654021314773
44,75,0.2,9,-12.028261182440774,18.553598677644054
20,76,0.2,5,-12.637866198950137,11.37537330429052
47,77,1,9,-14.181956107900191,13.58618115798366
6,78,0.1,3,-15.542499726063241,16.18147992365603
