,rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,mean_test_score,std_test_score
62,1,2,12,-0.606721410622063,0.6683136299829633
49,2,1,10,-0.6216662577543682,0.6387995644729599
59,3,5,11,-0.6687637534109035,0.6805975031367776
38,4,2,8,-0.6972051569806801,0.6967599573639883
26,5,2,6,-0.6972774739286912,0.6937948569688615
57,6,3,11,-0.7053970022787174,0.703519655956979
73,7,1,14,-0.7060268458931297,0.6949776421534216
69,8,3,13,-0.7132160456276534,0.6408810237734416
70,9,4,13,-0.7286921345054314,0.6332102950593906
24,10,0.1,6,-0.7335551996451832,0.7247279126986833
14,11,2,4,-0.737077976998181,0.668168976091989
66,12,0.1,13,-0.7389750259744139,0.8266090648083096
36,13,0.1,8,-0.7411879618975612,0.7530154153793099
58,14,4,11,-0.742895918365105,0.6955332381643734
52,15,4,10,-0.7464288921528419,0.7761623572843986
25,16,1,6,-0.7511788619169674,0.7864289019849143
39,17,3,8,-0.7576297408310594,0.6506663754940653
76,18,4,14,-0.7658059159058357,0.7045945690699933
45,19,3,9,-0.7701959809953587,0.6034247627290446
65,20,5,12,-0.775035940229536,0.7220895571245852
21,21,3,5,-0.7791298867671891,0.5786540198154617
29,22,5,6,-0.7802081136988404,0.674352292124788
32,23,2,7,-0.7808777821988295,0.6735222964000452
60,24,0.1,12,-0.7814683197176293,0.6179428385712469
18,25,0.1,5,-0.7851798060416235,0.7975659288085992
55,26,1,11,-0.7879403125584122,0.7012803820043416
75,27,3,14,-0.7941543493445669,0.7019781174922073
19,28,1,5,-0.7996522041271921,0.64651953947576
35,29,5,7,-0.7997427489164998,0.7439840784443564
54,30,0.1,11,-0.8021151694209042,0.7540232146271507
42,31,0.1,9,-0.8025425991201361,0.7742119371116416
12,32,0.1,4,-0.8095905056192375,0.6946155242157788
30,33,0.1,7,-0.8122435139136266,0.8510309295556023
67,34,1,13,-0.8265562523400692,0.8392908200016788
63,35,3,12,-0.8279341159270002,0.68544446602141
72,36,0.1,14,-0.8302256721471378,0.8247162158327129
77,37,5,14,-0.8345010131495968,0.7790893627272114
68,38,2,13,-0.8473098495783283,0.7937238194887762
53,39,5,10,-0.8473597721996196,0.8362952881085465
48,40,0.1,10,-0.8480813904014008,0.870591321462366
5,41,5,2,-0.8514217040134415,0.7724352272978083
47,42,5,9,-0.8525649005978806,0.9077360388090436
8,43,2,3,-0.8526779938632842,0.6656531906916233
27,44,3,6,-0.8538942694886625,0.7235379670723487
51,45,3,10,-0.8551857084301074,0.6253268963799138
44,46,2,9,-0.8564477490991805,0.6863332766718645
10,47,4,3,-0.8599454227670968,0.6357096687508599
41,48,5,8,-0.8752179768374901,0.7421827999721887
61,49,1,12,-0.8781820225635373,0.6429106224772619
64,50,4,12,-0.8855367644424081,0.7402113427235215
15,51,3,4,-0.8900922050882787,0.6635392263670831
28,52,4,6,-0.9010843782547162,0.7744690998283057
56,53,2,11,-0.9050520000375635,0.8583451923881074
1,54,1,2,-0.9150541425632666,0.8248914167630957
43,55,1,9,-0.9223226276589338,0.8005631298022827
34,56,4,7,-0.9313882588079719,0.7370898360720237
37,57,1,8,-0.9340935054474594,0.9551349858018103
13,58,1,4,-0.941306000243322,0.7853503460428467
0,59,0.1,2,-0.9459513891004636,0.747334622834847
16,60,4,4,-0.9580311584108161,0.8987750448536971
9,61,3,3,-0.9643772192560777,0.7412656205552839
11,62,5,3,-0.9821104493077417,0.6283711468996588
2,63,2,2,-0.982381357500979,0.8141302940776115
50,64,2,10,-1.0071465987933164,0.8854539944266943
23,65,5,5,-1.0133999580934034,0.7873315338468561
71,66,5,13,-1.030015821185547,1.0467043437324233
40,67,4,8,-1.0411644338416495,0.8357082641821689
7,68,1,3,-1.052349051337493,0.8421868899471334
46,69,4,9,-1.0533726370182241,1.0577737909508946
3,70,3,2,-1.0556185553353852,0.8021039439708165
4,71,4,2,-1.0585344043970515,0.8679327897936976
6,72,0.1,3,-1.0842588131877586,0.9092185965529039
33,73,3,7,-1.1010009916657932,1.0644826169653678
31,74,1,7,-1.1218984552417501,1.1453566017857983
20,75,2,5,-1.1523231436769013,1.299677338891572
22,76,4,5,-1.2013997842991062,0.9690559862606285
17,77,5,4,-1.7503456167350329,2.5059440751494586
74,78,2,14,,
