,rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,mean_test_score,std_test_score
83,1,3,12,-7.3210169595100325,5.937042113522167
30,2,6,5,-7.888784634773474,8.292510358429686
80,3,0.1,12,-7.90865852226621,7.275734669286771
97,4,1,14,-8.1240942374392,5.9385323009305475
39,5,7,6,-8.138843399345166,7.732788937928142
70,6,6,10,-8.150153294650725,8.245918170259328
35,7,3,6,-8.21554376514048,6.765414823302137
95,8,7,13,-8.227040969575935,8.195467669402355
41,9,1,7,-8.31500905242886,7.245234562354996
50,10,2,8,-8.404368699423618,8.266287659693242
66,11,2,10,-8.65566828121176,8.077675198472532
54,12,6,8,-8.73738771073693,6.4687916831468595
9,13,1,3,-8.789051782995687,8.154796163230003
94,14,6,13,-8.902770389708849,8.627687606579638
102,15,6,14,-8.934430956030543,7.949621367073464
14,16,6,3,-8.972612530798035,10.133893296966058
16,17,0.1,4,-8.985078957779127,8.06149603134761
38,18,6,6,-8.990996222271544,12.205059221521314
93,19,5,13,-9.095333499478457,9.56686122998905
67,20,3,10,-9.129200268068292,7.698504685215483
101,21,5,14,-9.148541880500403,8.796160979945462
85,22,5,12,-9.324771611647211,8.841597662838534
60,23,4,9,-9.397583564324002,8.266693208372953
1,24,1,2,-9.448994003447307,11.224246984889628
79,25,7,11,-9.534810387418187,11.686660522725566
47,26,7,7,-9.53752479962077,8.994361263019654
31,27,7,5,-9.59664747629295,9.11117871777458
57,28,1,9,-9.648391486688919,7.699895041614695
34,29,2,6,-9.670839378887788,5.263113757455422
13,30,5,3,-9.70746341569724,8.424016199989454
46,31,6,7,-9.714213222460646,6.575864250278987
56,32,0.1,9,-9.758972440983912,8.723872164875019
42,33,2,7,-9.819635249264111,7.947504064207296
51,34,3,8,-9.819698365001528,10.613486482519699
44,35,4,7,-9.943505771031552,10.309426828085915
81,36,1,12,-10.00077255121484,8.770894767370343
63,37,7,9,-10.037045172689822,8.001485336342418
18,38,2,4,-10.050566341253344,8.327812677119747
7,39,7,2,-10.060546564702213,8.060679786854136
75,40,3,11,-10.114596606923055,9.825686698587736
8,41,0.1,3,-10.160273454068804,9.469383897408067
73,42,1,11,-10.191856988826066,9.650169421982868
23,43,7,4,-10.19424901209762,10.163435960352416
99,44,3,14,-10.211540482794055,9.010001151533759
77,45,5,11,-10.268865499931653,9.266628510454437
71,46,7,10,-10.284524006718764,11.07753266794775
43,47,3,7,-10.300806385260639,10.262807343185742
78,48,6,11,-10.334968443946774,10.895503144846437
90,49,2,13,-10.39353089404385,9.147613741309533
26,50,2,5,-10.395313510035319,12.976130477079863
22,51,6,4,-10.416407150982256,8.34144749585828
55,52,7,8,-10.426749950277635,11.201363404297085
65,53,1,10,-10.44382191144516,8.393551768111658
37,54,5,6,-10.454796604690793,8.899670454958082
100,55,4,14,-10.488101665573177,9.769595801524394
11,56,3,3,-10.517204069359316,7.948110019759693
53,57,5,8,-10.563527935876134,11.70936063550357
74,58,2,11,-10.618141128704082,9.99350145621555
88,59,0.1,13,-10.6392315826991,9.690286063728818
103,60,7,14,-10.675126696541595,8.958110607337797
0,61,0.1,2,-10.708340287443097,12.50162210484078
21,62,5,4,-10.717429271020027,10.558998842325133
92,63,4,13,-10.76890976268218,7.978222293264199
5,64,5,2,-10.790214243399229,11.485508275068986
6,65,6,2,-10.797388288017462,8.48668325204121
62,66,6,9,-10.830101524406226,10.029498967398387
29,67,5,5,-10.88365497772888,8.872651161182098
28,68,4,5,-10.913022231139404,11.059625308004302
58,69,2,9,-10.914031841429566,14.45815690039177
20,70,4,4,-10.962755468190771,9.701847670703733
45,71,5,7,-11.032685061584242,11.506973369760626
69,72,5,10,-11.082318793215096,9.199020430069588
64,73,0.1,10,-11.171589158160966,10.66532230101546
52,74,4,8,-11.18944569010987,10.693751812976398
89,75,1,13,-11.26717668448077,10.93458189350624
27,76,3,5,-11.286084371336827,11.961523254400008
15,77,7,3,-11.322586159915542,11.323575269898011
84,78,4,12,-11.457782448622684,12.5211194412706
17,79,1,4,-11.537314392226852,11.877348419730247
98,80,2,14,-11.538414659999685,11.394961820905756
4,81,4,2,-11.596131453853614,7.13152223348303
61,82,5,9,-11.599144488950893,10.2034966210825
32,83,0.1,6,-11.65253660236193,10.596761056509044
10,84,2,3,-12.196666822996374,12.782848868961166
3,85,3,2,-12.258670475813057,11.790482948361793
24,86,0.1,5,-12.379393426014477,11.450883686497745
2,87,2,2,-12.383487381435568,11.38759180094874
96,88,0.1,14,-12.569188244635168,10.376930535581089
36,89,4,6,-12.598117791195534,11.04894953909279
25,90,1,5,-12.842994287334324,15.434664551242724
82,91,2,12,-12.855171575251996,12.370599145888095
76,92,4,11,-13.090551894026323,18.412382620517885
19,93,3,4,-13.097012012970714,13.934530602882814
87,94,7,12,-13.423840868871206,12.450797738509563
91,95,3,13,-13.4535993139514,14.097063761010018
72,96,0.1,11,-13.464324489518836,15.386016739642686
59,97,3,9,-13.783303012669734,15.74531202240362
12,98,4,3,-14.366803278933963,14.304028036144729
40,99,0.1,7,-14.771173325852121,19.114714914915904
68,100,4,10,-15.393529500415312,14.383908770244492
48,101,0.1,8,-16.61027802534791,20.195957053332847
86,102,6,12,-16.894876670959277,26.741317953137656
49,103,1,8,-17.272761349840707,20.579162067421603
33,104,1,6,-19.656275598892236,29.17839670539288
