,rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,mean_test_score,std_test_score
43,1,1,9,-0.525037067072852,0.49183300905655375
54,2,0.1,11,-0.5319722379372498,0.44578927207210756
37,3,1,8,-0.5585317198006816,0.5586999589106004
60,4,0.1,12,-0.5674418145961262,0.514215381561841
72,5,0.1,14,-0.587678794089104,0.5085916757267284
16,6,4,4,-0.5988346114109423,0.5938946461161388
48,7,0.1,10,-0.6158340837005026,0.5076272384999715
31,8,1,7,-0.6383326202396967,0.5610394153217155
13,9,1,4,-0.6487247835046898,0.7423003158507945
64,10,4,12,-0.6501635232177669,0.653117740759285
32,11,2,7,-0.6598441470270723,0.5934442903860488
18,12,0.1,5,-0.6640712268924267,0.5966106427867188
61,13,1,12,-0.6734531999154998,0.5599324770495463
68,14,2,13,-0.6735752049829081,0.6195789027177661
53,15,5,10,-0.6780410719285307,0.721441006090109
36,16,0.1,8,-0.6788379009454723,0.5312806767123359
42,17,0.1,9,-0.6849983273887916,0.5971114965218057
34,18,4,7,-0.6915049056010176,0.6347385127719182
55,19,1,11,-0.692233095063764,0.5577601901183035
38,20,2,8,-0.6979929280123435,0.6811821180066419
33,21,3,7,-0.7075176107921579,0.733542287825242
51,22,3,10,-0.708724608486841,0.6384119076592695
21,23,3,5,-0.7116051516139604,0.8325842790379748
39,24,3,8,-0.7140401317015679,0.6205989416787963
66,25,0.1,13,-0.7162904517833827,0.5779300503171878
56,26,2,11,-0.7190347157515771,0.5890545823055731
30,27,0.1,7,-0.7199694638191381,0.6134265158671255
45,28,3,9,-0.7251677945256475,0.7156872668020166
15,29,3,4,-0.7292600523180739,0.726417819736059
22,30,4,5,-0.734475618414488,0.6992737343853686
29,31,5,6,-0.7494132715871855,0.8741940108218662
44,32,2,9,-0.7504723047062989,0.7296551378418011
20,33,2,5,-0.7509941235403021,0.696549250060735
47,34,5,9,-0.7527439590944762,0.7970690495663943
65,35,5,12,-0.7542470516451624,0.7041227027086029
63,36,3,12,-0.7563160027588509,0.7285013254953405
74,37,2,14,-0.7572330767194343,0.6983737341191097
49,38,1,10,-0.7593073260510732,0.5826581196260269
28,39,4,6,-0.7649171781824942,0.7303351945080189
75,40,3,14,-0.7668582985048783,0.7302368749061424
73,41,1,14,-0.7684054983836975,0.5898978307949974
57,42,3,11,-0.7684679608979582,0.700253923454895
0,43,0.1,2,-0.7717254566111496,0.5660232598686875
24,44,0.1,6,-0.7758742987892598,0.7115495059554222
26,45,2,6,-0.7818782622928487,0.7066494928621557
14,46,2,4,-0.7846181072101345,0.6812354362657062
67,47,1,13,-0.7973284410494068,0.640954089752339
59,48,5,11,-0.8102647795987961,0.8797918026351847
62,49,2,12,-0.8159462745326541,0.7333057855180222
5,50,5,2,-0.823201786603315,0.7720925451812138
25,51,1,6,-0.8257307882366092,0.8165654097223007
76,52,4,14,-0.8331863024769227,0.8180625629443719
1,53,1,2,-0.8337527172340382,0.7620611173976181
27,54,3,6,-0.8339445209945513,0.8108115995224155
19,55,1,5,-0.8375171864929516,0.8376065371485415
71,56,5,13,-0.8429585969977351,0.9580197333689907
35,57,5,7,-0.8483005434260766,0.8732099310543118
4,58,4,2,-0.8510306323502135,0.708101478833442
58,59,4,11,-0.8615371853975141,0.7878375735766109
69,60,3,13,-0.8643640343450436,0.8171465858215277
40,61,4,8,-0.8666351026802565,0.6941594354383802
2,62,2,2,-0.8687049838264892,0.6791886101897062
17,63,5,4,-0.8746335870679394,0.6452066133580543
50,64,2,10,-0.8785572814395752,0.7846727179886288
77,65,5,14,-0.8813998630521789,1.0159048991341761
3,66,3,2,-0.8830533910094841,0.726826353832188
23,67,5,5,-0.8975868438427884,0.9086993282224265
41,68,5,8,-0.9102581516180102,1.0123746961096114
46,69,4,9,-0.9129133762792728,0.8396820577678067
11,70,5,3,-0.9211824229361417,0.7285877000861426
70,71,4,13,-0.9317933597256195,1.0304585285013543
7,72,1,3,-0.9506934556352065,0.8627536973482466
10,73,4,3,-0.9672203922077639,0.8813705941751305
52,74,4,10,-0.9845922664925301,0.9741073983543727
8,75,2,3,-1.0085249694727771,0.8655823748704423
9,76,3,3,-1.0160795352176604,0.7788251303673674
6,77,0.1,3,-1.047725173045904,0.9832678636012995
12,78,0.1,4,-1.052872645981979,0.8446077807257959
