Clusters,Gene
17,7515
17,9188
17,26003
17,9950
17,81620
17,8894
17,27243
17,55677
17,4839
17,51018
17,6595
17,9774
17,4288
17,1108
17,6575
17,56916
17,123169
17,123169
17,4361
17,23524
17,55818
17,7155
17,57050
17,3066
17,3065
17,4331
17,7913
17,64426
17,51566
17,51729
17,51592
17,2962
17,7913
17,2962
17,2962
17,984
17,81622
17,9181
17,58506
17,123169
17,8893
17,329
17,11198
17,64710
17,81608
17,64423
17,55194
17,4691
17,7916
17,8805
17,22834
17,57678
17,6830
17,3066
17,51773
17,27336
17,65983
17,5321
17,3055
17,11231
17,64710
17,6597
17,1047
17,123169
17,55677
17,9669
17,1108
17,123169
17,123169
17,123169
17,9669
17,23350
17,5119
17,4799
17,54443
17,1108
17,51729
17,23215
17,9774
17,103
17,5777
17,5590
17,1495
17,64710
17,57680
17,9972
17,8662
17,10728
17,170954
17,2091
17,1938
17,55677
17,4236
17,23248
17,56829
17,123169
17,23332
17,9404
17,546
17,55677
17,5930
17,6093
17,1434
17,7030
17,7913
17,7913
17,8943
17,5127
17,23160
17,3069
17,6434
17,123169
17,51765
17,6431
17,84142
17,3996
17,9991
17,10260
17,6224
17,5725
17,55677
17,11198
17,9360
17,8805
17,9404
17,55677
17,84717
17,10424
17,9948
17,3609
17,55677
17,51585
17,10199
17,57509
17,4217
17,55023
17,689
17,23224
17,80344
17,11333
17,27336
17,29911
17,10625
17,4217
17,7186
17,2580
17,1880
17,54887
17,55227
17,1822
17,84875
17,8899
17,124245
17,7913
17,23028
17,3315
17,83989
17,51773
17,10923
17,57104
17,2802
17,85369
17,27336
17,2547
17,27067
17,1047
17,9669
17,9669
17,4288
17,60626
17,79156
17,1314
17,9798
17,55677
17,10250
17,7515
17,23524
17,6942
17,25978
17,6431
17,8479
17,22985
17,56829
17,51096
17,28964
17,55072
17,51366
17,27336
17,5082
17,91746
17,5591
17,6059
17,1832
17,64783
17,7153
17,10250
17,23
17,60626
17,2801
17,51755
17,7186
17,10250
17,8621
17,29896
17,23524
17,6434
17,4172
17,29896
17,29896
17,10772
17,29896
17,9584
17,6427
17,23524
17,51566
17,58506
17,22984
17,64121
17,8833
17,2956
17,29956
17,1108
17,54758
17,8663
17,5504
17,800
17,1047
17,22985
17,7082
17,23678
17,55083
17,10808
17,1654
17,57727
17,23524
17,3853
17,57326
17,9669
17,10923
17,1106
17,10923
17,10923
17,3178
17,56252
17,9774
17,55833
17,7184
17,23367
17,1783
17,23022
17,64852
17,9129
17,6093
17,1938
17,23070
17,11168
17,3181
17,51773
17,7155
17,1655
17,55300
17,6838
17,143
17,800
17,4642
17,841
17,64005
17,6595
17,546
17,11231
17,79083
17,56916
17,220988
17,10250
17,10250
17,10135
17,4939
17,4678
17,4691
17,9138
17,25766
17,55660
17,55660
17,10813
17,51773
17,84164
17,29896
17,83930
20,26156
20,23094
20,2059
20,4869
20,4678
20,1824
20,1824
20,8987
20,5903
20,4869
20,6181
20,7739
20,165904
20,1857
20,898
20,51512
20,55765
20,84958
20,113146
20,84624
20,1829
20,26156
20,286077
20,347734
20,9221
20,547
20,57509
20,146909
20,5317
20,81848
20,58472
20,79048
20,9919
20,56243
20,51755
20,3978
20,3856
20,3856
20,653489
20,54865
20,3190
20,63922
20,7358
20,3169
20,8660
20,9972
20,8878
20,54206
20,9053
20,10460
20,11169
20,2317
20,54443
20,987
20,81607
20,1462
20,1362
20,4131
20,9382
20,9669
20,7153
20,51430
20,1026
20,4175
20,6696
20,5903
20,6239
20,
20,768
20,9774
20,54443
20,143098
20,23607
20,7167
20,9685
20,6674
20,57697
20,79882
20,144501
20,11187
20,23607
20,8030
20,3880
20,345079
20,3178
20,8714
20,1462
20,58472
20,57099
20,5929
20,64375
20,4171
20,57594
20,6136
20,871
20,146909
20,64151
20,51155
20,6786
20,23310
20,3898
20,3978
20,3178
20,84164
20,1832
20,4799
20,79983
20,143684
20,9493
20,359948
20,9074
20,25939
20,51575
20,5934
20,983
20,9497
20,9053
20,4288
20,26509
20,90441
20,4233
20,56243
20,11273
20,151987
20,1786
20,1063
20,2887
20,23086
20,55143
20,22974
20,7110
20,9201
20,387680
20,1832
20,4691
20,6696
20,6696
20,51602
20,4678
20,4678
20,5702
20,222584
20,56243
20,79932
20,9188
20,672
20,22994
20,4691
20,113146
20,51097
20,8663
20,9188
20,56243
20,55681
20,54520
20,4172
20,4172
20,7158
20,8520
20,84295
20,56243
20,63967
20,113146
20,113146
20,8908
20,113146
20,54915
20,51441
20,84164
