 ,Area,Mean,Min,Max,Angle,Length
1,0.008,126.719,25.422,232.944,-126.870,0.783
2,0.008,126.719,25.422,232.944,-126.870,0.783
3,0.012,124.771,2.176,235.597,-149.668,1.127
4,0.012,127.952,57.631,214.258,-70.907,1.146
5,0.007,119.255,28.333,177.411,169.695,0.706
6,0.007,119.255,28.333,177.411,169.695,0.706
7,0.006,124.209,51.498,239.132,170.049,0.607
8,0.006,124.209,51.498,239.132,170.049,0.607
9,0.009,127.366,26.529,223.764,-126.076,0.895
10,0.005,117.392,10.025,211.064,135.939,0.452
11,0.003,107.530,8.744,226.511,20.136,0.325
12,0.003,107.530,8.744,226.511,20.136,0.325
13,0.003,115.147,1.389,170.470,-74.055,0.303
14,0.005,118.866,14.891,240.618,38.454,0.445
15,0.005,118.866,14.891,240.618,38.454,0.445
16,0.006,113.761,10.952,210.854,-146.310,0.532
17,0.011,126.177,22.875,220.750,75.530,1.004
18,0.011,126.177,22.875,220.750,75.530,1.004
19,0.008,128.035,38.217,230.836,-81.983,0.744
20,0.006,118.136,2.926,221.307,65.462,0.534
21,0.006,118.136,2.926,221.307,65.462,0.534
22,0.009,126.477,45.835,221.667,-118.989,0.889
23,0.013,126.982,37.821,197.889,-68.997,1.248
24,0.006,130.892,69.273,184.620,12.095,0.597
25,0.011,126.883,34.671,234.615,-49.699,1.074
26,0.005,125.814,40.944,220.759,41.634,0.502
27,0.005,125.814,40.944,220.759,41.634,0.502
28,0.008,124.923,60.233,202.481,-176.730,0.723
29,0.004,127.417,43.979,238.952,-95.194,0.348
30,0.004,127.417,43.979,238.952,-95.194,0.348
31,0.004,128.594,22.625,233.735,-117.255,0.391
32,0.004,128.594,22.625,233.735,-117.255,0.391
33,0.005,125.401,42.034,215.965,-44.061,0.452
