 ,Area,Mean,Min,Max,Angle,Length
1,0.010,129.388,24.955,202.090,101.669,0.985
2,0.008,119.815,11.793,232.519,37.807,0.769
3,0.005,119.878,20.402,224.183,127.147,0.426
4,0.006,117.276,40.389,236.773,-79.315,0.562
5,0.005,122.484,10.842,238.708,133.264,0.482
6,0.009,128.919,68.115,212.742,22.620,0.814
7,0.009,128.919,68.115,212.742,22.620,0.814
8,0.005,127.897,50.631,217.725,177.337,0.454
9,0.005,127.897,50.631,217.725,177.337,0.454
10,0.005,123.083,22.487,212.828,120.763,0.508
11,0.007,123.133,47.451,209.061,18.435,0.628
12,0.006,128.868,57.839,194.664,20.956,0.516
13,0.006,128.868,57.839,194.664,20.956,0.516
14,0.005,127.590,48.517,244.638,-26.565,0.488
15,0.005,127.590,48.517,244.638,-26.565,0.488
16,0.004,122.914,2.427,247.233,46.219,0.351
17,0.004,122.914,2.427,247.233,46.219,0.351
18,0.005,120.182,38.737,234.367,178.603,0.426
19,0.004,126.187,26.853,211.144,43.919,0.391
20,0.004,126.187,26.853,211.144,43.919,0.391
21,0.004,128.822,23.825,243.026,-82.694,0.415
22,0.004,125.351,18.091,228.339,-90.000,0.355
23,0.004,125.351,18.091,228.339,-90.000,0.355
24,0.006,126.746,83.102,222.531,-29.604,0.521
25,0.005,128.138,74.726,166.100,-98.842,0.473
26,0.005,125.767,32.956,176.597,-102.804,0.465
27,0.006,115.992,40.840,187.210,-102.171,0.537
28,0.006,128.629,61.753,181.906,67.989,0.522
29,0.004,120.621,24.924,180.417,47.291,0.371
30,0.004,123.903,42.386,221.830,-152.021,0.368
31,0.004,123.903,42.386,221.830,-152.021,0.368
32,0.005,125.912,19.444,193.603,-50.906,0.434
33,0.004,122.944,36.110,241.699,127.235,0.335
34,0.004,122.944,36.110,241.699,127.235,0.335
35,0.006,124.673,54.446,212.731,159.326,0.593
36,0.005,129.743,94.833,162.806,87.397,0.455
37,0.005,129.743,94.833,162.806,87.397,0.455
38,0.004,122.026,23.026,195.927,88.315,0.355
39,0.004,122.026,23.026,195.927,88.315,0.355
40,0.006,121.868,42.852,171.695,60.751,0.597
41,0.006,122.623,79.885,156.392,34.287,0.551
42,0.004,133.084,70.786,229.980,-34.114,0.389
43,0.004,133.084,70.786,229.980,-34.114,0.389
44,0.008,131.827,84.602,208.424,-127.030,0.740
45,0.005,130.586,64.680,206.475,29.899,0.477
46,0.005,124.535,64.839,178.036,102.095,0.451
47,0.005,124.535,64.839,178.036,102.095,0.451
48,0.004,120.869,48.629,219.291,-129.806,0.412
49,0.004,126.047,51.312,187.831,29.197,0.406
50,0.004,126.047,51.312,187.831,29.197,0.406
51,0.005,134.190,76.596,195.880,42.436,0.492
52,0.005,128.567,103.284,163.484,-168.179,0.451
53,0.006,125.475,36.971,235.929,0.000,0.525
54,0.009,128.109,11.356,238.106,-87.026,0.810
55,0.007,125.546,23.653,169.286,-0.843,0.709
56,0.006,123.946,78.649,161.901,-47.231,0.562
57,0.006,121.295,33.156,249.025,2.203,0.539
58,0.006,121.295,33.156,249.025,2.203,0.539
59,0.005,122.049,25.264,176.319,1.219,0.482
60,0.004,124.500,29.917,193.974,77.005,0.420
61,0.004,124.500,29.917,193.974,77.005,0.420
62,0.005,130.407,86.233,164.394,140.793,0.514
63,0.006,131.682,56.701,208.694,76.931,0.595
64,0.005,127.501,62.963,187.730,-20.854,0.472
65,0.004,128.821,45.905,213.166,90.000,0.369
66,0.004,128.821,45.905,213.166,90.000,0.369
67,0.005,130.942,67.240,190.195,80.311,0.431
68,0.004,132.535,76.760,202.694,15.124,0.396
69,0.004,132.535,76.760,202.694,15.124,0.396
70,0.004,118.641,70.291,168.731,124.114,0.397
71,0.004,118.641,70.291,168.731,124.114,0.397
72,0.005,127.800,83.541,182.165,147.848,0.433
73,0.004,121.103,70.924,205.600,59.036,0.362
74,0.004,121.103,70.924,205.600,59.036,0.362
75,0.004,123.101,9.616,174.317,-34.509,0.397
76,0.004,130.677,39.636,219.059,-86.820,0.383
77,0.005,129.324,70.841,219.880,141.546,0.454
78,0.004,123.342,54.172,187.193,-8.366,0.359
79,0.004,123.342,54.172,187.193,-8.366,0.359
80,0.005,124.564,62.337,232.189,84.428,0.428
