 ,Area,Mean,Min,Max,Angle,Length
1,0.006,134.549,84.579,176.827,-61.232,0.603
2,0.004,126.545,19.599,223.180,-136.042,0.403
3,0.004,126.545,19.599,223.180,-136.042,0.403
4,0.005,125.205,4.444,240.407,35.395,0.489
5,0.006,133.765,63.067,226.813,92.083,0.570
6,0.005,127.724,85.836,194.262,170.538,0.436
7,0.005,127.724,85.836,194.262,170.538,0.436
8,0.007,121.602,37.434,188.444,128.211,0.623
9,0.006,121.395,65.304,195.074,103.069,0.600
10,0.006,121.395,65.304,195.074,103.069,0.600
11,0.009,123.982,53.776,203.259,-175.179,0.864
12,0.003,109.632,30.840,236.623,133.668,0.324
13,0.003,109.632,30.840,236.623,133.668,0.324
14,0.003,118.869,38.222,216.429,98.130,0.295
15,0.003,118.869,38.222,216.429,98.130,0.295
16,0.006,121.962,21.202,230.486,8.130,0.589
17,0.003,136.027,55.556,211.661,-116.565,0.323
18,0.003,136.027,55.556,211.661,-116.565,0.323
19,0.003,116.166,37.519,222.268,-145.176,0.289
20,0.003,116.166,37.519,222.268,-145.176,0.289
21,0.005,120.781,30.833,209.952,159.146,0.462
22,0.005,120.781,30.833,209.952,159.146,0.462
23,0.005,117.490,34.306,207.609,144.904,0.470
24,0.005,117.490,34.306,207.609,144.904,0.470
25,0.005,116.772,5.792,240.909,-144.782,0.439
26,0.005,116.772,5.792,240.909,-144.782,0.439
27,0.004,121.273,0.100,228.785,32.905,0.420
28,0.005,120.928,0.667,222.158,158.962,0.431
29,0.005,123.917,18.651,220.895,85.426,0.516
30,0.005,127.447,49.025,218.079,52.125,0.475
31,0.004,125.092,62.686,239.411,130.236,0.345
32,0.004,125.092,62.686,239.411,130.236,0.345
33,0.006,121.972,49.422,171.725,57.771,0.574
34,0.005,128.452,36.218,211.909,36.607,0.447
35,0.005,128.452,36.218,211.909,36.607,0.447
36,0.006,121.469,15.601,180.211,-130.601,0.571
37,0.005,123.916,16.236,237.202,92.603,0.459
38,0.003,129.589,73.490,204.239,-168.690,0.270
39,0.003,129.589,73.490,204.239,-168.690,0.270
40,0.006,124.735,89.979,162.333,-171.573,0.562
41,0.006,124.735,89.979,162.333,-171.573,0.562
42,0.005,118.982,34.092,219.019,-57.848,0.424
43,0.004,139.197,88.815,197.333,-82.304,0.393
44,0.004,139.197,88.815,197.333,-82.304,0.393
45,0.005,121.291,25.256,180.000,9.866,0.480
46,0.006,116.350,23.174,185.151,-161.565,0.527
47,0.006,117.270,9.800,180.119,136.432,0.590
48,0.005,123.839,78.148,160.985,-132.510,0.511
49,0.005,123.839,78.148,160.985,-132.510,0.511
50,0.005,138.312,74.519,185.688,127.147,0.436
51,0.005,130.988,90.903,172.405,-76.908,0.455
52,0.005,123.632,55.600,161.330,-126.327,0.447
53,0.004,128.988,103.433,165.535,45.000,0.412
54,0.004,128.988,103.433,165.535,45.000,0.412
55,0.007,122.321,46.333,163.963,9.462,0.633
56,0.006,122.690,47.235,174.074,-55.751,0.589
57,0.005,117.450,63.877,167.104,-151.189,0.472
58,0.005,117.450,63.877,167.104,-151.189,0.472
59,0.004,121.920,56.364,149.403,-129.806,0.414
60,0.005,130.211,94.748,178.072,138.945,0.423
61,0.005,130.211,94.748,178.072,138.945,0.423
62,0.005,120.575,83.421,161.298,28.301,0.460
63,0.005,128.944,102.036,179.224,129.644,0.473
64,0.005,122.240,29.844,226.683,135.971,0.442
65,0.005,122.240,29.844,226.683,135.971,0.442
66,0.005,115.522,11.074,173.577,36.634,0.506
67,0.005,115.522,11.074,173.577,36.634,0.506
68,0.006,135.718,1.622,243.060,167.242,0.569
69,0.006,135.718,1.622,243.060,167.242,0.569
70,0.007,123.729,51.112,165.507,-116.131,0.615
71,0.007,121.506,45.894,193.460,31.293,0.617
72,0.005,119.468,47.921,212.201,106.314,0.448
73,0.006,129.461,95.897,171.931,-6.009,0.600
74,0.007,126.003,63.378,158.862,-97.722,0.617
75,0.004,123.993,45.333,188.133,-20.726,0.413
76,0.004,123.993,45.333,188.133,-20.726,0.413
77,0.005,128.800,80.407,168.094,73.887,0.492
78,0.004,129.189,74.167,174.079,-117.216,0.410
79,0.004,129.189,74.167,174.079,-117.216,0.410
80,0.005,126.463,80.547,195.023,37.648,0.456
81,0.005,126.463,80.547,195.023,37.648,0.456
82,0.007,124.136,36.484,194.835,54.039,0.656
83,0.005,123.037,78.396,193.351,-144.782,0.439
84,0.005,123.037,78.396,193.351,-144.782,0.439
85,0.007,129.765,83.896,188.244,176.186,0.626
86,0.005,121.198,60.070,191.080,0.000,0.431
87,0.004,132.377,71.504,190.600,-19.359,0.413
88,0.004,132.377,71.504,190.600,-19.359,0.413
89,0.006,121.027,48.844,161.263,53.130,0.517
90,0.007,128.243,82.646,180.778,129.226,0.662
91,0.005,130.952,66.598,244.609,166.264,0.485
92,0.005,130.952,66.598,244.609,166.264,0.485
93,0.005,133.256,100.675,169.338,127.875,0.475
94,0.005,133.256,100.675,169.338,127.875,0.475
95,0.005,114.783,34.277,184.064,86.496,0.515
96,0.007,127.200,79.248,163.039,1.685,0.708
97,0.005,124.648,31.925,202.998,91.273,0.472
