,Clusters,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
38,23,VEGF_A_UP.V1_DN,VEGF_A_UP.V1_DN,19/396,193/10915,7.43E-05,0.012930807,0.004119918,4131/9774/9188/9360/23195/5597/9859/57187/55183/79080/10914/9169/26155/4001/7090/22994/23376/11177/5411,19
39,23,GCNP_SHH_UP_EARLY.V1_UP,GCNP_SHH_UP_EARLY.V1_UP,17/396,172/10915,0.000168164,0.029092441,0.006992099,23095/65109/9782/117246/23047/8505/54542/51574/10772/27125/7155/3930/23360/55105/81608/79733/5930,17
40,24,GCNP_SHH_UP_LATE.V1_UP,GCNP_SHH_UP_LATE.V1_UP,19/270,181/10915,1.06E-07,1.83E-05,1.78E-05,3619/4869/79733/9055/58472/57697/253943/4582/9787/3169/55320/83939/995/983/8161/117246/27332/4173/1315,19
41,24,VEGF_A_UP.V1_DN,VEGF_A_UP.V1_DN,15/270,193/10915,8.81E-05,0.015157994,0.007421294,9774/9859/9133/7090/10940/4131/23362/9787/57187/55183/54505/22994/4173/55660/5411,15
42,24,EIF4E_DN,EIF4E_DN,10/270,100/10915,0.000177179,0.03029764,0.009946901,58472/8087/7158/51742/135112/5903/57496/9685/987/23215,10
43,24,E2F1_UP.V1_UP,E2F1_UP.V1_UP,14/270,188/10915,0.000236574,0.04021763,0.009961023,2146/9221/79733/9055/5925/57697/283899/9787/80728/7486/1994/55690/4173/9100,14
44,25,VEGF_A_UP.V1_DN,VEGF_A_UP.V1_DN,22/454,193/10915,1.67E-05,0.003062595,0.001839486,7290/7090/4683/9859/55854/23376/9774/23195/9360/9169/8202/4999/10914/22994/23223/10051/55183/7706/6241/5255/4131/11177,22
45,25,TBK1.DF_DN,TBK1.DF_DN,28/454,285/10915,2.09E-05,0.003808948,0.001839486,23086/1308/26000/2040/9748/23376/25957/7586/8204/26064/9360/9169/8202/23049/23527/571/27125/10198/10142/23389/51773/55183/490/55102/79657/54874/2801/55435,28
46,25,CAMP_UP.V1_DN,CAMP_UP.V1_DN,21/454,199/10915,8.14E-05,0.014736117,0.004770634,57523/1975/23365/9644/6239/3566/26115/10129/23344/7082/9448/23786/10250/613/6599/473/490/23022/817/9231/10397,21
47,25,PGF_UP.V1_UP,PGF_UP.V1_UP,20/454,190/10915,0.000123992,0.02231855,0.00544912,1462/23376/8767/9857/9126/6814/9774/50618/9360/9169/10914/571/10142/79882/23139/9321/10051/55183/6880/23224,20
48,25,EIF4E_DN,EIF4E_DN,13/454,100/10915,0.000245382,0.043923433,0.008627125,9685/23215/8481/5903/9522/23054/57496/10724/23327/9321/7976/57634/23001,13
49,26,CORDENONSI_YAP_CONSERVED_SIGNATURE,CORDENONSI_YAP_CONSERVED_SIGNATURE,8/316,57/10915,0.000216887,0.039473508,0.037898221,4082/1601/2316/10395/63898/8436/7145/3925,8
50,29,EIF4E_DN,EIF4E_DN,17/588,100/10915,2.18E-05,0.004031238,0.003945223,5903/54832/23054/9743/23327/57634/54477/9321/51742/7158/57609/55749/1793/4217/4008/10318/7318,17
