,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
91,1,6,4,1,-25.42156160132533,-5.631212298955494
279,2,12,4,0.5,-27.156043371507867,-2.746154150704938
66,3,4,3,10,-27.22922334556739,-13.289443455892293
287,4,12,4,5,-28.752721384408893,-2.7869789229387303
18,5,3,3,0.0,-29.638518490488117,-22.223431633173938
98,6,6,3,10,-30.300443407165506,-6.963262362535855
362,7,15,3,0.0,-30.476826819817404,-3.699949575127957
294,8,12,3,20,-32.77837099064412,-6.8702117502659465
33,9,3,3,5,-33.036607497269976,-19.03528238908031
253,10,11,2,5,-33.28362264794194,-7.654783550285534
155,11,8,4,1,-33.412781994008,-2.4023514442840304
249,12,11,2,1,-33.46719216817401,-7.174728387616549
298,13,13,3,0.0,-33.61007482137252,-6.039819327236436
135,14,7,4,20,-33.81243755239435,-6.416629865903921
263,15,11,4,20,-34.31531293972601,-3.7899639692858136
270,16,12,3,0.1,-34.511152442377515,-4.7089567247030875
206,17,10,3,0.1,-34.52397016476619,-6.219245738179216
299,18,13,4,0.0,-34.74670884626044,-2.311066193089879
39,19,3,3,20,-34.80497804421312,-12.452132091583348
233,20,11,2,0.0,-34.933799878998265,-8.997194049165222
197,21,9,2,20,-35.331859855449714,-8.062034405667585
137,22,8,2,0.0,-36.40503866405947,-10.970303033223141
17,23,3,2,0.0,-36.698659295801534,-23.997418567511506
223,24,10,4,5,-36.79443097996379,-5.975263398076282
295,25,12,4,20,-37.11079599301229,-3.6884048372937412
322,26,13,3,10,-37.52484170428662,-5.516013577800591
238,27,11,3,0.1,-38.348078200361144,-6.725669778852937
278,28,12,3,0.5,-39.87164491719065,-3.02244441482022
117,29,7,2,0.5,-39.96217367824246,-14.395179192172089
179,30,9,4,0.25,-40.37074691999079,-6.65546989289926
239,31,11,4,0.1,-40.56489668415893,-3.883053629926413
191,32,9,4,5,-40.78621005201706,-5.872117481825552
146,33,8,3,0.25,-41.27140310249273,-9.80705857958029
281,34,12,2,1,-41.477288644442254,-7.288559336447136
167,35,8,4,20,-41.85625630609478,-5.88791502240771
222,36,10,3,5,-41.95586742596695,-6.9014500149069224
231,37,10,4,20,-42.152019608324444,-3.695101120309972
71,38,4,4,20,-42.21714750485805,-13.226505040414398
163,39,8,4,10,-42.2522414706771,-5.118065759565762
209,40,10,2,0.25,-42.488075346982,-9.943916002527498
151,41,8,4,0.5,-42.6010261929212,-6.011649037145164
159,42,8,4,5,-42.82110658470322,-5.5856242566573275
306,43,13,3,0.25,-43.27732346521883,-7.041926335908116
363,44,15,4,0.0,-43.465527157754295,-4.089797434443894
338,45,14,3,0.25,-43.59449110694494,-4.02558528244342
247,46,11,4,0.5,-43.666886513129,-2.64531931543642
258,47,11,3,10,-43.72679288881328,-10.13118193455193
292,48,12,1,20,-44.017377778756625,-28.063218525176886
21,49,3,3,0.1,-44.40224642679211,-24.856079569126276
225,50,10,2,10,-44.44370782308212,-9.787871120840094
201,51,10,2,0.0,-44.545648703718875,-9.384487938929974
361,52,15,2,0.0,-44.65925787044916,-9.20568746072175
161,53,8,2,10,-44.71958146882393,-9.9933978796934
183,54,9,4,0.5,-44.73221763656356,-4.717751709952483
323,55,13,4,10,-44.84761961987763,-3.698602147219572
291,56,12,4,10,-45.250380398360946,-4.6610456266095746
371,57,15,4,0.25,-45.43673051465613,-1.5592828620173314
259,58,11,4,10,-45.4581464533475,-7.046950114957893
271,59,12,4,0.1,-45.60568847958639,-2.4898247197255223
269,60,12,2,0.1,-46.035724794268056,-8.987893525536752
230,61,10,3,20,-46.35156717711999,-5.370716263977112
100,62,6,1,20,-46.37308574700394,-29.750711863503376
261,63,11,2,20,-46.79692739322141,-6.1411896132793045
389,64,15,2,20,-46.9605054181428,-6.141934613388559
237,65,11,2,0.1,-46.974695918249,-8.889354575270719
219,66,10,4,1,-47.0963707313495,-2.74766010993401
196,67,9,1,20,-47.19178018151781,-27.89659686379708
164,68,8,1,20,-47.331181478051406,-27.566233637855653
126,69,7,3,5,-47.354110689883896,-9.924717405094224
202,70,10,3,0.0,-47.50390543379672,-7.096778688379629
339,71,14,4,0.25,-47.663521566689255,-2.6347703799547517
289,72,12,2,10,-47.71098006332094,-9.044511555247054
356,73,14,1,20,-48.03150514362011,-29.96669326394538
134,74,7,3,20,-48.13379193315469,-8.327961766999739
65,75,4,2,10,-48.68324859976931,-19.67967212707199
99,76,6,4,10,-48.87776054775753,-11.070492143525092
357,77,14,2,20,-49.08251707658965,-7.3193632234507175
207,78,10,4,0.1,-49.22942392279082,-7.1677949357610675
313,79,13,2,1,-49.24191068410194,-6.342228582130071
177,80,9,2,0.25,-49.27749752049236,-9.879646486847168
221,81,10,2,5,-49.518576713150324,-10.786786347492221
228,82,10,1,20,-49.87772569853889,-27.860435424690053
153,83,8,2,1,-50.19224167954303,-11.091501745300608
132,84,7,1,20,-50.24498590354388,-29.427553866479563
277,85,12,2,0.5,-50.26931404517455,-8.833554330294977
32,86,3,2,5,-50.39312354238129,-26.558179586254546
229,87,10,2,20,-50.629988889971024,-8.052385870396341
350,88,14,3,5,-50.811890670826735,-4.510106084901093
224,89,10,1,10,-51.47376515497062,-32.475820730497574
36,90,3,3,10,-51.711984414267434,-16.489654105058822
347,91,14,4,1,-51.853065610050905,-2.449349389065497
275,92,12,4,0.25,-51.87446469201775,-3.5964710939048645
80,93,6,1,0.25,-51.9563644011899,-38.114214472223
391,94,15,4,20,-51.9631942266544,-3.4784626523158133
3,95,2,2,0.1,-52.005000884447895,-34.64692697301673
342,96,14,3,0.5,-52.008399958300856,-4.118763535575674
326,97,13,3,20,-52.10134844852023,-6.370417367136899
62,98,4,3,5,-52.25220496315711,-15.619904030421022
382,99,15,3,5,-52.30194196349022,-7.229237847613544
254,100,11,3,5,-52.36689521709859,-7.502794692210591
385,101,15,2,10,-52.41417880335183,-6.818424630487527
205,102,10,2,0.1,-52.69854967417255,-9.019710763670243
260,103,11,1,20,-52.88724358494032,-26.02109708026062
101,104,6,2,20,-53.462509771015064,-13.011059205703617
215,105,10,4,0.5,-53.47682279327108,-4.4112625868191895
319,106,13,4,5,-53.51001795029256,-3.5116497220255196
379,107,15,4,1,-53.52765291486428,-2.767859253221464
108,108,7,1,0.1,-53.68198113303298,-38.57726137996046
198,109,9,3,20,-53.77158686162282,-6.5105528586131145
165,110,8,2,20,-53.85456745575281,-12.199681259954737
61,111,4,2,5,-53.88748302209658,-21.37576409056852
79,112,6,4,0.1,-54.15296735817507,-9.684649189356254
1,113,2,2,0.0,-54.38792961677675,-30.77510592643838
106,114,7,3,0.0,-54.467757870611216,-9.187272589609261
188,115,9,1,5,-54.60332720787377,-35.30298238852253
335,116,14,4,0.1,-54.784509590759946,-2.933257239027764
378,117,15,3,1,-54.802672030789196,-3.1836590780659457
359,118,14,4,20,-54.939384909337754,-3.4147007609045126
130,119,7,3,10,-54.95470179239501,-12.024463369415477
241,120,11,2,0.25,-55.343061467444855,-8.228294254748562
303,121,13,4,0.1,-55.41488712733612,-3.0005743442317305
257,122,11,2,10,-55.539765551589085,-9.857268365860163
284,123,12,1,5,-55.615741534447544,-35.03485621687183
336,124,14,1,0.25,-55.73429826959616,-35.23810640946141
364,125,15,1,0.1,-55.75656532761948,-33.155564530379976
63,126,4,4,5,-55.78313277264219,-17.121332682211936
358,127,14,3,20,-55.81457279062247,-4.8993496560073915
124,128,7,1,5,-55.83755153213593,-33.76919773785487
348,129,14,1,5,-55.839668792304884,-33.99933110203135
264,130,12,1,0.0,-55.88241729264735,-37.314376696916916
141,131,8,2,0.1,-55.96220170951167,-8.91656758766885
324,132,13,1,20,-55.9694989031938,-28.241698941467558
67,133,4,4,10,-56.077023264063314,-12.6213136909857
332,134,14,1,0.1,-56.17452400406815,-36.90309817978701
57,135,4,2,1,-56.18143845280641,-31.33740986619431
315,136,13,4,1,-56.233556410585265,-2.232256157217781
208,137,10,1,0.25,-56.327137579551845,-37.0269123281092
160,138,8,1,10,-56.46973156172489,-32.213732238826765
321,139,13,2,10,-56.72431903990582,-9.794131417042427
333,140,14,2,0.1,-56.87738915585659,-7.409776177585206
