,Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
331,1,14,4,0.0,-19.259442953797702,-2.573903249375282
254,2,11,3,5,-20.042914118006387,-5.157832453485392
266,3,12,3,0.0,-26.030238823943336,-3.2454391316874664
335,4,14,4,0.1,-26.92894101620463,-3.1412710694130523
295,5,12,4,20,-27.706828567557505,-2.9681610011150736
186,6,9,3,1,-27.866582820111915,-6.99093356170498
363,7,15,4,0.0,-28.455250138681997,-2.384044756719197
250,8,11,3,1,-29.127100010101493,-5.75979179551931
270,9,12,3,0.1,-29.51601605425511,-6.673535380516727
253,10,11,2,5,-29.66880572791009,-6.994764189027675
371,11,15,4,0.25,-29.792169524109205,-4.765809540315499
303,12,13,4,0.1,-30.498084549023446,-2.488434007738672
274,13,12,3,0.25,-31.07081576043896,-5.268690793848491
375,14,15,4,0.5,-31.74608112211822,-2.3861542577787325
299,15,13,4,0.0,-33.47423734543113,-1.3756107692125084
222,16,10,3,5,-33.629235147846906,-4.298248641116032
239,17,11,4,0.1,-34.09626177722706,-3.685694519703106
387,18,15,4,10,-34.39840322638804,-2.843155241815763
194,19,9,3,10,-34.45139142850691,-4.66680202413337
39,20,3,3,20,-34.5525779125055,-9.460556084549502
343,21,14,4,0.5,-34.758108240693915,-2.7460998569467776
323,22,13,4,10,-35.73548132673625,-2.6344285690251774
354,23,14,3,10,-35.79554531632332,-5.807408490735673
206,24,10,3,0.1,-35.85368814915431,-7.724580456194479
386,25,15,3,10,-36.36346192743214,-4.2226084220241455
382,26,15,3,5,-36.45433436795502,-4.698246342879611
377,27,15,2,1,-37.04716739890504,-5.660697938893453
315,28,13,4,1,-37.14073637674905,-1.9430621254156684
350,29,14,3,5,-37.23900204034343,-3.5508546519386854
62,30,4,3,5,-37.291899527614916,-14.09837662767086
385,31,15,2,10,-37.52737075631686,-3.9463405022137117
36,32,3,3,10,-37.95094463509399,-10.42422484598796
61,33,4,2,5,-38.23079302167512,-22.190355771431932
367,34,15,4,0.1,-41.39685637854018,-2.1706135566006624
199,35,9,4,20,-41.47821886309724,-3.603160473851131
256,36,11,1,10,-41.48862224084176,-23.555747916075784
320,37,13,1,10,-41.55061019665554,-22.14785670519946
165,38,8,2,20,-42.49136834281334,-12.261998596912147
238,39,11,3,0.1,-42.584468814543094,-6.653322060643821
322,40,13,3,10,-42.73861551553992,-3.6137764229103526
321,41,13,2,10,-43.01369514389532,-6.242053793940681
325,42,13,2,20,-43.32357065528814,-6.7928352165251
189,43,9,2,5,-43.595686676794415,-7.462484563439186
159,44,8,4,5,-43.816051243774716,-4.854870675435887
381,45,15,2,5,-43.85957653934569,-5.957370453815134
133,46,7,2,20,-43.97503078111258,-11.684044855643103
220,47,10,1,5,-44.19388585685616,-27.729754563111015
94,48,6,3,5,-44.2718662368252,-11.622779141411751
284,49,12,1,5,-44.62575043411146,-25.57073774945759
275,50,12,4,0.25,-44.71648045581751,-3.4173279918629413
319,51,13,4,5,-44.89696206758278,-2.823799483339333
262,52,11,3,20,-45.0415778905926,-4.560948237982979
289,53,12,2,10,-45.163232363216174,-5.204401841727345
247,54,11,4,0.5,-45.38319565772234,-3.414715588670532
307,55,13,4,0.25,-45.850048896894734,-2.518356313271996
223,56,10,4,5,-46.10328502646505,-3.9422271593254834
93,57,6,2,5,-46.451453897265395,-15.32035559466311
32,58,3,2,5,-46.799915837560945,-24.41721198815921
353,59,14,2,10,-46.83098914254461,-5.278471478556175
260,60,11,1,20,-46.981684781641626,-23.032247035050315
154,61,8,3,1,-47.3409025916229,-6.057204888479525
316,62,13,1,5,-48.2715191517986,-26.788137093573642
313,63,13,2,1,-48.447237745173844,-8.492652809067398
383,64,15,4,5,-48.59354918546418,-2.245181930231117
283,65,12,4,1,-48.7835459564278,-2.748893068025712
337,66,14,2,0.25,-48.97867287094909,-7.972716862192423
207,67,10,4,0.1,-49.04649723691928,-4.121437738781684
196,68,9,1,20,-49.12896321711763,-22.697246864068017
366,69,15,3,0.1,-49.23244673588334,-3.4549639464482302
348,70,14,1,5,-49.47074358052923,-30.782038497534494
158,71,8,3,5,-49.49485756810362,-8.275939246885502
352,72,14,1,10,-49.55028468765158,-22.922411842456075
318,73,13,3,5,-49.56976902596628,-3.741810932543146
205,74,10,2,0.1,-49.604018857970814,-12.778398905401522
31,75,3,1,5,-49.84353222707072,-34.56773918918344
356,76,14,1,20,-49.98076608249609,-23.534163850238812
388,77,15,1,20,-50.03248466913681,-20.666639582836396
202,78,10,3,0.0,-50.685728620563296,-5.91216005381652
193,79,9,2,10,-50.70958889104267,-5.5005872325895355
302,80,13,3,0.1,-50.85543863588946,-4.2673601185872085
64,81,4,1,10,-50.93607313073141,-31.050193798781812
355,82,14,4,10,-51.31474721510874,-3.0098411522245057
211,83,10,4,0.25,-51.32603968372238,-4.18987573456022
347,84,14,4,1,-52.187182280714126,-2.4540387920393223
252,85,11,1,5,-52.20791758689321,-25.735703919049122
285,86,12,2,5,-52.41820043688669,-7.784472076323496
209,87,10,2,0.25,-52.45338760578909,-10.060514728744128
191,88,9,4,5,-52.5662139947281,-4.664166528738503
384,89,15,1,10,-52.79542730887205,-24.294553442601014
342,90,14,3,0.5,-52.80770345441245,-2.8808249825572947
182,91,9,3,0.5,-52.92696328480118,-7.342998632428146
156,92,8,1,5,-53.01112581771006,-26.050419720288254
390,93,15,3,20,-53.098952230481224,-3.3619620457041948
179,94,9,4,0.25,-53.10028204659211,-4.266352237306224
127,95,7,4,5,-53.248733520439814,-6.135863414295828
124,96,7,1,5,-54.005762895598004,-27.093579417293334
298,97,13,3,0.0,-54.08653198136987,-6.337689628343769
338,98,14,3,0.25,-54.17923043304661,-4.5576906331892175
351,99,14,4,5,-54.20805550662698,-3.041525739678297
74,100,6,3,0.0,-54.309850926237324,-19.1317685164774
63,101,4,4,5,-54.94918721531438,-13.81470994418845
228,102,10,1,20,-55.12959218717613,-23.551337588661646
132,103,7,1,20,-55.155514098368755,-28.579803968789633
68,104,4,1,20,-55.655887735666944,-34.31363751724165
29,105,3,2,1,-55.874814450876364,-25.408497384744855
122,106,7,3,1,-55.90574527207733,-13.007697957059856
269,107,12,2,0.1,-55.92782506851707,-9.588766536339916
309,108,13,2,0.5,-56.09143811718811,-7.481119645597337
227,109,10,4,10,-56.15215018252919,-4.441094980153873
161,110,8,2,10,-56.38291340735149,-8.930860349652521
324,111,13,1,20,-56.45654454327009,-23.593797602648316
374,112,15,3,0.5,-56.47766748584951,-4.098066187270694
224,113,10,1,10,-56.7686526939702,-25.159916035455513
276,114,12,1,0.5,-56.8596955617316,-34.892652182794215
225,115,10,2,10,-56.88408932548897,-7.428191388267855
330,116,14,3,0.0,-57.29206051081063,-3.967084129542851
190,117,9,3,5,-57.304387563964916,-5.3231898605841605
100,118,6,1,20,-57.350445358391724,-28.68934886568719
267,119,12,4,0.0,-57.377783423351254,-3.1940420453339846
88,120,6,1,1,-57.37819241297626,-36.97261942361329
34,121,3,1,10,-57.68761308344144,-35.41142490717798
140,122,8,1,0.1,-57.79959891406859,-40.6605205126079
188,123,9,1,5,-58.1416359516075,-24.903991902029738
282,124,12,3,1,-58.432657288665915,-6.195948379341268
389,125,15,2,20,-58.47446948271696,-6.103588225715281
35,126,3,2,10,-58.551953869569545,-24.69678888079085
97,127,6,2,10,-58.78101299250253,-15.820432388901057
226,128,10,3,10,-58.90826330857188,-4.527067911725635
249,129,11,2,1,-59.1025090615927,-10.004723428712381
208,130,10,1,0.25,-59.51868574640859,-38.33098454586409
180,131,9,1,0.5,-59.684010520437525,-35.715886358891105
200,132,10,1,0.0,-59.68784884663057,-37.058590294333996
268,133,12,1,0.1,-59.80106619197598,-36.30805258566186
317,134,13,2,5,-59.8502799962346,-4.076805412442935
176,135,9,1,0.25,-60.08091021918769,-38.803121069753765
329,136,14,2,0.0,-60.14304680425737,-8.534052952139428
160,137,8,1,10,-60.15333581347794,-24.372133683422938
204,138,10,1,0.1,-60.37889583962958,-37.193494875075444
391,139,15,4,20,-60.46717510121456,-2.0515420732154577
120,140,7,1,1,-60.66184964209949,-37.50014296273992
106,141,7,3,0.0,-60.785058097858084,-11.39459118857252
218,142,10,3,1,-60.79743272006336,-7.700773353789249
212,143,10,1,0.5,-60.96767757685363,-36.882237705378394
378,144,15,3,1,-60.969556554963255,-3.6944525327067206
244,145,11,1,0.5,-61.04973556562959,-37.72284540123119
112,146,7,1,0.25,-61.238781528641105,-40.30795539422458
360,147,15,1,0.0,-61.26899814346414,-34.157498982579874
344,148,14,1,1,-61.28549985100417,-34.13926969878028
314,149,13,3,1,-61.29476245324154,-3.531554127200355
125,150,7,2,5,-61.325578040760185,-12.799209056997508
216,151,10,1,1,-61.50170566781132,-37.05396779219207
60,152,4,1,5,-61.52077506989658,-32.90072361245943
340,153,14,1,0.5,-61.535321496107166,-32.92943048248311
364,154,15,1,0.1,-61.721574240164,-34.456784404697274
96,155,6,1,10,-61.74458672354301,-29.35881110108601
278,156,12,3,0.5,-62.01570253589769,-4.802198488004762
272,157,12,1,0.25,-62.03693871117205,-36.33002071587259
257,158,11,2,10,-62.0680085509956,-5.269792967307103
362,159,15,3,0.0,-62.243254507176744,-3.6745317801708546
144,160,8,1,0.25,-62.82820645440084,-39.82760836105059
92,161,6,1,5,-62.85211456669178,-30.14095765482878
241,162,11,2,0.25,-62.94957870092162,-9.919725150458435
214,163,10,3,0.5,-62.970759859632906,-6.655493482313479
198,164,9,3,20,-63.10564070905848,-5.087486953108274
279,165,12,4,0.5,-63.15166893922727,-3.6920531487669868
150,166,8,3,0.5,-63.17998751415412,-6.460219507597303
148,167,8,1,0.5,-63.27190997802853,-39.80497144768317
72,168,6,1,0.0,-63.4616941032902,-41.37004864185278
187,169,9,4,1,-63.51572960945107,-2.317837016827674
380,170,15,1,5,-63.679659637193325,-30.869254496148095
163,171,8,4,10,-63.78131471426518,-5.104041912016883
304,172,13,1,0.25,-63.83040888110702,-35.72582888402738
152,173,8,1,1,-64.01141699023393,-36.75213333068761
357,174,14,2,20,-64.27523734522272,-4.6771913564477945
56,175,4,1,1,-64.40547193619015,-37.332943039126555
339,176,14,4,0.25,-64.5576195066194,-1.6693200761607998
128,177,7,1,10,-64.77070020502528,-25.73163519581078
30,178,3,3,1,-64.90311195407968,-18.52069605566859
365,179,15,2,0.1,-65.02450155184587,-9.045267953065562
312,180,13,1,1,-65.10527514320577,-33.20374337846815
328,181,14,1,0.0,-65.13098578354413,-34.25051133130753
336,182,14,1,0.25,-65.14173734577423,-33.70212297307901
28,183,3,1,1,-65.30509615222111,-34.96288654193073
192,184,9,1,10,-65.32305720666174,-23.33482403932337
235,185,11,4,0.0,-65.33291488359357,-4.022550155452493
71,186,4,4,20,-65.35546895413869,-11.181309149822365
33,187,3,3,5,-65.6321758975716,-12.205359564743302
172,188,9,1,0.1,-65.63719427937085,-38.239135281053635
300,189,13,1,0.1,-65.65374178242062,-36.14102480066203
210,190,10,3,0.25,-65.67242163371155,-4.740483259346168
236,191,11,1,0.1,-65.72552324610731,-38.26609622184997
37,192,3,1,20,-65.84272240261437,-35.81799141750475
288,193,12,1,10,-65.93838440674435,-22.851207479415326
184,194,9,1,1,-66.10452346959963,-37.4889734362684
259,195,11,4,10,-66.48970071098371,-3.2401207078606484
305,196,13,2,0.25,-66.549880561393,-8.385503871403978
221,197,10,2,5,-66.5891924193006,-8.009788676204213
376,198,15,1,1,-66.72982200750658,-33.32325087821693
86,199,6,3,0.5,-66.90296399546986,-13.047489824659106
280,200,12,1,1,-67.0239654656874,-35.40165766044284
48,201,4,1,0.25,-67.1518420192397,-41.829808588689914
333,202,14,2,0.1,-67.36283538195748,-8.735515039295215
308,203,13,1,0.5,-67.49423209090233,-33.610629338663
119,204,7,4,0.5,-67.6127093951953,-6.485036336562052
70,205,4,3,20,-67.83309225532608,-13.130444016347539
114,206,7,3,0.25,-67.95700581428046,-9.912788783870429
346,207,14,3,1,-68.27952169646979,-3.3886232443376842
373,208,15,2,0.5,-68.33541543213705,-7.776425584843468
379,209,15,4,1,-68.50747040164437,-1.574798217678253
157,210,8,2,5,-68.52034389152836,-10.304054226227208
175,211,9,4,0.1,-68.52883868500233,-6.744287747447119
22,212,3,1,0.25,-68.60924969798349,-42.51817053758897
372,213,15,1,0.5,-68.70055464906486,-34.20235913719107
248,214,11,1,1,-69.32152931389247,-35.70382896620227
104,215,7,1,0.0,-69.57917330345799,-40.63666762442552
136,216,8,1,0.0,-69.76770899384151,-41.051757876647684
44,217,4,1,0.1,-69.8313316359585,-42.6451560761857
2,218,2,1,0.1,-69.9273349324935,-44.17399542507257
83,219,6,4,0.25,-69.95384380008014,-8.25183371425894
57,220,4,2,1,-69.98553751310321,-22.289315292913003
349,221,14,2,5,-70.05188746566623,-6.271003135760883
25,222,3,1,0.5,-70.12362061519987,-41.36500131381441
53,223,4,2,0.5,-70.14777850856032,-25.960779092202635
155,224,8,4,1,-70.15175806639276,-3.5873246825674947
116,225,7,1,0.5,-70.27707472014325,-40.65402913067455
327,226,13,4,20,-70.30925344340578,-2.878738190080321
134,227,7,3,20,-70.44241559848884,-8.465856020680837
368,228,15,1,0.25,-70.51309227400324,-33.36904916560431
292,229,12,1,20,-70.68633692606325,-24.07217967893735
108,230,7,1,0.1,-71.18419497070735,-39.96813566175051
80,231,6,1,0.25,-71.35927128794803,-41.53523126453231
6,232,2,1,0.5,-71.5307644336113,-43.46184536705306
84,233,6,1,0.5,-71.6813042611982,-40.2145482859042
131,234,7,4,10,-71.7131285921461,-5.198912012224292
10,235,2,1,5,-71.85831247350106,-41.045822700913334
149,236,8,2,0.5,-72.09704606266028,-16.269320379214694
52,237,4,1,0.5,-72.37223717026498,-41.418523061317515
264,238,12,1,0.0,-72.39858316102124,-36.5965761105003
12,239,2,1,10,-72.47607367265925,-41.106106070425334
359,240,14,4,20,-72.64518237363141,-2.3340225977164577
271,241,12,4,0.1,-72.72001976840686,-2.9231725834460396
99,242,6,4,10,-73.01287886176337,-6.886428956923988
