 ,Area,Mean,Min,Max,Angle,Length
1,0.004,104.465,1.573,254.802,-83.089,0.350
2,0.004,104.465,1.573,254.802,-83.089,0.350
3,0.020,125.607,2.701,236.924,-11.679,1.901
4,0.004,108.804,1.701,249.634,-149.300,0.386
5,0.004,108.804,1.701,249.634,-149.300,0.386
6,0.009,120.653,28.418,241.266,-36.444,0.844
7,0.009,120.653,28.418,241.266,-36.444,0.844
8,0.005,125.991,2.910,250.876,109.290,0.444
9,0.005,125.991,2.910,250.876,109.290,0.444
10,0.006,120.267,48.931,234.707,9.782,0.605
11,0.006,120.267,48.931,234.707,9.782,0.605
12,0.006,128.443,30.470,240.529,4.014,0.599
13,0.006,128.443,30.470,240.529,4.014,0.599
14,0.034,127.895,29.862,228.770,137.478,3.234
15,0.005,130.076,0.183,231.462,11.310,0.482
16,0.003,125.646,1.732,252.778,-39.806,0.325
17,0.003,125.646,1.732,252.778,-39.806,0.325
18,0.006,127.539,16.907,252.854,20.323,0.593
19,0.004,133.572,49.306,249.483,-22.109,0.361
20,0.004,133.572,49.306,249.483,-22.109,0.361
21,0.004,128.737,26.151,243.882,119.932,0.398
22,0.005,121.505,13.116,253.233,122.905,0.431
