 ,Area,Mean,Min,Max,Angle,Length
1,0.005,117.379,29.136,240.667,-73.301,0.435
2,0.005,117.379,29.136,240.667,-73.301,0.435
3,0.007,128.510,39.392,231.908,-103.829,0.701
4,0.011,124.337,11.983,232.380,67.977,1.003
5,0.012,126.843,29.444,187.757,148.261,1.191
6,0.006,116.746,10.296,238.208,-42.580,0.531
7,0.004,131.276,13.766,235.203,-105.524,0.387
8,0.004,131.276,13.766,235.203,-105.524,0.387
9,0.003,104.980,32.671,241.037,150.018,0.317
10,0.011,124.682,27.497,232.024,114.201,1.020
11,0.010,125.903,27.076,231.641,-56.310,0.901
12,0.004,93.960,0.000,254.667,-90.000,0.333
13,0.004,93.960,0.000,254.667,-90.000,0.333
14,0.002,102.418,0.749,239.338,-51.340,0.197
15,0.002,102.418,0.749,239.338,-51.340,0.197
16,0.009,122.121,28.745,220.370,171.363,0.829
17,0.007,127.230,47.861,203.078,-85.668,0.683
18,0.009,122.432,46.369,244.561,-173.211,0.882
19,0.007,124.423,29.507,216.910,-86.248,0.640
20,0.014,126.172,18.103,249.381,-107.272,1.296
21,0.004,130.385,28.072,241.139,-141.340,0.395
22,0.004,130.385,28.072,241.139,-141.340,0.395
23,0.005,105.900,9.728,242.323,-167.619,0.441
24,0.003,111.463,32.711,185.259,-48.991,0.315
25,0.003,111.463,32.711,185.259,-48.991,0.315
26,0.008,123.407,20.889,232.103,-103.627,0.714
27,0.006,122.247,41.236,235.538,-4.316,0.557
28,0.007,122.753,2.266,207.412,-101.802,0.708
29,0.008,125.179,30.486,236.617,-135.556,0.756
30,0.004,122.613,6.726,241.667,-77.800,0.398
31,0.004,122.613,6.726,241.667,-77.800,0.398
32,0.005,118.689,20.277,242.533,-175.333,0.516
33,0.005,120.835,21.560,203.397,-70.017,0.488
34,0.005,120.835,21.560,203.397,-70.017,0.488
35,0.010,130.543,41.667,247.667,90.000,0.917
36,0.005,119.974,43.944,220.426,8.297,0.505
37,0.004,95.481,12.770,193.444,-176.820,0.375
38,0.004,95.481,12.770,193.444,-176.820,0.375
39,0.011,124.650,39.799,201.934,98.130,1.023
40,0.016,122.872,20.734,248.608,158.124,1.483
41,0.012,125.911,42.118,234.562,-19.075,1.177
42,0.008,124.404,19.778,217.944,-6.254,0.768
43,0.005,112.818,7.460,238.778,44.091,0.462
44,0.005,112.818,7.460,238.778,44.091,0.462
45,0.006,124.330,8.069,239.286,-172.875,0.587
46,0.006,124.330,8.069,239.286,-172.875,0.587
47,0.004,111.245,0.067,244.140,-85.365,0.390
48,0.004,118.109,1.667,193.099,-162.474,0.408
49,0.004,118.109,1.667,193.099,-162.474,0.408
50,0.004,119.184,32.165,240.453,-90.000,0.361
51,0.004,119.184,32.165,240.453,-90.000,0.361
52,0.006,125.988,32.642,248.333,-51.009,0.564
53,0.006,125.988,32.642,248.333,-51.009,0.564
54,0.002,131.652,1.046,250.409,23.962,0.199
55,0.002,131.652,1.046,250.409,23.962,0.199
56,0.006,126.258,63.159,190.417,44.275,0.580
57,0.008,119.063,54.000,201.267,149.036,0.729
58,0.007,126.047,51.525,193.223,-143.902,0.617
59,0.007,132.953,13.161,254.941,-119.055,0.653
60,0.007,132.953,13.161,254.941,-119.055,0.653
61,0.013,130.590,5.770,249.448,-177.532,1.210
62,0.012,126.397,57.659,236.595,83.884,1.173
63,0.006,122.327,42.830,225.757,-68.199,0.555
64,0.006,122.327,42.830,225.757,-68.199,0.555
65,0.005,118.643,16.899,193.321,-153.997,0.478
