 ,Area,Mean,Min,Max,Angle,Length
1,0.012,138.329,9.265,247.705,-133.847,1.100
2,0.012,138.329,9.265,247.705,-133.847,1.100
3,0.004,131.207,25.111,232.216,113.962,0.410
4,0.004,131.207,25.111,232.216,113.962,0.410
5,0.009,122.708,2.247,246.357,15.489,0.893
6,0.009,122.708,2.247,246.357,15.489,0.893
7,0.017,126.308,30.898,242.910,-170.538,1.591
8,0.008,125.990,26.380,220.078,-18.699,0.720
9,0.006,123.184,30.545,230.238,-104.797,0.576
10,0.006,123.184,30.545,230.238,-104.797,0.576
11,0.012,124.979,23.202,244.076,-141.843,1.117
12,0.003,119.133,13.532,220.401,-169.046,0.327
13,0.003,119.133,13.532,220.401,-169.046,0.327
14,0.006,127.910,14.306,237.566,84.289,0.517
15,0.006,127.910,14.306,237.566,84.289,0.517
16,0.007,118.136,28.495,234.555,-144.162,0.697
17,0.006,119.143,31.337,229.615,105.068,0.559
18,0.005,118.239,16.130,203.235,-55.981,0.501
19,0.005,123.819,33.730,221.157,-164.624,0.431
20,0.005,123.819,33.730,221.157,-164.624,0.431
21,0.004,104.896,24.950,252.536,-51.340,0.395
22,0.003,113.892,21.852,250.670,64.359,0.292
23,0.003,113.892,21.852,250.670,64.359,0.292
24,0.006,116.799,10.246,237.181,-72.255,0.553
25,0.008,126.925,27.272,217.950,-173.830,0.768
26,0.006,115.794,11.348,245.850,109.983,0.606
27,0.010,126.137,16.740,214.699,-68.078,0.928
28,0.004,120.409,31.034,247.266,-149.300,0.386
29,0.004,120.409,31.034,247.266,-149.300,0.386
30,0.006,126.797,18.470,231.382,-128.333,0.564
31,0.008,133.807,85.148,193.984,-78.366,0.725
32,0.008,133.807,85.148,193.984,-78.366,0.725
33,0.004,114.687,8.406,245.188,-84.144,0.405
34,0.004,114.687,8.406,245.188,-84.144,0.405
35,0.007,128.754,2.130,220.263,-151.876,0.677
36,0.008,126.446,40.767,240.310,-0.818,0.722
37,0.008,126.446,40.767,240.310,-0.818,0.722
38,0.006,118.797,34.435,216.053,-137.070,0.609
39,0.007,127.329,8.000,246.911,-133.727,0.668
40,0.021,128.050,23.807,233.828,71.378,2.020
41,0.004,134.425,8.765,254.851,-54.638,0.397
42,0.004,134.425,8.765,254.851,-54.638,0.397
43,0.008,125.518,16.104,218.810,103.650,0.758
44,0.006,132.827,37.821,243.333,-132.647,0.541
45,0.006,132.827,37.821,243.333,-132.647,0.541
46,0.008,125.484,33.258,244.867,0.000,0.778
47,0.008,125.484,33.258,244.867,0.000,0.778
48,0.007,126.760,27.075,196.492,-28.179,0.659
49,0.007,121.703,17.766,245.855,153.435,0.696
50,0.006,122.970,15.364,220.586,-12.095,0.597
51,0.003,111.130,0.345,242.753,-38.660,0.267
52,0.003,111.130,0.345,242.753,-38.660,0.267
53,0.012,129.494,51.583,227.651,-135.000,1.100
54,0.010,128.407,2.509,253.106,-119.667,0.946
