rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,param_plsr__n_components,mean_test_score,std_test_score
1,3,11,2,-6.220085649,6.14034423
2,1,9,3,-6.850755488,4.479213259
3,7,12,4,-6.889037118,8.674121296
4,0.1,7,2,-6.965125397,5.199843497
5,50,2,2,-7.099941532,3.908056727
6,7,4,3,-7.274698266,6.953786134
7,0.1,11,1,-7.276493172,5.804677492
8,5,12,4,-7.368017838,6.756990609
9,3,12,1,-7.492737725,6.269689268
10,1,6,2,-7.532963323,7.329542879
11,50,10,2,-7.533764619,6.872378377
12,1,10,2,-7.582751187,9.287454451
13,5,3,2,-7.693193433,6.277892816
14,1,10,1,-7.765153496,6.469725945
15,50,5,4,-7.817637672,8.15483153
16,0.1,8,2,-7.834024607,8.127540353
17,5,6,3,-7.840961021,8.918860682
18,1,10,1,-7.854825166,6.290301063
19,3,6,1,-7.855233792,7.165849809
20,7,10,2,-7.90158635,5.456631205
21,50,8,3,-7.943257219,8.058332639
22,5,13,2,-7.956655166,7.563385538
23,1,14,1,-7.958616897,6.186527779
24,5,12,2,-8.052962101,7.622453757
25,5,11,2,-8.090591808,7.0155434
26,1,8,1,-8.107251662,8.203401025
27,3,6,1,-8.160124728,7.495649573
28,7,6,3,-8.188675054,10.21881356
29,0.1,8,1,-8.213235248,6.514311085
30,1,11,1,-8.23188581,6.461361074
31,0.1,9,1,-8.243596248,8.588804272
32,0.1,11,1,-8.261830349,7.558872149
33,1,12,1,-8.323820344,7.231515577
34,3,12,4,-8.333901886,8.618564497
35,50,14,3,-8.356389141,10.18644923
36,1,9,2,-8.368610347,8.440072547
37,0.1,7,1,-8.373769367,6.165520899
38,7,11,3,-8.384433478,8.33042782
39,5,4,2,-8.400005597,9.450486278
40,0.1,14,1,-8.411833284,7.051012138
41,7,8,2,-8.476530932,9.320965866
42,0.1,7,1,-8.481086055,6.04872499
43,0.1,13,2,-8.489018354,7.04332827
44,0.1,5,1,-8.506914752,7.683763687
45,7,12,3,-8.534863256,8.52361015
46,5,9,1,-8.538374234,7.043910976
47,5,10,7,-8.57266522,6.469140887
48,50,7,2,-8.574811412,9.221946709
49,3,8,1,-8.5945587,7.098909361
50,50,13,2,-8.599610754,8.996483404
51,50,12,1,-8.654950468,8.358461656
52,1,11,1,-8.662411419,6.612605825
53,3,6,4,-8.685083517,8.928356334
54,50,8,2,-8.691397359,8.018495344
55,50,3,2,-8.695512612,7.496220306
56,3,9,1,-8.708671708,7.362665042
57,7,10,3,-8.733217092,9.421674579
58,3,4,2,-8.734480023,8.230390378
59,1,14,1,-8.738232395,6.82653027
60,7,12,3,-8.742105938,9.405157177
61,50,12,2,-8.754571667,8.762811356
62,0.1,7,2,-8.778939305,9.627223351
63,50,6,3,-8.795503268,10.13007857
64,3,4,1,-8.805597085,7.564433569
65,50,6,1,-8.808307965,7.439925492
66,5,14,2,-8.809038293,6.653090682
67,1,6,3,-8.812812212,9.685240983
68,1,2,1,-8.816751893,7.940083212
69,50,12,2,-8.825827196,8.567401467
70,50,11,1,-8.828449041,7.549917045
71,1,7,1,-8.829108148,6.956324936
72,1,14,3,-8.832098619,8.349693768
73,5,9,2,-8.836164418,7.814830262
74,3,7,1,-8.846822272,7.394592707
75,0.1,12,1,-8.84883789,6.580619975
76,7,11,1,-8.849486437,7.688801696
77,7,2,2,-8.863893675,7.073589843
78,0.1,11,3,-8.868095491,11.19453808
79,7,8,2,-8.879602982,7.757483181
80,0.1,8,1,-8.889641522,7.654070888
81,0.1,13,3,-8.892367126,11.16184063
82,5,9,1,-8.909327595,7.506295858
83,5,14,1,-8.944641747,7.303125006
84,0.1,9,1,-8.948894209,8.461573259
85,50,10,3,-8.967275064,9.88577606
86,5,12,1,-8.976747472,7.995801152
87,7,7,4,-8.988770261,12.72800729
88,5,7,1,-8.992538557,7.74410666
89,7,14,2,-8.993898321,9.401851542
90,50,9,3,-8.996657809,9.082212244
91,7,11,2,-9.000158861,10.13569112
92,7,11,2,-9.003868525,7.883675807
93,3,5,2,-9.009150734,11.30546688
94,7,13,1,-9.035632439,7.185816321
95,0.1,10,2,-9.039960166,8.32690436
96,50,6,1,-9.051372821,8.194390338
97,50,3,1,-9.057590813,7.620304987
98,5,12,1,-9.06355087,7.067154191
99,5,8,2,-9.073472694,10.23375933
100,5,7,2,-9.080158165,9.526427273
101,0.1,4,1,-9.102419993,7.361900262
102,7,7,2,-9.105968316,8.655557473
103,7,5,2,-9.10795851,8.264428692
104,50,7,2,-9.108414445,8.75831625
105,7,10,1,-9.111583287,7.380343444
106,3,2,1,-9.117458809,8.062382676
107,0.1,14,3,-9.121388311,6.862541808
108,7,2,1,-9.12150583,7.59688529
109,50,12,1,-9.135140889,7.466799919
110,7,9,1,-9.144489616,7.304401557
111,7,7,1,-9.165140106,7.1685014
112,0.1,13,1,-9.171687057,9.431121676
113,1,8,1,-9.177827868,6.731550609
114,3,10,1,-9.18275015,6.999006201
115,0.1,4,2,-9.185632084,8.131591479
116,7,9,2,-9.187617044,7.085708009
117,50,8,1,-9.19075254,7.914873355
118,1,10,2,-9.200482726,7.422512294
119,5,12,3,-9.209998221,9.494193
120,7,14,3,-9.212511172,7.201865835
121,7,8,1,-9.21628399,8.174776948
122,3,13,1,-9.216704605,8.153204262
123,0.1,10,1,-9.219361418,6.74579103
124,7,9,2,-9.222340063,8.050185451
125,7,14,1,-9.251891218,8.661016532
126,1,13,1,-9.25595855,7.84424189
127,7,8,1,-9.259528364,7.402811261
128,7,12,2,-9.264555903,7.276767506
129,0.1,5,2,-9.290511738,10.33416528
130,1,4,1,-9.298860297,7.830720616
131,0.1,14,1,-9.300650438,6.571981745
132,1,13,3,-9.306719309,11.34631205
133,0.1,9,2,-9.325605544,7.608207564
134,5,10,1,-9.326925,9.036016089
135,1,12,1,-9.339538304,7.256877849
136,3,11,1,-9.341971404,6.54819109
137,50,8,1,-9.343689102,7.552414641
138,3,8,3,-9.352089209,11.98752428
139,0.1,2,1,-9.355428014,7.775345451
140,1,11,2,-9.358910777,12.15027069
141,1,7,1,-9.359869182,7.894987461
142,7,13,9,-9.360018161,11.19513619
143,5,11,1,-9.364082517,7.325123136
144,50,13,1,-9.364217771,7.35384486
145,5,8,1,-9.364483072,8.034361293
146,5,12,3,-9.373007051,9.674533665
147,7,9,1,-9.38550771,7.662190938
148,50,10,2,-9.387617964,9.139345112
149,50,14,1,-9.425546669,8.346547849
