 ,Area,Mean,Min,Max,Angle,Length
1,0.005,118.990,5.062,246.112,-29.427,0.467
2,0.005,118.990,5.062,246.112,-29.427,0.467
3,0.004,121.379,24.955,242.377,13.241,0.371
4,0.004,121.379,24.955,242.377,13.241,0.371
5,0.006,113.876,5.815,250.912,146.310,0.532
6,0.002,123.403,56.556,204.216,52.125,0.228
7,0.002,123.403,56.556,204.216,52.125,0.228
8,0.016,121.938,1.822,246.288,-178.441,1.528
9,0.008,118.540,6.696,236.239,-39.908,0.749
10,0.008,118.540,6.696,236.239,-39.908,0.749
11,0.004,120.599,23.511,242.111,-5.711,0.419
12,0.004,120.599,23.511,242.111,-5.711,0.419
13,0.005,111.102,28.508,240.438,-10.539,0.452
14,0.005,111.102,28.508,240.438,-10.539,0.452
15,0.004,133.582,27.645,238.306,-22.751,0.348
16,0.004,133.582,27.645,238.306,-22.751,0.348
17,0.006,120.751,5.066,231.039,-30.964,0.548
18,0.006,120.751,5.066,231.039,-30.964,0.548
19,0.007,128.613,2.568,230.036,-10.954,0.665
20,0.004,112.580,8.721,239.459,-59.300,0.386
21,0.004,126.221,23.333,239.687,-114.444,0.379
22,0.006,131.033,26.695,253.707,47.175,0.590
23,0.005,119.441,0.000,237.612,-75.069,0.488
24,0.007,118.416,45.063,246.478,-169.019,0.708
25,0.007,118.416,45.063,246.478,-169.019,0.708
26,0.011,128.883,2.784,254.322,176.035,1.058
27,0.011,128.883,2.784,254.322,176.035,1.058
28,0.007,121.118,43.464,249.551,2.643,0.681
29,0.007,121.118,43.464,249.551,2.643,0.681
30,0.006,120.677,28.921,241.713,33.977,0.582
31,0.006,120.677,28.921,241.713,33.977,0.582
