 ,Area,Mean,Min,Max,Angle,Length
1,0.005,123.620,16.227,243.302,12.095,0.455
2,0.003,117.430,2.515,229.595,-136.637,0.265
3,0.003,117.430,2.515,229.595,-136.637,0.265
4,0.003,118.906,1.484,198.333,-53.130,0.258
5,0.008,121.558,38.778,246.765,3.972,0.752
6,0.006,126.393,47.350,247.002,-151.390,0.522
7,0.006,126.393,47.350,247.002,-151.390,0.522
8,0.007,125.072,0.825,241.007,118.179,0.659
9,0.006,123.586,26.463,234.722,91.081,0.556
10,0.006,123.586,26.463,234.722,91.081,0.556
11,0.008,119.249,49.813,192.270,145.886,0.782
12,0.005,117.716,48.739,236.975,176.009,0.445
13,0.005,117.716,48.739,236.975,176.009,0.445
14,0.006,123.470,40.969,218.093,-83.157,0.517
15,0.010,126.551,46.403,193.436,-130.815,0.916
16,0.016,127.815,32.754,246.007,-126.552,1.508
17,0.008,125.917,1.447,247.334,121.921,0.755
18,0.007,133.454,70.515,231.000,-83.234,0.615
19,0.007,133.454,70.515,231.000,-83.234,0.615
20,0.004,110.034,25.426,246.758,-52.431,0.347
21,0.004,110.034,25.426,246.758,-52.431,0.347
22,0.007,118.466,10.052,234.373,-31.724,0.667
23,0.007,125.608,9.642,241.660,129.352,0.670
24,0.005,108.184,15.953,166.644,-14.621,0.488
25,0.005,108.184,15.953,166.644,-14.621,0.488
26,0.005,124.285,44.349,221.802,-111.038,0.431
27,0.007,126.388,75.630,194.855,-161.288,0.676
28,0.019,125.978,20.895,244.567,-123.232,1.807
29,0.010,126.645,33.377,221.365,51.442,0.920
30,0.006,124.098,10.872,208.969,-115.017,0.522
31,0.006,124.098,10.872,208.969,-115.017,0.522
32,0.007,124.446,39.667,213.730,-27.378,0.659
33,0.003,124.578,21.700,229.075,-155.376,0.274
34,0.003,124.578,21.700,229.075,-155.376,0.274
35,0.007,123.517,49.331,211.683,39.226,0.662
36,0.007,123.517,49.331,211.683,39.226,0.662
37,0.004,121.714,37.225,248.750,32.005,0.393
38,0.004,121.714,37.225,248.750,32.005,0.393
39,0.007,126.293,41.684,199.787,-143.130,0.625
40,0.004,124.017,7.674E-13,242.222,41.186,0.334
41,0.004,124.017,7.674E-13,242.222,41.186,0.334
42,0.003,118.345,1.111,214.000,-42.274,0.315
43,0.003,118.345,1.111,214.000,-42.274,0.315
44,0.002,111.355,4.185,230.625,17.650,0.233
45,0.002,111.355,4.185,230.625,17.650,0.233
46,0.008,127.147,34.687,199.070,-86.906,0.779
47,0.014,126.047,1.638,250.549,10.620,1.357
48,0.013,121.049,1.618,245.719,-48.122,1.219
49,0.014,128.198,10.960,248.365,-159.647,1.380
50,0.005,126.304,33.097,228.283,-47.816,0.452
51,0.005,126.304,33.097,228.283,-47.816,0.452
52,0.004,111.210,0.836,218.369,-79.287,0.395
53,0.004,111.210,0.836,218.369,-79.287,0.395
54,0.004,115.679,25.534,234.492,-173.089,0.350
55,0.006,122.342,17.208,230.771,45.000,0.550
56,0.005,117.002,37.560,199.757,149.931,0.467
57,0.005,117.002,37.560,199.757,149.931,0.467
58,0.002,94.837,9.632,218.786,6.009,0.196
59,0.002,94.837,9.632,218.786,6.009,0.196
60,0.002,106.901,20.556,198.136,-73.301,0.220
61,0.005,124.802,28.399,230.187,-178.668,0.445
62,0.012,124.555,7.765,245.179,57.450,1.167
63,0.004,121.055,18.683,237.491,156.194,0.392
64,0.004,115.514,4.936,236.605,-21.161,0.343
65,0.004,115.514,4.936,236.605,-21.161,0.343
66,0.005,134.901,3.066,233.065,-112.834,0.436
67,0.008,120.506,7.777,208.535,71.811,0.760
68,0.004,117.649,16.642,213.473,169.824,0.409
69,0.004,117.649,16.642,213.473,169.824,0.409
70,0.005,130.056,17.074,231.293,91.302,0.459
71,0.008,126.708,6.000,201.762,9.058,0.731
72,0.005,132.396,1.417,235.333,94.764,0.502
73,0.007,122.262,65.904,222.131,4.205,0.711
74,0.007,122.262,65.904,222.131,4.205,0.711
75,0.006,115.541,35.566,181.000,167.593,0.526
76,0.006,115.541,35.566,181.000,167.593,0.526
77,0.005,119.400,58.377,203.254,-52.125,0.475
78,0.010,119.319,2.850,249.700,-134.549,0.933
79,0.004,122.217,28.778,247.778,90.000,0.417
80,0.004,122.217,28.778,247.778,90.000,0.417
81,0.008,119.175,4.556,209.816,6.254,0.768
82,0.012,124.440,27.962,245.721,-143.661,1.122
83,0.017,130.432,42.950,212.889,106.044,1.662
84,0.006,119.741,24.721,249.749,-133.531,0.570
85,0.009,127.707,33.440,246.700,10.244,0.875
86,0.009,126.020,15.502,234.795,-21.930,0.867
87,0.005,128.023,1.694,184.700,-121.373,0.505
88,0.005,128.023,1.694,184.700,-121.373,0.505
89,0.007,111.329,13.665,202.704,-141.605,0.703
