Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
27,5.3,1.6,1.4,4.2,1.8,1.8,24.8,8.4,10.3,16.4,6.7,6,18.2,10.9,8.3,18.3,10.6,11,28,19.2,14.3,26.8,16.1,15.3,25.5,19.5,18.4,14.8,6.3,6.6
30,3.9,1.7,1.2,4.2,1.8,1.3,26.3,8.6,10.8,17.3,6.1,6.6,19.5,10.1,8.1,18.6,11.1,11.2,30.5,19.1,13.7,28.7,15.8,16,30,21.8,17.9,15.2,6.7,6.5
33,3.1,1.1,0.6,4.1,1.8,1.6,26.8,7.9,10.5,17.5,6.6,6.7,18.9,10.3,8.2,20.9,11.1,10.7,31.5,19.5,14.2,31.4,17.4,15.8,32.8,23.8,18.6,16.4,5.8,7.8
36,3.6,0.8,0.7,4.4,1.7,1.3,27.2,7.8,11,20.2,6.9,7.4,21.6,10,8.8,23.9,11.5,10.9,34.5,21.7,15.9,33.1,16.3,17.7,35.3,24.4,20.6,18.6,5.8,7.3
39,4.3,0.4,0.7,4.4,1.7,1.2,27.9,8.4,10.4,22.3,7.3,7.3,22.2,9.9,9.7,24.6,11.9,10.9,38.7,20.8,15.7,37.8,17,18.2,40,26.2,21.2,20.8,6.4,8.5
42,2.6,0.8,0.5,4.4,1.7,1.1,30.1,8.8,10.6,23.8,7.7,7.7,22.1,10.8,10.9,25.5,12.4,11,40.8,20.4,17,38.4,20.1,20.3,42.4,27.3,22.2,22.2,7.1,8.7
45,2.2,0.6,0.4,5,1.4,0.9,33.2,9.5,12.8,25.3,7.8,7.7,26.3,11.7,11.5,27.6,12.3,11.1,47,22.3,18.5,44.1,20.2,22,48.8,30.1,24.4,23.6,7.5,8.6
48,2.6,0.8,0.6,4.3,1.4,0.9,35.3,9.4,14.7,27.7,7.8,9.6,26.9,12.3,12.6,28.3,13.7,11.1,49.7,24.4,18.8,48.8,21.2,23.3,51.7,34,24.1,25.9,8.1,9.3
51,2.7,0.6,0.4,4.6,1.8,0.9,37.7,12.2,14.2,29.8,8.2,9.6,28.6,14.3,12.6,31.6,15.5,12.4,52.7,26.7,19.3,54.2,22.8,24,60,35.6,24,30.2,8.8,10.1
54,2.6,0.6,0.1,4.7,1.1,1.1,38.8,12.7,14.8,31.5,8.7,9.3,28.9,14.3,11.9,32.9,15.4,13.7,55.8,28.8,20,58.3,22.9,24.7,61.7,36.7,26,30.5,9.3,10.8
