Elapsed,PC9 UT,PC9 A/E,PC9 E,KO UT,KO A/E,KO E,KIN UT,KIN A/E,KIN E,KD UT,KD A/E,KD E,M4 UT,M4 A/E,M4 E,M5 UT,M5 A/E,M5 E,M7 UT,M7 A/E,M7 E,M10 UT,M10 A/E,M10 E,M11 UT,M11 A/E,M11 E,M15 UT,M15 A/E,M15 E
0,1,1,1,1,1,1,1.427272,1.387132,1.335212,1.447198,1.4463145,1.274892,1.1002715,1.147442,1.1747125,1.414547,1.486841,1.562997,1.307854,1.3941775,1.442076,1.080293,1.080634,1.2860235,1.612189,1.387808,1.4765065,1.4045955,1.5427105,1.3812025
3,1,1,1,1,1,1,0.9285652,0.83667195,0.86038415,0.91839375,0.8604676,0.78540815,0.6960682,0.6932683,0.77385175,1.125847,1.14837135,1.0631635,0.9809862,1.04390495,1.080012,0.7450026,0.67880195,0.77857525,1.2784015,1.036135,1.127698,1.12069075,1.1477797,1.0251024
6,1,1,1,1,1,1,0.7465467,0.74134145,0.68170815,0.77128705,0.68792645,0.63591135,0.49734875,0.52787865,0.63133585,0.9740281,1.01408825,0.93333425,0.8320016,0.840538,0.93943475,0.5563902,0.5298667,0.58437815,1.1118015,0.87342795,1.02324695,0.9105555,0.97542435,0.9114127
9,1,1,1,1,1,1,0.63181395,0.6144414,0.5371359,0.72382095,0.5992808,0.5537003,0.45154065,0.43123545,0.54233365,0.92301465,1.00308965,0.88666485,0.8096211,0.82378775,0.79997685,0.500733,0.46637875,0.52894475,1.0476536,0.84742025,0.9454786,0.91178095,0.92251785,0.8395478
12,1,1,1,1,1,1,0.6236607,0.5892686,0.48286725,0.760922,0.55009605,0.50242885,0.45586955,0.38671345,0.50876855,1.0132084,1.003803,0.8665266,0.8164957,0.7744626,0.82796865,0.52489285,0.4506073,0.48206675,1.1045249,0.85227265,0.9503425,0.9611554,0.85054255,0.8250321
15,1,1,1,1,1,1,0.6953512,0.6075099,0.4613328,0.76076265,0.5281215,0.46502815,0.495687,0.40179815,0.50381745,1.067192,1.0398988,0.9103542,0.8987562,0.7518924,0.84090245,0.56967285,0.449803,0.4773812,1.1389168,0.84997735,1.0214145,0.9873752,0.84634645,0.86409845
18,1,1,1,1,1,1,0.70581105,0.61325005,0.52393675,0.83340915,0.55563145,0.47335205,0.52889545,0.4706849,0.51135605,1.1548285,1.1358322,0.95102185,1.00583645,0.7953521,0.86351815,0.63238675,0.43238875,0.4852764,1.3409145,0.9280037,1.0520089,1.1340302,0.90637845,0.9005013
21,1,1,1,1,1,1,0.74031325,0.5675444,0.50106305,0.92496105,0.58506485,0.55019845,0.6102984,0.46364335,0.527799,1.266841,1.18559395,1.034329,1.0706409,0.8482398,0.9031911,0.6797542,0.48118655,0.5379023,1.390338,0.9626803,1.14018,1.20119445,1.0476573,0.97515505
24,1,1,1,1,1,1,0.86171205,0.6807255,0.51692175,0.9881266,0.6260547,0.4980203,0.6841059,0.53366065,0.5044169,1.35002,1.29539075,1.1421682,1.1873655,0.9192322,0.96477085,0.70046165,0.43380395,0.57046955,1.6643715,0.99043685,1.2501555,1.3403341,1.07543645,0.9937223
27,1,1,1,1,1,1,0.9765852,0.6453052,0.54030765,1.12070965,0.655583,0.57182775,0.7026659,0.5354969,0.5157684,1.4177075,1.3223011,1.1737795,1.2559755,0.9789981,0.993605,0.75883155,0.48704065,0.54300135,1.641418,1.08099445,1.3242965,1.46301115,1.1800127,1.0291353
