Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,1,1,1,1,1,1,1.4501575,1.8643805,1.5215405,1.4148925,1.4271435,1.3930545,1.5688735,1.5645865,1.536553,1.440513,1.450825,1.468539,1.5552005,1.6967945,1.7102365,1.6322175,1.750854,1.5935685,1.5406885,1.611438,1.703164,1.4020575,1.379518,1.3300215
3,1,1,1,1,1,1,1.1387805,1.460401,1.174466,1.0664865,0.99421555,1.0096951,1.2748275,1.160766,1.193834,1.073456,1.0343785,1.1372325,1.257899,1.323356,1.3463135,1.333918,1.4201585,1.2893545,1.255983,1.3295745,1.379753,1.095594,0.99193955,1.0232164
6,1,1,1,1,1,1,0.90297135,0.9815326,0.8536878,0.82447825,0.6748145,0.71680215,1.04510785,0.9088215,0.89383535,0.78261205,0.7622992,0.79008985,0.97461235,0.99769875,1.08757,1.0479644,1.1478975,1.0416021,0.93920725,1.0053243,1.0429715,0.84658935,0.71634685,0.7295536
9,1,1,1,1,1,1,0.7449684,0.60596955,0.5706896,0.6850506,0.5308266,0.50622655,0.88144035,0.7318338,0.6612246,0.64187545,0.65790485,0.5349544,0.9269035,0.7867891,0.8245806,0.9991666,0.9781219,0.9276207,0.8021698,0.833762,0.85967085,0.7584028,0.5554379,0.5474327
12,1,1,1,1,1,1,0.6596539,0.50739895,0.46025535,0.6573927,0.43327275,0.4557443,0.8854052,0.61139865,0.6026954,0.62175995,0.61118245,0.43951,0.84145995,0.72605185,0.7224855,0.99092615,0.93953355,0.8149099,0.8000224,0.832548,0.8055881,0.68343825,0.45177205,0.4578879
15,1,1,1,1,1,1,0.66744285,0.4091888,0.46363955,0.64112425,0.3946921,0.4101866,0.86275155,0.5837104,0.560518,0.58335,0.61889175,0.4053569,0.89613455,0.69409915,0.69228185,1.0718551,0.91687245,0.83368615,0.743504,0.8285643,0.877787,0.68665925,0.4394466,0.3866148
18,1,1,1,1,1,1,0.6376566,0.39107265,0.439032,0.64344995,0.4083996,0.39598205,0.97508635,0.59212165,0.58473855,0.6376793,0.5716684,0.41134755,0.83376205,0.7462546,0.70121275,1.0997027,0.89809975,0.8894041,0.72885555,0.83867515,0.9073873,0.7292653,0.46500535,0.3904846
21,1,1,1,1,1,1,0.6507154,0.4053417,0.4780945,0.6970129,0.3826046,0.42606805,1.0045089,0.5724538,0.6264341,0.6906391,0.6285511,0.3959479,0.94769425,0.78617465,0.7357377,1.254636,1.0028925,0.9142507,0.85123695,0.9000233,0.9259777,0.72511845,0.4500268,0.38074935
24,1,1,1,1,1,1,0.71029555,0.41538425,0.4872455,0.6925702,0.3982584,0.4221679,0.99794875,0.6639145,0.6182202,0.7230887,0.6533977,0.39803835,1.0736385,0.7421305,0.7874151,1.337371,1.0596724,0.9803564,1.00225505,0.9710499,0.9566822,0.8182789,0.4711743,0.4226535
27,1,1,1,1,1,1,0.69018,0.40889285,0.50861675,0.7563768,0.4015174,0.41722055,1.14760515,0.67850985,0.5933774,0.70945705,0.6246737,0.3871459,1.169891,0.75660445,0.8230745,1.396329,1.07754965,1.081359,1.095044,1.05274855,1.0467275,0.8373739,0.48556095,0.4671793
30,1,1,1,1,1,1,0.7597155,0.4121822,0.57232095,0.7991081,0.41459515,0.4351318,1.12276245,0.7119914,0.6248444,0.8299984,0.64327165,0.3963197,1.2534145,0.7857118,0.97114865,1.5585655,1.10795815,1.1486255,1.23899,1.12611975,1.151418,0.92825785,0.5524369,0.50287275
33,1,1,1,1,1,1,0.76262545,0.48631215,0.58814935,0.88252565,0.4173998,0.45067565,1.1377827,0.68545275,0.64764985,0.8338834,0.63374125,0.43303755,1.44922,0.8857051,0.9698133,1.761242,1.239468,1.1697165,1.320495,1.19855,1.253646,0.99340005,0.49412015,0.5237205
36,1,1,1,1,1,1,0.8799533,0.55216375,0.6333429,0.9586664,0.451313,0.47771125,1.1542445,0.6985343,0.6738129,0.86053215,0.57867965,0.40195375,1.566036,0.96167485,1.0705611,1.967906,1.319141,1.2556115,1.542885,1.353882,1.3862485,1.0330469,0.53959435,0.59349505
39,1,1,1,1,1,1,1.0048578,0.5453195,0.7377789,1.139774,0.47547665,0.51654995,1.350198,0.73039585,0.6850924,1.024438,0.59195845,0.432127,1.8103735,1.06852395,1.1401655,2.2092545,1.3236745,1.3116855,1.788426,1.393047,1.462412,1.175946,0.6213274,0.6534698
42,1,1,1,1,1,1,1.0789839,0.5709514,0.7441338,1.259447,0.50682985,0.5551875,1.4599575,0.75311025,0.7051737,1.1208805,0.6660391,0.4494274,1.976871,1.12853175,1.256522,2.5405175,1.458845,1.367495,1.8737745,1.5212595,1.609435,1.3915935,0.6554844,0.73524075
45,1,1,1,1,1,1,1.2084185,0.66845205,0.7865501,1.352042,0.5055551,0.5994895,1.6496015,0.73658,0.72077065,1.189786,0.66232865,0.5207423,2.3132545,1.2269022,1.3003265,2.7478205,1.6316745,1.4513335,2.1526905,1.628272,1.8064695,1.4428425,0.66212755,0.7510805
48,1,1,1,1,1,1,1.247071,0.7951168,0.8809019,1.35587,0.5711411,0.65128065,1.714952,0.84137285,0.79968095,1.339526,0.7698112,0.53829685,2.5555205,1.3860736,1.389602,3.0950735,1.8843405,1.462059,2.450675,1.806284,1.960641,1.668461,0.7482616,0.8641629
51,1,1,1,1,1,1,1.4262635,0.88817875,0.97179705,1.5627315,0.56908475,0.71340275,1.7828755,0.8056337,0.845546,1.52368,0.80515185,0.60677,2.7913415,1.4765897,1.5465805,3.603933,1.986891,1.6226835,2.854025,1.979261,2.109485,1.797926,0.7727743,0.91414825
54,1,1,1,1,1,1,1.6601335,0.9558019,1.1097341,1.8192935,0.62154365,0.77555525,2.0105385,0.86543015,0.8784547,1.6813035,0.8910659,0.6436206,3.1385405,1.617178,1.6134185,3.8902015,2.148604,1.7188675,3.229235,2.1866315,2.240524,2.1406445,0.9214364,0.92631155
57,1,1,1,1,1,1,1.79214,1.07303895,1.12245875,2.006244,0.64348405,0.8151868,2.094446,0.88170235,0.94784225,1.7692095,0.9874623,0.7329416,3.3203845,1.8359185,1.7663295,4.33717,2.405174,1.771224,3.597206,2.3956585,2.351865,2.384049,0.9855881,0.9850571
60,1,1,1,1,1,1,1.986576,1.157424,1.1966836,2.3284755,0.70009735,0.8375218,2.351512,0.9865935,0.98299295,2.0376315,1.0370647,0.76264825,3.7026095,2.0876395,1.907366,4.721759,2.617901,2.015467,4.0903515,2.6547895,2.653465,2.682227,0.97432765,1.0728605
63,1,1,1,1,1,1,2.0297775,1.265692,1.3052245,2.5919425,0.7423582,0.86974755,2.6635,1.066631,1.0236949,2.1247595,1.066225,0.8322103,4.143345,2.386629,2.1298205,5.369447,2.8072,2.1323055,4.924531,2.777698,2.8244735,2.9419725,1.0654473,1.2136805
66,1,1,1,1,1,1,2.190994,1.371118,1.420337,2.8903065,0.75267395,0.8919649,2.909162,1.1606295,1.055818,2.380612,1.14250245,0.98831585,4.636494,2.633247,2.319529,5.804396,3.042303,2.245088,5.4323845,3.1312485,3.0581355,3.246611,1.2470635,1.3213035
69,1,1,1,1,1,1,2.3581135,1.470895,1.603091,3.129052,0.76972395,0.8566699,3.2265335,1.20445,1.124189,2.580583,1.348472,1.01495715,5.0390395,2.866981,2.4087025,6.5260515,3.174439,2.328946,6.1466865,3.3504745,3.1740595,3.643223,1.409957,1.420329
72,1,1,1,1,1,1,2.573982,1.529064,1.544623,3.3608355,0.75735945,0.92471795,3.1803535,1.3231585,1.196805,2.680114,1.408708,1.10551505,5.674386,3.0468825,2.5366155,7.3199165,3.5723975,2.44347,6.878323,3.544322,3.4616675,4.0304565,1.596141,1.5012235
75,1,1,1,1,1,1,2.681328,1.639957,1.590461,3.760346,0.79153535,0.99103655,3.616457,1.282787,1.3318355,2.9965825,1.4969215,1.13845,5.9305755,3.2709305,2.685471,7.8714305,3.723032,2.5428715,7.5994505,3.652905,3.6130495,4.4969,1.611237,1.6011265
78,1,1,1,1,1,1,2.9195345,1.707645,1.8179355,4.1145185,0.8199862,0.98967065,3.8429705,1.3965715,1.4597445,3.0077025,1.5549085,1.1512665,6.397573,3.531897,2.907322,8.5529795,3.94576,2.698647,8.426751,3.8979675,3.786346,4.862913,1.742462,1.7244445
81,1,1,1,1,1,1,3.070921,1.820257,1.8654545,4.292151,0.8495941,0.96864455,4.121712,1.458371,1.497722,3.2448545,1.640337,1.1412085,7.004658,3.8494505,3.0379475,9.3612005,4.128522,2.9135175,9.5523745,4.34244,4.129892,5.2385025,1.7755645,1.763921
84,1,1,1,1,1,1,3.2496845,1.904566,2.0371495,4.4806875,0.85286075,0.9958318,4.219808,1.5314085,1.6433415,3.335526,1.6490135,1.170862,7.4475865,3.9676055,3.041089,10.0369155,4.492237,3.034389,10.15302,4.668166,4.2805875,5.79564,1.8711,1.8635915
87,1,1,1,1,1,1,3.5111175,2.16397,2.215757,4.652053,0.8576487,0.9662583,4.3265855,1.567398,1.6208885,3.502422,1.706313,1.134148,7.741363,4.442942,3.114521,10.53977,4.64711,3.2386365,11.254255,4.977361,4.523552,6.319622,2.024739,1.8770335
