Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
108,0.0295975,0.0898645,0.068414,0.0718625,0.0372525,0.065109,4.3667025,4.845355,4.495001,5.526483,1.08212,0.7290005,4.335138,2.5411245,2.0475715,5.465547,4.10398,2.8394475,8.616061,5.8292245,5.1956535,12.583375,9.1798355,7.150056,15.92199,7.71009,6.016117,8.776811,3.658934,3.4404635
111,0.033572,0.090725,0.0765205,0.0930395,0.0546195,0.0728805,4.8448765,5.34528,4.927864,5.9066735,1.1343215,0.7992375,4.691707,2.7872525,2.2146595,6.042067,4.4402385,2.9207005,9.1551225,6.4502705,5.722376,13.742,10.074123,7.5903215,17.468735,8.4476475,6.3105055,9.5750725,3.891322,3.6862575
114,0.0242705,0.086088,0.0709815,0.0744445,0.040114,0.0672325,4.9722395,5.4713245,5.1396895,6.0178855,1.118642,0.7503755,4.9087425,2.848619,2.1637005,6.2272315,4.5705995,2.9426765,9.469494,6.6098735,5.856384,13.98632,10.3499255,7.651729,18.6105,8.692246,6.3954185,9.9955045,3.8215345,3.5764925
117,0.0276715,0.102259,0.0805695,0.0849265,0.0524615,0.070852,5.5930395,5.8290195,5.437486,6.392086,1.1380365,0.820879,5.421779,3.0478585,2.3676655,6.7098375,4.947689,3.085548,10.733125,7.040114,6.1127485,15.27213,11.090315,8.123743,20.180675,9.218886,6.827203,10.82191,3.95292,3.7343405
120,0.0246395,0.082475,0.077094,0.0753935,0.0423745,0.065655,5.8610615,6.0187735,5.553806,6.6408905,1.164889,0.789151,5.7331185,3.1026345,2.4254125,7.2218635,5.0272615,3.137586,11.22251,7.195408,6.3272785,15.8133,11.490985,8.373859,20.91387,9.555507,7.03293,11.253555,4.054947,3.754644
123,0.031066,0.102689,0.08619,0.0888055,0.0530145,0.0734945,6.576206,6.625642,6.116382,7.1393885,1.1667055,0.8495545,6.593259,3.37291,2.556763,8.230366,5.5228565,3.268227,12.70136,7.8185975,6.6891865,17.66726,12.55663,8.9487195,22.516035,10.119981,7.5897685,12.399195,4.34138,3.9782355
126,0.0283955,0.1021975,0.0760765,0.0843195,0.045154,0.070026,6.858774,6.720505,6.18989,7.353003,1.1586675,0.840062,6.9984085,3.390714,2.649967,8.792804,5.4607255,3.312117,13.60171,8.0349855,6.896607,18.403005,12.889915,9.0496205,23.06647,10.278277,7.6717725,12.703255,4.276381,3.8784285
129,0.032609,0.1039935,0.0830145,0.091879,0.052454,0.070975,7.5844965,7.1686925,6.458547,8.2234685,1.25196,0.925365,7.968838,3.689337,2.7400975,9.8731355,5.855748,3.46188,14.96687,8.8012385,7.4591205,20.01665,14.066925,9.656876,24.88896,11.07581,8.131405,13.6165,4.481507,4.2712795
132,0.032274,0.0960245,0.0862925,0.081198,0.049484,0.072382,7.76404,7.1812375,6.6530125,8.4204815,1.197286,0.8989705,8.4018105,3.7832915,2.7137985,10.407405,5.9595715,3.443783,15.417675,8.877076,7.5799485,20.567155,14.40195,9.674656,25.74118,11.38341,8.083219,13.511135,4.56657,4.227197
135,0.041692,0.103024,0.0903285,0.0992815,0.059311,0.0764175,8.320053,7.6314195,7.168085,9.4962915,1.2566445,0.9233705,9.262777,4.01807,2.81599,11.28783,6.475661,3.6973335,16.5292,9.3621815,8.059365,22.403775,15.641375,10.165681,27.836605,12.08632,8.5890035,14.231105,4.8156475,4.5391445
