Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,4.3,6.3,4.9,3.7,4.6,5,30,25.6,26.6,21,17.7,21.9,22.8,16.9,23,24.1,25,25.1,31.9,30.4,30,40.2,42.3,40.6,27.6,26.6,26,24.4,25.1,27.3
3,2.4,4.3,4.1,3.3,3.6,3.9,30.1,26.6,29.8,21.5,18,21.6,21.9,17.3,24.4,25.7,24.6,27.1,34,32.3,33.1,43.9,46.6,43,27.5,29.2,26.5,26.7,26.1,27.6
6,1.6,1.7,3.1,3.3,2.8,2.4,32,28.4,29.5,20.7,18.1,21.1,22.8,17.1,22.8,25.5,23.1,27.5,38.6,35.2,34.5,48.2,51.5,45.7,28.9,31,28,28.2,30.4,30.4
9,1.4,2.1,1.3,2.6,2.3,1.7,36.5,31.4,31.2,23.7,16.2,21.7,24.9,19.2,24.9,28.8,28.2,30.2,38.6,37,36.9,53.1,53.1,49.7,30.7,32,30,32.2,32.6,31.8
12,1.1,1.2,1,1.7,2.1,0.8,36.5,30.9,31.5,24.8,17.1,18.7,27.6,18.4,24.1,30.2,28.5,32,40.5,36.4,34.6,55,57.3,53.7,33.6,32.5,31.2,34,33.1,33.8
15,1.5,1.6,1.1,2.3,2.1,0.9,43,32.7,35.4,28.3,19.8,24.3,29,21.6,24.7,34.8,31.2,33.5,44.2,40.9,38.2,63.1,62.6,59.8,34.6,34.9,34.8,36.1,36.2,37
18,1.1,1.3,1,2.4,1.8,0.7,44,34.3,34.1,26.8,17.5,22.6,30.2,22.2,26.8,35.5,30.5,34.1,47.9,40.4,40.8,64.5,64.2,58.6,37.9,37.8,33.8,41.2,36.7,39.4
21,1.5,1.1,1.8,2.6,1.3,0.8,46.3,38.2,35.8,29.6,21.7,22.4,33.5,24.5,25.5,40.5,33.5,35.9,52,44.5,43.4,70.8,67.8,66,40.7,40.1,36.9,44.3,38.9,40.9
24,1.6,1.5,1.2,3,1,0.9,48.7,38.9,36.5,30.1,19.8,24.1,35.1,24.2,26.8,43.5,33.3,37.1,55.4,46.7,44.3,75.3,70.1,67.2,42.9,42.1,37.2,48.9,40.7,41
27,1.7,1.6,1.7,2.3,1.7,1,57.2,42.2,38.5,35.7,22.5,27.2,41.6,26.4,29.2,49.4,39.2,41.4,59.7,48.9,48.4,84.3,76.2,73,48.3,44.8,43,54.9,42.5,47.5
