Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
66,1,1,1,1,1,1,63.777775,21.5,23.38889,51.88889,9.27778,11.833335,46.555555,17.33333,16.16667,49.5,22.38889,20.888885,97.88891,40.055555,30.77778,93.666665,33.88889,33.222225,106.77775,52.22222,38.055555,49.888885,13.88889,14.055555
69,1,1,1,1,1,1,66.94445,20.833335,23.83333,53.055555,9.7222225,12,50.444445,20.055555,17,53.33333,23.777775,19.61111,102.8889,40.666665,30.27778,101.6111,34.38889,32.222225,113.72225,51.222225,37.88889,52.555555,13.611115,14.222225
72,1,1,1,1,1,1,66.444445,23.11111,25.5,57.22222,9.222221,12,53.555555,20.11111,17.555555,57.88889,25.27778,20.61111,109.44445,44.22222,30.38889,112.8333,36.055555,34.333335,126.44445,54.5,39.444445,58.22222,12.944445,14.444445
75,1,1,1,1,1,1,71.666665,24.666665,25.444445,62.777775,10.1111135,12,57.88889,21.83333,16.944445,60.277775,24.61111,21.055555,116.66665,45.5,31.444445,125.22225,35.88889,34.11111,136.66665,56.722225,40.833335,63.88889,13.88889,14.33333
78,1,1,1,1,1,1,73.22222,25.555555,25.444445,63.11111,10.666665,12.44444,61.77778,21.111115,17.055555,63.61111,24.555555,21.111115,123.8333,47.555555,33.27778,134.16665,39.38889,33.333335,150.3333,60.11111,44.44444,72.05555,13.555555,13.833335
81,1,1,1,1,1,1,81.166665,25.944445,27.88889,70.94445,10.944445,11.444445,68,22.944445,16.77778,67.61111,26.777775,20.38889,134.44445,47.11111,34.611115,146.5,40.61111,33.111115,163.94445,64.277775,45.555555,75.44444,13.944445,14.61111
84,1,1,1,1,1,1,86.7778,29.27778,28.055555,72.944445,10.777775,12.055555,70.22222,23,17.277775,70.11111,25.611115,20,142.66665,49.22222,35.277775,157.27775,41,34.833335,182.2778,69.38889,44.38889,81.94444,14.11111,14.555555
87,1,1,1,1,1,1,91.61113,30.444445,31.111115,82.333335,9.611111,11.88889,75.33333,23.5,17.38889,77.88889,28.444445,21.333335,158.5,54,36.5,169.94445,43.944445,35.16667,200.22225,71.22222,47.11111,89.333335,14.833335,14.16667
90,1,1,1,1,1,1,93.888895,32.38889,30.444445,83.5,9.444444,12.333335,79.111115,24.77778,18.38889,87.166665,28.88889,22.72222,166.44445,56.666665,37.944445,184.61115,44.22222,36.5,214.94445,75.38889,48.055555,95.66667,15,13.666665
93,1,1,1,1,1,1,102.38891,33.555555,31.83333,89.33333,10.277775,11.555555,89.222225,26.16667,20.166665,96.22222,29.61111,22.38889,183.7778,57.833335,39.388885,202.6667,45.722225,38.611115,233.55555,77.72222,48.277775,104.88885,16.944445,14.444445
96,1,1,1,1,1,1,110.16669,34.333335,32.33333,95.8889,10.1666645,12.27778,93.11111,26.666665,20.222225,98.94443,30.222225,23.944445,198.2222,58,40.055555,218.16665,46.111115,38.944445,255.83335,79.555555,47.277775,111.44445,18.444445,15.33333
99,1,1,1,1,1,1,125.7778,35.27778,34.222225,108.55555,10.0555545,12.444445,107.33335,27.88889,21.444445,107.55555,29.611115,24.27778,224.38885,60.333335,41.055555,239.6111,49.055555,39.27778,269.3333,84.111095,50.77778,122.11115,18.722225,14.944445
102,1,1,1,1,1,1,144.16665,38.38889,34.444445,116.3889,10.0555565,12,114.66665,28.05556,21.444445,117.8333,32.055555,24.72222,242.72225,62.611115,43.94444,251.5,49.77778,39.11111,292.83335,83.55553,53.5,133.77775,17.61111,14.722225
105,1,1,1,1,1,1,163.55555,38.555555,38.11111,128.0556,9.4444435,12.722225,129,28.666665,21.22222,129.6111,33.33333,24.27778,260.2222,66.27778,48.055555,279.33335,52.444445,40.888885,312.05555,88.49998,54.722225,146.83335,19.61111,15.27778
108,1,1,1,1,1,1,184.94445,40.72222,40.11111,143.8889,10.6111125,12.277775,136.94445,31.38889,23.5,140.05555,34,26.444445,281.0555,68.666665,49.44444,295.7778,53.555555,41.555555,330.3333,90.55558,55.611115,164,18.83333,15.38889
111,1,1,1,1,1,1,201.44445,42.555555,42.388885,154.5556,10.111111,13.66667,151.11115,33.111115,23.944445,155.5,34.333335,26.333335,296.7778,69.555555,53.22222,317.27775,54.666665,42.888885,349.66665,95.22223,59.5,179.77775,19.61111,15.388885
114,1,1,1,1,1,1,212.66665,44.72222,44.22222,169.7778,10.5,12.88889,162.94445,33.444445,22.888885,167.6667,36.22222,26.166665,304.5556,74.166665,52.77778,326.2778,55.77778,44.11111,354.11115,98.444445,60.166665,194.11115,18.33333,15.38889
117,1,1,1,1,1,1,224.5,47.22222,46.166665,183.5,11,12.72222,168.33335,35.88889,24.555555,177.9444,38.055555,26.555555,305.9445,79.277775,55.166665,341.6111,58.222225,44.72222,359.8333,99.72223,60.666665,210.2778,18.944445,15.722225
120,1,1,1,1,1,1,225.7778,47.88889,47.166665,199.77775,11.055555,13.555555,177.44445,37.38889,26.666665,188,39.944445,27.833335,307,81.72222,56.77778,355.2778,58.833335,47.16667,362.16665,102.27778,59.666665,217.3889,19.72222,15.77778
123,1,1,1,1,1,1,226.55555,50.166665,47.94444,205.44445,11.5,12.22222,187.55555,37.83333,26.333335,192,42.055555,29.555555,304.44445,84.16666,59.055555,355.66665,59.611115,47.88889,360.72225,102.99999,63.222225,227.33335,18.77778,16.38889
126,1,1,1,1,1,1,224.33335,53.77778,48.777775,210.72225,12.83333,13.27778,189.44445,41.22222,27.77778,197.05555,43.777775,31.33333,304.3889,87.99998,61.722225,363.3333,63.944445,50.277775,363.27775,105.61112,66.44445,232.66665,20.61111,16.22222
129,1,1,1,1,1,1,222.3889,53.277775,51.111115,217.94445,13.444445,13.72222,189.55555,43.666665,29.61111,199.55555,44.38889,32.333335,299,89.44442,63.277775,368.05555,66.555555,49.166665,359.33335,107.49998,65.05556,233.2222,19.5,16.611115
132,1,1,1,1,1,1,213.66665,57.055555,53.88889,217.38885,13.055555,14.055555,193.3333,44.055555,29.5,199.16665,49,34.5,297.44445,92.77776,65.11111,370.2222,67,51,361.0555,110.11112,67.944445,235.4444,19.66667,17.27778
135,1,1,1,1,1,1,210.7222,59.66667,55.555555,217.83335,13.666665,15.833335,187.77775,45.61111,31.38889,198.94445,49.22222,34.16667,289.33335,97.33332,64.777775,360.2222,68.5,50.388885,353.6111,110.83332,67.555555,230.94445,20.722225,18.444445
