Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,3.8811075,4.4762795,3.7672015,4.525476,4.602944,5.0439905,3.8389375,4.4639225,4.0649125,3.5091145,3.942342,2.922346,4.934186,5.0331095,4.707839,3.708331,3.333963,2.9584305,4.2072275,4.4998625,4.066169,3.434127,3.6809765,3.1840795,2.769761,2.7646885,2.933891,2.637762,2.477707,2.207881
3,3.992695,4.6163145,4.313667,5.316707,5.6392385,5.9769875,4.4919025,5.7017815,5.1364605,4.322105,5.0114005,3.9276325,6.04856,6.2302865,5.907558,4.5625695,3.9358845,3.9743895,4.790062,5.913055,5.368855,4.105933,4.582616,4.0704515,3.4449015,3.697643,3.761958,3.142171,3.069525,2.8198375
6,4.349766,4.9324825,4.910087,5.2614865,6.3554825,6.426191,5.0455005,6.6302825,5.944356,4.7042045,5.571175,4.311861,6.3790395,6.8851715,6.649381,4.792577,4.280094,4.3182235,5.1230525,6.305266,5.953305,4.3939505,4.8844175,4.6993295,3.6601855,3.951189,4.1410645,3.418682,3.438096,3.1398945
9,4.957204,5.497622,5.6240665,5.2480715,6.9746965,7.188149,5.4277525,7.6976945,7.0981785,5.1943565,6.0832105,5.018735,7.04342,7.527331,7.6279805,5.111754,4.617668,5.039487,5.731902,6.8441515,6.92755,4.8302665,5.33378,5.3442135,3.7629335,4.4104085,4.692011,3.938051,3.679129,3.6101355
12,5.4455075,6.3684015,6.5356695,5.6761195,7.5504745,7.653848,6.1740945,8.677421,8.3645015,5.5555215,6.4638495,5.5915715,7.727576,8.52314,8.315293,5.699521,5.112092,5.5646835,6.482269,7.7681175,7.8463035,5.3571815,6.0549605,5.8099165,4.5221485,5.016147,5.2756565,4.1200085,3.8997205,4.048895
15,6.06896,7.210818,7.204053,5.600039,8.1462005,8.1300115,6.811842,9.836999,9.062697,6.079105,7.2701925,5.913807,8.3101785,9.0984535,9.1000405,6.31238,5.4896545,6.2088885,7.172062,8.6199015,8.414733,5.8342135,6.533119,6.3579835,4.8052795,5.572719,5.8640945,4.578629,4.281782,4.4813555
18,6.7103195,7.8094005,7.95409,6.0700305,8.784684,8.5615655,7.449893,10.368975,9.8791345,6.6137485,7.7973655,6.451553,9.2204115,9.8601775,10.0360705,6.611225,6.0204775,6.421957,7.4982085,9.404751,8.715702,6.410939,6.942752,6.890202,5.0223765,6.038286,6.162815,5.2248825,4.377515,4.7755
21,7.0014825,8.487284,8.4057855,6.4726625,9.2043245,8.918223,7.7225905,11.106175,10.459187,6.8483855,8.5335055,6.7278625,9.6412335,10.542483,10.242643,6.8174375,6.540339,6.884758,7.988148,10.1534675,9.608889,6.7929135,7.3818145,7.398952,5.4712275,6.52486,6.59633,5.4564495,4.789629,4.939217
24,7.7160495,9.150895,9.275155,6.836028,9.706436,9.792937,8.2127275,11.779545,11.25884,7.307513,9.4891755,7.123997,10.2149405,11.21015,10.956785,7.146085,6.9664645,7.1624335,8.42806,10.795551,10.213465,7.199196,8.0041435,8.1901185,6.332279,6.9470165,7.2001635,6.0873415,4.666667,5.1560565
27,8.6331615,10.4563185,10.317652,7.3254855,10.394735,10.287835,8.8817675,12.60683,12.07973,7.882525,9.8782855,7.6680715,10.8153235,11.98083,11.491575,7.4611385,7.5775785,7.626581,8.947949,11.156505,11.30169,7.7570395,8.540205,8.754397,6.499046,7.383522,7.913886,6.33945,5.2740405,5.4772555
30,9.8743415,11.4290175,11.121255,7.189484,10.65142,11.045335,9.7361085,13.76539,12.80635,8.095718,10.406887,8.184368,11.66651,12.941455,12.6301,8.18436,8.200902,8.3667925,9.601118,12.25449,12.08425,8.309086,9.1694665,9.122182,7.062694,8.227026,8.6240405,6.911797,5.5882935,5.9692665
33,10.9618855,12.591295,12.15913,7.827854,11.16599,11.181605,10.0809075,14.66858,13.95471,8.508848,11.9243015,8.839345,12.10433,13.99713,13.50339,8.700982,8.9655675,8.6625415,10.442495,13.60166,12.6817,9.060257,10.0576905,9.6267145,7.522164,8.862505,9.1452875,7.2987305,6.105454,6.392421
36,12.03513,13.93469,12.9722,8.5910495,11.87909,11.584125,10.84092,15.633605,14.838585,9.017849,11.7968555,9.3806175,13.30977,15.31873,14.887375,9.115093,9.6816475,9.1727635,10.7407695,14.45296,13.8798,9.6331815,10.76819,10.204935,8.057854,9.7226255,9.88338,7.5355495,6.455848,6.929663
39,12.987335,14.77865,14.113805,8.651203,12.34617,12.156245,12.03859,16.615585,15.43701,9.5764445,12.952785,9.7175595,13.96899,15.96207,15.451905,9.769532,10.54484,9.8302665,11.557985,15.646825,14.518295,10.2449775,11.37344,10.83436,8.780029,10.0866135,10.4194025,8.0086055,6.8875615,7.3988
42,14.970515,16.37712,15.12506,9.059417,12.35266,12.73224,12.905075,17.728495,16.33022,10.533977,13.48483,10.297183,14.99493,17.115545,16.09195,10.0781235,10.9864,10.34173,12.430205,16.752215,15.44836,11.43696,12.45807,11.607395,9.4372665,10.7603925,10.979545,8.9576725,7.1978265,7.817329
45,16.11093,17.772685,16.20858,10.0391195,12.78951,13.03831,14.661465,18.570815,17.159755,11.56851,14.895245,11.061528,16.59242,17.80381,16.94435,10.726238,11.79375,10.99792,13.59054,17.93034,16.34965,12.817795,13.59875,12.4679,10.323551,11.340695,11.630155,9.3091015,7.5397335,8.2787035
48,18.63647,19.02685,17.221315,10.7991395,13.019315,13.5503,16.28422,19.4067,17.972135,12.761005,14.513325,11.211212,18.267395,18.542735,17.83618,11.990955,12.24734,11.378665,14.904715,19.52247,17.410955,13.94253,14.697855,12.86796,10.88938,12.376025,12.21591,10.8633375,8.0460965,8.6911855
51,20.52503,21.600795,18.294635,11.8278045,13.05301,13.68321,18.14089,20.72385,18.47848,14.17755,15.606065,11.68749,20.30304,19.578735,18.702315,13.02348,12.868435,11.61958,16.570345,20.853675,17.891915,15.65635,15.756485,13.855795,12.62279,12.89681,12.74272,11.6971355,8.609051,8.8389005
54,23.19692,23.55005,19.39102,12.2565465,13.59402,13.97716,20.63492,21.55775,19.11935,15.455245,16.14635,11.883635,22.452075,20.277165,18.803325,13.862205,13.16774,11.921305,18.895555,21.965505,18.81431,17.391505,16.254505,14.352795,14.13148,13.882965,13.158865,13.401585,8.903351,9.560702
57,26.284555,24.691595,20.23407,13.75615,13.996525,14.58194,23.345335,22.86378,19.916325,17.654195,16.36379,12.19563,25.02177,21.36927,19.75224,15.21153,14.06009,12.598415,21.284475,23.05985,19.47909,19.43963,17.135395,14.46227,15.75387,14.696155,13.684815,15.080845,9.330188,9.965347
