Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,1,1,1,1,1,1,1.386802,1.2133085,1.242169,1.1673295,1.0790183,1.044129,1.171685,1.2837735,1.2111195,1.2501025,1.2502695,1.3232305,1.5062395,1.5587665,1.479143,1.397516,1.4630985,1.550257,1.6574435,1.883783,1.7690275,1.2099965,1.039223,1.0746175
3,1,1,1,1,1,1,1.1944075,0.8530201,0.8968516,0.8560856,0.71488625,0.67302,0.97663855,0.9568832,0.88984415,0.98572485,0.8702598,1.0033403,1.1794095,1.2459935,1.168677,1.2181265,1.2077695,1.197537,1.2802075,1.5883365,1.424142,0.97128885,0.6963907,0.73223595
6,1,1,1,1,1,1,1.03729225,0.661733,0.6947024,0.69128785,0.50481525,0.4886075,0.88875515,0.74906205,0.78549915,0.89482565,0.8305751,0.7926546,1.073555,1.115914,1.066919,1.1759495,1.02821695,1.042608,1.264675,1.4106055,1.3403375,0.82903865,0.5164589,0.56886845
9,1,1,1,1,1,1,1.0307513,0.5888474,0.5868404,0.62940855,0.48177085,0.4418661,0.7800359,0.7128678,0.6808773,0.86742565,0.78735825,0.7518582,1.126052,1.061016,0.88939665,1.192055,1.01905855,1.0556205,1.282943,1.39376,1.368823,0.779903,0.44463945,0.52656215
12,1,1,1,1,1,1,1.0197415,0.54884785,0.58751955,0.5944359,0.50753175,0.4254838,0.84884675,0.6852669,0.6237214,0.9421626,0.76533055,0.746615,1.1021004,1.0928735,0.85774735,1.240037,1.08465185,1.0949525,1.3475195,1.473084,1.41122,0.80504195,0.37985015,0.49003025
15,1,1,1,1,1,1,1.09712255,0.55505855,0.62582705,0.65596235,0.54185175,0.46307805,0.81591145,0.73986555,0.6593959,0.95796845,0.75710905,0.7691397,1.297857,1.2019495,0.9199527,1.413079,1.14938845,1.191888,1.337272,1.561373,1.436666,0.8290842,0.35559545,0.51148125
18,1,1,1,1,1,1,1.089933,0.58457925,0.64200825,0.73091565,0.526934,0.471383,0.91354495,0.78011555,0.70501055,0.97281405,0.7230736,0.7418384,1.287488,1.256279,0.9016092,1.468065,1.19771575,1.2393505,1.335011,1.6565515,1.442437,0.8414409,0.3537288,0.55576045
21,1,1,1,1,1,1,1.2217615,0.63468215,0.6692033,0.77134775,0.5567203,0.52463865,0.96678925,0.7793112,0.78613275,1.0817235,0.79526855,0.82050215,1.502457,1.311621,0.9776249,1.5341475,1.297834,1.300653,1.441044,1.739431,1.5650455,0.921053,0.4044881,0.58039075
24,1,1,1,1,1,1,1.234733,0.68022845,0.7082658,0.87637945,0.52563645,0.5403266,1.09096535,0.88165685,0.76328185,1.1025175,0.80923035,0.8566927,1.600026,1.435892,1.05454325,1.72968,1.3569585,1.3383915,1.615634,1.977634,1.6913805,1.01164135,0.4000453,0.6186527
27,1,1,1,1,1,1,1.469905,0.62906705,0.77708805,0.9680337,0.5590801,0.5744304,1.198133,0.93215035,0.8243303,1.17079,0.8637721,0.95357515,1.824529,1.5221515,1.1438035,1.8614405,1.4724695,1.5101665,1.72855,2.1231205,1.9768255,1.05571555,0.4877349,0.62499615
30,1,1,1,1,1,1,1.601638,0.64587805,0.82606025,1.0173891,0.5656095,0.61969225,1.261071,0.94373345,0.7826272,1.1599845,0.92694515,0.98114555,2.118124,1.5386665,1.138636,1.985275,1.522952,1.5813335,2.0141355,2.257096,2.063654,1.0773563,0.5112726,0.6577228
33,1,1,1,1,1,1,1.7848975,0.6367878,0.8631955,1.1558225,0.65288175,0.6454418,1.3330835,0.9565343,0.802295,1.4013825,0.99060395,1.0834571,2.2633485,1.6203005,1.2444945,2.2490415,1.753248,1.707785,2.262616,2.4637945,2.211508,1.24181285,0.5078238,0.7000784
36,1,1,1,1,1,1,1.87231,0.69492245,0.9055968,1.330811,0.6482796,0.67487145,1.5059625,1.00731645,0.81707245,1.5558075,1.04503555,1.117925,2.359916,1.7887485,1.367521,2.3762755,1.7804125,1.8566675,2.5336215,2.7270185,2.275417,1.39523995,0.54951175,0.7083075
39,1,1,1,1,1,1,1.9457005,0.7743867,0.9617624,1.4196125,0.73003925,0.72258795,1.630112,1.0033935,0.9717098,1.709709,1.173939,1.187688,2.793113,1.9796675,1.4595815,2.6763765,1.880486,2.010694,2.859291,2.98042,2.5563855,1.5640855,0.63401825,0.83236965
42,1,1,1,1,1,1,2.232974,0.80125925,0.9839036,1.646946,0.71654795,0.7414552,1.6811935,1.1800015,1.0204963,1.846792,1.1852825,1.2656955,3.0853,2.0328965,1.59325,2.732831,2.1114505,2.1948225,3.024369,3.269932,2.613056,1.6830375,0.6897513,0.8488049
45,1,1,1,1,1,1,2.5504065,0.89121,1.1032195,1.8290745,0.76744375,0.82915615,1.8297265,1.2737615,1.05572325,2.1059075,1.298915,1.3805685,3.591777,2.2528245,1.7556875,3.156543,2.301986,2.4248345,3.4859295,3.529613,3.0081425,1.9653115,0.72371475,0.9368019
48,1,1,1,1,1,1,2.783442,0.9685877,1.2624175,2.009708,0.81874935,0.85250405,2.023146,1.338532,1.222877,2.1908275,1.4012005,1.4559845,3.855601,2.520965,1.8582,3.6990205,2.4047605,2.5622135,3.940073,3.946048,3.2419635,2.058718,0.82719085,1.0196349
51,1,1,1,1,1,1,3.137611,1.109859,1.4082345,2.2600365,0.888964,0.8968364,2.3857905,1.518509,1.273682,2.462235,1.5213585,1.560246,4.429625,2.8689845,2.021412,4.246104,2.6510105,2.7795875,4.490507,4.336134,3.3907435,2.320884,0.92580345,1.0605151
54,1,1,1,1,1,1,3.2941875,1.219785,1.6265455,2.472255,0.953241,0.97283665,2.5097545,1.609488,1.281664,2.6538405,1.6236245,1.623173,4.6644405,3.043957,2.133888,4.689647,2.7004305,2.9648,5.009435,4.5712155,3.668434,2.440116,0.8986614,1.1922826
57,1,1,1,1,1,1,3.5807555,1.4453125,1.799284,2.6758835,0.97576185,1.03515645,2.8434855,1.646221,1.4049105,2.745753,1.709394,1.736471,5.13629,3.277528,2.488823,5.1385815,2.99489,3.1645895,5.6876605,4.929239,3.877621,2.668751,1.03536125,1.2117875
60,1,1,1,1,1,1,3.8631355,1.6595795,1.910557,2.9081265,1.0446335,1.0384985,3.0274955,1.715586,1.4116415,3.0916625,1.7681055,1.8315325,5.7190175,3.545498,2.6434455,5.8508575,3.323943,3.2355705,6.491655,5.368597,4.0710365,3.064384,1.1899946,1.2560665
63,1,1,1,1,1,1,4.2478265,1.7504065,2.1641445,3.291076,1.153577,1.0535035,3.2351005,1.836609,1.481484,3.3714735,1.832246,1.92387,6.3163555,3.710459,2.8327025,6.392952,3.572158,3.500772,7.030575,5.7486715,4.280356,3.4913205,1.1284799,1.403943
66,1,1,1,1,1,1,4.626459,1.9715935,2.284591,3.4906265,1.0431386,1.040646,3.6162365,1.7954145,1.5998095,3.668714,2.0433485,2.062713,7.209072,3.9353795,3.243098,7.1258935,3.9222035,3.7789555,8.170637,6.335447,4.5423735,3.7681765,1.330557,1.5309115
69,1,1,1,1,1,1,4.7829405,2.049427,2.4245045,3.6438795,1.0287253,1.034572,3.792344,1.9730165,1.7024585,3.7925715,2.2318095,2.176418,7.59725,4.1170985,3.44044,7.8366365,4.122429,3.849978,8.9465755,6.6678385,4.8606215,4.2288985,1.3146225,1.485976
72,1,1,1,1,1,1,4.9031105,2.2380925,2.616277,3.9286565,1.06241575,1.07398,4.0360825,2.137014,1.730838,4.1904235,2.4440805,2.3131895,8.4471135,4.5874955,3.6357035,8.7510385,4.410955,4.1480455,10.05338,6.99784,5.19277,4.551043,1.4576505,1.518949
