Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,11.2777795,9.8333335,10.277775,10.111109,13.66667,11.555555,14.5,16.5,13.66667,11.83333,11.1666685,11.7222225,14.77778,14.333335,13.944445,13.11111,12.11111,10.1666675,14.5,16.38889,15.38889,15.11111,14.22222,13.38889,14.055555,13.666665,14.277775,12.333335,8.6111115,9.888891
3,14.722225,16.055555,13.944445,11.5,12.055555,11.88889,17.055555,14.944445,15.27778,13.5,11.4444425,11.555555,17.72222,14.27778,13.88889,13.055555,12.666665,11.7222245,15.72222,15.88889,16.555555,16.277775,15.27778,13.33333,15.333335,13.66667,14.555555,14.722225,9.1111105,10.5000025
6,16.38889,18.22222,15.222225,11.22222,10.555555,9.1666665,16.333335,15.16667,14.277775,14.666665,10.8333315,10.77778,18.777775,14.333335,14.055555,12.888885,11.944445,11.555555,17.05556,17.83333,17,17.055555,16.277775,14.055555,16.5,13.444445,14.111115,13.722225,9.5555565,11.33333
9,16.38889,14.83333,12.833335,9.5555575,8.3333335,8.222222,17.33333,11.555554,9.7777765,14.61111,9.7222225,8.388889,18.166665,13.16667,12.722225,12.777775,12,9,18.22222,15.166665,13.38889,17,14.33333,12.777775,14.83333,12.77778,13.222225,14.38889,7.4444445,8.722222
12,14.277775,12.777775,8.055556,8.833331,6.3333335,6.111111,13.77778,9.166665,8.222222,14.555555,8.0555555,8.222222,18.555555,11.777775,10.61111,12.83333,11.61111,7.333333,18,12.944445,11.5,17.61111,14.055555,11.44444,14.444445,12.277775,11.055555,14.055555,7.2222225,7.5
15,11.61111,8.055556,5.611111,7.555556,4.6666665,4.2222225,13.88889,7.6666665,7.722222,14.33333,7.0555555,7.1111115,16.61111,9.555556,9.7777775,12.277775,10.5,6.222222,18,12.33333,10.666665,18.333335,13.22222,11.5,14.166665,11.22222,10.833335,13.88889,6.888889,5.8333335
18,9.7777785,6.8888885,3.777778,6.944445,3.7777775,2.833333,12.333335,7.1666665,6.333333,14.11111,6.8333335,6.055556,17.555555,10.055554,9.0555555,12.666665,10.22222,6.6666665,16.22222,11.9444435,10.88889,18.166665,12.555555,12.38889,15.333335,10.611109,11.166669,12.944445,6.2777775,5.9444445
21,7.333333,4.333333,2.833333,7.2777775,3.2777775,3.111111,13.666665,7.3333335,7,14.833335,5.888889,5.6666665,18.166665,8.8888885,9.7222225,12.77778,9.111111,5.5,18,11.8888895,10.5,20.666665,12.444445,12.388885,16,10.8888875,10.944445,14.22222,6.0555555,5.6666665
24,5.6666665,3.388889,2.7777775,7.388889,3.111111,2.611111,13.055555,6.888889,6,14.277775,5.6666665,5.611111,18.77778,9.5000005,8.9444445,13.38889,9.4444445,6.3333335,19.777775,11.444444,11.111115,21.88889,14.166665,11.722225,17.611115,12.222225,11,15.388885,6.0555555,5.8333335
27,5.388889,3.2222225,1.388889,7.444444,2.722222,1.9444445,12.611115,7.0555555,7,15.5,6.1666665,5.1111115,19.88889,9.888891,8.277778,13.61111,8.611111,6,21.5,11.7777765,10.555555,23.444445,14,13.222225,20.88889,12.888885,11.72222,15,6.2222225,5.7222225
30,3.611111,2.666667,1.111111,7.1666665,2,2.111111,13.66667,7.111111,7,16.16667,5.9444445,4.944444,18.833335,10.4999975,8.888889,15.388885,8.2222225,5.611111,23.44444,12,12.77778,25.27778,13.72222,13.16667,21.444445,13.277775,12.166665,17.055555,6.0555555,6.111111
33,3.7777775,1.5,1,5.8333335,1.9444445,2.0555555,13.833335,7.1111115,7.3333335,17.555555,5.722222,5.777778,19.722225,9.333334,8.999999,15.5,8.3888885,5.6666665,24.27778,11.3888875,10.9999995,27.333335,15,13.72222,22.666665,14.055555,12.833335,17.22222,6.333333,6.611111
36,2.5555555,1.4444445,0.8888888,7.444444,2.0555555,1.8333335,13.33333,8,7.444445,17.61111,6.2777775,5.8333335,19.61111,8.8888875,8.61111,15.166665,8,5.666667,26.722225,11.7222215,11.5,30.33333,15.61111,14.22222,25.61111,16.055555,15.11111,18.444445,6.5555555,7
39,2.666667,1.222222,0.61111115,6.5,2.111111,1.4444445,15.277775,7.444444,8.4999975,18.777775,6.5,5.722222,21.222225,8.388891,8.2777775,17.166665,7.888889,5.5,28.77778,12.1666645,12.833335,32.944445,15.055555,14.666665,29.11111,15.944445,16.77778,21,6.444444,6.9444445
42,2.3888885,1.05555545,0.61111115,6.5,1.8333335,1.111111,17.555555,7.611111,8.222222,21.277775,6.6666665,6.611111,22.05556,9.5555565,8.8333335,19.166665,8.388889,6,32.77778,13.11111,13.38889,37.11111,16.611115,15.222225,30.555555,16.72222,16.77778,23.333335,7,7.277778
45,2.8333335,1.2777775,0.94444445,6.6111115,1.5,1.277778,18.833335,7.6666665,8.8333335,21.888885,6.2222225,6.5,24.38889,9.444444,9.388889,19.444445,7.722222,6.4444445,36.555555,14.88889,14.055555,40.722225,16.611115,16.11111,36.055555,17.555555,17.944445,24.38889,7.1666665,7.6666665
48,1.5,1.27777795,0.7777777,5.8333335,1.3333335,1.5555555,18.444445,9.000001,9.666666,22.555555,7.7222225,7.388889,24.722225,10.166666,9.611111,21,8.7222225,6.6111115,39.72222,15.222225,15.333335,42.055555,18.66667,16.277775,39.22222,18.88889,18.11111,28.61111,8.388889,8.0555555
51,2.111111,0.7222222,0.61111115,6.0555555,1.388889,1.3333335,19.833335,10.2222225,10.3333335,23.444445,7.2777775,7.111111,24.611115,10.555555,9.6111105,22.77778,8.6666665,7.111111,42,15.666665,16.5,46.666665,19.277775,17.27778,44.05556,21.166665,19.222225,29.833335,9.7777795,9.055556
54,2,0.7777777,0.72222225,5,1.277778,1.3333335,22.88889,10.833331,11.666665,27.444445,7.277778,7.9444445,26.61111,10.555554,10.833335,23.722225,10.0555545,7.5555555,45.555555,16.61111,18.888885,52.77778,21.5,18.33333,47.38889,22.38889,21.83333,33.38889,10.388889,8.5
57,1.7222225,0.77777765,0.7777778,4.5555555,1.5555555,1.5555555,23.72222,12.333334,11.3888875,29.16667,7.8888885,7.5,27.833335,11.055554,10.277775,25.27778,9.5555545,8.055556,45.833335,17.777775,18.444445,55.72222,23.444445,18.777775,51.333335,24.555555,23.166665,36.5,10.944445,10.2222245
60,1.3888885,1.16666645,0.6666667,4.4444445,1.2777775,1.833333,24.88889,11.555556,13.055555,32.055555,7.9444445,6.7222225,30.166665,11.22222,9.666665,27.22222,11.22222,8.5,50.66667,19.166665,19.11111,59.72222,24.11111,19.61111,57.666665,24.555555,23.22222,39.333335,10.3888895,9.8888865
63,1.3888885,1.1666665,0.6666667,4.4444445,1.7222225,2,25.555555,13.944445,13.722225,34.16667,9.1111095,8.055555,31.722225,11.611115,11.38889,29.444445,11.83333,8.222222,56.444445,21.5,19.88889,68.777775,25.333335,19.72222,64,26.16667,24.33333,41.777775,11.833335,10.9444435
66,1.666667,1.1666665,0.72222225,5.2777775,1.777778,1.1666665,27.88889,14.72222,14.66667,38.277775,9.11111,8.2777775,33.5,11.77778,10.72222,31.16667,11.77778,9.2777755,61.72222,22.72222,21.444445,74.61111,26.38889,20.333335,72,28.333335,26.055555,45.77778,13.72222,12.055555
69,1.9444445,0.99999985,0.72222225,5.1666665,1.5555555,0.99999995,28.666665,15.944445,14.833335,39.444445,8.8888885,7.6666665,35.555555,12.333335,11.72222,32,13.166665,9.2777765,65.88889,25.111115,22.166665,79,26.944445,22.33333,79.444445,28.722225,25.22222,50.333335,15.222225,12.33333
72,2.0555555,0.99999995,0.6666667,4.1666665,1.8333335,1.0555554,31.944445,14.61111,14.5,40.5,9.0555535,8.8333335,36.11111,13,11.833335,34.444445,13.666665,9.5000005,76.277775,27.722225,21.38889,87.05555,30.944445,23.38889,87.11111,30.38889,25.77778,53.611115,15.77778,12.61111
75,1.6666665,1.0555555,0.6666667,4.333333,1.5555555,1.2777775,31.944445,15.77778,14.166665,45.555555,9,8.1111115,39.722225,12.944445,12.38889,37.05556,14.055555,10.4444465,76.77778,28.66667,23.66667,92.944445,29.722225,23.27778,96.5,32.38889,28.222225,58,16.38889,13.777775
78,1.4444445,1.333333,0.7777778,3.7222225,1.6666665,1.49999995,35.77778,17.5,16.16667,46.833335,9,8.3333335,42.5,12.72222,13.722225,37.11111,14.666665,10.3888875,82.944445,29.11111,24.555555,102.05558,32.61111,22.722225,107.61115,35.111115,28.555555,62.77778,16.944445,13.833335
81,2,1.5,0.99999995,3.611111,1.5555555,1.2777775,38.33333,19.72222,16.88889,49.11111,8.9999995,7.8333335,45.055555,13.16667,13.555555,37.5,15.88889,9.8333335,89.22222,30.11111,24.27778,109.05555,32.88889,24.22222,119.77775,35.83333,28.555555,67.944445,17.444445,13.61111
84,2.5,1.6111115,0.7777778,4.5555555,1.777778,1.4444445,39.277775,18.77778,17.944445,52.66667,9.2222225,7.944445,45.555555,14.166665,14.11111,41.5,15.944445,10.555554,93.333335,33.555555,24.38889,123.1111,34.77778,25.22222,128.3889,39.277775,30.22222,75.72222,18.666665,14
87,1.6111115,1.388889,0.99999995,3.9444445,1.8333335,1.888889,42.833335,20.333335,19.22222,57.222225,9.388889,8.0555555,48.666665,14.66667,14.555555,44.94444,16.444445,10.2222215,99.72222,37.5,24.833335,132.5,35.77778,25.888885,143.2222,40.33333,31.333335,82.22222,19,14.61111
90,2.0555555,1.16666645,1.05555545,4.2777775,2.166667,1.3888885,45.944445,21.333335,19.16667,58.11111,9.0555555,8.5,54.555555,14.61111,15.444445,47.944445,17.5,9.9999985,107.05555,38.277775,26.22222,147.94445,38.444445,27.11111,156.6111,42.722225,32.77778,88.27777,19.88889,14.61111
93,2.5555555,1.5555555,0.94444435,4,1.9444445,1.5555555,50.666665,21,19.444445,64,8.9444445,8.5,59.777775,14.944445,15.333335,50.27778,18.72222,10.5,116.7222,39.333335,25.444445,154.2222,38.16667,26.83333,167.33335,45.88889,33.944445,101.16668,21.333335,14.777775
96,2.8333335,1.722222,1.0555554,4.1111115,2.2777775,1.777778,56,24.166665,19.833335,71.61111,8.3333335,8.3333335,65.611115,14.83333,15.444445,53.61111,18.83333,10.0555545,131.16665,43.33333,28.38889,168.2778,39.333335,28,190.66665,45.777775,34.5,108.61111,22,14.944445
99,3,1.6111115,1.222222,4.6111115,2.4444445,1.8333335,67.61111,26.833335,21.88889,78.94444,9.1111115,8.111111,72.333335,16.666665,15.94444,60,18.333335,10.3333345,150.1667,47.38889,28.666665,185.88885,39.944445,29.444445,209.16665,50.5,36.11111,124.6111,22.555555,15.5
102,3.333333,1.666667,1.333333,5.222222,2.3888885,1.7222225,81.88889,28.72222,23.166665,83.16667,8.555556,8.1666665,82.555555,17.5,16.11111,69.33333,18.83333,10.33333,171.33335,48.77778,28.833335,205.33335,43.444445,30.166665,231.38885,52.833335,38,142.1111,22.277775,15.11111
105,4,2.0555555,1.5555555,6.2222225,2.722222,1.666667,100.38888,29.77778,24,95.05558,9.2777775,8.4444445,94.50001,17.88889,16.38889,79.16667,18.88889,11,198.8889,49.666665,30.055555,230.1111,44.22222,32.333335,254.83335,55.222225,38.38889,163.5556,22.83333,16.833335
108,3.888889,1.888889,1.27777795,4.9444445,2.4444445,1.6111115,123.166655,35.33333,24.88889,107.77779,9.8333335,8.2777775,111.16665,18.055555,17.44444,90,19.72222,10.22222,224.05555,53.555555,31.555555,255.05555,44.88889,33.77778,279.11115,57.66667,38.944445,184.94445,24.22222,18.11111
111,3.5,2.0555555,1.5,5.666667,2.9444445,1.777778,142.72225,35.72222,25.83333,122.94445,9.7777775,8.388889,130.61115,20.944445,18.055555,103.3333,20.666665,11.66667,250.88885,54.444445,31.055555,285.2222,45.277775,36.055555,299.6111,58.05556,38.333335,207.66665,25.555555,17.388885
114,3.8333335,2.277778,1.5,6.0555555,3.166667,2.5555555,164.55555,36.66667,27.222225,139.6111,9.8333335,8.4444435,146.11115,21.222225,17.38889,121,21.83333,11.33333,270.7222,57.83333,33.22222,304,46.88889,37,315.44445,61.22222,42.333335,237.1111,27.38889,16.72222
117,3.888889,2.7222225,3.0555555,5.4444445,3.3888885,2.722222,187.61115,39.944445,27.888885,161.5,10.1111135,8.7777775,160.0556,22.5,18.11111,142.38885,22.5,11.555555,295.6111,61.222225,35.22222,324.11115,50.27778,35.88889,339.8889,61.5,42.166665,261.27775,28,17.5
120,3.0555555,2.8333335,1.5555555,6.8333335,3.2222225,2.9444445,195.3889,39.11111,30.444445,171.6667,9.8888875,9.2222205,171.7222,23.111115,19.16667,153,23.444445,10.9999985,302.88885,61.77778,36.72222,336,51.166665,35.166665,351.16665,61.55556,41.11111,270.5,28.555555,18.333335
