Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,4.336364,2.152245,2.917822,1.920772,1.269582,1.088987,2.657445,2.677198,2.344638,1.660993,1.374563,1.575492,3.618079,3.448751,2.247204,2.88552,1.76302,1.498494,4.127428,4.215762,3.42729,1.729472,1.863288,1.377175,4.958291,3.527951,4.404689,2.622685,2.264857,2.064918,5.332321,4.988424,3.562028,3.059987,1.861683,1.965844,3.155816,2.756843,3.766612,3.90024,1.855281,1.798582,4.676061,4.019442,4.669915,2.387849,1.241481,1.102184,3.449878,1.829911,2.789844,2.229499,1.663537,1.964991,3.452029,3.347117,2.096024,2.41006,1.420079,1.418525,2.849804,2.754401,2.157862,2.376598,1.39727,1.33743,3.870568,2.414551,2.114036,1.966015,1.608938,1.157073,4.484727,2.958882,3.517742,3.374723,1.225227,1.2262,3.237783,2.41426,1.942557,2.86266,1.459158,1.523984,2.275595,2.868021,1.560895,1.841793,0.9990644,1.322867,1.806845,2.443062,1.435052,2.081427,1.150414,1.283616
3,4.738735,2.51581,3.173913,2.21485,1.640881,1.169246,2.808197,2.83717,2.243482,1.686346,1.51613,1.648991,3.403508,4.162751,2.616504,3.353621,1.942454,1.598114,4.98909,4.44003,3.914325,1.796772,2.012726,1.54833,4.753383,3.916955,4.378619,2.39391,2.315921,2.223472,5.306917,5.869209,3.513235,3.471868,1.877732,2.047111,2.977201,3.287772,3.610772,4.141273,2.123921,2.013665,5.252164,4.138405,4.39436,2.657138,1.451032,1.309755,3.58115,2.110211,2.946982,2.104629,1.77229,2.088222,3.962641,3.226293,2.179254,2.341309,1.487619,1.406847,3.237902,2.969911,2.258147,2.321709,1.417398,1.424774,3.704398,3.070179,2.76333,1.924255,1.73613,1.189836,4.845832,3.02521,3.451073,3.283845,1.181419,1.290599,3.789421,2.517636,2.613141,2.803366,1.376629,1.554988,2.641175,3.059731,1.641974,2.006273,1.01361,1.550344,1.908514,2.692,2.242269,2.210002,1.303113,1.433686
6,4.396733,2.546404,3.420512,2.415848,1.60315,1.24621,2.847311,2.686844,2.507905,1.966544,1.663041,1.859822,4.038137,4.03742,2.764065,3.277716,2.068076,1.701148,5.078876,4.740801,3.791794,1.96161,2.15764,1.51444,5.064399,4.019425,3.998733,2.475688,2.41339,2.428362,5.237704,5.259114,3.431507,3.511356,1.999187,2.251267,3.445285,3.633615,3.82891,4.368359,2.257669,2.092558,5.511312,4.267083,4.462463,2.72466,1.591353,1.487533,3.685738,1.871841,2.87922,2.176983,1.99427,2.197026,4.15022,3.206352,1.993434,2.465325,1.480602,1.445278,3.09683,2.979694,2.314248,2.351091,1.575168,1.410467,4.038154,3.013771,2.936756,1.922018,1.850552,1.291982,4.629811,2.767974,3.287669,2.894142,1.242351,1.356449,4.032503,2.689303,2.463157,2.451069,1.409408,1.654403,2.681022,3.23051,1.759912,2.070552,1.012023,1.517855,1.944777,2.711224,2.06374,2.123136,1.288414,1.482838
9,4.888361,2.932692,3.412164,2.693537,1.69985,1.371148,3.160904,3.099101,2.283193,2.22547,1.747927,2.046223,4.95923,4.414284,3.120066,3.653914,2.13775,1.82426,5.323716,5.538356,4.252418,2.103024,2.347642,1.574502,6.062848,4.620301,4.335169,2.483781,2.564399,2.596871,6.458271,6.270521,4.100214,3.620025,2.238001,2.211333,4.066256,4.255866,4.551823,4.865569,2.499778,2.248416,6.855144,4.842879,5.448997,3.062821,1.728925,1.678919,4.038103,1.850347,2.943226,2.210924,2.035177,2.291917,4.604646,3.39702,2.093873,2.504644,1.52861,1.54034,3.417525,3.173674,2.575496,2.438145,1.597602,1.498119,4.026903,3.267455,2.923763,1.92656,1.866822,1.217271,4.360847,2.945087,3.191174,2.811151,1.163595,1.391482,4.514774,2.507461,2.300692,2.291388,1.41366,1.729386,2.951694,3.464663,1.831977,2.047315,1.108962,1.675061,2.17461,2.807941,2.347762,2.280751,1.361656,1.595263
12,5.555462,3.416551,3.751895,3.041685,1.69956,1.351549,3.530188,3.632915,2.821975,2.32934,2.024336,2.126226,5.981428,5.052038,3.577941,4.288339,2.234262,1.870476,6.087672,6.131378,4.90948,2.383529,2.524551,1.674224,6.698024,4.816792,4.98204,2.673954,2.646843,2.736799,7.306036,6.931579,4.879569,3.918235,2.200885,2.372996,4.496575,5.258908,5.455382,5.194032,2.625826,2.358176,7.93597,5.940608,6.054414,3.522146,1.769524,1.825267,4.686134,2.314931,3.155782,2.233733,2.136896,2.274349,4.747477,3.320927,2.427321,2.75184,1.641069,1.547476,3.542515,3.367228,2.815641,2.573071,1.616245,1.529447,4.80047,3.805623,3.195664,2.176283,1.882512,1.257666,4.71707,3.216373,3.508966,2.960162,1.249163,1.491324,4.643845,2.676447,2.423736,2.434816,1.471639,1.808126,3.235119,3.955334,2.084568,2.099421,1.101791,1.753356,2.390529,3.168928,2.727734,2.470327,1.363483,1.619626
15,5.872725,3.568994,4.119933,3.112178,1.804882,1.422145,3.701206,4.08309,3.060004,2.251164,2.061298,2.221304,6.533016,5.498541,4.157885,4.76542,2.474049,1.961439,6.629015,6.592531,5.718063,2.719266,2.718736,1.635418,7.362086,5.692267,6.069575,2.925385,2.734631,2.791022,7.904522,7.658844,5.412973,4.302048,2.191136,2.447262,4.953101,5.592715,5.861508,5.968863,2.815795,2.421704,8.459318,6.233764,6.989746,3.865634,1.878893,1.911092,4.97871,2.377486,3.066014,2.373269,2.300453,2.347096,5.090536,3.624327,2.747385,2.803366,1.691621,1.526716,4.062449,3.612206,2.884854,2.866979,1.608306,1.634991,5.476859,4.040664,3.43289,2.43596,1.874112,1.276599,5.212607,3.645668,3.637832,3.302778,1.201394,1.50703,4.983422,2.820968,2.484549,2.601429,1.462249,2.153747,3.167648,4.161232,2.182805,2.260554,1.104164,1.719177,2.656865,3.288113,3.105554,2.591186,1.39324,1.684212
18,6.349209,3.359085,4.046981,3.525066,1.889768,1.543976,4.351234,4.65921,3.077811,2.34206,2.190607,2.269603,6.855622,6.108108,4.648932,5.468255,2.617973,2.061605,7.540958,7.146627,6.029812,2.931514,2.893903,1.794877,7.617103,5.387825,6.376765,3.510913,2.989186,2.768503,8.425993,8.386298,5.962647,4.896778,2.279522,2.555999,5.548394,5.877386,6.286673,6.520177,2.791142,2.475637,9.407405,6.317369,7.312797,4.514416,1.986588,1.807836,4.903932,2.594293,3.275053,2.637777,2.434509,2.510756,5.099637,3.902323,2.942253,2.971464,1.870527,1.536532,4.263054,3.733166,3.190133,3.066287,1.598336,1.646225,5.881279,4.219176,3.961497,2.617188,1.961918,1.273816,5.364981,3.730264,3.815423,3.601313,1.306374,1.45868,5.343846,2.864043,2.568103,2.905051,1.547134,2.085439,3.585982,4.585729,2.430001,2.447587,1.096652,1.804387,2.814822,3.379589,3.480523,2.785286,1.413762,1.626762
21,6.18666,4.012289,4.464547,3.521925,2.040486,1.596406,4.401992,4.614667,3.417098,2.536877,2.197761,2.31056,7.725139,6.097164,4.948782,5.709612,2.549801,2.032616,8.472431,7.823273,6.525878,3.262538,3.010373,1.984129,8.46789,5.584059,6.71146,3.682579,3.295488,3.080645,8.529915,9.120376,6.191338,5.569411,2.449703,2.449072,6.363004,6.038912,6.464365,6.869485,3.031783,2.615446,9.516874,7.109153,7.840414,4.658801,2.093019,1.761483,5.127977,2.496807,3.509564,2.918983,2.600405,2.823461,4.699622,4.475951,2.862677,3.127902,1.948413,1.554032,4.401582,3.905908,3.417166,3.428229,1.739579,1.752674,6.291299,4.48319,4.309355,2.742792,2.114497,1.185192,5.750638,3.91173,4.196589,3.909989,1.309874,1.529959,5.619639,2.99354,2.706273,3.122337,1.692185,2.10019,3.855202,4.72016,2.60691,2.582496,1.179558,1.896221,2.949151,3.690365,3.69436,3.144036,1.595536,1.617884
24,6.323293,3.993287,5.252642,3.860717,2.166859,1.667702,4.692502,5.011661,3.885609,3.049162,2.552021,2.437036,7.89153,5.748111,4.985659,5.883089,2.652204,2.020187,9.060332,7.714264,6.996011,3.38944,3.138812,2.024182,8.908725,6.070719,7.294649,4.272682,3.389969,3.380425,9.105847,9.949567,6.583192,5.72887,2.448594,2.452316,7.382556,6.802918,6.902334,7.397255,3.334244,2.93148,10.89256,7.624477,8.396781,4.923326,2.105909,1.782175,5.22099,2.471625,4.263702,3.047267,2.807651,2.798995,4.643025,4.912792,3.116907,3.339024,2.202456,1.657783,4.393336,4.155819,3.967643,3.695265,1.806453,1.836928,6.803226,4.629179,4.361188,2.961409,2.199331,1.339888,5.786508,4.047356,4.079163,4.172824,1.361775,1.515891,6.074338,3.102259,2.954033,3.217722,1.7671,1.960193,3.968668,4.792395,2.677147,2.726197,1.401743,2.061844,3.024117,3.842141,3.63411,3.33368,1.583875,1.791446
27,7.337143,4.567052,5.500044,3.969112,2.218812,1.794024,5.005276,5.516366,4.09335,3.162628,2.397051,2.493495,8.211832,6.34303,5.391479,6.023836,3.080611,2.244574,9.24231,8.073048,7.411922,3.751912,3.458311,2.157657,9.583185,6.434231,7.693997,4.187182,3.559895,3.462819,9.581136,10.05581,6.408657,6.032186,2.608685,2.645204,7.921646,7.24191,7.442636,7.749826,3.579562,3.099357,11.84893,8.581424,8.905857,5.330836,2.599022,2.169574,5.688681,3.160887,4.355639,3.260438,2.954562,3.363933,4.748143,5.01137,3.541336,3.722376,2.253555,1.822774,4.68021,4.233774,4.137176,3.889057,1.993912,1.916828,7.133004,4.994741,4.598449,3.331683,2.49329,1.510872,6.109644,4.228515,4.165124,4.111755,1.391516,1.612335,5.99763,3.306176,3.051023,3.271228,1.818711,2.056791,4.247056,5.328719,2.883727,2.721058,1.564907,2.278054,3.491484,4.060485,3.853854,3.416842,1.593419,2.052642
