Elapsed,WT UT 0nM,WT UT 6.25nM,WT UT 12.5nM,WT UT 25nM,WT UT 50nM,WT UT 100nM,WT UT 0nM,WT UT 6.25nM,WT UT 12.5nM,WT UT 25nM,WT UT 50nM,WT UT 100nM,WT E 0nM,WT E 6.25nM,WT E 12.5nM,WT E 25nM,WT E 50nM,WT E 100nM,WT E 0nM,WT E 6.25nM,WT E 12.5nM,WT E 25nM,WT E 50nM,WT E 100nM,WT E/A 0nM,WT E/A 6.25nM,WT E/A 12.5nM,WT E/A 25nM,WT E/A 50nM,WT E/A 100nM,WT E/A 0nM,WT E/A 6.25nM,WT E/A 12.5nM,WT E/A 25nM,WT E/A 50nM,WT E/A 100nM,KO UT 0nM,KO UT 6.25nM,KO UT 12.5nM,KO UT 25nM,KO UT 50nM,KO UT 100nM,KO UT 0nM,KO UT 6.25nM,KO UT 12.5nM,KO UT 25nM,KO UT 50nM,KO UT 100nM,KO E 0nM,KO E 6.25nM,KO E 12.5nM,KO E 25nM,KO E 50nM,KO E 100nM,KO E 0nM,KO E 6.25nM,KO E 12.5nM,KO E 25nM,KO E 50nM,KO E 100nM,KO E/A 0nM,KO E/A 6.25nM,KO E/A 12.5nM,KO E/A 25nM,KO E/A 50nM,KO E/A 100nM,KO E/A 0nM,KO E/A 6.25nM,KO E/A 12.5nM,KO E/A 25nM,KO E/A 50nM,KO E/A 100nM
30,7.153815,8.745766,7.461517,6.087211,6.048234,6.153334,9.49987,7.700946,9.281064,5.364914,5.777835,3.558853,4.712973,6.778351,5.388201,5.724756,5.77915,4.860293,7.668627,8.390873,7.291217,5.492942,6.116354,3.255197,5.787208,8.027241,6.172045,6.010077,5.384342,5.910406,9.597305,8.373306,6.730308,4.875881,4.676949,3.947634,9.001141,12.09988,11.08668,10.4269,10.23977,12.81934,12.99735,10.38222,9.735405,9.383964,10.46515,5.562974,4.867123,8.233378,7.619304,7.267007,6.884731,6.997872,9.633686,8.707096,7.954818,8.048549,6.130524,4.159439,6.42322,8.076871,8.316437,7.509834,6.555584,5.994421,8.656952,7.272505,6.829227,7.321059,5.434212,3.816584
33,7.757935,9.077234,7.971396,6.096038,5.964782,6.11871,10.55476,7.855898,9.995236,5.596847,5.929476,3.577684,4.972905,7.627055,5.819287,5.772764,5.580235,4.947654,8.212668,8.851344,7.807906,5.367901,6.248087,3.360741,6.002769,8.880146,6.388886,6.032066,5.128865,5.731055,10.47232,9.432705,7.016124,4.906185,4.621309,3.849363,9.695318,12.18006,12.10181,10.9913,10.36916,13.21289,13.61316,11.34949,10.23082,9.741312,10.43747,5.727591,4.944513,8.251747,7.784415,7.34416,6.851985,6.906191,10.0995,9.145423,8.032925,7.951352,6.305742,4.0618,6.801689,8.12488,7.951626,7.709978,6.74692,6.170168,8.553355,7.80509,6.872951,7.264601,5.06573,4.083397
36,7.810536,9.632218,8.508488,6.299289,6.183518,6.777343,11.37156,8.878778,10.69013,5.837197,6.321585,3.562029,5.279447,7.834029,5.839912,5.753011,5.460572,4.970003,9.306453,8.910501,8.216765,5.650455,6.054141,3.134322,6.52313,8.976385,6.788595,5.768138,5.413229,5.687743,11.40756,9.50045,7.67829,5.118946,4.639867,4.040322,9.875915,12.89446,11.99946,11.33787,11.17109,13.31883,14.83854,11.87451,10.5088,10.27282,11.3567,5.958773,5.331263,8.363387,7.918163,7.551303,6.91104,7.130187,10.61998,9.5551,8.123411,7.738234,6.567929,3.877482,6.846505,8.00479,8.158583,7.451206,6.790098,6.078504,8.903688,7.656881,6.805377,7.400602,5.194049,3.746841
39,8.734088,10.39649,8.702109,6.287576,6.255479,6.813247,12.31676,9.552349,11.10515,6.02539,6.463989,3.878762,5.545936,8.579511,6.141724,5.66775,5.769163,4.894814,9.694209,9.00329,8.392769,5.431445,5.8128,3.144412,6.854513,9.795433,7.046052,5.821729,5.356137,5.822019,12.06864,10.41605,7.710131,5.294249,4.553769,3.892028,10.55908,13.73451,12.48948,11.31838,12.2429,13.66259,15.62638,12.69381,10.88744,10.92533,12.20425,6.223537,5.545816,8.666701,7.753889,7.58357,6.909639,7.255177,11.96157,9.84836,8.37182,7.921321,6.533647,4.133813,7.373985,8.313756,8.3478,7.660279,6.705706,6.030272,9.158568,7.890487,6.781014,7.291712,5.287164,3.719917
42,9.293648,11.90537,9.221106,6.404815,6.384276,7.116272,13.00634,10.22169,11.59412,6.03869,6.536225,3.84839,5.851214,8.778221,6.417603,5.722127,5.64168,4.919485,10.13064,9.150597,8.541132,5.583547,6.013696,3.104069,7.430786,9.970499,6.956556,5.622559,5.38272,5.839144,12.68843,10.35689,8.064596,5.431941,4.523294,4.061424,11.80874,14.55649,13.47632,12.40036,12.38691,14.29308,17.18361,13.47265,11.44386,10.88753,11.47184,6.379394,5.633622,8.924723,8.059338,7.502749,7.091465,7.492982,12.2274,10.17669,8.456178,7.978738,6.434812,4.12077,7.415439,8.572186,8.400145,7.600456,6.788953,5.956587,9.648368,7.979677,7.118612,7.501929,5.269852,4.071173
45,10.22159,13.14818,10.18428,6.267038,6.108278,7.127063,14.35398,10.95898,12.00334,6.256863,6.306972,3.971775,6.119461,9.766291,6.459397,5.578699,5.949161,5.082802,10.71601,9.813684,8.486805,5.393817,6.134382,3.268633,7.735912,10.43068,7.435192,5.583786,5.235057,5.890464,13.66713,11.38421,8.024901,5.251892,4.413465,3.869817,12.6877,14.85543,13.7474,12.67233,12.7296,14.47192,17.8714,13.98354,11.96089,10.84336,12.18772,6.771846,5.889696,8.948214,8.29868,7.862932,7.191068,7.486068,13.4025,10.41314,8.372265,7.956713,6.46107,3.981627,7.981503,8.787697,8.3156,7.54345,6.931921,6.193317,9.977411,7.937762,7.351586,7.752028,5.330716,3.932474
48,11.21722,14.17233,10.26686,6.449495,6.595979,7.270012,15.92029,11.74887,13.04592,6.186592,7.029559,4.234798,6.462589,10.35889,6.631047,5.658206,5.484167,4.821538,11.36114,9.753946,8.487677,5.42629,5.942843,3.439532,8.440743,11.34972,7.530065,5.757041,5.215065,6.414086,14.65634,11.89287,8.552536,5.364725,4.224622,3.879992,13.38744,16.84806,14.01587,13.08563,13.44458,14.45844,19.10477,15.10406,12.29298,11.63806,12.44752,6.874932,6.478178,9.322143,8.27384,7.576349,7.182685,7.678222,13.45013,10.44092,8.535311,7.90418,6.334867,3.646778,8.205071,9.016182,8.550983,7.860286,6.860931,6.178977,10.13308,7.867302,7.314077,7.816272,5.233811,4.000543
51,11.91234,15.45181,11.14686,7.024814,7.242746,7.533991,18.0066,13.47958,14.15883,6.62466,7.262449,4.093982,6.954832,10.69001,6.825369,5.701452,5.643831,4.628138,11.93691,10.19434,8.698696,5.317059,6.018203,3.076121,8.772076,11.81652,7.41199,5.735682,5.10778,6.494277,16.08574,12.84967,8.793825,5.436003,4.208763,4.024189,13.96112,17.92267,14.32341,13.5799,13.84523,15.95836,20.63533,16.4379,12.93022,12.00998,12.53935,6.942864,6.417245,9.399602,8.593596,7.902182,7.202847,7.530388,14.42926,11.47128,8.665607,8.192436,6.658158,4.052905,8.367775,9.019117,8.979835,7.788188,6.715028,6.124976,10.44649,8.266737,7.395087,7.772209,5.648185,3.897304
54,13.51892,17.77757,12.28111,6.616177,7.363503,7.643565,20.03416,14.542,15.49082,6.693242,7.504251,4.594965,7.267332,11.15547,6.885619,5.965465,6.1267,4.596365,12.68941,10.64004,8.681383,5.394688,6.371711,3.211627,9.625576,12.70018,8.023519,5.930295,5.191096,7.275305,17.31913,13.53765,9.164885,5.392195,4.296909,4.095997,14.54641,19.57489,15.35914,14.40341,14.07126,15.76908,22.42962,17.39464,13.04484,12.66443,12.63419,7.627466,6.711272,9.786403,8.5545,8.085153,7.52262,7.630914,14.61685,11.61,8.726644,8.408852,6.68049,4.089509,8.290743,8.943655,8.61147,7.595966,6.913345,6.204363,11.05054,8.288283,7.474596,8.071459,5.623583,3.926976
57,15.03377,19.19608,13.37037,7.511643,7.243123,7.688056,22.53926,15.85272,16.28329,6.816201,7.569383,4.656615,7.888849,11.82405,6.592497,6.083249,6.087586,4.817253,13.28612,11.04149,8.687241,5.535248,6.115552,3.08143,9.80735,13.05901,8.132477,5.940471,5.192376,7.336733,17.63916,14.34272,9.559574,5.329112,4.273485,4.177826,15.10017,19.52013,14.62488,14.57577,14.66559,16.10391,23.62614,18.75741,14.29499,13.01182,13.26273,8.004961,6.760543,10.24151,9.16707,8.157864,7.493665,7.636616,15.35699,11.28845,8.807927,8.262572,6.683647,4.140676,8.792818,9.012032,8.597454,7.716311,6.976309,6.448437,11.49216,8.511921,7.322289,8.086398,5.401739,3.928052
