Elapsed,WT UT,WT E,WT E/A,WT UT,WT E,WT E/A,WT UT,WT E,WT E/A,WT UT NEK6-1,WT E NEK6-1,WT E/A NEK6-1,WT UT NEK6-1,WT E NEK6-1,WT E/A NEK6-1,WT UT NEK6-1,WT E NEK6-1,WT E/A NEK6-1,WT UT NEK6-2,WT E NEK6-2,WT E/A NEK6-2,WT UT NEK6-2,WT E NEK6-2,WT E/A NEK6-2,WT UT NEK6-2,WT E NEK6-2,WT E/A NEK6-2,WT UT NEK7-1,WT E NEK7-1,WT E/A NEK7-1,WT UT NEK7-1,WT E NEK7-1,WT E/A NEK7-1,WT UT NEK7-1,WT E NEK7-1,WT E/A NEK7-1,WT UT NEK7-2,WT E NEK7-2,WT E/A NEK7-2,WT UT NEK7-2,WT E NEK7-2,WT E/A NEK7-2,WT UT NEK7-2,WT E NEK7-2,WT E/A NEK7-2,KO UT,KO E,KO E/A,KO UT,KO E,KO E/A,KO UT,KO E,KO E/A,KO UT NEK6-1,KO E NEK6-1,KO E/A NEK6-1,KO UT NEK6-1,KO E NEK6-1,KO E/A NEK6-1,KO UT NEK6-1,KO E NEK6-1,KO E/A NEK6-1,KO UT NEK6-2,KO E NEK6-2,KO E/A NEK6-2,KO UT NEK6-2,KO E NEK6-2,KO E/A NEK6-2,KO UT NEK6-2,KO E NEK6-2,KO E/A NEK6-2,KO UT NEK7-1,KO E NEK7-1,KO E NEK7-1,KO UT NEK7-1,KO E NEK7-1,KO E NEK7-1,KO UT NEK7-1,KO E NEK7-1,KO E NEK7-1,KO UT NEK7-2,KO E NEK7-2,KO E NEK7-2,KO UT NEK7-2,KO E NEK7-2,KO E NEK7-2,KO UT NEK7-2,KO E NEK7-2,KO E NEK7-2
30,48.10977,42.28585,39.07749,54.95327,30.47879,51.79663,19.41065,9.353829,31.39435,62.01602,57.39668,58.18917,64.93256,49.23721,58.64092,59.35031,57.27781,60.76747,51.30755,60.2614,63.71905,54.86823,56.69141,61.0685,54.5334,55.74821,49.4453,54.34436,46.08511,55.65451,58.57578,48.89766,58.76713,58.09947,48.86818,48.27061,48.3372,42.93998,47.36379,48.59163,43.48202,54.40317,45.62718,44.52181,46.76006,17.93095,26.40871,39.88406,37.78925,31.93045,51.44661,25.87172,20.98383,19.85865,35.60761,36.30125,39.19695,42.66744,34.71429,34.69083,38.57097,41.57375,31.71477,27.45537,28.14866,31.30702,30.194,28.00109,24.55185,31.97684,25.90119,22.44376,26.65863,29.47489,18.21258,42.82251,38.47615,22.07508,36.01911,36.47797,25.09601,28.73642,29.79316,24.12132,31.45405,32.76855,17.38884,34.16513,28.54202,22.09172
33,52.18878,43.95725,41.01675,60.23589,31.63429,54.89546,22.36255,9.632252,33.61741,66.64224,59.83284,62.9515,70.53527,51.9819,62.26444,65.42937,59.86931,65.48221,56.06562,62.55122,68.25876,60.59821,59.60639,65.02014,61.06489,58.79428,53.5815,60.59181,48.4569,59.89923,64.5295,51.0794,62.05957,63.49687,51.31682,52.89009,53.65608,45.69629,50.79825,54.43977,45.44244,57.76309,50.5249,47.11046,49.79943,20.47771,27.76597,41.41485,41.55461,33.1973,53.06813,29.78557,22.07332,21.13129,39.96041,38.3712,41.43565,47.74556,37.28204,36.4021,41.92589,43.31831,33.79051,30.86839,29.76625,33.25634,32.76437,28.46191,25.09838,35.80338,26.87333,23.69113,28.99571,30.88256,19.00384,45.78149,40.26637,23.24593,40.26982,38.41127,25.87896,31.81434,31.41462,25.53492,34.21195,34.28234,18.80282,36.76521,30.2238,23.34698
36,57.14422,46.04989,43.54873,65.29095,33.36193,58.01091,27.94551,9.917059,35.04623,72.05238,62.02184,65.66954,76.45649,53.97057,65.31922,71.5937,61.74079,68.67477,60.91392,65.16724,71.98036,66.9047,61.5284,68.59053,67.21768,61.00105,56.52781,65.00892,49.55257,63.8701,70.04235,53.20043,65.21187,70.05639,52.54754,55.40633,60.6924,46.67348,54.33703,58.94833,47.0635,58.66849,56.17143,48.44856,52.58553,24.28431,29.00037,42.61799,47.18288,35.45833,54.83759,33.22742,23.36407,22.08943,43.4853,40.49947,42.5885,52.67905,37.93634,37.43615,46.05957,44.72217,35.87889,33.9042,31.08745,34.45958,36.87789,30.81541,25.90479,38.86644,28.38609,24.70052,32.45374,32.20742,20.20441,50.21864,42.55912,24.48215,44.688,39.81889,27.22491,35.39384,33.1803,26.43494,38.30276,36.01117,19.17912,40.0214,31.55229,24.37756
39,60.69735,47.49414,44.45512,70.29469,34.27924,59.7536,32.12764,10.5156,37.16588,76.82162,63.61324,70.35966,80.4548,55.93782,68.75374,77.06247,63.50086,72.59877,66.66644,66.36498,74.76629,72.27308,63.55606,71.99205,73.20934,63.00694,60.25788,70.6167,51.54732,66.82253,76.16678,55.45592,66.8807,74.50002,54.31867,58.83472,65.46687,48.63199,56.8711,65.08348,48.91985,63.46251,60.98051,49.79096,56.05347,27.13807,29.69778,43.76468,50.80532,34.84703,55.79634,38.19027,24.87603,23.39762,48.0678,42.15564,45.18002,57.96166,40.24955,39.99325,50.61089,46.21944,37.98118,38.01851,32.70221,36.50453,40.36198,32.26658,26.71509,43.8229,29.34353,26.05887,34.47506,33.70377,21.33494,54.73016,44.60181,25.0499,49.59538,41.27219,28.08013,38.73832,34.37343,27.25048,41.78513,37.29145,20.51997,44.24585,32.8251,25.52892
42,65.25225,49.00029,46.56494,74.3085,35.60825,61.9748,38.00747,10.74868,38.89127,81.31883,64.82104,72.7999,85.26299,57.99363,71.23331,81.91051,65.58442,75.88454,70.88137,68.35742,77.68566,77.8293,64.81107,73.73219,78.77322,64.68275,63.86476,77.14584,52.2732,68.53461,81.02168,56.51443,69.254,80.02335,55.65108,61.04259,72.11794,49.93219,60.26118,71.93026,50.12053,65.2818,67.80406,51.51056,59.13303,31.17239,30.54546,45.23053,55.48053,35.70287,56.75839,42.09852,25.7497,24.74825,52.41202,43.8566,47.23983,63.48602,41.70813,41.36862,55.1678,47.59473,40.2474,42.47857,33.57973,37.91044,44.36747,33.25288,27.68119,47.46503,30.16897,27.49883,39.01255,34.10426,21.38667,59.71343,45.9983,26.43317,53.48222,43.18002,29.68096,42.79708,35.65713,27.99489,46.64085,38.99238,21.06508,48.73267,33.66192,26.34678
45,70.35508,50.41715,48.27797,78.49418,36.84905,63.79699,43.29123,11.13993,39.98274,86.26994,66.33908,75.01749,90.16284,58.75562,72.28288,86.59357,66.71311,78.00073,76.62825,68.51432,79.66055,83.38017,65.80366,75.59488,83.71167,64.89278,64.8365,82.976,53.66717,69.98035,86.2882,57.43123,71.07581,84.10583,56.43918,62.92379,77.88387,51.4541,60.9061,77.78183,51.44188,66.29843,73.61515,52.46146,61.5484,34.93973,30.97982,46.6018,60.82339,36.57516,58.1512,47.75339,26.06795,25.19336,57.20406,44.28014,48.10612,68.14404,42.83069,42.50805,59.31471,48.24864,41.17396,46.07563,34.88385,39.58504,48.8369,34.6749,28.25356,51.57643,30.66475,27.71134,42.76194,35.16338,22.12868,65.78263,47.37322,27.11911,58.62798,44.20382,30.17535,47.81314,36.69302,28.54097,50.41133,39.94542,21.79117,53.56389,34.25402,26.62842
48,75.29054,50.8683,49.28711,82.50928,37.74446,65.50663,50.17054,11.1027,40.25581,89.16777,67.0499,76.3781,92.79939,60.08638,73.71559,90.88496,67.70894,80.20177,80.90741,69.83989,82.14563,87.80984,67.63907,78.27027,88.76175,65.86945,69.36099,87.88242,53.65007,71.25412,90.15202,58.95296,72.45076,88.64494,57.98773,63.43885,84.06081,52.51574,62.69981,82.90778,52.42052,69.28551,80.28941,53.73108,62.55549,40.27861,32.15291,46.98173,65.91092,37.2632,58.75956,53.82015,26.53679,25.56855,62.33936,45.08772,49.35306,73.31885,43.75437,43.75785,65.23765,49.52672,42.68542,52.28177,35.38744,39.45071,53.92974,35.84773,28.61724,55.89965,31.29509,27.64652,46.89853,35.82755,22.70968,69.93457,49.2545,28.01541,63.4581,45.11831,30.67867,53.10941,37.08363,30.17686,55.87214,40.93115,22.64563,58.70869,35.27345,27.4678
51,79.04394,51.54481,50.08712,85.62838,37.97594,66.05246,55.38615,11.48984,41.65418,92.42876,67.76083,77.83027,95.22518,61.18816,75.43636,93.57775,68.41456,81.05376,84.46324,70.60526,83.86401,91.54988,69.08153,79.6287,92.43835,67.10121,71.80246,91.86526,55.18728,73.79297,93.09041,59.95216,74.15594,92.11224,59.02729,64.7724,88.49356,53.67872,64.26414,88.15871,54.12304,70.18021,85.03523,54.72687,65.59966,45.43404,32.49281,48.13388,70.2973,38.33009,60.33517,59.77903,27.54118,26.63776,66.88222,46.60933,50.68209,78.34447,44.88778,45.2906,70.23291,50.06624,44.41718,56.30323,35.48372,40.40155,59.33238,36.61759,28.9405,60.3068,31.32196,29.78075,51.10245,36.62223,23.64698,75.59576,49.67457,28.29103,68.22731,46.41231,31.59428,59.00392,37.92449,30.36853,60.48722,41.7543,23.34384,63.06459,36.1344,27.81535
54,81.33862,52.45428,50.50909,87.83836,37.99159,66.90105,60.63116,11.6236,42.91412,93.50873,69.14303,78.759,96.71668,62.49109,77.00101,95.30089,69.5947,83.08091,87.94834,71.80249,84.68909,94.20354,69.75016,80.64333,94.77579,68.82081,73.8391,93.287,56.43512,75.60892,94.95357,61.01556,75.06152,94.54198,60.23222,66.48385,91.55814,54.52541,65.50598,91.8245,54.55418,72.54295,89.67746,56.62594,67.46658,49.67563,32.6061,49.07124,75.13205,39.08536,62.3846,64.49057,27.97009,27.37924,71.93069,46.74966,52.24232,83.80311,45.70503,45.63758,74.90792,50.97784,45.32192,62.00282,37.37658,41.72661,64.55592,36.38905,28.93954,65.77248,31.76679,30.53671,56.0584,37.44921,23.97888,79.17094,50.20861,29.69633,72.73526,46.33857,32.35016,63.34465,39.0457,31.35836,65.5931,42.63019,24.10221,67.92435,36.82476,28.82979
57,85.03131,53.57108,51.97564,89.35345,38.92291,68.2826,66.07721,11.7901,43.20107,94.77042,69.7829,80.67776,97.10133,65.29937,78.83258,96.30673,70.79813,84.50403,90.79237,73.33778,87.15262,95.25349,72.51826,82.69299,95.60289,70.40068,76.70528,95.13065,57.96742,77.44955,95.56604,62.67028,76.65436,95.86638,61.07848,67.84072,94.14925,56.28027,67.66655,94.82265,56.54413,73.41411,92.92548,57.9183,69.85329,53.90223,34.0746,50.22701,78.7901,40.93779,64.18884,69.55161,28.57565,28.56191,76.62828,48.62318,52.73861,86.26399,46.07587,47.9555,78.27775,51.79062,48.89391,67.29852,37.6282,42.58212,68.66277,37.25205,29.76581,69.96581,32.37729,31.4897,60.38205,37.64312,24.23027,83.3555,51.86902,30.52613,78.21178,47.50507,32.14702,68.28188,40.04306,31.74215,71.26277,43.08035,24.47677,74.64652,37.54736,29.25167
60,87.82707,54.36052,52.94433,91.77619,39.48302,69.24273,70.89378,11.92103,43.57793,95.26479,71.72862,81.8914,97.7776,66.18779,80.39146,96.98409,72.86633,85.03392,92.91631,75.00939,87.63234,95.78323,73.65247,84.45375,96.44401,72.43816,77.45271,95.31859,58.31921,78.80868,95.7027,64.85677,78.80574,96.3255,61.82552,69.20569,95.3365,57.99791,68.94868,95.93156,58.18523,75.45097,95.20434,60.031,71.6342,57.70423,35.10394,51.4355,82.16455,41.70065,65.72561,73.93988,29.29994,29.49661,80.93936,49.49488,54.46932,89.02492,47.71737,49.17477,83.35841,52.37332,49.49941,71.12173,39.81716,43.41737,73.12629,38.19915,29.65347,73.2176,33.03741,31.69116,67.16473,38.79823,24.70518,87.49828,52.53676,31.43445,82.77573,48.71212,33.82324,73.15125,40.54457,32.67754,76.22453,45.05441,24.82813,79.83232,38.75877,29.74556
63,89.21533,55.49655,53.00904,93.46597,40.2782,70.01642,74.47938,12.25286,44.57826,95.74032,73.18948,83.53705,98.02458,68.10844,81.46827,97.72488,74.53822,86.12933,94.98862,76.64592,88.48636,96.57547,75.54797,85.61652,97.09586,74.22769,78.65092,96.24792,61.2955,80.25227,96.45135,67.22553,80.85164,96.88684,65.39539,71.10861,96.34028,59.35024,70.84882,96.41086,60.25083,79.25401,95.91447,62.72439,73.75236,62.69526,35.58315,52.37775,84.27445,41.9731,67.20024,79.49884,30.1575,30.32129,85.1162,49.4325,55.09634,91.1846,49.24673,50.1873,86.84565,53.44157,51.69501,76.08989,41.43716,44.61633,77.32281,39.14356,30.65779,77.94925,33.87443,32.62316,70.87476,40.30302,26.17864,90.07155,54.0248,32.08236,86.60339,49.44602,34.30575,78.21545,41.84705,32.88926,80.61441,46.32399,25.66432,83.62716,40.2398,30.68077
66,92.198,58.26228,54.1405,95.32663,41.24041,71.11011,78.30402,12.37721,45.13573,96.7401,74.10722,85.54566,98.4406,70.0798,83.51581,98.11668,76.75854,87.47655,95.89536,77.47855,88.94231,97.15426,78.01993,86.52268,97.30962,76.50597,79.36019,97.31116,62.66636,81.4436,97.22775,70.3728,82.94684,97.38203,67.09386,72.53474,97.17167,61.23987,74.7645,97.22075,62.61601,80.98782,97.01164,64.03685,75.24537,66.46089,36.13593,54.25395,86.69437,43.23829,68.53964,83.59605,31.52777,30.84459,88.11385,50.33597,56.58032,93.12303,50.96307,51.10487,89.49425,53.83024,53.25705,80.44392,42.48878,44.98956,82.40028,39.44831,30.91836,81.94926,34.66216,33.05495,74.8129,40.39412,26.02519,91.4157,54.96584,33.23041,89.11602,51.32827,36.31918,82.52719,43.06497,33.91934,85.22334,47.22029,26.29424,87.95519,41.16552,30.76651
69,93.29642,60.69742,54.00878,96.76015,42.59835,71.02377,80.9474,12.22743,46.16233,97.48027,75.71162,86.39966,98.88643,72.55371,85.29202,99.02112,77.48504,87.75104,96.57878,79.61166,89.19539,97.90549,79.26103,87.32886,97.97964,78.4203,80.33751,97.72027,64.79671,82.56773,98.19299,71.3393,85.3653,98.21673,70.2382,75.43066,97.86679,63.18992,75.12911,97.58237,64.90116,83.60901,97.70403,66.9241,77.31281,69.98248,37.30348,54.09647,88.82915,44.35723,69.53063,86.77504,32.0258,31.67349,90.17052,51.51863,59.30209,94.6028,50.89214,52.81212,91.45381,54.75561,54.39984,84.15958,43.14106,46.04343,85.88261,40.28658,30.61378,83.97974,34.34271,33.70311,78.63006,41.22509,27.29896,93.65208,56.30753,35.10291,91.14102,51.68375,36.92017,87.022,42.55608,34.78268,88.68037,48.41059,26.77253,90.74376,41.84758,31.63447
72,94.92622,60.01572,54.2061,97.18299,44.13715,71.77872,83.63695,12.70445,47.59807,98.1415,77.64845,87.63277,99.18636,74.82236,86.83019,99.34268,78.99988,89.01471,97.26007,80.23896,90.40292,98.64716,81.79434,90.09796,98.50483,81.52824,83.63538,98.08253,69.87538,83.68257,98.43575,74.5843,86.16322,98.69777,73.51376,77.7733,98.75635,67.56718,78.88355,97.88638,67.96876,85.31569,98.64798,70.08035,79.76418,74.31657,38.52132,55.83076,91.22046,44.96172,71.25516,90.47534,33.66865,32.69519,92.30083,52.55098,60.8908,95.80523,53.07793,53.68612,94.06565,56.81786,55.99611,86.87746,44.6647,48.29382,89.10683,41.24145,32.10871,87.04752,35.11725,35.92824,82.74922,42.15291,28.69641,95.46349,58.00056,37.04737,93.63097,54.24098,38.60964,90.13973,44.77862,37.35763,90.79189,50.97726,27.78892,93.15547,43.89347,33.26474
