Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
0,4.308041,4.37821,4.030694,3.613862,4.167275,3.70824,2.947084,2.667586,3.32161,2.522348,4.021969,3.20514,3.951544,5.374405,5.730731,4.165329,4.627113,3.909255,4.643538,4.313776,4.495533,4.491556,4.754596,3.932559,3.635493,5.08451,4.277139,4.286785,4.415565,4.064941,3.476767,4.700475,3.744298,4.083517,3.627059,3.755036,5.467162,5.647723,4.031871,3.913045,4.453432,4.271863,4.322843,5.521436,3.667624,4.52104,3.960848,3.73875,4.738548,4.804739,5.448638,3.798009,3.452165,4.170707,4.34712,4.509584,4.934372,3.271553,2.799012,2.312421,5.662765,6.377807,6.689026,6.694882,6.07106,6.126838,7.066795,6.876366,6.266305,6.534585,6.323207,4.293869,5.206785,7.103911,6.000191,5.34376,6.104335,5.578904,8.201246,6.001454,8.818292,5.537451,5.495195,3.612223,4.899561,4.609067,5.147713,4.633772,4.464478,5.15695,6.164346,5.086781,6.089037,5.462876,4.953101,4.676812
3,4.334059,4.708311,4.542466,4.204033,4.979034,4.325625,3.337505,3.133332,3.910535,2.569623,4.028167,2.933665,4.590509,6.284726,6.750897,5.14295,5.96987,4.974527,5.510237,5.130282,5.305329,5.407749,5.470832,4.578217,4.022413,6.03338,5.780669,5.547985,5.677242,5.234562,4.142366,5.707103,4.956755,5.419068,4.86982,4.599832,6.216161,6.882751,5.391017,5.577127,6.243802,5.662765,5.236372,6.811285,4.427174,5.946532,5.11857,4.890273,5.577349,5.28532,6.375656,4.443837,3.918218,5.217626,5.235126,5.321992,5.694281,3.81532,3.315259,2.534999,6.95012,7.408132,8.510537,8.602882,7.677881,7.279675,8.476954,8.141645,7.625109,7.802768,7.757697,5.149437,6.178038,8.862356,7.855864,6.684144,7.870615,6.913003,8.139648,7.588761,8.918115,6.874094,6.772341,3.340236,6.278683,4.881515,6.141639,5.445446,5.271799,5.568045,6.876963,6.586333,6.630807,6.791002,5.429414,5.373484
6,4.600685,4.976593,4.999795,4.42154,5.150701,4.508321,3.517503,3.194589,3.973243,2.557023,4.153139,2.871572,4.847387,6.689351,7.162164,5.393868,5.963382,5.14785,5.874963,5.461083,5.555907,5.539534,5.880989,4.745189,3.968514,6.13329,5.807627,5.904447,5.627117,5.254879,4.196589,5.708656,5.075769,5.461442,4.910845,4.712084,6.430681,6.998862,5.777887,5.7126,6.18304,5.799415,5.225019,7.018872,4.610963,5.97646,5.155823,4.916497,5.476791,5.55466,6.583755,4.548988,4.052341,5.24974,5.401124,5.363343,5.642995,3.781192,3.42333,2.686725,6.933764,8.064562,9.036019,9.021866,7.690634,7.547583,8.669877,8.587893,7.964141,8.016724,7.838279,5.178341,6.162621,8.805795,7.928817,6.984846,8.194964,6.971939,9.047151,7.934417,7.828787,7.250942,6.988123,3.80943,6.405993,4.916753,6.421701,5.593279,5.248562,5.53996,7.249508,7.045608,6.736676,7.011343,5.56557,5.478293
9,5.236918,5.467759,5.612981,4.723147,5.380944,4.975911,3.69424,3.606196,4.394548,2.645477,4.405407,3.049094,5.455621,7.460578,8.114552,5.602652,5.99845,5.428049,6.42491,5.737663,6.196238,5.687622,6.105547,4.730113,4.546257,6.608613,6.170765,5.989264,5.602054,5.044731,4.58368,6.101911,5.200519,5.499481,4.773632,4.565054,6.998402,7.263576,6.019756,5.560772,5.933897,5.572877,5.475374,7.201243,4.589519,5.911003,5.014768,4.749098,5.710739,5.781216,6.583004,4.786146,4.226006,5.353577,5.653153,5.444728,6.029044,4.092514,3.264314,2.895132,7.134456,8.506218,9.023848,8.948146,7.613244,7.489756,8.86594,8.669688,8.333168,7.988862,7.933904,5.144572,6.371779,8.970443,8.07356,7.038863,7.616811,7.236413,9.447576,8.034225,7.783801,7.271703,6.696368,3.752373,6.533681,4.937325,6.438535,5.459769,5.258925,5.640928,7.366133,7.044071,6.790728,7.330211,5.625307,5.393117
12,5.765628,6.243238,6.441539,5.23796,6.146351,5.515888,4.1809,3.997572,4.954143,3.079638,5.039062,3.468811,6.043163,8.664311,9.270804,6.149663,5.722195,5.4092,7.402651,6.602433,6.534175,6.302858,5.923995,4.551806,4.756645,7.376974,6.687352,6.319879,5.450055,5.224831,5.309631,6.76092,5.430131,5.435611,4.644545,4.61267,7.879817,8.175296,6.406608,5.739114,5.725814,5.479011,6.17592,8.673788,4.683197,5.89726,4.8164,4.601504,5.959301,6.194206,6.878226,5.265703,4.320538,5.408995,5.753131,5.715366,6.410347,4.241713,3.53502,2.885588,7.502988,8.819315,9.14916,8.87569,7.199809,7.335521,9.51136,9.094631,8.486941,7.785319,7.749859,4.958581,6.439371,9.415974,8.237559,6.599172,7.343067,6.76162,9.095313,8.272714,7.520282,7.077415,6.520108,3.586289,7.100667,4.943625,6.643801,5.358545,5.080668,5.616156,7.343204,7.386175,6.759656,7.210958,5.441672,5.243184
15,6.450109,6.833888,7.280598,5.657626,6.759059,6.294884,4.635855,4.236283,5.419034,3.259448,5.377599,3.629705,6.914728,9.66044,10.1344,7.219904,5.745705,5.351938,8.203125,7.640099,7.577116,7.461758,6.083797,4.714475,5.223619,8.03419,7.39741,6.464229,5.208253,5.011438,5.691226,7.35029,5.833749,5.660818,4.400711,4.448805,8.690005,9.586838,7.249269,5.883687,5.712447,5.362027,6.861274,9.403494,5.146125,6.499603,4.780666,4.646406,6.294474,6.436007,7.187654,5.481674,4.413226,5.6986,6.240285,6.076472,6.678373,4.604952,3.438336,2.844375,8.01324,9.31376,9.572754,9.224537,7.09056,7.159721,10.16999,9.743004,8.692635,8.100363,7.246657,4.785583,6.476385,9.969321,8.270067,6.565931,7.015049,6.824925,9.358114,8.466831,7.025632,6.866207,6.448044,3.50031,7.045318,4.962713,6.686021,5.142455,4.801835,5.507795,8.031271,7.475552,6.560417,6.898747,5.253854,5.187374
18,6.812974,7.193303,7.691573,6.221266,7.203206,6.828664,4.901319,4.760571,5.990579,3.657551,5.826066,3.649475,7.338253,10.20354,11.33198,7.670712,5.779781,5.115497,8.875775,8.253216,8.559895,7.856018,5.91172,4.433815,5.723356,8.416466,7.862113,6.706612,5.281308,4.907346,5.98252,7.628079,6.127537,5.975214,4.120769,4.297557,9.003651,10.18263,7.733555,6.352658,5.692677,5.214502,7.392015,10.28137,5.697815,7.047521,4.957283,4.486058,6.612642,6.567417,7.46751,5.934854,4.489234,5.960735,6.626933,6.39633,6.863423,4.774008,3.685772,2.984951,8.333237,9.783722,10.53627,9.575706,6.694336,7.037498,10.58012,10.46621,9.236931,8.553936,7.092217,4.686544,6.433361,9.954534,8.32347,6.519663,6.791395,6.797865,9.026409,8.565289,7.207542,6.789208,6.026517,3.556753,7.298611,5.156182,6.686244,5.13175,4.903863,5.563333,7.896924,7.727546,6.705672,6.545496,5.234409,5.081555
21,7.111492,7.605953,8.25431,6.61131,7.754486,7.195848,5.130231,4.927646,6.317506,3.692516,6.14869,3.969282,7.899144,11.26238,12.37252,8.479446,5.98783,4.880986,9.279271,8.82413,8.854792,8.754081,6.263675,4.597031,6.043744,9.017189,8.318075,7.006938,5.622063,4.958427,6.348134,8.127049,6.554937,6.255361,4.391612,4.251717,9.805696,10.52726,8.007778,6.756805,5.75774,5.055281,8.111495,10.96067,5.981872,7.525558,5.259933,4.410682,6.99695,6.903358,7.68645,5.92345,4.857032,5.956331,6.977931,6.353205,6.983924,4.923582,3.654204,3.045782,8.960847,10.22732,10.51864,9.879569,6.861426,6.799931,11.52747,10.91992,10.01036,9.10059,6.990634,4.450888,6.821254,10.21766,8.424626,6.28628,6.522925,6.554031,9.660934,9.066648,7.127028,6.705211,5.622576,3.319595,7.389794,5.225429,6.889204,5.380364,4.667285,5.406162,8.157182,7.715116,7.020204,6.361314,5.066448,5.046575
24,7.663881,8.37305,9.059375,7.210172,8.310855,7.791244,5.505251,5.300822,6.727542,3.790582,6.641053,4.574769,8.363763,12.04317,12.97908,9.483462,6.53549,4.991412,9.994912,9.07766,9.799395,9.258101,6.706525,4.128794,6.622221,9.562731,8.501215,7.460493,5.783213,4.856588,6.904109,8.466694,7.029439,6.323822,4.558993,4.251785,10.3762,11.21947,8.5741,7.315819,6.258126,5.295598,8.225558,11.45569,6.180171,7.658914,5.480769,4.488039,7.570887,7.273718,8.102224,6.299152,4.947262,6.249095,7.597793,6.829517,7.411289,5.387996,3.782967,3.281079,10.14027,11.23149,11.50204,10.72566,6.809474,6.616126,12.14354,11.51116,10.51505,9.842793,7.124758,4.453312,6.977693,10.82236,8.810796,6.742754,6.465269,6.938101,9.343296,9.071327,7.079294,6.669495,5.843224,3.637542,8.007999,5.335342,6.928318,5.483245,4.671895,5.599459,8.472908,7.869353,7.200116,6.657629,5.065423,5.317176
27,8.612323,9.014987,9.941969,7.671,9.167531,8.863381,5.891062,5.683303,7.144169,4.169648,7.242747,4.776398,8.821927,12.72789,13.71189,9.736328,7.075878,4.676147,10.59053,9.739743,9.962951,9.507774,7.414072,4.036071,7.283278,10.09284,9.061748,7.412041,5.687503,4.675941,7.267776,8.939525,7.214765,6.515823,4.479075,4.193995,11.36673,11.85178,9.142963,7.591782,6.392677,5.229509,8.967798,12.14663,6.31001,8.241025,5.585237,4.478529,7.971566,7.458564,8.405521,6.491101,5.211378,6.752997,8.069906,6.910255,7.64237,5.452531,3.829815,3.194213,10.87525,12.05001,12.00957,11.60324,6.92702,6.628572,12.79355,12.38621,10.95216,10.5137,6.988619,4.292846,7.295314,10.93137,8.885881,6.747346,6.49402,6.758819,9.432056,9.06776,7.243038,6.483591,5.543221,3.614083,8.303444,5.33256,7.058242,5.655765,4.484863,5.423131,8.81293,8.136694,7.345542,6.543003,5.195552,5.126714
