Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
93,88.64146,46.53523,28.72227,47.58558,18.10707,20.08483,79.690695,42.32287,34.80163,63.69701,36.78521,18.661365,73.641675,36.936785,34.626365,57.45305,24.534455,19.58087,72.33744,49.152205,35.5134,68.384215,32.714045,26.59655,63.42547,28.57153,25.23216,59.91432,16.640535,17.007485
96,88.328885,47.823735,28.76623,49.976965,18.48409,20.5704,80.545275,43.18994,36.601905,65.96728,36.56746,18.90436,75.266275,38.16448,35.50898,60.790185,25.05455,20.054805,74.407725,50.69155,36.741315,70.646325,33.824305,27.10425,64.605255,29.67426,26.381235,61.786805,17.140745,17.70373
99,88.43558,48.47587,30.109005,52.32585,18.55649,20.39875,81.96454,44.50043,37.28987,68.315555,36.742345,19.506785,76.04765,38.194095,36.045565,63.223665,26.389475,20.158475,75.223885,51.791225,37.4238,70.76712,34.29715,27.438605,65.50656,30.89446,26.81413,62.93177,17.660155,18.075285
102,88.73288,50.156985,30.68361,53.7686,18.9418,20.82349,82.87202,46.06497,37.826045,70.857395,37.519855,19.489055,75.819065,38.6538,37.07023,63.989895,26.821785,20.999595,75.13024,53.250435,38.352355,71.567565,35.27097,28.46678,65.676045,31.82595,27.99605,63.67219,18.337165,18.84402
105,88.641975,51.4341,31.232855,55.691235,18.750605,21.058475,83.52912,47.368975,39.079945,72.594125,38.102355,19.740165,76.89608,39.349205,37.88975,64.54663,27.357905,21.491805,75.08869,54.326025,39.777815,71.90972,36.111765,29.182555,65.09846,32.48574,28.55531,65.0319,18.48096,19.60234
108,88.88272,52.671785,31.739025,56.625795,18.90337,21.18859,83.7744,48.00358,39.99191,72.847505,37.07352,20.41723,77.58996,39.945615,38.68345,65.027955,28.0498,21.4669,75.295125,55.420655,39.8924,72.280705,36.877825,30.00761,64.999645,33.49999,29.2939,64.242645,18.949655,20.29808
111,88.967995,53.581765,32.47698,58.06792,19.129855,21.61641,84.2999,49.32664,41.225545,73.566195,38.88735,20.35397,78.014535,40.321665,38.831395,65.42932,28.742725,21.68985,74.634525,56.77014,41.41364,71.55313,38.310165,30.963775,64.689495,33.98771,30.04486,64.533265,19.617075,21.10364
114,89.77616,53.95885,33.385245,59.146325,19.09492,21.89977,84.784515,50.698655,42.575925,73.29232,39.19902,21.241465,78.43936,40.41143,38.756435,66.20037,29.251605,22.105705,75.366875,57.8541,42.28466,72.16457,38.61879,31.440585,64.661795,35.391665,31.40748,64.942755,20.126175,21.188975
117,91.094435,55.362745,35.67065,59.499745,19.34293,22.292925,84.92294,51.8581,43.567635,74.07539,38.058025,21.72008,78.5507,41.979365,41.2071,66.06173,30.12745,22.54452,75.73001,60.04723,43.48092,73.30713,40.733995,32.20084,65.41525,36.41384,32.08627,64.99443,21.41925,21.60476
120,91.711635,55.7491,35.891105,60.571875,19.203005,22.77089,86.018145,51.820175,44.057465,74.92602,37.644725,22.00527,80.020165,42.30592,41.13698,67.47828,30.220835,22.76979,76.282615,60.197265,43.281455,72.620445,40.56592,32.261975,65.87962,36.3612,32.01512,65.22596,21.47888,22.058555
123,92.43935,56.161115,36.067635,61.917295,19.777285,22.93408,86.5585,52.355005,44.9167,75.72837,38.17313,22.149565,81.7158,42.857505,41.409595,67.87369,31.197555,22.796855,77.50901,60.810275,44.897435,73.839245,41.63229,32.45564,66.733645,37.051015,32.47485,66.48147,22.172415,22.63589
126,93.35844,56.663105,36.59765,62.93712,19.979135,23.13833,87.234485,52.58889,45.15728,76.04519,37.54258,22.465065,82.381635,43.127055,41.23451,68.54985,30.827525,22.957755,78.418325,61.85263,44.982575,75.091275,42.320425,33.054665,68.53953,37.589085,33.24638,67.547075,22.248175,23.01779
129,94.771275,57.400925,37.43836,64.07606,19.818985,23.46855,88.816395,53.427735,45.54883,77.851375,37.49503,22.921295,83.147375,44.08727,41.33884,70.015665,31.481915,24.21513,79.356305,61.698265,45.781525,76.35632,42.53825,33.4493,70.123455,38.900235,34.06477,68.77007,22.406755,23.644185
132,95.46001,58.278755,38.37316,64.731885,20.051315,23.80958,89.47363,53.87919,46.212415,78.7216,38.782875,22.94137,84.057935,43.684795,41.897725,71.184535,31.447865,24.1069,81.52784,62.317335,46.451125,77.619135,42.960945,33.546305,71.886505,39.567975,33.94469,69.930485,22.591595,23.64267
135,96.06653,58.86634,38.6698,66.25319,20.09712,24.2484,90.33927,54.19234,46.741595,79.69183,36.47261,22.663125,85.41063,44.029795,42.658455,72.837065,32.1338,23.945675,82.762485,62.98541,47.1268,79.165575,42.730795,34.624135,73.386165,39.95227,35.035995,71.509305,22.87653,24.163225
