Elapsed,PC9 UT,PC9 A/E,PC9 E,KO UT,KO A/E,KO E,KIN UT,KIN A/E,KIN E,KD UT,KD A/E,KD E,M4 UT,M4 A/E,M4 E,M5 UT,M5 A/E,M5 E,M7 UT,M7 A/E,M7 E,M10 UT,M10 A/E,M10 E,M11 UT,M11 A/E,M11 E,M15 UT,M15 A/E,M15 E
0,3.923163,3.8747335,3.355137,4.9392625,5.191871,4.5790915,4.121033,4.2608625,3.471907,4.130817,3.9075585,3.275229,6.007646,5.860103,4.9650315,3.156789,7.63458,3.311233,4.0968085,5.12347,3.7761475,4.155281,3.940372,2.8423315,3.5543605,3.768416,3.1261795,2.7792725,3.002311,2.6992695
3,4.6349275,4.804729,4.616887,7.527331,8.70179,7.115665,5.283241,6.2668635,5.399753,5.227204,5.5665845,4.8556515,6.9815685,7.656538,7.008425,3.849997,10.96823,4.3193275,4.773956,6.057928,5.5779925,5.054705,5.432195,4.367393,4.1451285,4.753598,4.419207,3.0506915,3.940494,3.554555
6,5.2800765,5.595324,4.7263425,7.702528,8.4169675,7.2582,5.4091925,6.0336305,5.2891975,4.908004,5.5687165,4.6176685,7.3806155,7.74043,7.0251755,3.923918,8.63181,4.4117935,5.1393475,5.986753,5.773006,5.295264,5.236773,4.4880785,4.3244225,4.80729,4.331119,3.262974,3.9793365,3.62719
9,5.6802625,6.3013395,5.383959,7.713163,9.6182945,8.036119,5.506253,6.71411,5.665477,5.0894685,6.0927025,5.055953,7.444126,8.5511855,7.8499615,4.134376,5.448543,4.750775,5.415365,6.750809,6.216644,5.511633,5.654718,4.7169975,4.7377355,5.4441875,4.86492,3.334259,4.46025,3.902547
12,6.3191715,7.120434,6.410241,8.065829,10.71794,8.918819,5.718346,7.098391,6.303255,5.2359755,6.689661,5.702764,8.1450695,9.936694,9.0069195,4.1404505,19.22014,5.200742,5.9855125,7.396736,7.207187,5.6234105,6.22392,5.3371455,5.198302,6.1731685,5.6007525,3.585915,4.8573545,4.4619685
15,6.7671115,7.8793035,7.2510065,8.1958935,11.88157,9.6732475,6.1225915,7.7086855,6.916695,5.528235,7.448808,6.1629665,8.5490085,10.856635,9.4102395,4.2339255,16.42476,5.757913,6.117018,7.834952,7.7308465,5.879642,6.7453155,5.8775855,5.3636155,6.760126,6.3025685,3.842079,5.2585915,4.76462
18,7.3384415,8.590449,7.7758125,8.68194,12.360565,10.5458035,6.560295,8.670129,7.615939,5.833773,8.1057945,6.618498,8.728943,11.76561,9.858609,4.4141765,13.58727,5.960685,6.7077695,8.587292,8.0017995,6.1251715,7.421529,6.169405,5.754476,7.2944895,6.694085,4.1524125,5.596974,5.1053385
21,8.132041,9.435904,8.8158475,9.333592,13.563665,11.209695,6.9269505,9.2592545,8.2372705,5.9979415,8.612374,7.089699,9.188364,12.775555,10.87328,4.544153,14.29476,6.4379555,6.877823,9.492073,9.275344,6.217645,7.92482,6.560515,6.104187,8.064361,7.166751,4.4423235,6.050442,5.5058315
24,8.5966255,10.582405,9.4482615,9.925165,14.74091,12.27059,7.3572715,10.544915,9.0940385,6.523828,9.665339,7.7859235,9.655596,14.393625,11.882585,4.5876015,15.56078,6.8623055,7.609588,11.25359,10.516895,6.6464825,8.6566985,7.1212805,6.597897,9.0485975,7.8310515,5.002591,6.755297,6.186694
27,9.4331715,12.046255,10.46922,10.71569,16.17642,13.774135,8.2482765,12.08471,10.319145,7.1074285,10.793595,8.7860045,10.727985,15.515605,13.3864,5.130747,14.83553,7.728851,8.4001605,12.61471,11.65271,7.1351355,9.9982945,8.178077,6.961771,10.4695895,8.6571765,5.605977,7.862515,6.9659525
30,10.563945,13.14923,11.509625,11.7981,17.178915,15.11396,8.7154785,13.435655,11.69375,8.181875,11.63001,9.612583,11.520485,17.52834,14.93365,5.4376815,14.04996,8.8829665,9.179695,14.30822,13.055045,7.6185115,10.9718605,9.252326,7.704163,11.46842,9.7978045,6.1698335,8.504596,7.6515605
33,12.006365,14.737535,12.706665,12.65874,18.61886,16.122065,9.9850775,15.56056,13.07011,8.8075235,12.732135,10.59564,12.51248,19.076895,16.52018,5.91507,21.14596,9.631066,10.0978285,16.03877,14.263585,8.69722,12.30574,10.2171415,8.5990135,12.838445,11.0775355,7.0142795,9.3761945,8.1649725
36,13.58454,16.299845,13.87202,14.057325,19.14185,16.78083,10.823975,16.924475,13.971685,9.6738515,13.79015,11.229895,14.53849,20.43733,17.560375,6.7975925,18.49972,10.59365,11.442025,17.4332,15.36329,9.3309695,13.615445,10.911485,9.6846485,13.782015,12.1372,7.6157305,10.2367265,8.853863
39,15.031395,18.107525,15.23365,15.301565,19.960405,17.74205,12.090135,18.56916,15.14277,10.9001985,14.15922,12.140115,16.47382,22.150145,19.09071,7.545322,21.74605,11.309545,12.64823,19.3819,16.67027,10.646287,15.065495,11.960515,10.826362,15.10764,13.38934,8.6026955,11.06915,9.372002
42,17.236945,20.253135,16.234985,16.776195,20.41637,18.62651,13.58637,19.9136,16.231345,12.21502,14.558045,12.7434,18.706205,23.98191,20.141635,8.2814355,26.28161,12.017045,14.57937,21.83559,18.239075,11.416025,16.151315,12.65641,11.722393,16.045,14.407445,9.670444,11.811635,10.020574
45,19.255335,22.253965,17.415215,18.382405,20.986845,19.370275,15.59148,21.488065,17.413455,13.561015,15.147185,13.481905,22.080815,25.800225,21.180515,9.22224,23.73663,12.82574,16.738335,24.10325,19.71515,12.7332,17.513385,13.662975,13.10285,17.61323,15.368855,10.877495,12.564815,10.698915
48,22.89269,24.49049,18.49956,20.879365,21.453115,19.782185,17.199185,22.88964,18.426365,15.252195,15.41015,14.02332,24.383525,27.643885,22.880675,10.428672,25.822,13.565255,19.377955,25.91217,20.893565,14.41183,18.86614,14.459145,15.26369,19.14792,16.23557,12.226655,13.228715,11.18085
51,27.106525,26.72329,19.59884,23.963475,22.16345,20.26083,19.860205,24.71993,19.719855,16.7881,15.941735,14.665505,28.27751,29.32816,24.076725,11.852985,26.91825,14.267675,22.213665,28.30834,21.965155,16.346155,20.141125,15.61229,17.376005,20.51166,16.94252,13.92596,14.10947,11.800585
54,31.58778,29.167935,20.65796,26.531895,22.29779,20.60372,22.651395,25.84816,21.236425,18.877905,16.5359,15.18132,31.63951,30.681885,25.30116,13.672,31.30242,14.623185,25.778855,29.94059,22.783705,17.67848,21.273515,15.88285,19.520735,21.50059,18.09941,15.410835,14.98121,12.43439
57,35.45619,30.99412,21.742635,30.42342,22.639135,21.276005,26.018455,27.80236,22.334705,20.834895,16.783265,15.423765,37.14503,31.68711,26.81409,15.3266,26.9161,15.58413,29.603595,32.14516,23.882935,20.61988,22.68126,17.145075,22.56475,22.9006,19.262015,18.102685,15.258645,13.043435
60,40.31212,33.566515,22.8036,33.441775,23.126425,21.772255,29.903495,29.21178,23.351355,24.32176,17.05616,16.223645,42.47244,33.936995,28.062135,17.21595,26.86314,16.225345,33.81024,32.43715,25.51444,23.08258,24.11685,18.07026,25.109285,23.91651,19.84994,20.246935,16.38108,13.60866
63,45.97764,36.214745,23.563315,36.50264,23.61028,22.48341,34.2495,30.74989,24.37793,28.294785,17.388425,16.989265,48.62212,35.84548,29.61242,19.83505,24.85626,16.73956,39.14497,34.25005,26.820805,26.416725,25.269035,18.891545,28.052525,25.340885,20.64365,23.79014,17.198705,14.264945
66,52.543895,38.076765,24.298985,42.515215,23.81428,23.05975,39.418705,32.8436,25.71486,31.15581,17.937665,17.451565,53.61807,37.562965,30.558255,22.57613,29.65183,17.393315,44.263405,35.76045,28.35772,30.394375,26.60144,19.706755,31.906065,27.066685,21.380915,26.553435,18.04044,15.02648
69,60.40807,40.4027,24.852865,47.169585,24.655455,23.869905,44.19287,35.06068,27.249905,35.721315,18.667805,18.28224,58.733915,39.627655,31.791115,25.846635,26.9416,17.77144,49.561915,37.98146,29.344135,33.289495,27.9701,20.58361,36.65573,28.10493,22.4697,30.5139,18.86662,15.517545
72,66.833255,42.3356,25.27445,51.8413,25.1107,24.29595,50.352915,36.40058,28.277725,39.892225,18.817,18.0169,64.19701,41.799325,33.12667,28.76676,32.73335,18.568575,54.268765,40.56209,30.839995,37.51635,29.492655,21.31308,41.268685,29.322225,23.3908,34.513395,19.505495,16.327995
74,71.468005,43.47292,25.643455,55.00006,25.44345,24.39282,55.13708,37.90277,29.814545,43.383625,19.06246,18.136205,68.473845,42.608595,34.13788,32.940215,32.39659,19.000195,59.13265,41.87147,32.18621,40.52353,29.814665,21.931765,43.891335,30.60583,23.785235,37.89155,20.1028,17.052015
77,76.881915,44.501685,26.3577,59.587395,26.23416,25.20362,59.775475,40.21196,31.21681,48.12807,19.900335,19.223885,73.12254,44.376745,35.727895,36.652285,31.95044,19.8482,63.19067,43.25688,32.61799,45.136785,31.685385,22.64757,48.0487,32.077275,25.212495,42.605745,21.08379,17.58477
80,81.645775,46.22947,26.50843,64.3716,26.19567,25.50065,65.649465,41.54257,32.40921,53.11487,20.13612,19.308195,76.47412,46.106775,37.495955,40.28442,38.41684,20.39044,67.2578,45.02951,34.76435,49.03682,32.69105,23.343825,52.21378,33.49623,26.08534,46.123035,21.53009,18.09773
83,85.147815,47.067835,26.90243,68.839345,26.921115,26.643895,69.810455,43.20799,33.97444,57.85004,20.511745,20.612015,78.772735,48.14426,38.77286,44.203205,34.3261,20.605525,70.535315,46.27361,35.68161,53.48988,34.058175,24.70646,56.397085,35.124295,27.252155,50.55336,22.750195,18.73487
86,87.32473,48.09423,27.031615,70.62369,26.808385,26.99835,73.693425,43.85737,35.02501,61.82669,20.40803,20.38089,80.15811,49.04855,40.178615,48.217145,35.5757,21.30803,73.148835,47.71545,37.605315,56.37661,35.08819,25.262295,59.584235,36.303685,27.861155,53.11758,23.412305,19.595525
89,87.8362,48.50716,27.367855,74.232805,27.889165,28.10633,76.649095,45.431155,36.85336,65.32341,21.04343,21.48099,80.98522,50.623705,41.396495,52.08521,38.21239,21.64788,73.37644,48.53893,38.98068,59.7169,36.445905,26.26495,61.87748,37.57915,29.26501,56.456615,24.391465,19.808125
92,89.510275,49.279265,27.437985,75.626535,28.253215,28.627645,78.0934,46.88569,38.18603,68.207815,21.56199,21.50126,82.159855,51.80877,42.478965,55.05479,33.36539,22.08293,73.948695,49.05592,40.228365,62.389175,37.46868,26.4241,62.295895,38.986945,29.887025,57.89229,24.76941,20.53824
95,90.252665,49.63294,27.548985,77.32761,28.86394,29.488385,79.493485,48.418755,39.79198,70.165055,22.21441,22.63227,84.45861,53.34701,44.00333,56.784425,42.58241,22.90875,75.32882,51.03933,41.56723,63.74605,38.66993,27.660115,63.26132,40.278185,30.9563,59.347905,26.03659,21.165585
98,91.386885,49.97009,27.455035,78.006325,28.90324,29.773755,80.917855,49.07463,41.09135,71.258815,22.24213,22.59236,85.589245,54.170385,44.852535,57.405595,41.90876,23.3175,75.53499,51.5616,43.608705,64.183855,39.48987,28.045235,64.31538,41.333055,32.467235,59.80329,26.66113,22.12644
101,92.28898,50.39993,27.958605,78.87106,30.087025,30.86213,82.299605,51.960695,43.0019,73.397415,23.00397,23.41049,87.25441,55.27564,46.29773,58.93545,38.55812,24.1302,75.95424,53.32091,44.75683,65.502905,40.36797,29.10538,65.635885,42.541525,33.55566,61.12095,27.88118,22.379605
104,93.43508,50.72624,27.86486,80.121945,30.234135,31.11447,83.385855,53.097155,43.7998,74.580555,23.13023,23.39934,88.86368,56.581115,47.320915,59.700115,44.67214,24.985235,76.778,54.31318,46.05392,66.27062,41.443015,29.87403,66.235585,43.993335,34.324375,62.177515,28.293975,23.06504
107,94.154915,50.811955,28.393155,81.337615,30.949605,32.505315,84.587255,54.130495,46.22065,76.298535,23.90824,24.29013,89.80589,57.26642,48.37051,61.90265,44.82354,25.44317,77.8359,55.18592,47.32263,67.749235,42.313375,31.073425,67.50246,45.002085,35.57009,63.496825,29.55797,24.09091
110,95.15589,51.007515,28.55779,82.367555,31.00683,32.822275,84.971715,55.28343,47.27106,77.179055,23.794215,24.17925,90.67502,58.372925,48.9202,62.63843,42.25705,26.14251,78.225595,55.97119,49.113785,68.247125,42.73389,31.68011,68.336755,46.189955,36.25331,63.972635,30.05161,24.606795
113,96.05649,51.163055,28.91019,84.217025,31.65433,33.421775,86.65009,56.343195,48.504235,78.7279,24.120345,25.518735,91.671475,59.17128,49.68823,63.87215,45.77645,26.572755,79.33066,56.3697,50.11441,68.9665,43.499675,32.920755,69.627415,47.507945,37.334805,65.16937,31.02494,25.02319
116,96.56831,51.352925,29.326635,85.04938,31.870405,33.946825,86.777105,57.012425,49.581095,79.4713,24.7428,24.88777,92.46447,59.904465,50.75121,65.766155,44.37888,27.36132,79.87681,57.42054,51.14748,70.04688,44.415885,33.248225,70.67646,48.66001,38.05139,65.50109,31.23667,25.57836
119,97.01488,51.79685,29.716,86.76247,32.5984,34.76535,87.70071,57.857735,51.64872,81.162515,25.28154,26.35386,93.20614,61.122015,51.779575,67.69271,45.95648,27.96524,81.60274,57.75211,52.16479,71.36021,45.420415,34.050635,72.371155,49.796835,39.01179,66.506085,32.11414,26.15199
122,97.45616,52.17284,30.04289,87.502615,33.070575,34.9432,88.28533,59.15888,51.64274,80.904125,25.645315,26.250805,93.90676,61.380765,52.22966,69.04972,46.40532,28.644425,82.62431,59.09233,53.334865,72.153415,45.657795,34.120615,73.024965,50.70588,39.650595,67.531075,32.31917,26.66487
