Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
54,42.50231,31.207135,26.37931,12.958705,10.112675,11.12161,29.85529,23.640045,22.709835,16.802825,13.91717,11.74676,20.142885,18.96376,17.72237,16.63722,16.96034,16.14626,23.406685,27.04242,19.80113,17.356475,19.91574,17.281325,20.118545,19.326895,17.442115,12.936905,10.6169,10.24261
57,47.283005,33.816565,27.84825,13.25143,10.283105,11.208425,34.02329,24.61881,23.836025,19.331385,14.174835,12.114765,21.640895,19.211805,18.492965,17.896945,17.69023,16.481665,25.59456,28.60876,20.876825,19.15815,20.698675,17.70445,22.094825,20.396785,18.059945,14.908295,11.041235,10.592555
60,52.20524,35.84346,28.61541,14.61463,10.42245,11.35233,37.36977,25.50926,24.95614,21.378335,14.343915,12.33367,24.22795,20.14865,18.66728,20.503685,18.06882,16.79386,29.129655,29.669225,21.46555,21.579125,21.557425,18.06674,24.962645,21.298735,18.73988,16.69621,11.510415,10.67387
63,58.264995,38.147035,30.33806,16.050875,10.668745,11.642165,42.099175,25.97684,25.954635,23.973325,15.68932,12.756805,26.189985,21.120785,19.655725,22.8173,18.666235,17.643745,32.27987,31.20743,22.088045,24.48972,22.254375,18.708795,27.518475,22.31391,19.52829,18.972305,11.6141,10.97681
66,64.054945,40.324175,30.87466,17.814085,10.97171,11.43256,46.902735,28.00928,27.17175,26.93222,15.449195,12.677425,30.169615,21.8143,21.3566,25.546425,18.76769,19.08707,37.066305,32.87189,23.542535,26.73624,23.43032,19.548055,33.00745,23.98533,20.400275,21.33049,12.523115,11.435345
69,69.488455,41.97651,31.25288,18.86445,10.939335,11.179156,50.45997,29.38242,27.806645,28.32271,15.27801,13.22206,33.04411,22.415335,21.440055,27.60102,19.059515,19.39561,40.82275,33.68549,24.07484,29.88468,24.10495,19.748495,35.91211,24.590925,20.67124,23.602105,12.864205,11.508085
72,75.395535,43.912575,32.109285,20.743375,11.10381,11.290355,54.429095,30.546625,28.36679,31.5402,15.904045,13.41671,36.256415,23.46164,21.67651,30.636595,20.180015,20.193605,44.809805,34.64084,24.869735,33.65093,24.834485,20.370875,39.09758,25.57241,21.240875,26.866315,13.1499,11.8187
75,80.342955,45.572225,32.7127,22.19271,11.083845,11.2517,58.74612,31.28197,29.238495,34.360545,16.309895,13.592435,40.279765,24.607145,21.962405,33.37959,20.782765,20.887925,48.13103,36.514715,25.618535,37.19922,25.92547,21.145635,42.91269,26.75796,21.831445,29.16515,13.23979,12.15436
78,85.456085,46.86125,32.891005,24.485075,11.06615,11.253805,63.60505,31.728655,30.53551,37.68439,16.11139,14.096955,43.756365,24.842935,23.11554,37.543205,21.34559,21.524365,51.79104,37.75273,26.734825,41.39388,26.37646,21.62669,46.414275,28.043595,22.46123,33.054265,13.806745,12.46006
81,87.631245,48.414645,33.168535,27.17071,11.00229,11.485475,68.72094,33.337635,31.8731,41.33314,16.84306,14.74594,47.52195,25.67481,24.19718,41.93113,22.326825,21.94191,56.49807,38.70757,27.210225,45.7164,27.999815,22.7178,51.403595,29.219435,23.593005,37.295675,13.71658,12.592835
