Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,4.2655295,3.9791505,3.888071,3.3746785,3.473018,3.0620905,4.434666,3.606998,3.9234795,3.686892,3.37261,3.099534,4.3672695,4.3758875,3.910778,4.9121505,4.6531425,4.132826,5.119837,4.498675,4.5859505,4.8822115,4.547114,4.700694,4.494032,3.529023,3.5364605,8.315177,7.2493925,7.8397745
3,4.6033725,4.2100155,4.329306,3.581867,3.620124,3.2407735,4.8574285,3.80662,4.078227,3.963478,3.6371355,3.323256,4.845846,4.62026,4.2798565,5.4344465,4.8996395,4.3426775,5.457837,4.714871,5.0304445,5.166999,4.680759,4.9898315,5.00084,4.551512,3.7027695,9.1239615,7.8967635,8.4152845
6,5.1989595,4.734689,4.9598175,3.930657,3.960487,3.7337395,5.1098395,4.2801305,4.5623835,4.387531,3.9541965,3.6536545,5.281611,4.935362,4.722854,5.5856845,5.118164,4.466831,5.6433425,5.0363785,5.3460165,5.293747,4.92938,5.022522,5.027651,4.3037855,3.890741,9.505661,7.755633,8.779768
9,5.445155,5.2908375,5.569117,3.977962,4.3157845,3.985393,5.499467,4.6992655,5.051327,4.5593925,4.3455735,3.9455445,5.5967545,5.4866625,5.1039115,6.131556,5.562152,4.848667,6.3112365,5.657288,5.889382,5.520364,5.395078,5.2707125,5.531851,4.9271265,4.3212135,10.086495,8.324027,9.785594
12,6.0105365,5.7338895,6.1281415,4.2596425,4.785299,4.207994,5.8059375,5.0943435,5.4704775,5.163161,4.787191,4.362885,6.270767,5.9426215,5.5079005,6.351329,6.075311,5.3789945,6.775718,6.071787,6.367338,6.2751245,6.025336,6.108309,5.926921,5.6039865,4.3186735,10.83319,9.0155415,10.61079
15,6.4487605,6.224083,6.9247845,4.7836535,5.1504105,4.810608,6.448235,5.5788215,6.0897205,5.641274,5.2253875,4.7962875,6.685758,6.227136,5.992378,6.885988,6.42169,5.5139925,7.157978,6.215867,6.8996465,6.6217075,6.272563,6.3874565,6.316624,5.6818455,5.0468205,11.20365,9.108001,10.494625
18,6.8034235,6.637292,7.146177,4.9915795,5.4071375,4.7473905,6.80718,5.7701655,6.3918465,5.9480915,5.625697,4.910621,7.053574,6.297804,6.3139945,7.411652,6.7375985,6.0123195,7.5568655,6.6626965,7.2076655,6.818462,6.4432085,6.982838,6.8459965,5.514512,5.29344,11.96506,9.575706,11.34642
21,7.371018,7.169648,7.805766,5.409302,5.759765,5.3107175,7.2431905,6.502526,7.1292265,6.3486405,5.9572695,5.3621275,7.648369,6.979335,6.687896,7.825393,7.298684,6.483624,8.2176575,7.2535575,7.808155,7.286331,7.0300475,7.398505,7.227252,6.4082505,5.123791,12.62463,10.086012,12.50599
24,7.8815625,7.487045,8.2763045,5.70363,6.0733715,5.388378,7.492433,6.7887345,7.333431,6.6664865,6.294478,5.582461,8.059933,7.6276625,6.830699,8.1225,7.590485,6.740439,8.761158,7.583712,8.1853085,7.558722,7.126298,7.889948,7.443591,6.754015,6.168686,13.277965,10.242881,12.992855
27,8.6189825,8.2778965,9.105837,6.1568915,6.625566,5.85792,8.4650135,7.373832,8.1464565,7.3559125,6.8552565,6.250908,8.4904175,8.25366,7.5890515,8.3016145,8.3365995,7.503305,9.210316,8.1328865,8.443195,8.182289,7.9246065,8.411836,7.968476,7.3639425,5.9669195,13.8119,10.461992,13.88639
