Sample ID,Group
C3N.01415,Cold-tumor enriched
C3N.00737.N,Hot-tumor enriched
C3N.02582.N,NAT enriched
C3L.02345.N,NAT enriched
C3N.00737,Hot-tumor enriched
C3N.01488.N,NAT enriched
C3L.01683.N,NAT enriched
C3N.01030.N,NAT enriched
C3N.00560,Cold-tumor enriched
C3N.00203,Hot-tumor enriched
C3N.02572,Cold-tumor enriched
C3L.00144,Hot-tumor enriched
C3N.00559,Cold-tumor enriched
C3N.02003.N,NAT enriched
X11LU035,Cold-tumor enriched
C3L.02508.N,NAT enriched
C3N.01024,Cold-tumor enriched
C3L.00368.N,NAT enriched
C3L.02350.N,NAT enriched
C3L.01632,Cold-tumor enriched
C3N.01016.N,NAT enriched
C3L.01682,Hot-tumor enriched
C3L.00422.N,NAT enriched
C3N.02002.N,NAT enriched
C3L.00263,Hot-tumor enriched
C3N.01071,Cold-tumor enriched
C3L.00094.N,NAT enriched
C3L.02508,NAT enriched
C3N.00199,Cold-tumor enriched
C3N.02424.N,NAT enriched
C3L.02219,Cold-tumor enriched
C3N.00180,Cold-tumor enriched
C3N.00217,Cold-tumor enriched
C3L.02348.N,NAT enriched
C3N.02587.N,NAT enriched
C3N.02000,Cold-tumor enriched
C3N.01823.N,NAT enriched
C3N.01416,Cold-tumor enriched
C3N.02433.N,NAT enriched
C3N.02089.N,NAT enriched
C3N.02729,Cold-tumor enriched
C3L.02365.N,NAT enriched
C3N.01410.N,NAT enriched
C3N.01016,Cold-tumor enriched
C3N.00572,Cold-tumor enriched
C3N.00738.N,NAT enriched
X11LU022,Cold-tumor enriched
C3N.00738,NAT enriched
C3L.01330,Cold-tumor enriched
C3N.02433,Hot-tumor enriched
C3N.02155.N,NAT enriched
C3L.00083,Hot-tumor enriched
C3L.00913.N,NAT enriched
C3N.00578.N,NAT enriched
C3N.02089,Cold-tumor enriched
C3N.00223,Hot-tumor enriched
C3N.01021.N,NAT enriched
C3N.02572.N,NAT enriched
C3N.02379.N,NAT enriched
C3L.00093.N,NAT enriched
C3L.00604,Cold-tumor enriched
C3N.00546,Cold-tumor enriched
