Treatment,Line,Lysis_Buffer,p-MEK,p-YAP(S127)
UT,WT,NP-40,238,332
UT,WT,RIPA,38,237.5
EA,WT,NP-40,32,193
EA,WT,RIPA,30,173
EA+50nM Das,WT,RIPA,30,189
EA+100nM Das,WT,NP-40,31,218.5
EA+100nM Das,WT,RIPA,35,182
EA+200nM Das,WT,NP-40,34.5,221
EA+200nM Das,WT,RIPA,37,230
EA+500nM Das,WT,RIPA,43,281
E,KO,NP-40,45.5,255
E,KO,RIPA,35,158
E+50nM Das,KO,NP-40,40,397
E+50nM Das,KO,RIPA,34,225
E+100nM Das,KO,NP-40,39,444
E+100nM Das,KO,RIPA,37,363
E+200nM Das,KO,NP-40,49,643
E+200nM Das,KO,RIPA,40,425
E+500nM Das,KO,NP-40,59.5,1076.5
E+500nM Das,KO,RIPA,39,530
Detection+SAPE,Background,NP-40,21,40
Detection+SAPE,Background,RIPA,20,43
