Treatment,Line,Lysis_Buffer,p-YAP,p-ABL,p-SRC,p-MEK
UT,WT,RIPA,98.5,123,98,29
UT,WT,NP-40,51,79,1059,171
EA,WT,RIPA,72.5,538,87,22.5
EA,WT,NP-40,53,164,763,29
EA+50nM Das,WT,RIPA,76,426.5,198,22
EA+50nM Das,WT,NP-40,56,116,134,28
EA+100nM Das,WT,RIPA,70,340.5,162,21
EA+100nM Das,WT,NP-40,54,79,47,39
EA+200nM Das,WT,RIPA,61,293,94,29
EA+200nM Das,WT,NP-40,73,72,50,34.5
EA+500nM Das,WT,RIPA,67.5,183,85.5,22
EA+500nM Das,WT,NP-40,64,45.5,43,43
E,KO,RIPA,95.5,484,180,20
E,KO,NP-40,60,134.5,1185,27
E+50nM Das,KO,RIPA,70,345,133,18.5
E+50nM Das,KO,NP-40,55,114.5,90,34
E+100nM Das,KO,RIPA,86,302.5,111.5,18
E+100nM Das,KO,NP-40,59,77,39,38
E+200nM Das,KO,RIPA,70,200,74,20
E+200nM Das,KO,NP-40,61,56,38,44
E+500nM Das,KO,RIPA,61,101,52,21
E+500nM Das,KO,NP-40,51.5,42.5,28,37
Detection+SAPE,Background,RIPA,35.5,112.5,26.5,16
Detection+SAPE,Background,NP-40,41,121,28.5,16
Beads Only,Background,NP-40,19,7,11,7
