Line,Treatment,Experiment,p-YAP S127,p-SRC Y416,p-ABL Y245
WT,UT,New,59,730,193
WT,UT,New,93,1146,163
WT,UT,Old,163,1043,188
WT,UT,Old,443,1170,164
KO,UT,New,544.5,888,179
KO,UT,New,437.5,1169,169
WT,E,New,261.5,817,182.5
WT,E,New,218,954,207
WT,E,Old,185.5,593.5,156.5
WT,E,Old,NaN,640,169.5
KO,UT,Old,286,817.5,158
KO,UT,Old,263,1391,162.5
WT,EA,New,NaN,723.5,190
WT,EA,New,190,700,164
WT,EA,Old,NaN,569,100
WT,EA,Old,134,724,151
WT,EA 50,New,607,172.5,191
WT,EA 50,New,NaN,185,170.5
WT,EA 50,Old,198,128,152
WT,EA 50,Old,238,153,100.5
WT,EA 100,New,421,117,154
WT,EA 100,New,419,128,140
WT,EA 100,Old,363,123.5,156.5
WT,EA 100,Old,246,107,174
WT,EA 200,New,394.5,113,134
WT,EA 200,New,NaN,97,121
WT,EA 200,Old,NaN,98.5,117.5
WT,EA 200,Old,NaN,58,108.5
WT,EA 500,New,518,99,131
WT,EA 500,New,426,87,127.5
WT,EA 500,Old,466,70.5,148
WT,EA 500,Old,426,84,160
KO,E,New,486,908,218
KO,E,New,323,917,184
KO,E,Old,NaN,1803.5,163
KO,E,Old,209,1945,157
KO,EA 50,New,440.5,201,166.5
KO,EA 50,New,371,173.5,171
KO,EA 50,Old,292,104,194.5
KO,EA 50,Old,400.5,103,197.5
KO,EA 100,New,1002.5,129,183
KO,EA 100,New,593.5,141,166
KO,EA 100,Old,339.5,109,208
KO,EA 100,Old,347,109,202
KO,EA 200,New,517.5,97,191
KO,EA 200,New,497.5,92,184
KO,EA 200,Old,381,78,200
KO,EA 200,Old,394.5,79,185.5
KO,EA 500,New,460,82,177.5
KO,EA 500,New,434,70,170
KO,EA 500,Old,570,64.5,200
KO,EA 500,Old,650.5,77,228
