Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,1.706435,2.354358,1.702595,1.612709,1.608005,1.453477,2.536278,2.350374,2.350276,2.379398,1.991087,1.38901,2.552235,2.521436,2.636225,3.420829,3.064782,2.398314,2.89325,2.652722,2.527241,2.629897,1.850263,1.36718,1.875683,3.570788,2.658814,2.408551,2.446862,2.159144,3.499357,2.860698,2.900193,2.21965,2.166125,1.671971,3.22689,3.468762,2.871185,2.433204,2.597535,2.3496,4.527259,3.8942,3.211798,2.503915,2.424576,1.729828,3.075549,3.87215,3.287662,3.618448,3.919574,3.375104,4.510884,4.181228,5.49445,4.452101,3.25262,1.784059,2.466454,3.9563,3.317861,3.584265,2.718091,3.398179,4.378551,3.253008,3.77501,3.271621,3.298095,1.589695,1.957496,3.651008,2.087628,1.491614,1.372158,1.997681,2.82886,2.787498,3.921904,3.372676,2.279268,2.33038,2.388025,3.362114,2.703902,2.710716,1.681311,2.423764,3.721143,3.546895,4.31133,3.230183,3.295432,1.878407
3,2.627332,3.118581,2.201879,1.794788,1.444243,1.501174,3.136807,2.959622,3.08722,2.588452,1.986792,1.397858,3.240966,3.120902,3.456174,3.534776,2.464739,2.150084,4.687652,3.916167,3.297488,2.836971,1.879697,1.408595,2.764218,5.431144,3.572216,2.519288,2.553927,2.133049,5.386353,4.076408,4.434618,2.586934,1.787269,1.58518,3.962264,3.984686,3.873129,3.079928,2.299968,2.558905,5.47822,4.529702,4.399213,2.875844,2.378024,1.737454,3.917806,4.578902,3.901401,3.786171,3.822442,3.409523,5.575913,5.217553,6.414597,4.438207,3.121373,1.915588,3.517909,5.697107,3.943211,3.305235,2.646871,3.42627,6.76924,4.299531,4.026996,3.240078,3.124856,1.598262,3.573134,5.343026,2.655825,1.733008,1.414688,2.071064,4.069192,4.024287,5.190114,3.59677,2.141366,2.174236,3.397459,5.039183,3.56742,2.816992,1.84782,2.533516,5.23722,5.045907,5.221369,3.039924,3.016417,1.893241
6,2.636423,3.090301,2.118663,1.965554,1.643615,1.626094,2.996544,2.706087,3.103966,2.806407,2.233892,1.436594,3.126441,3.211191,3.524321,3.58708,2.6543,2.34894,4.767324,3.765995,3.521915,2.970457,2.011362,1.509658,2.528417,5.146734,3.380408,2.403619,2.713417,2.37272,4.924773,3.692521,4.063593,2.518742,1.912537,1.725549,3.987827,3.92629,3.931077,2.967172,2.461658,2.788097,5.886555,4.625446,4.156908,3.079806,2.693097,1.972148,3.769508,4.535954,4.117686,3.578885,4.215814,3.629481,5.164892,5.173922,6.38939,4.479948,3.265528,2.021022,3.574811,6.002422,4.269186,3.391085,2.726355,3.626219,6.745755,4.362707,4.21384,3.308771,3.353904,1.765157,3.255056,5.137682,2.479945,1.569944,1.55756,2.245168,4.266857,3.81842,5.188923,3.590343,2.170541,2.346831,3.4727,5.124002,3.490805,2.870229,1.886837,2.775395,5.729895,4.979603,5.477369,3.050373,3.319137,2.068818
9,2.971429,3.486396,2.157861,1.984486,1.775348,1.866388,3.29292,3.064661,3.192039,2.851039,2.392624,1.683208,3.598181,3.76925,3.649931,3.800285,2.921235,2.676798,5.250916,4.344587,3.944455,3.165185,2.18473,1.587145,2.764173,6.031332,3.737988,2.50865,2.841918,2.567282,6.053079,4.324806,4.84441,2.760303,2.065722,1.857897,4.196881,4.587795,4.221307,3.329835,2.71709,2.990254,6.652811,5.258034,4.582369,3.420306,3.023724,2.101878,3.991409,4.694139,4.117254,3.566327,4.455386,3.917275,5.827043,5.451821,6.215983,4.53216,3.505161,2.234309,4.226892,6.396409,4.500891,3.496002,2.941684,3.799382,7.772405,4.79908,4.363906,3.509069,3.571153,1.903735,3.772369,5.803361,2.55851,1.598155,1.628864,2.439684,4.776362,4.327659,5.365607,3.399075,2.313869,2.491874,4.13441,5.96474,4.135275,3.120637,2.10162,2.884115,6.53727,5.636685,6.029579,3.206539,3.396002,2.185398
12,3.425587,3.748156,2.698757,2.083068,1.850051,1.986891,4.080499,3.439784,3.479089,2.972134,2.565886,1.709219,4.267935,4.273178,4.097533,4.508191,3.033368,2.835787,6.167694,4.847354,4.271547,3.559794,2.374587,1.664549,3.406116,7.115757,4.210289,2.619274,2.998684,2.806931,7.160889,5.313684,5.75797,3.036267,2.197061,1.960387,4.915197,5.135672,5.005652,3.722995,3.051481,3.212238,7.669528,6.037379,5.245635,3.785041,3.191758,2.306038,4.526014,5.46853,4.398629,3.877067,4.722556,4.065383,6.40666,5.796456,6.936803,4.706955,3.731857,2.357613,5.029858,7.555998,5.257464,3.780109,3.08656,3.982144,8.796339,5.745314,5.015684,3.724375,3.7036,1.914487,4.268838,6.541262,3.01405,1.772533,1.718796,2.562972,5.35871,4.832891,6.068034,3.746904,2.423931,2.430457,4.871984,6.831468,4.825842,3.291395,2.180625,2.98995,7.462492,6.518421,6.886822,3.516391,3.586154,2.364586
15,3.62288,4.207891,2.940993,2.204831,1.902233,2.102197,4.197838,3.960367,3.791407,3.191197,2.597542,1.769111,4.769859,4.960527,4.928788,5.358293,3.089671,2.90662,6.9974,5.366215,5.040451,4.068191,2.445458,1.812438,3.944713,8.230646,4.967759,2.956442,3.033885,2.843792,7.985662,6.127546,6.55542,3.509236,2.335858,1.994737,5.748037,5.89352,6.050484,4.081234,3.108633,3.311609,8.357804,6.716632,6.31298,4.18836,3.31796,2.440071,5.058138,5.852189,5.353459,4.087373,4.99896,4.186152,7.288366,6.436336,7.589333,5.062084,3.972614,2.449821,5.484639,8.239971,6.086298,4.117626,3.075398,4.216512,10.1959,6.004441,5.809939,4.001167,3.916365,2.021196,4.411035,7.120286,3.301714,1.91756,1.809714,2.477441,6.045696,5.284849,7.407716,4.128059,2.593149,2.496138,5.303622,7.667533,5.368385,3.738436,2.238194,3.03025,8.33954,7.150805,7.929027,3.890399,3.792864,2.454283
18,4.152105,4.34496,3.316587,2.402844,1.917204,2.131001,4.874951,4.19349,4.103733,3.20374,2.765015,1.76147,5.515347,5.17185,5.229845,5.882586,3.294794,2.918518,7.636301,5.9263,5.455554,4.510368,2.530496,1.804364,4.509078,8.813154,5.233601,3.165489,3.266545,3.073835,8.691482,6.734601,7.05871,3.89376,2.351801,2.142891,6.076169,6.830072,6.839571,4.683866,3.309189,3.417384,9.434139,7.417155,7.104898,4.745388,3.504433,2.333089,5.567013,6.317926,5.430544,4.624437,5.146143,4.370902,7.847738,7.099488,8.112647,5.341,4.240011,2.48471,5.723764,9.324237,6.806375,4.384128,3.168592,4.232067,11.1621,6.460336,6.203228,4.515474,3.969639,2.060319,4.993527,7.638328,3.587763,2.000018,1.75713,2.507656,6.271534,6.02948,7.974881,4.50577,2.74883,2.479717,5.671582,8.220926,5.849655,4.112982,2.298382,3.01669,9.426908,7.721476,8.583551,4.316952,3.845554,2.531816
21,4.094506,4.680132,3.334426,2.72187,2.042723,2.258652,5.486779,4.570745,4.456577,3.319796,2.908889,1.864142,5.690317,5.520325,5.653425,6.389511,3.611005,2.924892,8.3603,6.190048,5.949701,4.932293,2.559823,1.935984,4.744242,9.354383,5.550479,3.496974,3.627911,3.045858,9.020296,6.989896,7.346732,4.335133,2.486903,2.10401,6.720085,7.101051,7.154887,5.142849,3.499295,3.574985,10.14499,7.983348,7.464299,5.088224,3.653929,2.427976,6.162572,6.818773,5.937257,4.996813,5.495512,4.549483,8.316601,7.553783,8.422779,5.774079,4.533504,2.510858,6.217569,10.08838,7.361726,4.962637,3.363048,4.325701,12.16822,7.151132,6.696912,5.008931,4.28912,2.10612,5.459917,8.705868,3.851344,2.285983,1.796746,2.565104,6.676948,6.614659,8.602536,4.716372,2.969159,2.689758,5.874285,8.638382,6.628492,4.678668,2.764954,3.186022,10.14102,8.364838,9.146118,4.770679,4.122437,2.688893
24,4.26581,5.467543,3.794738,2.8041,2.052329,2.120301,5.251038,4.685482,4.805613,3.520398,3.064251,1.828775,6.331524,5.989355,5.920305,6.602533,3.832791,3.193852,8.639702,6.694613,6.557295,5.058313,2.657229,1.886511,5.047007,9.80619,6.029222,3.65289,3.815962,3.123884,9.650661,7.193767,7.663587,4.566503,2.678399,2.411836,6.847797,7.762055,7.842403,5.311119,3.679789,3.695154,10.9211,8.746311,8.140532,5.452997,3.758104,2.569444,6.310445,7.692914,6.606024,5.420035,5.970522,4.83167,8.648625,8.136913,9.371297,6.333391,4.889627,2.769499,6.618279,10.69473,8.105537,5.54255,3.57755,4.617023,12.93686,7.683399,7.191848,5.397317,4.769176,2.176793,5.698291,8.96495,4.205911,2.467107,1.936022,2.639238,7.152444,6.934124,9.021457,5.267602,3.109915,2.728358,6.568903,9.248479,6.742485,5.019888,2.632879,3.299172,10.79876,8.945335,9.918558,5.254839,4.84441,2.732797
27,4.785786,5.644175,4.035343,3.135054,2.128884,2.206963,5.438034,5.257184,5.328525,3.861383,3.126715,1.896808,6.578192,6.54894,6.13433,6.746325,4.215464,3.284391,9.26874,7.501692,7.070214,5.356358,2.889457,1.936067,5.373795,10.59115,6.173278,3.929423,4.233288,3.299749,10.59435,7.85758,8.223225,4.832406,2.830574,2.36621,7.713546,8.39418,8.550074,6.089956,4.243267,3.960609,12.08266,9.413736,8.788242,5.771151,3.987721,2.769954,6.670976,7.688059,6.962875,5.870476,6.333223,5.104311,9.661793,9.23769,10.47964,7.101741,5.322767,2.944211,6.975843,11.71386,8.538995,5.891206,4.041345,4.953638,13.69462,8.138575,7.391523,5.9185,5.100805,2.474732,6.028076,9.77926,4.204947,2.691306,2.039027,2.734542,7.339766,7.180231,9.307725,5.801297,3.408264,2.843185,6.811618,10.03867,7.283949,5.485003,2.851054,3.514661,11.59391,9.70672,10.47096,5.772326,5.225088,2.84465
